上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
汉语国际教育专业 北师大和上交 如何选择？,上交啊这有什么可选的  选了北师，来了也要骂，不够健康啊
关于复旦 上交大mjc今年进复试的线一个360一个382 ？, 我觉得这个382和360的区别是在于招生规模……  都比较新闻传播专业硕士，上交进复试的21人，复旦进复试的44人，所以嗯。  虽然都是mjc，上交的是媒体与设计学院，复旦是新闻学院，所以报哪个学校很取决于你的兴趣和职业规划啦。 
在上海交通大学电气工程专业读研是什么样的体验？,研一狗怒答！感觉研究生课程还是比较水的，没有本科学的东西多………
没有通过上海交通大学英语水平考试是一种怎样的体验？,没过真的不是什么大不了的，关键在于自己有没有好好学，有些人从一开始就没打算过，没过自然没什么感觉，不可否认大家语言天赋，地域教学情况都有很大差距。我高中是数竞党，而高中英语就很差，基本高中英语就没怎么学，到了交大英语被瞬间秒杀...我来说说我没有过水平考的体验吧。 大一当时听说有水平考这一说时其实我是暗自希望好好学英语，补补英语的差距，然后通过水平考的。之前说了英语不好，所以很自然的，我大一被分到了英语普通班，但是我还是希望通过努力能提升自己的水平，所以第一节英语课，我就坐在第一排，一个人，老师让大家做news report， 我举手了，对，我举手了，我知道是不可能有人举手的.... 所以我举手了。我起立之后直接向后转，就是面对全班的人，（现在想想全班人应该都觉得我比较特立独行的吧），我就用我的broken English 开始讲，（我觉得以我当时的口语应该能感动不少人，这么差也敢举手，还敢一个人做第一排....) 也许是我口语实在太差了，最后竟然是雷鸣般的掌声，也许大家都觉得我很勇敢吧。  然后我就每节英语课做第一排，尽量积极发个言。没人愿意跟我坐在一起，我知道这必将是一场孤独之旅。大一的寒假，我在家里几乎什么也没干，买了一本VOA100 篇 的书，然后每天听，听一句写一句，一篇文章虽然只有三四百词，却能听一下午，因为有些句子我得听十几遍才能写一点。大一下还是依旧，第一排，尽量积极发个言，由于其他的课业，英语没有额外过多的投入。  然后第一次水平考，我果然没有过，印象中卷面考了66分吧，然而很多看起来不怎么用功的人过了，这也正常，我凭什么认为我一年的努力可以超越人家几年的积淀呢...显然是不现实的。当时也就是这样的感受，觉得情理之中，当然也有些失落。大一的暑假没有回家，我就留在上海报了个新东方，和一个高中同学天天去上课，还是学英语，我们俩是那个英语班里感觉上像是最次的两个，其他同学都是英语系的，将来都是要做翻译的，我们还是硬着头皮上。然后大二继续当学霸，大家也都对我上课发言见怪不怪了，我也不怎么想发言了，有时候也觉得挺难为情的，看着挺傻的。老师也跟我熟了，看没人配合着发言就总是点我，背课文检查先问有没有自愿，我有时候也会自愿，没有的话也点我。  然后是大二上的英语水平考，我觉得听力好像不怎么难了，也能写个大致出来了，阅读好像也还行的样子，没什么影响阅读的难词了，我考完觉得这个卷子好像不难啊，是不是今年水平考简单了。结果貌似是我水平提升了，卷面考虑80分。虽然还是被各大神完爆，但是也算是迟到的完成了大一时暗自的承诺。  虽然英语水平考算是过了，但是学英语的习惯还是留着，在编译原理课上，第一次上课是个宁静的午后，我看到班里有个外国人，我就过去打了个招呼，全班趴着睡觉的同学都震惊的回头望着我，我继续与外国人攀谈，以后每节课那位老外都会坐在我的旁边，下课就聊天。一次去复旦打球，问路，发现被问者是个亚裔美国人，加了微信然后又请客吃饭看电影，只是为了练习一下口语。  后来在微软面试，终面官全英文面试，谷歌的部门老大也是亚裔美国人，不会说汉语，我倒一点都不紧张，也多少能够表达清楚意思，甚至谈笑风声，或许和我一直的没事找事的练习分不开。  我知道在很多人看来，我都像是个小丑，但是我并不在乎。或许大一大二的时候会担心自己英语这么差拉低了GPA 什么的，但现在看来，或许正是有英语水平考的存在，才不断鞭策我好好学英语，养成了学英语的好习惯，也不害怕开口说英语了
大三机械，如何提高上交录取成功率？,高分是唯一稳妥的方法…  另外，你说的那三个高校，我觉得都差不多吧。考虑到就业，在上海机会更多点。  不过浙大是不是招生人数是最多的？   你这个问题确实很难回答。
上海交通大学的生命科学怎么样？,别的不清楚，但对以下几种病症的治疗手段，交大在全国是遥遥领先的，比其他学校高出不少：   胃腔疾病 涨气腹泻 蛰咬肿痛 酗酒症 胰腺炎 秒射阳痿
上交计算机信息安全与中科院信工所的比较?,建议你说明自己的研究兴趣来引导大家回答此问题，因为两家科研机构的导师都很多，信息安全的概念也很大，无论如何概括都是有失偏颇的。
上交所董秘资格培训有人参加过吗？考试怎么考？通过率怎样？有人分享经验吗？,  都参加过，最近上交所董秘资格开始报名，大家都很关心，统一回答下相关问题:  1.目前，可以取得董秘证书的机构有三家:上交所，深交所，股转系统。上交所主板的董秘需要考取上交所董秘证书；深交所主板、中小、创业板的董秘需要考取深交所董秘证书；新三板的董秘需要考取股转系统的证书。证代不要求有证书，新三板董秘多数目前没有持证书。  2.交易所取证流程:公司推荐，通过交易所官方网站报名，然后交易所进行三四天培训，然后考试取得证书。上交所通过率在80%左右，深交所在90%。取证核心在于是否能报上名，由于培训的少，市场上持证的人不多。  3.如何看待证书:证书会成为面试时候的加分项，但不是决定项，就像有注会不一定能成为上市公司财务总监，有司法不一定能成为律所合伙人，还要看董秘的工作经验，处理问题能力，掌握的资源，渠道等多方面，最后，建议大家可以积极考取证书，但不要迷恋证书，加强自身处理问题能力、工作经验、市场渠道资源才是王道。  最后，祝大家考试顺利。   
作为上海交通大学art center的一员，是一种怎样的体验？,@炮总 来谈谈感受呗 我室友是AC的，我不是，我的体验就是他认识的女生比我认识的男生还多，他一周和女生说话的句数可能比我一学期还多。 就是这样 当然他也是很厉害的
华东交通大学是在上海吗？,华东都在上海么？你百度下学校名单不就晓得啦么，这种问题问知乎，你不嫌麻烦么。  华东师范，理工，政法都在上海，上海交通在上海，至于你说的华东交通百度下吧
为什么中国科学技术大学被认为是和浙江大学、上海交通大学、复旦大学等同一档次的学校?,2017中国大学本科新生生源质量排名(仅限高考成绩，不含竞赛成分)，中科大怎么也不会垫底。至少是和浙大平起平坐的名校。  
知乎的话语权多掌握在清北复旦上交四所高校的学生手里吗？,不敢说掌握在谁手里，但是有关上海交大一校友的话题倒是经常一呼百应
上交所减持披露的业务性问题？,这规定是指减持每达到1%就披露而不是超1%只披露一次。题主问的是通过非公发行取得的这类解禁股，应当还是要遵守这项规定，每1%披露。        最稳妥是让这家上市公司董秘提前咨询一下交易所的对口监管员。
上海交通大学凯原法学院考研难吗？,申请夏令营吧，考研录取相对比较少
上海交通大学的兽医专硕好不好考呀，有没有学长学姐给点意见？,本回答基于网上查到的数据加个人的推测， 可能具有片面性质 ，想要报考上交大的筒子们还是可以报的，兼听则明，就酱，下面上数据。    一、录取数据：   1.2017年数据： 从 2017年全日制硕士研究生招生名额一览表   中可以查到，招生人数：  根据往年录取数据，预计17年统考招收名额还剩5人。  2.2016年数据：  上海交通大学2016年拟录取推荐免试研究生公示名单   ，兽医推免4人。  2016年上海交通大学农业与生物学院硕士研究生复试考结果公示 - 通知公告 - 上海交通大学农业与生物学院   中可以看到，兽医专业参加复试的3人，录取2人。 2016年兽医专业共招生6人。  3.2015年数据：  上海交通大学2015年拟录取推荐免试硕士研究生公示名单   ，兽医没有推免录取人数。  上海交通大学2015年硕士研究生拟录取名单_图文_百度文库   。 2015年兽医专业共招生6人。  4.2014年数据：  2014年我院接受硕士研究生调剂申请的通知 - 通知公告 - 上海交通大学农业与生物学院   ，2014年接受学院内调剂。  农业与生物学院2014年硕士研究生拟录取名单 - 通知公告 - 上海交通大学农业与生物学院    2014年共录取6人。  5.综合来看，基本每年招生（统招加推免）6人没变过。    二、考试科目：   1.上交大初试考试科目： 101思想政治理论 201英语一 343兽医基础（参考书：《兽医微生物学》（第五版），陆承平 主编，中国农业出版社，2013；《兽医免疫学》（第二版），崔治中 主编，中国农业出版社，2015）  885兽医学（参考书：《兽医传染病学》（第五版），陈溥言 主编，中国农业出版社，2013；《兽医病理学》，王雯慧 主编，科学出版社，2012 ）。  2.近几年兽医专业初试复试线 上海交通大学研究生院--招生管理   ： 政治：50  英语一：55 （ 听说过英语差的同学栽在这个线上 ） 专业课一85  专业课二85  总分：310     三、夏令营：    2017年上海交通大学农业与生物学院“优才夏令营”方案 - 通知公告 - 上海交通大学农业与生物学院    夏令营优惠政策： 我院研究生自主选拔招生的优惠政策分设A、B二档标准： 1、A档 （1） 申请者获得所在学校免试推荐直升研究生资格，根据本人志愿，可直接录取为硕生研究生、硕博贯通生或直博生； （2）申请者未获得所在学校免试推荐直升研究生资格，报考我院硕士研究生时，达到上海交通大学公布的相应学科门类复试基本分数线（含总分、单科分数）标准后，直接进入复试。 2、B档 （1）申请者获得所在学校免试推荐直升研究生资格，可直接获得参加我院免试推荐研究生复试资格，通过复试后，优先录取； （2）申请者未获得所在学校免试推荐直升研究生资格，报考我院硕士研究生时，总分达到学院公布的相应学科门类复试基本分数线，单科分数达到上海交通大学公布的相应学科门类复试基本分数线后，即可进入复试。    四、综合考虑：     既然问的是上交大的兽医专硕好不好考，那默认就是无法通过推免录取走统招，通过可查到的数据，初试分数在360左右（推免和报考人数少的年份分数330左右也是可以的，但是360是一个有竞争力的分数）比较有把握录取（大部分学校兽医专硕是考英语二，上交大考英语一增加了英语难度）。每年6个人的招生名额，如果想要选择上交大，就要注意关注当年推免人数，以此得到剩余的统招名额。      根据夏令营政策，参加夏令营并获得优惠政策对于最后报考录取是有帮助的，但是切记不要因为拿到夏令营优惠后就掉以轻心，也不用因为没有参加夏令营就不敢报考。 因为从录取数据也可以看到，有拿到夏令营优惠统考复试时因为分数不如没有参加夏令营的同学高而遗憾被刷的事情。    综上，上海交大的兽医专硕有难度，但是也值得一试。 
关于上交与复旦统计学考博的咨询？, 感谢邀请。  但是我不是统计学博士，本科读的是统计学。  在我的认知里，北师大的教授们普遍认为全国的数学系中复旦的数学系是仅次于北京大学，排名第二的，所以怎么说偏数学些的统计也要强一些。不过上交的统计也是很不错的。  建议选择看好的老师，像原来北师大的崔恒建老师就是国内稳健统计的大牛，但是现在跳去了首师大；而北大的何书元老师是国内概率统计的大牛，也跳去了首师大。  所以先联系老师是正经。  希望能够帮助到你。 
怎样找到一个上海交通大学的女朋友？交大女生喜欢怎么样的男生？,作为一直交大女生，最关注的是第一眼感觉吧！干净整洁的男孩子。然后就看个人对个人的性格。 至于我，我喜欢可以吐吐槽，斗斗嘴的男生。一直被班级的男生叫做智障女生，如果我喜欢的他对我表现那种开玩笑似的嫌弃表情，真的会很开心很好玩。喜欢那个人在玩游戏的时候会问一句你们要水吗，喜欢那个人在离开的时候会主动留下来收拾东西即使只是客气一下，喜欢那个人在游戏的时候放肆的大笑。 但是，刚刚看到一句话如果你在猜测男生是不是喜欢你的时候，一般对方都并不喜欢你。没有勇气去表白，没有勇气去暗示，希望未来可能会有另一个他在正确的时间出现。  总体感觉那些大大方方爽朗的男孩子真的很有魅力！
东南、华电、上交三校电气考研的情况、难度？,上交能拿到夏令营A档再去考研就不是不可能了（不过为啥这时候邀请我，今年考研不是考完了么）
上海交通大学闵行校区附近有什么超级好吃的东西？,作为一只基本吃遍了校门口+莘庄仲盛的、可以转三趟地铁跑几十公里就为吃个牛排的、专门跑去扬州（名义上是陪男票考托福实际上）就为了吃三丁包的吃货（哎呀定语好长），这题怎能不答！！ 就题主说的“超级好吃”，在我16年（其实并不是）的人生里吃到过的店也不超过五个吧，所以我还是来说说学校附近“挺好吃的”店吧，尽量挑别人没说过的吧。（以下推荐都是亲身体验过，仅代表个人口味～） 按距离排： 1.海京阁（刚刚有同学说他和他身边的同学都觉得不好吃…但是我去过两次四个人都觉得挺好吃的啊～这个见仁见智吧～） 出了拖鞋门右转的一家店。这家店挺老了，平时不太起眼，但据说好多毕业了好久的人还会专门跑过来，虽然定位是本帮菜，但是里面咖喱很多有点马来西亚菜的感觉。如果不喜欢吃咖喱里面也有很多其他好吃的啊！人稍多的时候去多点几个菜蛮好的～ 2.川娃子刘氏龙虾羊蝎子火锅   其实最开始作为一个没吃过小龙虾的东北人，并没有觉得口味有多么惊艳，只是觉得哇蛮好吃的啊！BUT！当我去了一家评价很好的每天很多人排队的小龙虾店之后，发现里面真是又贵服务态度又差味道还不如川娃子的时候才发现啊原来我们学校门口的小龙虾这么好吃啊(☆_☆)。口味的话我觉得十三香很不错的，不过男票觉得不够辣（摊手），蒸虾个头大也不错的～ 3.石二锅   这个偶然发现的小火锅真是良心啊！在永德生活广场，环境挺不错的干干净净的。这家是王品旗下的火锅店，就是那个做牛排的350一个套餐那个。里面可以单点也可以选套餐，套餐好划算49一个吃的肚皮都要破了(￣▽￣)。记得最开始去的时候有一种澳洲谷伺牛排挺好吃的，超大片的肉好像在说“我是现切的不是碎肉做的哦ˊ_&gt;ˋ”，现在没了，不过其他肉也还好。作为49块一个人的小火锅我真心觉得这家很良心了，反正我以后再不想去呷哺了（以前也没去过几回）。 4.梦雅（花园酒家） 这个店老闵行有两家，我去过的是在新东方旁边的那个，分不清是哪个，不过味道应该都差不多。发现这家是发现这家店在附近餐厅按口味两家店一个排第一一个排第二（鼓掌，啪啪）。这家店是本帮菜，经常去，里面东西都快吃遍了，真心味道不错。不过大部分菜都是甜的，菜量也挺足的，很多菜两个人吃真是吃不完啊啊啊。如果第一次去，答应我点熏鱼好么？第一次吃到的时候惊为天鱼啊！里面还有茶叶虾啊，腌的小蟹蟹啊都挺好吃的，酸汤肥牛就别点了吧，还不如原来的蜀香村做的呢。  就先说这些吧，上面两张图在大众点评搜的，侵删！下面用几张我拍的好吃的结尾吧（并不在学校附近）               拍的的确不太好不过都光顾着吃了哪有心思拍照啊！    最后的最后！点个赞不会怀孕哒（≧∇≦）
在上海交通大学徐汇校区就读是怎样一番体验？,关键是徐汇校区现在已经很少有学生正规教学了。绝大部分在闵行。
在上海交通大学就读是怎样一番体验？,来之前以为是一所著名大学 来了之后他们告诉我是一所技校 现在，我感觉是魔法学院
上交电院和人大统计去哪个好点呢？,怎么说呢，提前欢迎学妹...？ 工科试点班分流时得比较靠前才能进电院，而且电院里的专业...还是有一些不怎么样的..最好能进到cs，其次软院、信工、信安(排名在我这里不分先后)等都还不错. 刚进交大时可能会比较松懈，但是期中的时候就会分流了，望把握住机会. 另外确实还有一些需要注意的问题，不过过两天应该会有助飞计划的同学联系你的，到时候他们跟你聊就好. 电院方面的事情可以问我，虽然我也帮不上什么忙(●—●).
上海交通大学有哪些值得旁听的选修课？,谢邀。就我听说过的课来说。  ★★★★✩✰⁂三大神课镇楼⁂✰✩★★★★  上海交大几百个教授一致通过的   「性与健康」 ，是一门严肃的通识课程。 据上过该课的女生说，能够教你正确的拥抱姿势之类的。比微信公众号上的「情（yi）感（yin）导师」 要强很多。当然，你所想象的江户██手是没有的。唯一的问题是永远满员，而且被发现来旁听会很尴尬。据同学说：   推荐指数：★★★★✩   「交响音乐鉴赏」 ，修养生息的好课。如果想在失恋的痛苦中走出来，为什么不听听歌呢。 课程内容是三分歌剧七分交响乐。每天上课以后，先有一半时间是听，剩下的老师讲解作品的内涵、特点等等。如果你对音乐不感兴趣可以第二节课溜走。 总是点名。考试内容是所课程上放的600页 PPT 内容，以及一小部分 PPT 中没有的。别惊慌，考试真·开卷，不但可以带 PPT 还可以带电脑。考试最后一个环节是从15个音乐片段中随便抽取几个，听完写出作品名字和作者。这考试多有趣呀。 推荐指数：★★★★✩   「葡萄与葡萄酒文化」 ，葡萄美酒夜光杯，从此君王不早朝。  注意：本课不能旁听。本课不能旁听。  不能旁听的理由是课程要收材料费，而材料当然是有限额的，没选好课给钱也买不到 (:з」∠)_ 内容是介绍葡萄的种类、习性、产地；葡萄酒的分类、品尝方法。既然收了材料费，当然也有葡萄酒喝。以后和妹子吃西餐的时候就会选酒了，也能用正确的方法来喝，还有充足的谈资，是很棒的技能。   (图文无关)  推荐指数：✩✩✩✩✩ （因为根本不能旁听……）  ★★★★✩✰⁂历史政治类⁂✰✩★★★★  一堂好课，不仅要看师生的努力，也要考虑历史的行程。   「历史视野下的美国文化  」 ，介绍历史视野下的美国文化。 每节课有导入话题， 会引用一些经典作品什么等等。一个国家的发展呢，固然要靠自身的努力，也要考虑历史的行程。一堆旧大陆的穷老百姓，怎么就跑到美洲当应许之民了呢？英国女王就发话了，「内阁已经决定了，就由你们来当殖民者」。当时他们就念了两句诗：  We hold these truths to be self-evident， that all men are created equal， that they are endowed by their Creator with certain unalienable Rights， that among these are Life， Liberty and the pursuit of Happiness.  考试是和助教姐姐聊天，也可以做 presentation. 推荐指数：★★★✩✩  「 政府治理转型与公民社会」 ，直击大新闻。 老师人很不错，没有考试。内容主要是社会热点的分析。会讲很多讲很多国内外政策和社会事件，虽然老师没有香港记者跑得快。如果对政治很感兴趣，这门课能让你 excited.  选的人不多，旁听友好型课程。 推荐指数：★★★★✩  ★★★★✩✰⁂诗歌文学类⁂✰✩★★★★  当时老师就念了两句诗   「中国现代诗歌导读」 ，介绍中国近代从胡适黄蝴蝶直到现代废话体的各种诗歌尝试与思潮。 特点是老师很美很认真，脉络大概是专业课的简化版。在课程间隙可以找老师谈笑风生，课后有自己的作品可以给老师发邮件点评。有小组讨论，有勇气的话可以找自己喜欢的女孩子组队。由于多次和老师谈笑风生讨论诗歌的意义与歧义带来的美感以及数篇邮件发过去的作品，给了我很满意的分数。不过反正是旁听的话，就无所谓了。 推荐指数：★★★★★   「英美名诗赏析」 ，介绍著名英语诗歌。 如果作为工科生，很有机会认识文科学院的妹子。有一本自编教材，里面有各种不明觉厉看似英语又读不出来的词，thy thou tee 三重存在凝视着你。当然不明觉厉不全是坏事，在妹子面前很拿得出手的。某次和一个女孩子逛街时候看到「Innisfree」的店的时候，不经意说「这个品牌其实名字来源于一个同名的湖，爱尔兰诗人叶慈有一首很美的诗是描写它的」，女孩子很好奇。 仅有的问题是每次上课要默写上次留下的背诵作业，期末的时候还要上台有感情地背诵。这直接导致我在本课没拿到很好的分数。旁听的话，大概可以帮老师收作业吧 (´∀｀) 推荐指数：★★★✩✩   Lake of Innisfree    「20世纪中国文学名著欣赏  」 ，外面还隐隐滚着雷声，雨声浠沥可闻。 每堂课一般会选一位作家。 第一节课讲他的生平、作品，以及老师对他的评价。他还会推荐其中的一些作品让同学读。 第二节课会带大家欣赏作品里面的片段。  总之听课很惬意，而且干货比较多。 推荐指数：★★★✩✩   ★★★★✩✰⁂法律类⁂✰✩★★★★  要按照交大基本法，按照选课法，去产生    「刑法与生活」 ，等于你也有责任的 在有趣的前提下还能满足科普需求。了解不多，同学推荐的。 推荐指数：★★✩✩✩   「法律与社会」 ， 讲了不少法律的源流和历史方面的内容，包括最早的法律形式，法律的演化，各国实践的不同之类的内容，英美法系和大陆法系的区别，等等。老师很帅，内容有干货。 考试开卷，写一篇小议论文，十分良心。 推荐指数：★★★✩✩  ★★★★✩✰⁂广告⁂✰✩★★★★ 有推荐课程可以评论，有推荐妹子可以私信。出售大量优质帅哥，专一体贴温柔可人。
上海交通大学高级金融学院是什么性质的学院？, 折叠了个评论，不喜欢别引战。  再次重申，高金在我心中也是很好的学院，当年也一度参与选拔。当然，在五道口录取之后我就放弃高金了。  原因是选择的灵活性。进道口北京上海都可以选，进高金差不多就上海了。毕竟清华的牌子和上交的牌子还是不一样的。  孰好孰坏争来争去没啥意思，写这个也只是有些东西并不像宣传那样讲的那么。  就好像HR会骗职场新人。申请一路过来看到问题感慨一二，望做点好事，帮助下他人。  看官看了有帮助那就最好了。如果不喜欢，走开。我一没鄙视，二没扭曲，三没胡编乱造。     老问题还有人在看，所以补充一些东西在尾部。  使用匿名怒答。怕引战。  免责声明，仅个人信息来源判断，与看官固有不符合请不要论战。  利益关系，五道口在读。信息来源，业界与学术界。  目前国内这一类院校，大致分为三种教学模式：硕士、博士以及高管教育。  逐一分析。  博士项目，金融类目前首推还是光华。ccer学术更领先，不过方向并不纯偏金融。不过就趋势来看，更看好道口。金融top3发表数量，清华已经是亚洲第一了（15年，包括经管，但主要是道口发的，因为经管老师发国外金融刊物很少）。海外优秀师资，请注意，是优秀师资，就是在美国已经功成名就，终身教职，学术成果斐然的。五道口引进数量绝对是第一的。在这一方面，实在不看好高金。所谓海外师资都是挂职，专业课教学要倚靠安泰。（安泰的学生质量和教师质量，通过课程可会影响高金了。）而且，高金的副院长朱宁老师和客座教授张晓燕老师，刚刚跳槽五道口做全职。哪里更好可见一斑。至于光华，其教师体系和定位，较道口和高金有一点差异，我也不妄加评论。  不要提什么年轻教师如何如何。哪里的海归不都是个名校嘛。关键是海归青年教师能否在国内环境中发展起来。海归年轻教师国内的定位很尴尬。一方面不熟悉如何在国内发文，一方面在国际发文缺乏有效的合作机制。因此从师资来看，五道口略胜。这也是长期看好，说直白点也是中国目前第一的金融学院了。  硕士项目，同样以光华、五道口和高金作为对比。其实三者的优劣差异不大。毕竟关键是看个人的实习和努力。学院提供的资源上，高金为志在上海发展的同学提供了很好的地理优势。光华是老牌强势项目。五道口的话，倚靠业界资源充足。唯一的缺点是扩招数量太大，数量精炼上，光华和高金有优势。私以为未来毕业生水平没办法保证统一。当然，都是很优秀的。而且因为业界资源的原因，职场发展也很有利。在这边补充一个细节，身边的同学清北本科的，很多提到原来录了高金不去了。  高管教育项目，mba、emba等。这一点五道口肯定是第一了。不用说报考道口高管的质量了，就gfd、科学企业家等新项目，也不是一般学校能办的了。当然，作为学生，只能说这对我们上课很难受。因为高管教育经常会占用教室，五道口的教室很难有自习的空间。不过倒是提供了很多勾搭大佬的机会。  至于国家会计学院的扩招，我不太了解。但有个原因还是真实的。道口的地方太小了，周围也没法扩建。国家金融研究院搬离之后，给我们博士的资源才刚刚空出来够。而现在所有院校都在办mf的基础上，早已不是单单质量的竞争了。还要拼数量。基数大了，覆盖面从高端到中端都覆盖了，在体系内才会有话语权。不然只出几个监管领导，总有政治学院的感觉。  学院的好坏，是在好的范畴内评价的。提这样问题的，大多是考虑推免选择的。在这种前提下，尽量选择去更好的学院。  在此，必须说五道口并入清华后学术水平的确提高了很多。不仅仅是博士，硕士的学术要求也提高了很多。原因至少有三点：领导普及完博士学位后，能够在央行研究生部提高在职博士的学术标准了；清华配备行政人员的专业性，以及包括经管前副院长廖理和几位海归副院长的学术与建设远见；资源上有钱，有人，有名声，开学典礼是捐赠现场，清华校长想来？对不起，敝院院长级别比敝校校长高，别来了，座次安排很麻烦的。  最后，补充一些小信息  千万不要看官方宣传说在什么评级我们是第一了之类的话。就我们当时来讲，光华MF说我们是全球第七，高金说另一个榜第二十几，都是亚洲地区第一名。这种媒体的排名，意义不大。完全可参考新财富评选。院校特色和优劣势都各有不同，不要简单地通过排名进行选择。至于我们五道口，说白了已经看开排名了。你们排你们的去吧，我们就在这牛逼就好了。（这话是我一个道口的说的，其他院校也很好，请仔细根据自己今后的职业发展和个人条件进行选择）  在调研过程中，曾向一位国际银行中国区高管询问是否合适去高金。她是上海本科研究生毕业。给我的建议是，先选择学校的牌子。清北复交，前头的仍然是清北。她还提到，没怎么听过高金。也有很多人说高金宣传能力全国第一。就我报名的感觉，它是唯一一所会给预报名的学生发邮件提醒提交的材料的学院。我当时报了五道口、ccer、光华、高金和清华经管。上了五道口之后就全拒了。就国内的氛围来看，越牛逼的院校，越不鸟报名学生，而自己院的学生就越在乎。在这一点上，我觉得ccer和五道口是做的最好的。经管老师流失严重，光华最近发展很奇怪，高金连上课都要外包。信息大致如下，所以希望对题主和之后阅读的人有所帮助。 
为什么上海交通大学的GRE考场这么火爆？,原因只有一个，人多地方小场次还少。 所谓拿交大跟上中考场比较差不多就像是拿上海和北京的考点比较，北京有那么多高校可以当考场，上海翻来覆去也就那么几个。而且场次也少，但是考试的人数又不比北京少，所以供不应求。 交大尤甚，上中都可以开好几个教室当考场，交大就只有一个考场。而且本校学生肯定会优先想在本校考，我一直怀疑交大的考场是不是都是被我们学校的学生抢光的，因为除了我们（或许加上华师）还有谁会想跑到闵大荒来考试= = 上海的考场基本没有环境特别差的。你去各大网站BBS上搜一下上海考场评价，每个考场都有人说特别好也有人说特别差。所以其实都差不太多。
中国农业大学，浙江大学，上海交通大学这三个的园艺研究生有多难考？,作为园艺考研狗，对这几个学校稍有了解，中农作为农科专业院校实力肯定不错，当然难考不难考你懂的，浙大园艺蔬菜最好，考试330以上，每年收30人左右，交大和另一个学姐学长也有考的，还挺多，没打算报所以不了解。咳。。发现我写的都是废话呢，嘘~~ --------------------------22222----------------- 今年我班一学霸考了399上了浙大。 看了一下我们院考研的学校都太好了，我的小心脏受不了了，我要哭会去。
上海海事大学交通工程研究生（航运方向）毕业后想从事航运金融职业，请问怎么做准备？,航运金融包含很多，首先要明确你具体想做啥，船舶融资，保险？衍生品？ 船舶融资的话买一本苏宁的《船舶融资》以及杨良宜的《船舶融资与抵押》作为入门先看看 再有就是最主要的客户资源，想办法通过工作生活认识一些船东。 找个好的平台 再了解一下尽职调查的流程，细节 你就可以上手了
想在国内发展应该选择浙大，复旦，上交？浙大竺院呢？,of course复旦或者上交，杭州没法和上海比，另外哪怕是浙大竺院，基本也是没考上复旦上交的，同学层次都不一样
如何评价上海交通大学的研究生补助？,看了那些问题下的回复 只能表示自己要知足…
那个第一为什么会输给贺舒婷？在一个县级高中师资一般同学一般的不甘堕落的高二文科女如何考上上交？,谢邀。 刚刚专门去了解了下背景，才知道是由一位考上北大的文科生贺舒婷写的文章《你凭什么上北大》引起的问题。   看题主的描述，应该是一位在县级中学上高二的文科女生，目标大学是上交，平时应该比较勤奋，所以对贺舒婷后来居上成绩超过文章中提到的班上的原来成绩第一的女生有一定代入感，由此产生了对自己勤奋的怀疑。并且希望大家能对高考提供一些建议。  =========分割线==========  1. 关于贺舒婷的文章。   文章中提到贺舒婷最后成绩超过班上那个埋头苦读的曾经第一名，并且考上北大法学院，所以才有了成功后对高中的回忆。  其实，高考除了个人的勤奋之外，的的确确还有其他许多因素。比如方法、心态、地域、从小的教育背景等等等等。但不可否认的是，勤奋作为一个可控因素，大多数时候能够帮助提高高考的分数，从应试教育的角度讲，文章中第一名女孩和许许多多为高考苦读的同学的勤奋是有意义和价值的。即使是对考上北大的贺舒婷来说，文章中也提到付出的努力。  2. 关于高考和志愿。   题主一个县级中学高二的学生，能来知乎提问，应该说在信息的收集上是走在大多说同学之前的，上面也有很多答主建议复旦、南大等等。  你可以先认真思考下自己喜欢的专业，再查一查这个专业在国内大学排名比较靠前的学校，再结合自己实际考虑下大学，毕竟还有一年半，很多事都可以有变化，当然上交是极好的学校。   作为一个经历过高考的普通家庭孩子，我是能够理解题主的不甘和抱负的。但是高考考得不仅仅是个人的努力，还有心态等许多因素。高考也只是人生比较重要的一步，不要懈怠但也无需过于焦虑。同时这条路上还有许多美好的东西也不要忽视，比如亲情、友情。我不是在讲情怀，而是作为一个经历过高考的学长的一点小小建议。   知乎是一个开放的交流平台，能够提供大量的信息，但同时也可能过早地让题主体会到这个社会的浮躁和焦虑，希望你能正确地看待这些信息，把更多精力投入学习本身之中。  祝天天开心。
香港中文大学深圳和上交应该怎么选？, 利益相关：我是cuhksz的学生，建议您选上交。  1. 很多咨询、金融行业的大佬企业（比如埃森哲，比如麦肯锡）的target school在大陆只有四所： 清北复交 。而cuhksz跟香港那边完全是 两个学校 ，根本不要指望别人把你也当成target school。  2. 申请国外研究生的时候，在招生官眼中，中国大陆只有四所顶尖学校：清北复交；香港是三所：HKU， CUHK， HKUST。对港中深而言，别人都知道你是cuhksz而不是cuhk，顶多把你当成普通985来看待。  3. 就业的时候，选择学校那一栏分成“香港中文大学”和“香港中文大学深圳”。别人都知道得很清楚了，sz是sz，cuhk是cuhk。  4. 就算从分数线上来说，cuhksz也 远不如 上海交大。不要为了区区9w5的奖学金，去赌你孩子的未来。  希望还来得及... 
上交所个股期权的推出对券商有什么影响？,一个是经纪业务条线，自融资融券以来又一个可以向个人投资者忽悠的产品；对于券商自营的话，以前只能赌方向，现在可以赌volatility了，能够做的动作多了。
