你怎么看辽宁大学今年法律硕士突然就爆发了，报考就1400多人？,说明越来越强了 事实也是这样的 
汉硕考研是选211的辽宁大学还是大连外国语？又或是有什么其他的建议？, 我不赞同说汉硕研究生是白念的，汉语言一直是万金油，特别是政府机构需要汉硕人才的不要太多哦..  这方面不多做评价了，题主如果想好了18考研，方向是汉硕，就不要再动了，现在一轮复习也就剩最后一个月，马上要结束了，都开始进入二轮复习了，再不跟上脚步，你后期会更浮躁更慌乱。    新东方在线有一些相关的排名信息，供你参考：   2017汉硕考研：江苏6所院校实力排名及分析_考研_新东方在线     2016考研须知：汉硕院校综合实力排名Top15_考研_新东方在线     2018考研择校：汉语国际教育硕士学校排名_考研_新东方在线       给你推荐一下院校库， 如果你有什么想对比的院校、专业也可以加入对比，重点关注竞争力一栏。  【辽宁大学和大连外国语大学哪个好】辽宁大学和大连外国语大学区别-新东方在线院校库      另外不知道你是考中国语言文学，还是汉语国际，  我们有 专业课的课程是汉语国际硕士 ，推荐给你，可以进去看看大纲做一个参考：  2018考研汉语国际教育硕士长线全程班_考研培训课程-新东方在线网络课堂    祝同学考研顺利~ 
在辽宁科技大学就读是怎样一种体验？,只是感觉！学校的官僚主义太根深蒂固，做事情好面子还很死板。学校可以，老师很认真(除了研究型的教师)。考试方面应该说是越来越难考（几乎抄不到），加强了学风建设（因为某人给校长写了一封信，个人感觉这么做很好）。
辽宁大学的广告学专业怎么样？,谢邀，本人辽大广告学2016届毕业生  关于辽大怎么样，不再说，在我其他几个相关回答里，多多少少也体现出来了 ，关键是题主你想知道什么，可以给个框架或者范围，也可以提问追问，你有逻辑的问， 我也有逻辑的答，工作忙不再个性化展开，如果你想继续了解的话，我也会继续回答下去，希望可以帮到你。  以上
在辽宁石油化工大学上汉语国际教育有没有可能考上985大学的研究生？, 如果非得回答一个明确答案的话，那肯定是“有可能”。跨校考研是否成功我觉得和本科院校的关系不是特别大，特别是你说的这种地方院校考名校类型的。主要看自己的实力，推荐看看  www.jiaohanyu.com    里的汉硕考研分享。 
去辽宁大学还是选择南京这个地域但学校不适合我的大学？现在十分纠结？,南京
2016年辽宁高考考生，理工类，考了533分，想学医学，口腔专业最理想了，请问有什么大学可以参考？,题主对医学有如此热情是好事，不过你妈为什么不支持？建议多沟通，听听你妈的理由，自己也多思考一下。尽量抛开偏见，再来看你妈的理由在你看来是否也成立，是不是有解。 另外自己多想想是对医学哪一方面感兴趣，这是决定要不要退而求其次选择口腔专业的关键。口腔专业最后的职业路线对应的只有口腔科一个科室，口腔医生的工作状态可能跟你对医学的想象并不一样。当然口腔也有更细的分科，不过就比不上临床医学那样广泛的选择面。 除了家里有同行业长辈的之外，很多牙科学生的在入学之前对自己将要从事的行业了解并不多，这样不太好，职业选择完全建立在对某一行业的幻想上。最好找机会去大医院的口腔科或者口腔专科医院看看，找前辈聊聊。多了解一下从业者的职业成长路线，有机会的话能了解到收入来源和生活状态更好。 以上这些都要你自己去了解去思考，我们这些答题者帮不了你。如果这些都想好了，最后还是决定去念口腔专业，怎么根据你的分数选学校才是你该考虑的，看往年相应专业招生分数与一本线或者二本线的差值即可，考分差不多的学校实力上不会有太大差距。
辽宁大学的法学专业好不好？,辽大的法学，在整个东北都挺有名的，留在沈阳的话，基本上政法界很多的都是师兄师姐们。
辽宁师范大学AIA国际课程好吗？学生能学到什么？, 辽宁师范大学AIA国际课程主要培养了学生的英语阅读能力，而且也锻炼了英语的口语能力，等到毕业可以获得的全世界认识的国际会计师资格证书，不但具有会计师资格，而还具有审计师资格，这样的一证双师的功能，可不是国内的注册会计师可以比的。   
辽宁大学材料化学专业如何转专业到金融学或是经济，？,大一拼命学习。参加活动加分。。分越高越好，起码专业前五。 ...............或者有关系
如果让你给辽宁大学的专业打分？,辽大金融大四学生～辽大金融还是很吃香的 应届本科生毕业后到银行工作都不成问题 但是像北上广还是需要研究生以上 要么出国要么研究生考到国内金融较出色的大学  辽大经济类的专业都很不错 
辽宁工业大学怎么转专业？大一 ?,需要学习成绩很好 至少也要本专业前十
辽宁工业技术大学和河南科技大学哪个好？, 河南考生建议出去，可以见见外面不同生活环境，并不是说那个学校更好。毕竟河科大是我母校，哈哈哈 
辽宁科技大学的文科类专业，就金融，法学怎么样？,专业在校内没优势，应该有更好的选择。
辽宁可以专接本的一本大学？,有没有知道？
辽宁地方美术统考考了260（300满） 第一个校考东北师范大学却连美术线都没过 惊悚 求过来人指点。?,这很正常，萝卜青菜各有所爱，改卷老师喜好不同，美术改卷说不准的，推荐看看浙理工校考情况治愈一下受伤的心灵 
东北师范大学专硕与辽宁师范大学学硕应该选择哪个？, 只考虑知名度的话肯定是东师啦，但是考虑之后发展的话，辽师也不失为一个合适的选择，毕竟导师的资源还是很有帮助的。 
西藏大学在辽宁地区招生吗？,录的……  而且真的不懂你真的要来西藏读大学？给你的建议是报考当地的大学会更好……起码任何条件来对比，都是你当地的条件更好。不过喜欢西藏这地方也值得一报，毕竟做过才知道值不值。  真是应了那句话墙里的想出去，墙外的想进来。我们的老师说的是你们不努力只能考西藏大学，青海大学……哈哈哈哈，所以拼了命的考出来看看外边的世界
辽宁师范大学AIA国际课程对比其他中外合作办学学校有什么优势？, 辽宁师范大学AIA国际课程以国际职业课程体系衔接海外高等学历教育的优秀模式，帮助学生同步获得海外本硕学历和国际职业资格，同时，辽宁师范大学AIA国际课程广泛涵盖了财会、金融、人力资源、营销、管理各个现代企业运营中不可缺少的知识，以及相关案例分析，全面提升学生学术能力和职业竞争能力。 
东北财经税务硕士和辽宁大学会计学硕士哪个更值得读？,我觉得应该是大连理工、东北大学、大连海事、中国医大、东北财经、辽宁大学、沈阳药科、沈阳工大、沈阳农大、辽宁工程技术、沈阳航空航天、沈阳建筑，后面略掉
辽宁师范大学学科教育思政是学硕还是专硕？,谢邀  但是这个我真的不太了解    辽师的教育方向的专业一直是很抢手的专业  我认识一个考学前的同学  她考的是英语一  所以她的专业是学硕  我记得辽师研究生网里  招生信息上有专业信息的  你可以去查查看  http://  master.lnnu.edu.cn/list  .php?fid=42        或者去辽师教育学院的官网查一下（sorry我不知道网址）
浙江的女生到辽宁上大学合适吗？急求，27号要提交志愿了，谢谢！？,高考志愿有几个决定因素，地方，学校，专业。个人觉得这几个要素的影响力递减。地方会影响语言择偶交友和思维方式，学校影响就业思维水准回忆实习，专业决定具体你能在相关专业技能上走多远。毕业很多年后，具体知识都会更新，但思维方式的多元化会增强一个人的视野。就是因为是南方人，所以更建议去不同的北方试试看。以上。
有没有参加过辽宁省政府大学生就业安置计划的，到底有没有用呢？,报名了，准备在此写笔记了！ ++++捡了个大便宜，能学到东西。 ……………………………………………… 9-18 验明正身环节  ，  听说每个月开一个班，每次学校都不一样，赶上哪里看命！  ********************************************* 6-25：真心不知道写什么，可以肯定的是，这不是个坑。能学到东西。有时间的话报名就是捡了个大便宜，老师同学都不错。老师也都是大学里专业的老师，教学资源也是学校里正规的教学资源。 我学了ps，AE，AI，CDr，Pr，3dmax，基础都讲得很明白。 *************************************************************** 9-12 对于不差钱的，不建议报名，毕竟4个月时间的价值不菲，教学针对性不如市面上的培训班。 我当初是怎么也拿不出一两万的培训费去学习的。所以这个就成了我的最佳选择，现在看来基本达到了我的预期。 个人感觉，就像是给低保户的一些经济补助，真穷人当他是救命稻草，多数人觉得捡便宜不捡白不捡（少数人会碍于面子穷也不会捡）。还有些人根本不在乎这事儿存不存在。
辽宁大学的自习室现在还开吗？,东阶梯，西阶梯也可以的
辽宁师范大学2+2对于英语小分有没有要求？比如说高考英语分要100以上这种？,这个英语就没必要列入高考有需要的自己学就可以了
为何在EMS无法查到辽宁大学的录取通知?,当年，我收到辽大录取通知书的时候（我那时候是一本A段应该很早），二本的通知书都快发完了。
重庆邮电大学与辽宁大学相比那个更有优势?,之前随便一个回答，现在看来多少有点不公正，戾气太重。这里给辽大道歉一个。 重新补充一下。 利益相关，重邮学子，普通码农一枚。 辽宁大学不太了解，我这里说一下重邮的情况。 起初入学的时候也是各种骂，觉着这也不好，那也不好，等过了一两年就慢慢发现他的魅力，且不说景色秀丽，菜色可口这些软实力。我邮的法学生物学很坑，这里不做讨论，就业不如理工科，很多文科专业就业的时候也是去了通信和互联网行业。 重邮的教学特点是给学生提供大量的机会，课业不是特别繁重，有的学期一天只有四节小课，40分钟一节课，而且逃课什么的也比较容易。 学校提供了大量的科研工作室，优秀一些的大一大二就可以参与到真实的项目里，次一点的大三的时候去找个实验室去投奔。另外学校有红岩网校，蓝山工作室等学生组织，在这些地方，有大量的机会进行程序实践，锻炼自己的就业硬实力。另外由于毕业的学长给力，各个实验室和工作室一般都有机会在大三的时候拿到bat等公司的内推实习机会。 另外就业时，我邮受到互联网公司和通信设备制造商的青睐，腾讯，阿里，京东等都会来我校招聘，另外华为中兴和移动联通电信每年都会大量招人。 实在不行只能去华为了，这句话反映了我邮的就业状况。(这几年华为太牛逼，虽然之前最优秀的毕业生去了bat，最后看收入，还是华为收入高)。  说说个人的收获，认识了老婆大人——————————原答案分割线 黑我邮电大学的吗，西南地区，我学校相当于北方的北邮
2017辽宁高考生529分 能上河北大学吗？,你查河北大学往年录取批次了么? 河北大学……不可能的。 换个实际点的考虑吧。
2016年上海科技大学对辽宁考生录取人数及分数线?,辽宁省教育考试院会出一本书 关于在辽宁招生大学分专业录取分数线 如果目前没有 可以查询百度 谢邀。
小妹是非重点大学本科金融大二的学生，因为出生在东北 想着要考研到辽宁，正在纠结是考辽宁大学的金融专硕？,同纠结，同大二…
辽宁师范大学新生零基础学日语该如何准备？想出国和考研有什么要求？, 日本读研和其他的国家都不太一样，学校申请不光光看学生的语言成绩 也会根据不同的专业而有不一样的要求。不知道楼主这边具体是什么专业的 。如果是文科专业 考虑毕业后去日本的帝国的大学话 建议楼主一定要保持好在校的平均成绩 这个在申请的时候可以说是很重要的哦。然后就是日语和英语的学习  文科申请 日语一定要达到N1 的水平 文学方向和商科几乎都是需要有N1的分数的 如果楼主是理工科的话  在保持均分和日语的同时建议楼主好好学英语哦 如果是刚刚开始 起步学日语的话 并不推荐自学 基础的东西还是要扎实比较好。报班学习或者是看看学校能不能有二外可以选择听听。如果喜欢自由一点的学习方式的话 可以考虑下网络学习课程 也是非常不错的哦
想考辽宁大学戏剧与影视学的研究生？,在报名前还是弃考了，我自己最了解自己的情况，别人怎么鼓励灌鸡汤也还是没有效果，挣扎了两个月还是放弃了。 备考的时候在学姐那里买了所有的真题，笔记，还有她买的北大的传播学笔记，教材，传播学网课资源，英语一黄皮书+网课资源，肖秀荣精讲精练等等备考资源。 因为这个学校这个专业资源网上找起来很费劲，不想把手里的这些东西变成废纸。 有意向的同学可以私信我。
辽宁理科，600分左右，报考哪个大学比较好？最好是985。女生，如果学工科比较适合什么呢？,谢邀，首先不知楼主所说的分数能高出辽宁省一本线多少分，对于女生来说，如果想学工科，找工作推荐电气信息类，读博推荐化工。如果楼主家里经济条件可以，推荐宁波诺丁汉大学，关于这所学校的故事上网查就是了。
辽宁大学有什么专业特别好吗?,法学曾经牛逼，，曾经，现在，泯然众人矣
本人辽宁理科考生，分数615，省排名5485，想在湖南大学和南京理工大学中选一个，哪个更好一点？,南理工考研也没被歧视到哪儿去吧，至少我从南理工考到某蛤交时，老师们好像都知道你们学校xx专业还不错
求辽宁大学金融学大一课程。。。。？,  如图，找朋友截的图
