南京航空航天大学高水平艺术团文化课考试难吗？,过两天南航见
在北京航空航天大学的化学学院读书是一种怎样的体验？, 答题资格确认：本人10级化学与环境学院本科，14年化学与环境学院硕士。本校保研，一共七年。 化学学院（原化学与环境学院）08年建院，到现在九年，最后七年我都在，比很多老师（比如这两年回来的青千）待得时间还长 。  这两天终于确定能凑合毕业了，有时间写写这个，补充点。我在的10级应用化学班本科20人，留在本校读研的有一半，一个直博，九个硕士。直博的同学是我们级最聪明最努力的，全方面碾压我们普通同学的，现在科研做的挺不错的。其他人呢，四个硕士被延期（我就是其中一个），四个硕士转了博（变相延期），正常毕业的概率太小了。 14级硕士一共四十人左右，能准时毕业不被延期的只有九个人，二十四个人被延期半年 ，这二十四个人里又 有七个人 因为没能按时发表sci， 在延期半年的基础上被要求缓授学位。   说实话，10年来北航本来是想学计算机的，被调剂到化学系当时直接就想退学了，家里已经帮我联系好了复读的学校。其实这种事每年都有，我参加过化学系本科生四年的迎新，每年都会有干脆不来报道的学生。但是由于我自己不够坚决，在辅导员的劝说下留了下来，打算观望一下，但是大一一年过得很不开心。我高中同学来北航的全都去了电子系、计算机系等一些大院系，而化学学院成立刚刚两年，没什么历史文化，吹牛逼都吹不响，完全没有什么归属感。后来了解到 化学学院不开放转系 ，也就踏实留了下来。  既然定下来了，大二的时候心态积极了一点，积极参加学院的一些活动，小学院有小学院的好处，就是内部办事很方便，毕竟都是认识的人。在一个新学院干工作，多少有点开拓者的感觉。辅导员给力，加上暂时没考虑就业压力，生活环境是令人愉快的。本科四年化学学院能拿的荣誉，能尝试的事情，我基本都做了，包括去实验室搬砖，拿各种奖学金，参加大学生创新计划，在学生会里某个一官半职，给低年级同学当助教，当志愿者之类的，毕业那一年还得到了化学系最高荣誉称号，“化环十杰”。基本上是一些没有虚度本科时光的人都做过的事情。  要是那时候毕业离开，化学学院留给我的应该全都是最美好的回忆。当然这也建立在一个前提上，那就是本科同学从生源素质上讲还是十分优秀的，情商智商以及办事能力都是很不错的，同时 学校对于本科生没什么人身约束 ，大家都比较自由。 不从事化学行业，大家各显神通，也都有着还不错的发展，从事化学行业也有随时退出的底气。 所以总体上嘛，不会对以后的生活有太大影响，和他们相处也比较开心。  本科生就业方面，化学企业其实是没有什么好选择的。但是本科生么，不限专业的选择还是有的，比如一些公司的销售服务岗，比如四大会计师事务所，比如教育机构的老师等等等等。毕竟本科生的可塑性还是很强的。或者考个计算机/经管的硕士，彻底转行或者拿着所谓的“复合背景”去券商忽悠，也是很不错的。  最不应该的就是贪图省事，选择了保研 继续留在化学与环境学院读硕士 ，这 是我人生最大的错误 没有之一。  我们应该认识到几个基本问题：  第一， 硕士不是一个做学术的入门学位，大部分硕士还是要找工作的，而且对于化学专业，绝大部分硕士找不到对口的好工作。   第二， 导师工作的评价标准不是学生工作找得好不好，而是发了多少文章，发文章的质量如何。   第三， 找工作和做实验是冲突的，你实习越多越容易找到好的工作，越不容易发好的文章。但好的文章对于硕士找工作，基本上没有任何作用。   这与本科是完全不同的，对于本科生来说，学院的考核标准是就业率，所以本科生和学院完全是一个战壕里的战友。对于硕士生来说，你的学制只有两年半，即使是在 普遍延期到三年 的化学与环境学院，对于 发一篇好文章，时间也不一定够 。所以 只要你读了化学硕士，你的利益与导师的利益发生冲突几乎是一种必然。 在国内这种导师和学生具有人身从属和人身依附的关系之下，你猜谁的利益会被牺牲？  读到这可能你会问，那为什么有人会读这个化学硕士，有没有什么好处？当然是有好处的，但是不一定对你有好处。读完硕士最重要的是，你的tittle变了，变成了北航化学硕士。虽然这tittle在知乎和很多公司看来完全是一坨bullshit，但是对于一些本科不是很好的同学，至少给了他们一次改变的机会（我对他们没有任何不满，人家能从别的学校考过来，本身就很努力）。如果你本科就是北航化学系的，一个985的化学学士和一个985的化学硕士在人才市场上是没有太大区别的。都是985学校不太热门的专业，找工作基本看个人能力，你的硕士tittle基本不会帮你脱颖而出，所以三年换硕士头衔是很不值得的。或者说，你对本科生相对有微弱的优势，可是你牺牲了三年最有干劲的时间，毕业之后再找工作，与你同一届的本科生，在公司里的职位应该是比你高的。如果真的需要一个硕士学位，不妨去祖国的特别行政区弄个一年制的，相信我，你的三年时间比那点学费值钱。  当然，也别以为你乐意付出三年时间，就能舒舒服服拿到这个学位。导师的利益和你的利益冲突这一基本前提在，你这三年肯定不会舒舒服服，毕竟你们追求的东西南辕北辙。举个例子，你的导师可能觉得你需要补个数据，以便发更好的文章，而对于你，利益最大化的所在是发一篇最低要求的sci毕业，这时候你怎么办？别的专业的学生开开心心找工作泡妞玩耍去了，你还要做额外的实验，而且这个实验不一定有结果，即使有好结果，收益也不属于你，你会感到开心吗？更不要说化学实验失败的次数远比成功的多， 你可能到快毕业的时候，连最低要求的sci都没有 （这个真是看天看运气）。这时候， 没有文章，没有男女朋友，还没时间找工作，你会感到开心么 ？  写累了，说点题外话吧。年轻人就是喜欢过分乐观，觉得别人运气不好那是别人活该，自己一定会金光闪闪，牛逼冲天。直到有一天自己运气也不好，就知道滋味了。我刚进实验室的时候总觉得我师兄师姐不给力，发了一篇影响因子很低的文章就毕业了，和老师讨论问题也不积极，态度有问题。等我自己经历了三年，我并没有做的比他们好，我才开始理解他们。有时候很多事情真的不看你有多努力，是一个努力方向的问题。一个方向，试99次都失败，你还想继续么？999次呢？9999次呢？科研就是这么一个极其困难的过程。在这个过程中你得有个驱动力，如果你的驱动力就是找个钱多的工作，多泡几个漂亮妞，或者多吹牛逼，那么我明确告诉你，想得美。利益冲突到最后会发展的不可收拾，要不怎么每年那么多自杀和杀导师的研究生对不对。劝退不是主要目的，目的是让年轻人了解过程中的困苦。  上边说的都是本科和硕士。我没读过博士，我不敢太妄议。可是就算真有一天走上了学术道路，这些年我见了太多：  一个月两三百补助，在实验室干活干到死的硕士。 拖家带口，为了让老婆住自己宿舍，把借住的本科生往外轰的博士。 三十多岁，单身又暴躁的女讲师。 三十五岁为升职称把老婆孩子扔在国内自己出国镀金的讲师/副教授。 四十多岁还没结婚还教育大家要满足现状的女副教授。 评上青年千人/优秀青年基金天天早八点晚十一点全年无休在实验室的教授。  他们幸福么？他们的学生会幸福么？  我不知道。  反正我只希望能过上老婆孩子热炕头的正常人生活，别人的事，管不了了。  改天更新硕士的待遇和出路。  分享几个相关问题：  化学硕士   有哪些东西是你读研究生以后才懂的？ - 匿名用户的回答 - 知乎   化学考研   你见过的跨专业考研跨的最离谱的是什么？ - 匿名用户的回答 - 知乎   化学博士   有机化学研究生为什么普遍都被要求每天工作十小时以上？ - 知乎   ________________________________________  更新一个吧，这事百度都知道了。  百度搜索化学与环境学院，为您推荐已经变成了“北航化学有多烂”。   ————————————————————————————————  我再更新一次吧。  我就是怕被查水表，所以才匿名。虽然这个还没到手的学位对我几乎没有任何意义，但是至少我为之付出了长久的无意义的时间。所以对于我应得的东西，我并不希望有干扰。  我这个人一向就不喜欢说好听的，化学学院好的地方康哥都说了，说的也很客观。但是不足的地方总要有人给补充一下。  所以硕士的事情我一定会说，因为我至少要给其他人，尤其是没进行过基础研究以及没体会过国内研究生人身依附关系的小朋友打个预防针。只是因为利益相关太多，我没有办法现在说。但我会记着这个答案，早晚会来写，为了对得起自己的良心。我尊重喜欢科研的人，尊重认真办事好好培养学生的导师，但是我必须得说，有光就有影。 化学学院的硕士无论是在生源、毕业还是在就业方面，都会远低于你本来的预期。          ———————————————————————————————————————  看到了北航最近发的招生广告，原文链接在这里： 据说，北航这个学院，在高考录取中分数最高！     里边介绍化学学院写到本科毕业生读研比例达到79%，首先据我所知，很 多人考研都并非继续考化学 ，另外这更说明了本科生就业难。后边毕业生就业情况，很多说的也并不是本科生，而是把本硕博里就业好的拿出来在一起说。   化学学院对于就业一向不是很重视，从来都是重科研轻就业 ，毕竟SCI发出来，才对学院的KPI有帮助。  知名校友部分除了何涛师兄是材料学院时期的本科生，其他的师兄基本都是 读研读博士才来北航，其实和本科生关系不是很大 。  所以，参考着看吧。  ———————————————————————————————————————   写毕业论文的同时看到北航发新闻，说按大类招生，化学、物理、生物、数学和经管放到一起招生，希望大家不要犯傻选择化学或者生物，那可真是毁一生啊。   挺佩服学校这个魄力，让大家自由用脚投票，不知道会打碎多少既得利益者的饭碗，真是没赶上好时候啊。 
南京航天航空大学工业工程专业咋样？,目前此学校此专业自学考ing 对于自考，上海没有此专业，所以只能选江苏（最近的）。 就我了解到的，nuaa 的ie是挺不错的。
南京航空航天大学大一在哪个校区读？,江宁校区
评估一下南京航空航天大学广播电视艺术学考研难度？,我大二 但是我也有关注这个学校 我以后也想考 因为这个学校收的人好像相对比较多
南京航空航天大学2+2招收本科生好么？具体入学后学费负担怎么样？将来就业怎么样?,我觉得不错
（知乎第一条提问）为啥南京航空航天大学 A18楼自习教室的人现在少了很多？,骚年，说明你去的时间不对，得到考试周时再去就对了。 另外，你的问题说明，你其实忘记了自己当年也是在考试周的时候去上自习的。
南京航空航天大学机电学院哪个导师比较好？,具体你想去哪个方向呢
如何评价南京航空航天大学的「亲吻陌生人」活动？,感谢学长 @夏惟桐 邀请。 其实早就想说说我的看法和作为亲历者的感受。 这几天的网络平台和各大门户网站对活动主办方苛责甚多，像我这样的参与者也没少被问候亲人。在我看来这是个很正常也很不合理的事情。 亲吻一个陌生人，是一件伤风败俗的事情吗？ 我觉得不是。甚至不客气的说，在网上叫嚣着自己不会这么做的人，如果几杯啤酒下肚，灯光迷离之下，跟微醺的少女或者风尘的男子唇舌相接，想必第二天也不会觉得自己犯下了多大的错误。 当然我也不相信主办方说的表达信任的主题，我认为亲吻就是亲吻而已。如果没有炒作，可能我现在已经忘记自己参加过这个活动亲过那个姑娘了吧。在我看来只不过是一个游戏而已，闹的满城风雨大概是因为现在的网民有惯性骂街的症状吧？ 各大平台纷纷转发，跟贴里面一片义愤填膺，个个都是节操卫士道学先生，其中几个人是觉得有违他的观念而质疑，又有多少人只是单纯的为了骂而骂？ 昨天我还特意甄选了一位网易平台上言辞最激烈，逻辑最跳跃的网友。看看他的记录，骂过贪官骂过举报者，骂过大学老师也骂过大学学生，骂过政府也骂过刁民。次次都是干净利落一个短句问候亲人，加上一个道德审判的结果就匆匆给自己披上法官的服饰，戴上正义的假发。我想这个才是网民的代表吧。 事实上，亲密关系中的行为，不是只有在亲密关系中才可以进行的。在性观念逐渐开放的今天，双方基于自愿的前提下，一个陌生的吻根本不应该成为大家讨伐的对象。我也认为，大家早就应该脱离一边对性充满好奇，一边对性充满羞耻感和畏惧感的年代。殊不知真的有很多人，还活在看到白胳膊就想到私生子的世界里，原来是我见得少了。 所以指望参与者道歉的人，在我这基本上可以断了你的念想了。我只是做了一件我很喜欢的事情，亲的又不是你媳妇，道什么歉呢？
在南京航空航天大学上学怎么应对别人问你以后是不是开飞机的？或空姐？,也许是修飞机的
如何在南京航空航天大学食堂吃饭？,先去窗口打好菜，阿姨告诉你价格，你再去有现金收银的地方交钱，然后把收银，小票带回窗口给阿姨她就会把菜给你了。
如何看待南京航空航天大学调剂先于一志愿？,觉得自己被骗了。 以后会多长点心。
选择南京航空航天大学（冲学校）还是选择西安电子科技大学的通信工程专业？, 通信计算机还是选西电吧虽然我是南航滴。。。，，，就业时跟C9基本是一个级别的 
学英语选择去中南大学还是南京航空航天大学？,既然你想学英语 我就不问你为什么一定要学英语了 也不问你为什么非这两所学校不可 还是去南航吧 南京至少比长沙好
电气工程及其自动化专业 南京航天航空大学和南京理工大学哪个比较好？,南航的 电气专业全国第七 比南理硬气多了
南京航空航天大学2016级浙江新生群群号多少？,欢迎加入南航2016浙江新生群，群号码：549672306
南京航空航天大学的经管类研究生好考吗？,不知道，泻药，希望要好好准备，祝你考上。建议能大学毕业工作就工作，不要读研。不要错过公务员考试和校园招聘。
安柏瑞德航空航天大学怎么样。？,如果你对航空航天感兴趣，将来想从事这个行业，也想出国学习，这个学校就是你的不二选择。我在今年的4月份有去过学校的Daytona Beach校区，学校不算很大，男生占很大比例，宿舍的条件基本就是典型的美国学生宿舍，但是很多房型的选择。学校的飞行专业很棒，模拟器都不错，但是费用要比在一般的航校学习贵一些。
在南京航空航天大学金城学院就读是什么体验？,作为今年刚毕业的学长，我想我还是有权利来说几句的，金城学院首先是独立学院，跟南航本部关系其实不大，我们金城学院许多老师都是南航本部教的，师资力量应该依靠着本部所以还是不错的，图书馆经常去晚了都没座位，所以校风还是可以的，每年暑假留校考研的也非常多。
每年南京航空航天大学的录取通知书什么时候到?,南航基本上都要7月初8月末
如何看待“南京航空航天大学40余学生疑遭前辅导员冒名骗贷被逼债”？, 2017.4.11 00:34补充修改  -----------------------------------------------------------------------------------------------------------------------  很遗憾还是暴露了自己，所以接到一些电话，有辅导员，有同学，有老师，不过大家都是愉快的交流意见，所以看客们不用担心我的安全。  补充如下几点吧，省的打过多嘴炮：   1.举例真实性。 本答中所涉及的所有事情均为事实。若要说哪个事情不存在，好吧，写完之后突然意识到，王晓亮是07级的，不是08级的，我记错了。   2.无辜的其他辅导员。 很多人说不要一棒子打死所有南航辅导员。首先我觉得这些人理解能力实在是有问题。我文中只抨击了南航的辅导员选拔制度，是制度不完善，有漏洞的问题。并没有说依靠这个制度选上来的辅导员都是混蛋啊。国民党员也有好人啊！我大学四年真的遇到过几个很好的辅导员，比如XXX，XX等等，真的很想点名表扬你们几个，但是担心会给你们带来不必要的麻烦，尤其是一定会有领导打你们电话，让你们做我工作让我删帖，所以只能这样了。在此对其他一些无故受到牵连的辅导员，老师表示歉意。同时对你们无私的工作表示感谢。   3.“很多现象别的学校也有。” 是的，我承认，天下乌鸦一般黑，没必要比谁更黑。可是，就因为别人也犯错，我们就不能指出自己人的错误了吗？   4.“光说没用的，也没有提建设性意见。” 我一个普通学生要是能提出了建设性意见，岂不是要你们这些学生处的领导很没面子？没有建设性意见，就不能指出错误现象了？   5.“故意抹黑学校。” 还是那句话，我讲的事情都是真的，都是事实存在，因此这不叫故意抹黑，这只是陈述事实。语气也许冲动，但我就这暴脾气。   6.“南航的学术氛围比很多985都好 ，研究生学长在实验室工作很久，早出晚归。不知道说这话的答主是通过什么调查能发现南航的学术氛围比很多985都好的。”至少我在外读研的几年是觉得，南航的学术氛围比起我的研究生学校，差距很大。我那些在南航本校读研的机械系同学们，每天被导师压榨着做生意，拿着与自己付出完全不成正比的工资。有的要出去实习，导师还要收取部分实习工资做管理费。有的要出去找工作，被导师逼着要做完生意才能走。至少我在外读研那几年，从未有过或者见过这种现象。当然，也是那句话，这种现象在其他高校也存在，所以这就是我们不能说的理由吗？   7.南航的花边新闻。 别的不说了，南航的食堂真的不错的，各位珍惜，出去的人都懂的。替我向后街的粥店老板问好。   8. 无意间伤到了上海大学，上海理工大学，华东理工大学，南京邮电大学，南京理工大学等学校同学的心。哎，大家都是半斤八两， 何必分出鸡屎和牛粪哪个更香 ？   9.传闻 ，这回是传闻，南航这两天会处理完这件事。怎么处理，结果怎样我不知道。我只希望南航能够反思自己，不论是固有的一些条条框框的制度，亦或是出现危机的公关能力。否则每次事情都是过去就过去了，一点长进也没有。这次王晓亮结束了，下次说不定有蹦出个李晓亮。这次上了《中青报》，下次说不定就是《日人报》了。总之一再发生这些丑闻，也不是任何一个在校或者离校生愿意看到的。  10.对了，再说一下，楼下很多洗白文是学校利益相关者发的，有的是辅导员，有的是学生处的老师。有的匿名了，有的为了博存在感实名了，我也给大家留点面子，不一个一个指出来了。说我上蹿下跳，我却看不太懂你们的逻辑。这些年，南航的青春思辨会，青年峰会或者辩论赛什么的是停办了么？思路乱的让人捉鸡啊。  -----------------------------------------------------------------------------------------------------------------------  还是匿了，今天突然发现和王晓亮微博互相关注了，万一哪天疯了来咬我。  ——————————————————————————————————————————  作为南航本质黑子，这个话题怎么能少的了我？下面从三个角度说说这个问题。   1.辅导员王晓亮   这个辅导员，叫王晓亮，08级机电学院学生，大三的时候，做了10级的辅导员。我是机电学院09级的，当时在院学生会任职学生干部。王晓亮也就是我的学长。在他当辅导员的时候，我跟他自然会为了学院事宜有所接触。据我所知，此人在11年的时候，就已经开始向学生借钱，开口就是几万几万的借，当时说是要买房子。有人肯定会问，学生怎么会有那么多钱？他是辅导员，很容易就可以获得学生的各项信息，我们入学的时候是需要填写父母信息以及工作岗位的，那些富二代官二代什么的就自然而然被他盯上了。我得知这件事也是一次偶然，院会里的两个学妹讨论说到这事。王晓亮想向其中一个女生借5万，女生拿不出那么多，只借了三万，王晓亮当时说是两个月就还，于是女生就把生活费拿出来了。可是别说两个月，半年过去了，王晓亮一直以各种借口不还，学妹说要去找教务处主任，可是王晓亮用威胁的语气跟她说，叫她不要把事闹大。设想，一个刚上大一的女学生，当时并不了解学校的各种情况，面对这种辅导员，怎么敢把事闹大。后来还没还，何时还，我也都不知道了。我所知道的是，当时王晓亮以辅导员的身份向学生借钱，绝不止这一个案例，且借的数额都很大。并且微博消息称，在这批学生毕业后，王晓亮还曾群发微信向他们借钱。  后来王晓亮做了一个所谓的创业孵化项目，这种项目在南航，基本就是骗经费。创业的时候，找了很多学生帮忙，搬货发货什么的，说是有工资的。然而从项目开始，到项目最后亏损严重破产，学生都没领到一分钱。反倒是王晓亮及其女友，越过越滋润。  我跟王晓亮也曾有过矛盾，当时我们高年级要负责低年级的学生会干部选举，然而就在这次选举中，王晓亮黑箱操作，改了我们提交上去的名单。后来我曾在当时人人网上讽刺这种行径，王晓亮直接打我电话，说是让我卖他一个面子。我没搭理他，又去找我们辅导员来做工作。从这件事起，我就对这个人的人品持保留态度。  10届那届学生新生杯足球赛的时候，和其他学院发生了一些冲突，作为辅导员，本应该起到平息事态调停的作用，然而王晓亮却短信电话通知各班班长，要求所有机电学院10级的男生全部到操场上集合，做好打群架的准备。当时作为已经在学院从事一年学生会工作的我们几个部长，眼睛都快掉下来了。后来没多少人响应他，群架没打成。从这件事情起，我对这个人的工作能力持保留态度。  再后来发生的这些骗贷的事，题主有提到，我就不再赘述。总之就是辅导员借口帮银行朋友提升业绩，骗学生办卡，并且拿到了学生的身份证，还让学生做了人脸识别，为了不让学生受到催债的信息，绑定的手机卡也是新做的。此番罪行，罄竹难书。   2.辅导员选拔机制   有人一定会问，这种人怎么能当辅导员的。这就是南航机制的奇葩之处。南航的辅导员分两种，一种是专职辅导员，大多是已毕业的有学生工作经验的学生，或者是通过外部招聘引进的专门做学生工作的老师。另一种就是工作保研，兼职。王晓亮就属于后者。大学期间，只要绩点3.0以上，党员身份即可申请工作保研。其实这种要求就很宽松，甚至对你的德行没有任何要求。  我没有参加过这种选拔，所以也不能说太多。总之选拔机制十分不严格，漏洞百出。   3.南航这些年在做什么   我是江苏的考生，我上南航那年，南航的分数线比全国绝大多数985都高，当年南航全国排名33。而今呢？学校综合实力排名早就掉得前50都找不到了。反倒是学校热衷于什么微信指数排名全国第七。前十里，也就第八的上海大学更野鸡，其余都是C9或者实力很强的985。  南航这两年是靠什么爬上微信指数第七名的呢？陈都灵，南航帅哥数量全国第一，这些八卦周边满天飞。金城学院学生捅死室友，学校食堂出现穆斯林传教标语，学校与电信串通逼迫学生办超高价宽带网络，飞行员溺水身亡，家长校门口设灵堂，这些负面消息满天飞。我们的学术研究却没什么起色，建校60多年，却连一架直升机都造不出来。某研究生导师为了骗国家经费，做了一个所谓的研究，上面人来查了，真的东西做不出来，就让学生加班加点做了个动画糊弄。这是一个学术型大学应该有的姿态吗？  再说回这件事，我第一点就提到了，王晓亮与学生之间有经济纠纷是从11年就开始了，我不相信这么多年，没有学生向上反映过。即便没有，这次骗贷事件在去年下半年就已经出现了，为何到现在才报道出来？这就是南航的一贯作风，先瞒，瞒不住就骗，骗不住了就说我们也很无辜。一向如此。我只记得大四那年，一个学生跳楼，尸体清理得那叫一个快，我是从没见过学校在其他方面有如此高的效率。夏天和冬天，图书馆不开空调，学生投诉，学校说锅炉坏了，一坏就是好几年。最后我们这届毕业的时候，一群已经拿到毕业证的学生去校长办公楼静坐看书，整栋楼那叫一个凉快。就在那一天，锅炉奇迹般的修好了。  对了，在每篇黑南航的帖子里我都会提到徐川这个人，大家可以去微博看看他，微博名叫南航徐川，就是那个爱国爱上新闻联播的。什么叫做道貌岸然，什么叫做绣花枕头，大家看看他就知道了。第一次听此人的讲演，觉得牛逼的一腿，后来每回都恨不得把一些根本不知道真假的陈年破事一遍又一遍得炒作。曾有名言，“经常有一些别的学校的粉丝专程来南航看我。”这个人从事学生工作多年，常言为学生着想，为学生办事。那我就请问问徐川书记，当年学生被电信坑骗的时候，你在哪里？当年锅炉修不好，不给开空调的时候，你在哪里？这次学生被王晓亮骗贷了，你在哪里？  对了，王晓亮就是徐川带出来的，王叫他川哥。 
南京航空航天大学力学专业研究生的就业情况和薪资水平？, 谢邀。我今年是研二，也目睹过两届研究生师兄师姐毕业工作的情况，也就仅自己了解的一点情况简单聊一聊。我们这边一般毕业去研究所的比较多，例如南京的总参60， 景德镇的602，。去民企的话，有去福特，远景，金凤， 瑞声的，薪资也是看具体的研究单位以及所在城市， 上届师兄毕业602工资在6~7万左右，去的金凤的是8万左右，总参60给的薪资是10万， 这个行业就是一般的人挣不了大钱， 只能勉强度日吧。 
如何认识南京南京航空航天大学的女生?,想认识陈都灵就直说……
南京航天航空大学打电话说招自考生，我想了解一下自考？,既然你的高考成绩至少能上个大专那么就千万别上当！那玩意是自考，哪怕在南航本部里上课他也是自考（交大南大的自考都是在本部上课），和普通全日制有着本质区别，毕业时未必能考完并拿到学历学位，就算拿到学历考公务员教师等面向普通高校应届毕业生的体制内工作也会严重受限（没有报到证无法调档）。这种你不高考都可以去上的，那你还参加高考作甚。你肯定是江苏的吧，那就先读个好的专科（建议读本科院校开设的专科专业，最好不要读专门的专科学校），然后从入学起就准备，大二大三时考江苏省的全日制专转本考试，这个是全日制的，就业时的各种待遇至少在政策上和普通本科是一样的！
请问南京航天航空大学继续教育学校好不好？和南京航天航空大学有啥关系？,是一个学院，有问题可以加qq咨询985929840
如何找到南京航空航天大学有才华的男朋友？,不要找咋咋呼呼的，最好通过熟人介绍，就酱。
在南京航空航天大学能辅修二学位吗？,宁可上知乎也不问辅导员教务处是什么心态。。
关于南京航空航天大学转专业？,如果是新生，请开学时请教辅导员，如果是在读的，问辅导员比在知乎靠谱和有效。我知道的信息，专业成绩前5%可以申请转专业，然后目标专业会让老师和你面试看能否通过。所以新生需要大一结束才能转专业。各专业实际要求不一样，请以辅导员为准。
上海对外经贸大学和南京航空航天大学该怎么选择？,泻药。  上外贸在读，六月份正好去过南航模联当主席，对该校也多少有些了解。  看题主之意，是以工作为导向的，这很符合一个商科生的想法。那么话不多说，同样情况下当然是选择上外贸。  1.上海作为全国与北京并列的实习最多的地方，能提供给你大量接触商业社会的机会。我有一个南京财经的朋友一直想交换到上海来，就是看中这边实习很多。  2.上外贸就业气氛浓厚，在这里你看不到什么讨论课题，也听不到什么太多的学术讲座。有的是大量的人刷英语，刷ACCA，整日奔波于各种企业宣讲会和实习。上外贸毕业的学生手拿3，4份实习并不是少数，4级上600，雅思上7的也不是少数。  3.关于你亲戚所谓的“大企业靠关系进”，首先我要表达对这位亲戚是否受过大学教育的怀疑（在我家乡也有很多关系就业论者，绝大部分是高中学历）。上外贸目前的生源是上海+外地五五开，而最新一轮的五年毕业薪酬如图： 我身边有很多在上海无亲无戚的外地人（我本身也是这其中之一），他们有的人去四大，有的人去外资银行，有的人去外企快消，有的人去500强。如果你想去大券商投行，顶尖咨询这种地方，在学校牌子不够硬的情况下的确需要靠关系走后门，但恕我孤陋寡闻，没听说过这几年出过本科能去中金或者MBB之类的人。  总结一下：外贸为商业社会贡献的是中流砥柱型人才，俗称“小白领”。大富大贵，一手遮天的人没有，衣食无忧还是没问题的。  再说一下南航，我个人认为南航最好的一点就是——学校有钱，硬件设施强悍。南航两个校区横跨禄口机场高速，有大大小小7个食堂（suiber们泪奔吧），有大操场，单独的自习室，学院楼，而且教室的桌椅设施都要比上外贸好处不少。在上外贸是没有自习室的，所以教室和图书馆永远爆满；本校学生常去的食堂一共有两个，加上对面东华的人经常来和我们抢饭，所以食堂拥挤程度也好不到哪去。  上几张我拍的图吧，渣技术轻喷。             上外贸的图片我就不上了，反正学校一共才那么大点，百度图片找一下，基本就把学校逛一圈了(微笑)  南航学生给我的感觉是，不浮躁，不功利，更像象牙塔里的莘莘学子。我在南航食堂吃饭的时候，经常能听到讨论实验、课题的声音，不会像上外贸这样一天到晚比绩点，比实习。  另外再说一点实话，南航领导班子明显好于上外贸，南航的老师很开明，很鼓励学生参加各种课外活动（就算对找工作、考研用处不大），也更能和同学们打成一片。而上外贸的领导，一天到晚除了抓实习翘课，查封政治课题库，明里暗里打压“没用的”学生活动，还真没什么本事。
南京航空航天大学动力工程与工程热物理的水平怎么样？,最近刚刚出了一个院士
