为什么高翎资本的张磊向耶鲁大学捐款 888 万美元，但是没有捐给另一所母校中国人民大学？,这得看赵家的孙子想在哪儿念书，他捐完了以后，某赵家的孙子就保送进了耶鲁。
想考中国人民大学的研究生 人力资源管理 好考么怎么考 今年17.6毕业 想在17.12考 跪求知道,人大劳人院的人力资源专业是狠牛的，当然工商管理学院也学习hr的相关课程，看你的选择，变通一点。 关于是否好考，这个要看你的努力程度了，只能告诉你竞争会很激烈，平时可以多上研究生部网站、论坛看看，努力复习是王道。 另外，北京的话 首都经济贸易大学的劳动经济学院在人力资源领域也是数一数二的，性价比比较高。 供参考~
作为一个高二中等成绩的文科生。需要多大努力才能考上中国人民大学？,中国人民大学是文科里十分牛掰的大学，也是出高官的地方。如果现在还是高二的话，觉得一切还是很有希望的。政史地要很好吧，我们那一届的学霸她考了南京大学，文综都是260、270的，对于我们文科生，政治和历史的书一定要背的很熟，这似乎是必然的，老师肯定也是这么要求的，不仅要会背微观的，宏观的框架，什么课题，框题，节名都要熟知，因为它出题的时候就是用课题，单元题什么出的。反正书本要熟，这是基本。数学永远都很重要，多做题，然后总结，这应该是大家常用的方法，练练练。英语也不要忽视，到最后，你会猛然发现，那些英语很好的人竟然会拉你那么多分，同学高考英语141，对她十分佩服。被她甩了一大截，差距就是这样产生的。还有高三的时候心态也很重要，状态波动也是很正常的事，不要过度在意，自己要调节好自己，常用适合自己的方法调节自己。该玩的时候玩，该做的时候做，这应该是不错的。有时候也需要逼逼自己，因为以后如果觉得当时自己没有使劲全力，还是会有些后悔的。高考真的是人生的重要的一次分水岭，211、985与普通不知名二本差别还是很大的，如果你高考考的好，就不用像别人一样再考研一次进入211。但是，凡事尽力而为吧，不要让自己后悔就好。调整好心态，放轻松，你也只不过是在走每个人都走过的路罢了。加油！
中国人民公安大学难考吗？,不找关系过的才是大多数吧
中国人民大学的经济学真实实力如何？,经济学是一个学科门类。 下设两个一级学科：理论经济学、应用经济学。 教育部的排名是一级学科的排名。  拿理论经济学举例说明，理论经济学作为一级学科有政治经济学、经济思想史、经济史、西方经济学、世界经济以及人口、资源与环境经济学等二级学科。 我们看一下清华经管学院和人大的对比： 清华经管学院现有会计系、经济系、金融系、创新创业与战略系、领导力与组织管理系、管理科学与工程系、市场营销系等7个系，覆盖管理科学与工程、工商管理、理论经济学、应用经济学等4个一级学科………………………………………………………………现有全职教师165人。 清华经管学院涵盖的学科，在人民大学被分到了经济学院、商学院、财政金融学院……………………………………………………而仅人民大学经济学院全职教师就超过200人。  可以估计清华大学理论经济学下的教师大概是人民大学七分之一左右，当然我没有做严谨的考证。大家可以细查一下教育部的评比指标，像科研成果、论文发表数量及影响之类的，在同等水平下师资规模较大肯定得分高。  总而言之还是学校学科建设的重点不一样，（说过多遍了）清华工科强、北大文理医基础学科强、人大人文社科强。  啰嗦几句：这种学科评比是看整个学术团队的构建及在学术上的成果及影响力，不能说X校有一个或几个特别厉害的经济学家所以就怎样怎样。而且这个东西毕竟还是圈内人的认可更为重要——记得以前听同事说某大学（国内排名20左右）的团队很有水平、成果很多，我就知道用对大学的印象去评判其某一个学科的水平是愚蠢的。 至于民间——免不了参杂一些多余的因素，像高考招生分数之类的，跟学科建设无关。民间的排名是给学生和家长看的。 至于海外——全球有多少所大学啊？不同国家的学术杂志如何按水平分类，一篇论文有多大影响权重，想想头都大了，我才不信哪些机构会一个个比较呢。反正我看排名榜就只看某一个国家的。全球大学排行榜就跟FIBA全球足球俱乐部排行一样——除了前几十名没什么争议（而且我们都知道是谁）——后面的就是扯淡。
如果评价中国人民大学（RUC）的计算机系？,最近两年拉了一批MSRA的人进校（我现在的导师是 @叛逆者 的同期），并且赶上了大数据的风口。然后本科生教学方面也开始改革，比起国内很多学校已经走在前面了。
在中国人民大学（苏州校区）就读是怎样的一种体验？,2017.6.20  用心长答，注重体验。长文、多图预警，请慢用。  考虑到又要到高考报志愿的时候了，毕竟自己也在中法待了快一年，也算是做个总结。  本文尽量少透露个人生活，但又是从我个人的视角出发。毕竟，在中法，我并不是个有成就的人。  【学校性质】  关于这个，我们总是需要解释很多次。知名度不高，社会普遍对中外合作办学有误解，所以我们有“江南四大野鸡大学之一”“中法学院是学法学的”“三本院校”等自嘲。下面直接复制粘贴官方解释，不多费口舌。 专栏 | 2017中法学院招生热点问题     中法学院是经中国教育部批准，由中国人民大学与法国巴黎索邦大学、蒙彼利埃保罗-瓦莱里大学、KEDGE商学院合作创办的第一家以人文社会科学为主的中外合作办学机构，是隶属于中国人民大学的非独立法人办学单位。 中法学院绝不是社会上所认为的独立学院、留学预科机构，或者一般意义上的中外合作办学项目。她是下设于中国人民大学的一个学院，与中国人民大学其它27个学院性质相同，与民办性质的独立学院、留学预科机构完全不同。学生毕业时达到学历、学位获取条件的，可获得中国人民大学、法方合作高校的本科文凭，以及法方合作高校的硕士文凭。  我们是人大，是985.五年本硕连读，中英法三语教学，最后获得人民大学本科文凭与法方合作高校的本、硕文凭，人大毕业证书与北京本部的证书毫无二致。  与北京本部的联系很紧密，一二九、艺术节、校运动会等大型活动苏州校区会派很多学生去本部参加，苏州校区的同学都可以报名参加本部的国际小学期，本部许多微信公众号推送都把中法学院视为与其他学院平行的一个学院。  一叶知秋｜在人大，遇见苏州    ——————  双城春声 | 苏州校区与主校区的“家书”两封    ————————  贵学院在人大被黑的最惨的一次……    录取分数线几乎在各地都是年年涨。  【风景】  苏州校区很小。但是，我们长得好看。            （部分来自15级学长……他拍的照片堪称经典）  “中国人民大学苏州动物园”这个称号可不是白叫的。    水调歌头·天鹅丨新年新气象 乐湖小天鹅破壳而出啦！    ——————  初夏新气象丨孔雀人大江南飞 苏州校区孔雀园再添新丁    套用室友一句话：现在压力来到了锦鸡这边……  我们有高逼格的咖啡书屋café livre，也有江南风格的湖边景色。         【学习】  中国人民放假大学的满课学院、高四学院……这些梗，也不是白叫的。由于要从零基础把法语学到B2水平，同时兼顾专业课的学习，中法前两年课程可以说是非常紧凑。（补一句：如果对语言没有半点兴趣也没什么天分，来了会被法语折磨的。相反，你可能会如鱼得水。）  来之前说好的早八晚八，谁知道一周五天课里，三天晚上有课，一天晚上上到8:45一天到9:30（以大一为例）。如果你还选了选修，另外两晚的某一晚，差不多也是到八九点的样子。别人大学的课表是一天最多两节课，我们的课表是一天最少两节课，最多的时候从早上八点到晚上九点半一共五节课。大二课更多，有时周末还要上课（心疼一波反正这届大二要去法国了而我们要变成大二了）。  有些课确实形式主义成分比较多，课后要交的论文也可以写写大空话。其实大可不必抱怨，哪个大学里没有水课呢？但是绝大多数的课是真的需要下功夫去努力学的，并且能学到真知识的，甚至是你努力去学最后依然不得不感慨自己 智商不够 的。  在两年的时间里，为了第三年的出国，每一个中法人都要把法语学到B2以上的水平。有很多的大神TEF/TCF考出C1乃至C2的水平来。最新数据：2015级本科生共310人，有17.4%即54人达到C等级（高级法语等级），196名达到B2等级。而一般大学里很多法语专业的学生大四都不一定能考出B2。   我们常常自问：“来了这么忙碌的一个学校，上了大学依然为了学习苦恼，值得吗？”我们一个很优秀的学长说过的话很有道理：人的时间大约有三部分，工作学习、玩耍娱乐和无所事事。中法的生活这么忙碌，很大程度上是把你无所事事的时间挤掉了，逼你更高效更合理地安排时间。    哪怕是想到自己去了一所其他的大学，没有多一门语言的压迫，大学可能荒废了很多时间，就会想：还是来了这里更值得。   【生活】  首先说说住。不算学校自己的宿舍，我们是住在高教区的学生公寓里的，条件比起相当部分的大学还是不错的。有空调有独立卫浴。有一次复旦主校区住的老同学跟我讲去澡堂的经历（“光华楼的妖风”“澡堂里有很多人唱歌，嗯，还有都是年轻美好的肉体”），然后问我“你们去澡堂没有人唱歌吗”，我一愣：“澡堂？我怎么不记得有这种东西？”再转念一想，我们宿舍都有独立卫浴的，所以没去过澡堂。我的老同学当时就这个表情：     宿舍面积还可以，有的人会嫌小，特别是女生衣服多。不过个人觉得还算够用。  至于对物业的吐槽，咱们留到后面一起说。  说说吃的。直到一年前，学校是没有食堂的。大家一般选择在对面西交利物浦大学食堂（也是江南四大野鸡大学之一吧）、文星广场、翰林邻里中心等等地方吃。不过2016年9月，在修远楼二楼开了一间小餐厅叫“左岸空间”。午饭和晚饭都是米饭，一般有八个菜可供选择，目前只支持微信和现金支付。（此处应用力吐槽：不能刷自己的食堂卡！！！你还是我们学校的食堂吗！！！西浦都能刷！！！）是一个就近的还算挺好的选择，因为地方不大，队总是排得挺长。以及饭量大的人往往似乎好像是吃不太饱。  对于第一次在大城市长时间生活的人而言，吃饭消费挺高的，其他物价还可以接受。公交系统很发达，地铁站离学校有点远但是过几年要连上海了，ofo摩拜等比较少见而政府设置的定点共享单车挺多的。  苏州的气候，对于北方人而言，冬天可能有点冷，没有暖气。不过对于中原人而言，冬天其实没有那么冷，大衣足够，羽绒服几乎用不上。几点的不满是很少有树掉光叶子，也很少下雪，还有下起大雨来真的很猛烈。  【人际】  来这里最大的感受是学长学姐们超级好并且很优秀。我所见过的、微信上说过话的学长学姐们，都没有一点的前辈的架子，有问必答、能帮忙就会帮。因为中法的学制，每两届之间一般只有一年同校区的时间，相互接触最多的也就是大一和大二。在这里，担着“学长学姐”这个重任的，多为大二学生。  可是大二的学长学姐们，不过是比大一的学弟学妹们早来了一年。早一年熟悉中法的一切，承担着比大一重得多的课业压力、社团骨干的责任等等，还向学弟学妹们传递着各种各样的经验。过了一年，远赴法国的是他们，而我们成为新的学长学姐，照顾着新来的鲜肉们。对每一届中法人来说，记忆里独一无二的那些学长学姐，多为当年自己上大一时的大二们。这样的轮回……莫名觉得有点小浪漫？？  不知道是不是个人原因，我是觉得这里的人际关系挺简单的，应该没什么勾心斗角。幸运地遇到了人很好的室友们还有同学们。注意：此条链接有毒，请谨慎点开。  新年预热 |《咋了国管》16级本科国管班新年祝福视频    脱单的人还是不少的。恋爱就像普通的大学里一样，有人在一起了，有人分手了，有人没有遇到合适的对象，有人喜欢别人而不得。缺点也许是……绝大多数可能都是要经历异地恋的，如果是跨届要异国恋，除非你和同班同学恋爱，但是保不准分手了还抬头不见低头见的。（摊手：关我什么事，我是这么可爱的一只单身汪。）  【社团活动】  相比苏州校区刚刚创办的时候，现在的各种活动应该真的是好太多了，日新月异，蒸蒸日上。我们有学生会、艺术团、通讯社、广播站、社联等学生组织，社联管了大概二十多个社团。学校会组织各种法语比赛，“梦想舞台”校园歌手大赛，五四青春歌会，“片刻”摄影大赛等等，还有办得很不错的社团如Maison du vin红酒社、澄怀国学社、足球队（往往有外教还有留学生……讲真四大颜王可不是哪个大学随便能有的），以及我自己接手以后想要再度壮大的chez nous（我们这儿）杂志社——2010级学长学姐亲手创立的老社团。好吧说到这里其实你们都知道我是谁了，但是正如上届社长所说运营一个社团像养了一个孩子，我真的忍不住想宣传一下……  （此处应有二维码）  （所以我放上了）     毕竟课业确实紧，很多活动没什么时间参加，但大家该浪的时候还是会浪的。每一个社团活动的组织者，都很认真地去做自己的工作，学校方面也给了相应的支持。   有时我想，在中法过了四年或者五年，字典里应该不会再有“不可能”“impossible”这样的字眼了。相当于学了两个专业的课业压力，还有运作社团的能力锻炼，国内外大学生活都体验了一遭，真的已经比很多很多的同龄人，做到了更多。   【槽点大合集】  物业！！！其实停水停电的频率长时间来看还是不算太高的，但是某一段时间会诡异地经常停电，票圈刷屏“DW物业，丧尽天良”之类的话。有时施工维修的活动不考虑学生的休息也不够人性化。学生公寓按人数来看还是西浦的学生多，他们放寒暑假的时间比人大早，于是今年出现了西浦学生走后，装修的声音让人各种睡不着午觉的情况。不过，我们怕什么！我们有家委会！   家委会是一个被一些同学视为槽点的存在，但是很多时候还是很管事的。毕竟绝大多数还是独生子女，学校又是新办不久还在探索上坡路中，家长当然很关心孩子在学校过得怎样。物业上很多问题，都是家委会去反映才能得到令人比较满意的改善。但有时候家长过度操心的话，反而会适得其反。比如 听说 以前宿舍楼下是有饭店和超市什么的，但是家长担心不安全、不卫生，反映以后就把那些店关掉了，似乎生活上造成了一点不方便。  教务！！！最开始我是不相信的，直到某一个必修课讲座上教务叫我们班集体翘掉一半时间，然后“轻声细语地”去补另一节课……教务真的考虑过讲台上那位法学教授的心理阴影吗？有些课的安排确实不够合理，比如大二的周末要上近代史，而实际上大家都累得不想上翘课率空前地高；某两门课之间根本没有留出吃饭的时间等等。不过教务处的安排应该是越来越合理的，以后还会不断改进。  【最后】  最近是毕业季，又有一波中法人走向天涯海角。一些外教也结束了聘期，将要离开。一些人转专业了，法语老师明年要换了。考试周前最后几天课，每个班级都自发地合照留念。我们有一个法语小班坐在学校门口的大招牌上，有学姐评论说：“别人拍照都是把苏州校区遮住，只有你们把人大遮住了。”  一个中法人，也许曾为自己是不是人大人纠结过，也许曾不好意思说出“苏州校区”这个词来，也许曾甚至现在都还在后悔是不是来错了地方。  一个中法人，最后都确信自己是人大人，为“苏州校区”解除误会或者不再争辩解释，不管后不后悔都有所收获。   P.S.想写篇体验发现有很多自己人熟知但外人不知道的事情需要解释就觉得心累……  考试周码字不容易，点个赞呗~答案写的有不完善之处，欢迎指出，有空修改。  另外也欢迎关注我的个人公众号，不常更新，某少女的没体系的思索。   ————————————2017.6.25更新 谢谢大家点赞 文中有很多不完善的地方，小女子受宠若惊 师资这方面我没怎么写，大家可以看  @不要口袋的多啦  的答案，目前最新发布的那个 比我写得简洁多啦~ 毕竟大一的我们才在这里生活了一年，第一年的体验大概也就说那么多，对于我们来说每一年的体验肯定都不太一样。大二的时候会有很多法专课，要真正自己去面对TEF/TCF考试等等，大三会第一次出国求学，之后面临不同的选择。人大中法给我们的真的是丰富的经历和体验，不论机会多少哪里都有抓住机会的人和没有抓住机会的人。 顺便说一句_(:зゝ∠)_我是不是把人带跑了？其实评价咱们学校好不好值不值得，好像回答“如何评价中国人民大学中法学院”而不是“在中国人民大学苏州校区就读是什么体验”比较好(つд⊂)。不过毕竟争议比较大，话题确实会有所偏向。  此答案也许会不定期更新(最长的答案？ )。 ————————————6.29更新 很多人私信问我一些关于中法学院学制和费用问题，请仔细阅读我这篇答案的第一部分【学校性质】，点击第一条链接查看官方解答，不赘述。费用可以参考我在评论区的回答，未必准确。再有私信问我这样的问题恕我时间有限不予回复了。 另外报考问题包括就业情况真的最好是问招生办，人大官网就可以查到电话，还有咨询QQ群号113449287。我们在校生能做的就是像这样写一篇回答，比较贴近生活，引起大家的兴趣我们非常开心。但是一些细节技术上的问题，我们回答不准确，考虑到对双方负责所以推荐大家直接打电话咨询招生办，大学招生办老师讲真都是有良心不骗人的别怕哈。 原则上不加微信，有缘人大见，无缘也不遗憾。 还是很感谢给我点赞的中法同学们和本部的同学，以及苏州高教区的大家。问我问题的高考生们都是小可爱(●'◡'●)ﾉ❤不管最后来不来中法都祝你们有充实美好的暑假和大学生活哟。
中国人民大学的食堂为什么那么贵？,我记得我在人大那会青人提供过一个官方说法：北京市的高校食堂采购是议价的，清北之类人多可以拿到个比较低的价格，人大人少需求小于是价格谈不下来导致采购成本就比其他学校贵一些…然后就是后勤集团说自己已经很努力了，同学们要理解balabalabala，应该就是罢餐后大领导去西区那年
在中国人民大学单身是一种什么体验？,我一直假装没在你们人大读书，表问我
女生在中国人民大学东风六楼度过四年是一种怎样的体验？,我变秃了 也变强了
如何评价中国人民大学校长陈雨露调任央行副行长？, 近两天，多家媒体证实陈雨露将出任央行副行长。陈教授是国内一流的金融学家，其《现代金融理论》、《国际金融》等课本都是现代大学里的示范类教科书，堪称经典。除此之外，陈教授在经济学研究尤其是金融学和国际金融方面有着很深的造诣，著作等身 。 去年的这个时候我还在研读他主编的《大金融论纲》，其著作纵向以历史数据为基础、横向以跨国比较为依托，论述古今中外，详尽阐述了现代金融体系的建设与中国未来实践的路径，很有水平。    至于如何评价陈雨露调任央行副行长，我只说两点。其一， 央行作为官僚阵地越来越重视学术性人才 。前有易纲、今有陈雨露，这些都是我国金融界不可多得的人才，如今都被重用，定能助力我国金融事业的发展。   其二、 陈教授政治立场正确 。既然央行能够主动选择他，说明陈的政治立场正确，且研究成果能够被上层接受。也就是说，在未来的政策实施过程中，将有相当一部分政策是已经被设计与模拟过，并且可以在陈的著作中找到原型。因此，作为一介布衣，预知未来世界如何发展，不如多去读读精英们留下来的成果。   最后我说些题外话。能够当官的，不一定是最杰出的，但其政治立场一定是正确的。金融界不乏有元老级人物与政府斗争最后受到牢狱之灾，如管金生。   哦，对了，还有一点， 陈行长是主张房价不能跌的。  
为什么非C9的中国人民大学，高考分数线要比C9里的南京大学高出不少？,一般一个学生说他是c9的，别人一般会问:同学你是哈工大的还是西交大的？
中国人民大学和上海财经大学的金融专业各有何优劣？,就金融学整体水平而言，全国最好的当属于中国人民大学，各个分科目实力平均，不论是货币银行，证券投资还是国际金融都名列前茅，地区优势明显。 清华大学的五道口金融学院也是金融学的巨擘，本来是中国人民银行研究生部，2011年8月并入清华大学，不过只招收研究生。 此外西南财经大学、北京大学、上海财经大学、厦门大学虽然不如以上两所学校，但在211大学金融界也数一数二，也有名列前茅的专业：西南财大的货币银行学、上海财大的证券学、厦门的金融工程……
中国人民大学的校名为什么是老校长写的?,做为人大在读学生一枚，这个问题必须回答啊，以表示自己爱校之情。  郭沫若题字应该从来没有使用过。在相当长的一段时间里，人民大学的校名是 宋体字 。 （太祖的实事求是有两种，一种是建国后写的，即图片上所见，可以说极不好看；现在东门求是石上的字是1941年题写的，还不错）   1.刘少奇版本  人大的建校典礼是刘少奇主持的，太祖当时正在苏联和斯大林谈判。但是刘少奇的题字是其在建校请示上的批示，并没有在正式场合做成牌匾挂出来。  “中国人民大学”几个字见于左侧倒数第二列。   2.毛泽东版本  太祖曾经为国内许多名校题过校名，如北大、清华、北师大、复旦、南开等，但对于亲儿子人大，却没有题过校名。人北清师，独缺人大。在游行中，常用的字是集毛体形成的，不是其特意题写的。而且在各种建筑物上，太祖的题字也从来没有挂出来过。而在个人崇拜最泛滥的十年里，人大被解散了，也就没有挂毛体的机会啦。  1979年，人大学子游行要求二炮退还校舍。最终二炮退出人大校园。   3.华国锋版本  徘徊中前进的那两年，校名用的是华主席题字。这个为经济法老师证实了。  老师对华主席题字的评价是：“有特点”。华下去之后，该字被弃用。   4.吴玉章版本  吴玉章是延安五老之一，是党内的老前辈，建国后又长期担任人大校长，用他的字做为校名，既是尊重与追思，也避免了校名多用宋体字的尴尬。 但需要强调的是，吴玉章也没有专门为人大题字，这几个字也是集字。（不排除在批示上写过中国人民大学几个字） 而且纪宝成校长上任以后，为了便于国际化，校徽、校名的英文翻译都去除了革命的色彩。  新校徽，虽然经常被恶搞3P，但其含义是：人民、人本、人文。   旧校徽，延安宝塔，2003年以后被弃用。   人大东门、西门，现在均采用吴玉章老的字。
有木有大仙讲述一下考中国人民公安大学的研究生心得～？, 有什么问题可以私信，聊聊感情也可以~，可发给研友一起看，但是不允许任何机构或个人转载到其他网站         先简单说明一下自己的情况，我是公大13级网络安全的学生，今年考到了本校本专业的研究生。考研过程中经历的很多，希望我的这段经历能给你一些帮助。  1.为什么考研？         首先是因为今年的就业形势不太好，对自己找到如意工作没有信息，考研之后层次更好，找到更理想工作的机会也就越大。同时呢，我也很喜欢我们专业，希望能学到更多的知识。再加上家长也愿意我再学一学，毕竟学的多了，也不亏什么。所以我就考研了。  2.需要什么样的心态才能考上？         大概就是勇气+毅力了吧，我们专业考的四门课分别是政治，英语1，数学2，计算机基础与C语言程序设计。政治英语和数学都是我非常不擅长的科目，几乎门门都是60多，刚刚及格。虽然专业能力还可以，但是专业课考试的内容也比平常学习的东西难了很多。总体来说就是所有的科目都是极具挑战性的。再加上由于就业原因，想报考研究生，等候三年缓冲就业的同学非常多，所以今年的录取分数线一定会特别高。         在复习期间，诱惑很多，我们大三下学期要进行很长时间的实习，实习生活确实很丰富多彩。杭州是个美丽的城市，因为G20的原因，我们被分配到杭州进行毕业实习，虽说时间比较多，但我确实没有抵挡住诱惑，跟同学一直在杭州嗨到了7.15，中间完全没有复习。因此等我醒悟过来，我要考研啊，已经没时间了。从7月到12月考试，留给我的时间也就是不到半年了。这半年我很认真的每天高强度学习，再也没有疯玩了。         勇气+毅力很重要，你需要很大的勇气，有很多没学过的、学的不扎实的知识，你要去学习。你还要打败无数个比你努力，比你聪明的竞争对手。你也要极大的毅力，克服中间种种的诱惑，大半年时间其实很快，但是枯燥的复习也很痛苦，只有凭借自身极强的毅力和信念，才能战胜他们。  3.怎么复习          一百个人有一百个人的复习方法，我简单的说一下自己的方法，你可以按照我的思路，调整出最适合自己的的方法。          首先就是要粗略浏览一下，你需要掌握的所有知识。找出你最喜欢的科目，和最不擅长的科目。一定要知道，你最不擅长的科目就是决定能不能考上研究生的很关键的一个因素。针对这门课程一定要重点复习。对于我来说，最不擅长的科目是数学，因此，我特别认真的从头学习了一边数学知识，把自己当成完全没有学过高等数学的人。后期做题也是必不可少的，考研是个努力就能逆袭的过程，狂作题！善于总结和分类！多尝试去整理只属于自己的错题集，知识点集！这一点适合与任何科目。          有人问我要不要报一个考研辅导班，对于我来说，我还是选择报班了。政治数学这些东西，有个老师带着会节省时间。但是！3分课上学习，7分个人回家做题整理总结。不要依赖于考研班，它只是给你一个复习的框架，你还需要往这个框架填你自己的东西。          为什么还要选出的最喜欢的科目，因为后期很疲惫，复习效率低下，用犯困的时间，去复习喜欢的科目，你会发现，诶？？？不困了！（O(∩_∩)O）最喜欢的科目就是调节学习效率的科目，疲惫的时候，看看喜欢的科目，少睡一会。你的时间就比别人更多了。         至于要不要提前联系老师，仁者见仁智者见智，每个学校也是不一样的，这个你可以问问师兄师姐，有的学校会划重点，有的学校则完全没用。  4.时间安排         时间安排应该分为两个方面，宏观的和微观的。         从宏观角度，也就是你整个从开始复习到考研结束的过程。7月15-8月31日，这段时间是你夯实基础的时候，无论是看书，上辅导班，还是看视频，在8.31以前要至少过两遍的基础知识，知道你要考什么，熟悉考点，能做简单的基础题，这段时间是最系统学习的时间，学习的知识也是新鲜的，这段时间同时也是相对轻松的时间，不会太枯燥。8.31-10.15，这段时间可以对着相关的书籍刷一下跟考研难度类似的题目了，提高知识的相关性，达到运用知识的能力，10.15开始，一直到考研，做真题+回归基础，做真题的时候自己在稿纸上写下这道题目考察的知识点，然后每一道题不管做没作对，都主动回归知识点看一看，在做套题的时候，严格按照考试时间，不要慢吞吞的做，否则达不到训练的目的。  5.考研的相关信息         考研的相关信息，你需要注意，以下时间节点，考试报名（应届生会有预报名），考生现场复核，考研初试，初试成绩公布，国家线公布，学校公布的复试线，考研复试，录取。在国家线出现后，一定要分析以及自己学校可能的复试线，如果觉得希望不大，抓紧调剂，不要最后没学可上。这些信息的来源，1学信网研招板块2学校研究生院官网3考上这个学校的师兄师姐。重点说下学校的研究生官网，在考试报名结束前，一般学校都会公布今年多少人报名，这个很重要，这个关系到考研的成功率，比如学校招生10人，100人报名，和300人报名，难度可是完全不一样的，提前做好准备。  6.祝你成功          好好拼一下吧，这段时光一定是你大学期间效率，学习能力，学习质量最高的时期啊，你会感觉到无比的充实。历练后，考上研究生，这段过程也一定会令你铭记一生。毅力，勇气，丰富的信息，学到的知识，一定会助你考研成功。  加油！ 
中国人民公安大学招生对身体健康方面要求的严格吗？,谢邀~体测（跑步之类）和初中时代体育考试差不多，但各个省招生条件都不一样，建议了解一下本省的招生情况。要提一下，对视力要求挺严，可以做手术。
在中国人民大学参与千人百村社会调研活动是一种什么体验？,我想说很多人都没有农村经验，总是想当然。 现在的农村的情况还是比较好的，在交通便利的情况下，绝大多数人都能外出务工了，这比以前在家里种田还是好很多的。如果有大病家庭或者没有主力的家庭，都会有各种各样的补助，低保和五保应该是大家常知道的，其实还有一些贫困支持，读书支持，拿到贫困村指标还有贫困户指标。这个东西如果家里真的特别困难可以在村上打好证明，去镇上申请，镇上派人查实之后都会有相应的帮助。我记得以前每年都有修路的指标，我们村就是在08.-11年期间把我们村的主要路都用水泥硬化了，这个是省里面的指标。所以国家对农村是真的投入了很多。说到底还是要你们的村主任有能力，愿意跑，我们村的变化还是很大，那种上不起学或者挨饿的家庭是基本消失了，大家可能对有的人的遭遇感到很心疼，但你要结合10年前他们的家庭来看是个什么光景。说句不好听的你愿意把你家钱捐出去给那些贫困的吗，几个愿意的。也就只有国家真正为农村给了真金实银。所以大家可以保持对这个事情的愤怒，但是也要考虑实际情况，中国贫困的毕竟有很多，不是每个村都有能力在国家的帮助下脱贫，这个就是时代局限性。 至于无作为和贪污就是另外一个情况了，大家也不要脑补，你要是知道，就去做个斗士，而不是键盘侠。体会一下社会的本质，蛤蛤蛤。保证刷新你的人生观。
请问中国人民不开空调大学生活是一种怎样的体验？, 有空调用不了 是一种怎样的体验
怎样才能考上中国人民大学新闻学院的研究生？,最近忙着实习、准备出国、写稿、结课论文以及毕业论文开题各种大事小事，可能不能一一及时回答大家的问题。但是有时间上知乎我都会慢慢回答学弟学妹们的疑问。另外，欢迎去分答向我提问。【刚开通分答好冷清 大家随意 不管在哪个平台提问我都会认真回答～    分割线 —————————————————————  题主是准备考人大新闻学院的研究生么？我今年刚考上，最大的感觉就是，一定要坚持，并且人大很公平，至少新闻学院很公平，毕竟我本科在一所名不见经传的普通二本。 ------------—----  最近一直太忙，不能一个个回复小伙伴，有问题可以分答提问，也可以加扣扣 348508527 ～
做为一个河南省的文科女生，高一本线64分，上中国人民公安大学的希望有多大，中国人民公安大学怎么样？,唉呀，谢邀，前面一个问题，由于我是江苏的考生。。。所以并不是很清楚，毕竟江苏满分只有480.至于中国人民公安大学怎么样，我不在那里上学，所以不太清楚，但是对于警校生来说，这个学校是很有名气，很不错哒，要求很高的分数，尤其是女孩纸，就这样。
中国人民公安大学出入境方向毕业后也是回生源地工作吗？,出入境方向毕业之后 如果你完成国考 可以在国家部委工作 但是如果你参加联考 就要回生源地工作 具体从事什么工作 与你专业性关系不大 关键看你联考成绩 如果成绩高 就可以选择一份不错的工作 成绩如果一般的话 只能留任一般的派出所 与你的出入境专业没关系
