2017云南考生高二本线30分可以上云南财经大学吗？,高等职业普通本科可以上
云南大学、广西大学、海南大学、贵州大学、贵州财经大学、云南财经大学研究生的经济类研究生哪个更好一些？,贵州人，本科海大，研究生云大，住在云南财经。 貌似很适合答此题啊。 然而现在已经录取完了，真可惜。。。 回头比较一下。  ————时隔一年之后的比较———— 学科排名之类的，网上随手一搜就有，就不用多说了吧。  先说个人的整体感受的，再说经济学。  学校名声的覆盖范围，和学校牌子的认可度。  云大在整个西南地区的认可度都很高。 已经博士毕业的师兄师姐们广泛分布于贵师大，西南大学等高校，部分分布于遵义师范这样的地方高校。有一个硕士师姐在六盘水师范，现在又回云大读博。 来自华东地区的同学有三个，据他们的说法，云大的牌子在华东地区，没人当一回事。  海大在海南内部认可度很高，我本科毕业时用人单位对往届学长学姐一致好评，以至于我去应聘时有些本地公司不看简历直接要（这些公司包括天涯社区这样的）。前辈的成绩让我们这些后来的人沾光不少。甚至有来自湖南的公司说“我们来海大也是因为觉得你们海大的学生不错。” 需要较严格筛选才能进入的公司一个是深圳的诺普信，一个是泰国的正大，还有中信建投。 当然可能是因为专业的特殊性，但至少可以管窥海大的声誉，至少在海南非常不错。 当然到了各发达地区，连云大都不算什么，海大肯定更不算啥。  贵大就比较尴尬了，在贵州内部名声都很感人。我学车时有个同学是小学老师，居然也敢对贵大嗤之以鼻，贵大再怎么也是贵州唯一的211，也不知她个中专生哪来自信。。。  贵州内部，贵财的财经类专业毕业生布满了贵州相应行业。 有个亲戚毕业于贵财，本科出来就去市里银行工作。还有个高中同学也是贵财的，现在混得很不错，在贵阳车房都有了。 贵财近来的强势和生源的强势应该有很大关系。上面提到的这两个人，一个来自贵阳一中，一个来自遵义四中，这应该能说明一些问题。 但贵财的影响力也就在贵州内部而已了。  云南财大认识的人少，不谈。   综上，名声覆盖范围云大&gt;海大&gt;贵大≈贵财。 牌子认可度云大≈海大&gt;贵大≈贵财。  当然，拿到发达地区去都一样，反正都是辣鸡。。。最多分个211、非211。  接着说，明明网上排名云大大致50、60左右浮动，海大贵大都100左右，其他学校更远了， 按理应该云大&gt;海大≈贵大&gt;其他。 为何外界观感差那么多呢。  我想可能是专业原因。学校的强势专业和当地经济发展不匹配。 贵大强势的方向主要是理工，蛋疼的是贵州工业落后，没那么多对口就业岗位。好多贵大毕业的同学要么跑去四川，要么做非本专业的工作，体现不出竞争力。 不过贵州这几年发展很快，前几年终于摆脱了人均GDP倒数第一，特别是县县通高速之后，各方面都能感受到日新月异的变化。随着贵州的发展，贵大必然也会更进一步。  海南同样也是个工业落后的省，几乎没有什么大工业。而排名和贵大差不多的海大，强势学科却是农学、法学、旅游管理、金融财会，高度契合海南的主要产业。海南省经济说白了就是农业、旅游、金融、房地产四支柱撑起来的。那么体现在学生就业、学校名声上自然会好看很多。 但海南省太小了，人口介于遵义和毕节之间，经济发展的上升空间有限。  甚至于海大在我个人感觉上居然能和云大差不多，这又要说说云大了。 云大最强的民族学、生态学、专门史，全国都能进前十（特别是民族学，全国第二，第一是中央民大），这些超强专业极大拉高了云大的排名。但是，又都是一些研究型非生产型的专业。虽然很符合云南特色，却难以像理工、财会等提供大量岗位，人少影响力自然就小。而且离人们的生活太远，不然为什么上面说的地市级医学院有那么大影响力。。。   谈完了对学校影响力的感受，第二个感受是学风方面的。 贵州俩学校没在里面读过书，不谈。  云大，云南财大和海大我都是在里面生活学习过的。 对各校学风的感受是:云大远好于海大远好于财大，非常符合三个学校的排名。  云大，任何时候教学楼的自习室都是爆满的，以至于我直接放弃去教学楼自习。图书馆也长年满座，本专业十个人里起码有五个人近乎于把家安在图书馆了。 最终，厌恶人多拥挤的我果断常驻宿舍楼下的自习室。没错，云大连宿舍楼都有自习室，海大财大都无。  海大教学楼和图书馆也很拥挤，但我的感受是，他这种拥挤就是典型的考前节奏:每逢大考人满为患，平时却冷清许多。  至于财大，我就举个例子。考研复试之前的第一天，我跑去云大复习，没座位，搞得我只好在公园石凳上看书。当天下午我就回财大去，伸手那么一数，自习室里一个两个三个人，加我一共三个。。。 复试前一个周我天天去财大自习室，就没哪次教室里的人超过五个。 这种环境学习起来真爽啊，再也不用蛋疼地抢座位了。   然后经济学这个专业。 由于此专业牛校太多，题主提的这几个学校在此领域根本就是。。。不入流。。。 别说全国前20，前30，前40也看不到这些学校的名字。  但如果硬要比个高低。我认为比较好的一个标准是博士点。 因为这些学校没有一个经济类的国家重点专业，而省级重点标准又难统一，博士学位授权点相对好比较。  云大有个理论经济学博士点，云南财大有个应用经济学博士点，而其他三所学校在这个领域都是无。  这只是粗略比较，真有志向选这些学校的，肯定自己还要深入了解各校师资等各方面信息。  无论怎样，贵大虽然尴尬，也毕竟是211，这恐怕是必须要考虑的。现在好的岗位动不动就要求211、985的背景下，这是一个门槛，有时候，如果跨不过这个门槛，就连进场机会都没有。 去非211学校读研，这个风险只能根据自己情况考虑了。   综合之后，我认为经济学调剂优先度云大&gt;海大&gt;贵大≈云南财大&gt;贵财。 个人观点，仅供参考。
云南大学什么东西让你魂牵梦绕？,呈贡校区梓苑二块二米线早点 清真食堂糖醋里脊 荷包蛋 步行街清真牛肉火锅 西门烧烤 蒸饵丝 夜晚云山的宁静 有一个大坡坡 国防生们称之为绝望坡  曾经晚上7:00钟到了教室突然不想上课了 在文汇楼出来 文典广场伴着夕阳 那是我觉得最美的云大 至今难忘
就读云南师范大学汉语言文学就业前景如何？,亲爱的，既然被录取了就从容接受吧！也许就是缘分呢！ 大学里面学好专业知识，提高自己的讲课能力，一定会找到好工作的！ 读师范出来其实选择也很多，可以去考教师编制。如果公办没考上，可以去私立学校，还可以去培训机构。 而且老师有寒暑假哦！
请问云南大学的图书馆学怎么样，我上完本科能做什么呢？,有图书馆学？你以后就跟着万亚陈强老师在图书馆搬搬书吧
云南大学滇池学院怎么样？,再次更新，已被985拟录取。  更新，考研已进某985复试，学弟学妹加油吧，即使是三本，只要自己努力，一切皆有可能。  —————————————————————————————————————   首先，不建议外省的同学来云南读书。 第一，云南教育相比其他地区落后很多，这是事实。外省同学来这里会有很多落差。 第二，滇池学院所谓云南最好三本不过如此，学校有两个校区，一个在郊区，一个在市区，都不大。当你去过其他学校就会发现你自己读的不像大学。云南交通不是很发达 第三，对于云南本省同学来说，滇池学院是个不错的选择。 第四，教育资源相对落后，大一的高数基本都是高中内容，还比高中内容简单点。 第五，师资。偶尔会碰到几个好老师，绝大部分老师说是云大的，其实不过如此，真正负责的很少，但是不能说没有。  鄙人是从教育大省来云南读书的，感叹地区差异真大，顺便说一句，云南的生源不是特别好，即使同是三本，生源比发达地区的三本降低了好几个档次，这是事实。以后绝对不会在昆明发展，云南人太安逸了，更何况一个三本。 
云南大学加什么社团比较好啊？,当让是  创行 啊！！！云大创行 我们拥有共同的愿景，即用富有企业家精神的行动创造积极的进步！  戳这里查看炫酷版创行介绍：           http://  t.cn/Rc0V4bO          云大创行的公众号哈  1.创行（Enactus）是什么？   Enactus（原SIFE-Students in Free Enterprise），即创行，成立于1975年，是一个由37个国家超过1700所高校在校大学生和学术界人士以及来自全球500强企业的商界领袖组成的国际性非营利组织，总部设在美国，为全球三大国际大学生组织之一。 Enactus取“Entrepreneurial”“Action”和“Us”的组合，意在“企业家行动”之意，同时凸显其核心信念：通过具有企业家精神的实践行动共同为社区做出积极改变（To enable progress through entrepreneurial action） Entrepreneurial丨企业家精神 ——是发现他人未发现之事的洞察力，是想象并创造不存在价值的才能； Action丨行动力 ——是愿意去做一些事情，并承诺将其完成，即使结果是未知的； Us丨我们 ——是一群人，深信并用实践证明企业家精神与行动的改革力量！ 中文名 创行 创——企业家精神的精髓。想象、创意、创新无限可能； 行——许诺共同采取行动。我们承诺用我们的热情、天赋和理念，以行动去影响更多的人。    2.有哪些学校加入了创行？  在中国有282所大学加入了创行，包括90%以上的985院校与80%以上的211院校。云南大学所在的创行中国西南大区共有20所来自四川和重庆的高校。云南大学更是云南省第一支团队！     支持的公司  3.加入创行能收获什么？   1 精英培养 Enactus为大学生提供了一个发展个人专业技能的良好环境，通过参与和运作Enactus的项目，学生不仅培养了良好的商业技能和领导能力，同时也培养了自身服务社区和周边人群的意识以及社会责任感。在这一过程中，他们逐渐成长为一群懂得利用商业机会来创造积极的经济和社会价值的精英领袖。这也正是世界众多顶尖公司把Enactus视为重要商业人才资源库的原因。    2实践锻炼 Enactus学生利用他们课堂所学的知识、指导老师的专业技能以及学校的资源来开展项目，从而帮助他人改善生活。他们帮助创业者获得成功、教给失业人群求职所需的技能，告诉家庭如何保持财务稳定，帮助处于困境中的社区获得经济发展等。      3职业发展 Enactus致力于为大学生和知名企业架起职业桥梁。与Enactus合作的赞助商企业会给Enactus提供种类繁多的全职和实习职位，通过富有企业家精神的商业实践，能磨练和培养出他们所需的具有高求知欲、学习能力、责任感和远大抱负的优秀毕业生！此外，Enactus还为学生提供多元化的职业培训，助其提高自身的领导力、问题解决能力、团队协作能力、与人沟通的能力和项目管理的能力等。   1、获得一个提升自我，锻炼自我的平台  2、培养你的领导能力，让你变得更自信  3、提升你的社会责任感，变得睿智成熟  4、在各种活动中得到能了技能的提升  5、让你将课堂知识在社会中实践  6、认识更多优秀的人，拓展你的人脉，开阔你的视野  7、与社会人士、政府官员和世界500强企业高管接触的机会  8、获得与来自中国各地名校优秀学生互相交流学习的机会  9、获得Enactus赞助商提供的实习和就业机会  10、让你提前接触真实的商业环境和商业实践，学到更多的商业技巧  11、得到一段充实有意义的大学生活，认识一群志同道合的朋友    大家一起加油啦！
云南大学的禁毒学是一个怎样的专业？,恰巧是云大法学院的。 法学院只有两个专业，法学和禁毒学。  云南大学URP应用系统    点击里面的本科课表总览，你就知道近五年来，云南大学每个专业的学生在每个学期上的专业课是什么，强烈建议要报考云南大学的学生好好看看自己来云南大学要学什么。 法学院新生第一年，禁毒学和法学学的课程一模一样。大二大三的专业课，两者有区别，禁毒学的特色课程有：毒品犯罪概论、毒品经济学、毒品侦查学、禁毒法学、治安管理学、物证经济学。这几门课就是禁毒学所有的特色了。偏重于理论，还比不上地方警官学院课程的实践性。 禁毒学的同学走的是和法学专业同学一样的路子，考司法考试，考公务员。可惜禁毒学专业报考外省的公务员专业待遇和法学专业不一样，只有在云南本省才会将禁毒学和法学视作同一大类专业。 禁毒学专业虽然是很有云南特色的一个专业，但是居然从来没有招过定向生，我们法学专业还招过两年定向生，所以禁毒学就业比法学专业还差。 作为云大快毕业的学生，就不评价云大教学质量怎么样，其他好学校老师也差不多是这个教学态度，肯定是云南省最强。在211里算是中等偏下水平，最知名校友为马学长，外省可能不知道我们的首任校长是熊庆来，但一定知道马学长。 -—— —— —— —— —— —— —— —— —— —— —— —— 如果提问者是要报考云南大学的话，建议来实地考察下。云南大学有两个校区，校本部和呈贡校区。校本部在翠湖旁边，市中心，没的说，区位绝佳。呈贡校区坐落于昆明市最南端的一个山麓，大学城最南端，周边有个商业街，提供吃饭和玩乐的地方，很漂亮的地方，尤其在早上和傍晚。大一至大三全部在呈贡校区，也就意味着，你做兼职找实习需要坐一个小时（情况好时）的公交车才行，通了地铁，但是地铁站有点远。假期不能留校，感觉就是长时间的度假。呈贡校区是个做生意的绝佳地方，无论是校门口摆摊卖小吃，还是在校园里摆摊卖东西，校门口不需要害怕城管，学校里绝对的自由市场经济。我在呈贡校区待过两年，它投入使用的前两年（2010.9-2012.9），很偏远很漂亮，待在这里有点虚掷青春的感觉（不是贬义）。  呈贡校区西门傍晚外景，超长曝光，傍晚时候，刚下过雨就放晴，灯刚亮，无ps。   上图就是呈贡校区法学院图书馆，复习司考的地方，好怀念。
求问辽宁大学和南昌大学和云南大学哪个会更好些？,文科生果断选辽大啊
关于云南大学外国语学院？,外国语学院是属于云南大学的一个学院，有英语，日语，泰语，越南语等专业，是一本，云南大学生物，法学，人文较强，外语一般。
如何能够成为云南大学的英语老师？,基本上都要求专业对口的，题主的计算机专业，有点难啊。 而且现在进云大外语学院基本上要有博士学历或有留学经历的硕士才行……  题主第一要解决专业问题。 其次能出国镀金是最好的，不行就读博……
苏锡常二类本科想去昆明读云南大学研究生值得吗？,本人本科是云大，我来说一下观点，以资参考。  1.现在的国内环境，文科不好找工作，985都不一定找到好工作，读211那就更不用说了，如果你想要的太多，那么我建议可以的话，尽量考985。厦大考不上，不是还能调剂云大么。不然云大经济读出来你可能会失望。  2.云大经济是个小热门，很多人考了，也不是都考的上。云南是边疆，相对沿海较为封闭。生活节奏很慢，人过的比较舒服，学校也没啥不好的。但是你想到沿海城市去靠学校开路，那估计是不行的，中国很多大学除过一小部分，大多数在本区域之外是没有辐射力的。但如果你毕业了，你家里能用211硕士的学历给你把工作解决，你想有个不错的211硕士学历，那么，你来读吧，你应该会读的很愉快。这里是春城，气候好。云大是个综合学校，价值观多元化，氛围较为活跃。云大的人大多数都挺好的，老师大部分素质都挺高，学识也不错。  所以综合的来考虑吧，你想要的有点多，而在现实当中有的时候鱼和熊掌一定是不可兼得的。
要去云南大学上学了，云南大学怎么样？,本人云大本科，对云大感情很深。题主问云南整体情况我是觉得没有必要的，一方面云南很‘大’，你本科四年能转下来的地方不多；另外云南省我眼里更像一个联邦，经济联系有限，不像别的省份可能省会或者大城市向心力很强，下面县市各干各的，所以我的回答会以云大为主。从三方面说吧。 一，环境。本人生在北方，应该说对于云南环境第一印象是惊艳，空气非常好，各处景色也很美，尤其校园内，无论本部还是呈贡校区你都可以随便找到拍照留念的好去处。云大本部给人的感觉是历史气息浓厚，毕竟当年和西南联大做过邻居。。。呈贡是新校区，目前还在进行二三期建设，总计四千五百亩地，图书馆加广场建好了面积快赶上小公园了，我估计等我研究生毕业也听不到全校园完工的消息。。。。不过主要设施都很齐全，缺点是校园太大坡又多，骑车党噩梦。。ps：梓园餐厅强烈推荐，虽然距离理科生们活动区域有点远。另外说一句，云大的动物很多，本部有猫有松鼠各种鸟，呈贡牛羊蛇蛤鹅狗啥都有，湖挖好后还放了一堆锦鲤。。。 二，安全。校园内当然非常非常安全，本部偶尔有cos还有宅舞的跑到会泽楼或者贡院附近，这就算危险人物了吧233。本部很多游客，很多带孩子来看松鼠的本地人，本部目前主要是研究生，所以学生游客辨识度也不高，总体上很安全。呈贡校区在郊区的郊区，保安对外卖小哥管的很严，说不让进就不让进，学生乖乖跑出去拿。而且学校周围就一条步行街，商户就学生一个消费群体，周围小区主要是给老师们盖的，只要你自己别瞎往周围野山上跑，作死是很难的。。。反过来说要是真跑到四周野山上，跑深了那稳稳作个大死（什么版本的传言我都听过）。这是校园内。 三，学校。现在云大入选双一流，还有国家取消211985，都是对云大的利好。云大有底蕴，有历史，从我个人看，因为我还有过复旦交流的经历，相对比来看，我觉得云大单从学风，教学水平来说属于一流大学范围，努力就有好出路，保研也是五花八门，我同学就保到社科院保到北大都有。就业本地基本无压力。部分专业根基深厚而且实力强劲，全国前几（云大的民族学生物学都是得天独厚不强没天理，大气有军工背景，物理数学也都不错），但是总体上各种资源确实没法和东部比包括师资，财力。影响力十分有限，属于西南地头蛇，出了云贵川极速衰减，跑到东部就剩下个211，不知道双一流能否改善一下。不过云大目前定位也不是在国内辐射影响，守好一亩三分地就可以了。云大最大的问题，应该是在于学校的管理和发展，僵化的官僚的东西还是不少，作为学生办事情有时候真觉得麻烦。另外由于地理原因，确实留住人才不容易，学生也是本地本省偏多，没办法╮（╯＿╰）╭。  最后回答一下我对云南的整体看法和给题主的建议。 云南是个好地方，也是个围城。云南人懒，不光东部沿海的人说，云南人自己也承认一些。但是不排外，除了实习时遇到一些社会底层人员外，整体印象是非常好的，然后我遇到的云南人都很享受生活，比如茶店老板娘会一高兴就带着养的兔子去西山，比如中秋节在农家乐吃过晚饭，然后回来的路上会听到明月几时有的歌声。比如到某老师家里做客你可能会和老师喝上一下午的普洱茶，其实云南人的懒，有时候和环境是有关联的。优点是环境优美，四季如春，温度常年在10～28度，生物多样性好，再有这边土豆和烤饵块确实好吃。城市都比较一般，总体都处于建设阶段，没有沿海城市干净整洁，然后昆明乞讨人员相对有点多这个确实比较烦，但是大学周围没有，老火车站那里是聚集点。题主关心安全的话，我就一句话，别自己瞎跑。昆明还好，像是呈贡，下边市县，荒山野岭，风景秀丽，但是最好远观而不要亵玩。去学校四周，去风评好的景点，那安全程度比我在复旦体验的还要好⊙▽⊙。非要去下面探险，兄弟，你知道云大缉毒学吗(≧▽≦)(#ﾟДﾟ)
云南师范大学的地理在中国地理界的位置该如何表述？,云师是非211，不过地理算是最好的专业了。有地理学博士后流动站、一级博士点、一级硕士点等。西南片区，抛开学校，单论专业而言，算是最具竞争力的！211的院校自己上网找找看。我再推荐两个非211的学校。一河南大学，河大的地理要求考数学，经济地理学的作者李小建就曾任河大副校长，现在也在带学生。二，福师，福师地理排在全国前十，但是不要跨考生。云师不考数学，自然地理学初试略难于人文地理学，报考生集中在人文上，因而自然竞争小，过线即可；人文人虽多，但初试比较简单，基本算是全国范围最简单的人文地理学初试了……简而言之，大志向大才华，报考985或者中科院某所；为学历提升，选211；综合性价比最高，算是云师
有人能找到 一下这一篇论文吗？ 定重谢 中国对法国的直接投资问题研究 作者 陈爱琳 云南大学 ？, 知网上面已经删除了这篇文章的链接哦，其他地方都找不到了，感觉很神秘。。。。 
云南大学复旦2+2？,当初我们专业就有五名同学参加了这个，大三才回来云大，我不知道选拔标准是什么。云大还跟山东大学有合作，大二可以去交流一年，很多专业有名额，自愿申请，会看你的考试绩点来选。
关于云南大学的一些问题？,昆明春城，夏天很少超过30度
一个云南大学生怎么才可以参加四川省公务员考试？,四川省考基本不限户籍，除了部分职位限制大专需本省户籍。直接报名参加就行了。 这么水的问题，匿了吧
云南师范大学商学院与文理学院哪个好一点，体育系的。。？,你去就知道了，3本学校，差不多。
云南大学gis研究生就业发展情况？,研究生不知道，云南本地某高校地科专业学生，有时帮助辅导员整理材料会看到一些gis专业毕业的本科生的就业情况，gis专业本科生毕业之后有的会去考公务员（云南地图院、云南地理信息测绘局），其他有的人会考研究生、还有选择去地州上当老师的，还有就直接放弃本专业干别的工作去了。云南这边gis对口工作真的少，主要以事业单位为主，建议可以去大城市找机会。 可能有些偏离了题主的问题，只是分享一下自己的见闻。
我是今年的云南考生，差一本线3分，想学金融类，想问下云南财经大学的中外合资的金融类怎么样？急需谢啦！？,本人会计，不是很了解！建议去贴吧问问
昆明理工和云南大学哪个学校女神多，哈哈哈哈看你们咋说？,毕业找的第一份工作所在的公司是某全国著名的企业在云南的分公司。领导说，在云南，公司招人只在云南大学和云南财经大学招。 我毕业以后，认识的云南人跟他们一说是云南大学的，立马感受到一种被尊敬的感觉。  云南大学在云南的地位不是昆工能比的。  另外，2015年校友网的中国大学排行榜中： 云南大学    排名63； 昆明理工    排名118。 那么题主觉得社会对云南大学认可度高还是对昆明理工大学的认可度高？ 我想这也是云大人很少回答这种问题的原因之一。全国只有39所985，云大人的眼光在向这些学校看。  不过因为昆明环境比较封闭，而云南大学在云南一骑绝尘几十年，有部分云大人（包括老师和同学），不思进取，盲目自信。忽略了云大其实也有很多自身的问题需要解决。  而云大和昆工的关系，其实是五十年代云大辉煌的时候（当时云大全国排名十几），由于国家政策需要，院校分流。云大工学院独立建院，现在为昆工。云大很多工科专业就没有了。现在少量的工科出自理学院或者其他学院。  另一个云大人不愿提这个问题的原因之一是，  本是同根生，相煎何太急。没有必要。
如何获取一张云南大学的饭卡？,这种不应该发云南大学贴吧，论坛，群里面嘛。发这里是无解的。而且食堂没有打饭票这种操作？
云南大学生喜欢在哪些渠道了解资讯？, 不知道您说的是什么咨询？？跟其他城市一样跟世界一样啊网络啊通讯工具啊，云南也不是骑着大象满街跑吧哈哈哈哈 
如何看待云南师范大学一直抓着“西南联大”的招牌不肯放手？,很多时候一个人或者一所学校，一直拿着自己的辉煌历史说事，其实只能说明他们的现在不够优秀。作为一个在师范大学呆了六七年的人来说，深深的感受到了师大的西南联大气息。说实话作为本校学生有时候很反感，甚至觉得丢人。但是转过头来想，其实怪不了学校，只能怪自己不争气，只是希望学弟学妹们，辩证的去看待这个问题。可以不以云南师范大学为骄傲，但是希望若干年后，可以成为云南师范大学的骄傲，让西南联大成为我们辉煌的历史，让自己成为云南师范大学骄傲的将来。
云南2017考生理科，高二本线68分，可以报云南财经大学吗？,可以的，云财也有二本的专业
我是北方大三学生，因为情感问题要在昆明工作定居，读外省的985学校再回来找工作还是留本校（云南大学）？,问题描述：我现在是云南大学大三的学生，即将面临着考研，女朋友今年工作，因为女朋友的工作是在昆明武警部队，八年之内不能换工作，所以女朋友决定以后在昆明定居，我很爱她我们之间的感情也很稳定，跟我爸妈商量了一下他们也同意我以后在昆明这边定居。所以现在问题就来了，我本来的打算是研究生去外地读985院校然后再回来找工作，但是这样的话我们就要异地，异地恋感情很容易问题，或许这份感情就夭折了。所以就在犹豫要不要本校（云南大学）读研究生，这样的话可以多陪陪她，感情也稳定一些。但是对于以后在昆明工作我不知道是外地的985院校来的好一点还是直接留在云南大学以后在本地找工作好一点？内心十分的纠结！
上海中医药大学对云南文科录取线是多少？,似乎只招理科生吧……
云南师范大学就业情况如何？, 只要不是985 找工作大部分都得靠自己和运气 
16考研调剂，材料学专业是调到云南大学好，还是昆明理工好？,读研究生还是看梯队导师吧，都是在昆明的高校，虽然云南大学是985，211但是在那西南角和昆明理工差距并不大。
企业管理考研，请问江西师范大学和云南财经大学哪个更适合一点，关于专业力量、师资力量、学科建设等，？,你愿意来江西上学的话我觉得江西财经大学企业管理更胜一筹。
云南大学文科专业求推荐，会计、经济考研怎么样？,谢邀。 如果决定在云南工作就经济学院金融，会计专业。如果不打算在云南工作就不要在云大
上海大学与中央民族大学 云南大学对比?,在北京，又是三环以内，旁边有国图，交通便利，985综合实力不错，当然是中央民大好。
十月二十九号，余秋雨会来云南农业大学讲座。请各位随意评价一下，评价人、事都行。话说，他是在走下坡路吗？,他有上坡过？
在云南师范大学读书是怎样一种体验？,“你们学校男女比3:7。” “我们有电影院。”   “你们学校男女比3:7。” “我们有游泳馆＋健身房＋温泉酒店。”  “你们学校男女比3:7。” “我们有土豆宝宝啊！全国唯一一个马铃薯学院！专注研究炸马铃薯、清蒸马铃薯、红烧马铃薯、芝士焗马铃薯.....（误）”   “你们学校男女比3:7。” “我们有最好吃的小锅米线（虽然连涨五毛，但是爱觉不累(∩ᵒ̴̶̷̤⌔ᵒ̴̶̷̤∩)）。”   “你们学校男女比3:7。” “我们春有樱花夏有荷花秋有银杏冬天走哪哪都是绿的！一个字，超美(❁´◡`❁)*✲ﾟ*”   “你们学校男女比3:7。” “我们有南湖有北潭，黑天鹅在波光粼粼的水面上引颈长歌（脑补的）。”   “你们学校男女比3:7。” “我们有布满薰衣草的情人坡。”   “你们学校男女比3:7。” “我们学校经常承办各种活动，马頔、邓超、艾力...CUBA一大波男神女神...汉语桥满眼的外国小鲜肉(ˊo̶̶̷ᴗo̶̶̷`)。”   “你们学校男女比3:7。” . . .   ——————我是可爱的分割线—————— 关于在云师大读书的体会嘛   来了你就知道   ——————我是可爱的分割线—————— 眼看着这个问题慢慢被养肥，我又回来了～   从大一的时候洗澡全凭天意，到了大三我萌终于可以每天洗上热水澡了～ 作为一个特别好养活的女孩子，我觉得在师大读书猴幸福的～ 【关于吃哒】：常年混迹于西区食堂，感觉二食堂的肉比一食堂的好吃，主打鸡肉牛肉，三块钱一荤（比一食堂便宜五毛！而且好吃！）一食堂素菜多，而且我一直钟情于卖凉菜和卤味的窗口～每天必打～哇哈哈～重点是一食堂二楼有小锅米线！加个蛋超好吃～东区食堂吃的也超多，傣味、韩料、蛋包饭...对啦，我们以前校门口还有屌丝街，啊啊啊啊，一到晚上就是吃货的天堂，现在搬去仕林街造福民大了...要是你们感兴趣的话，改天专门开个贴聊聊关于吃哒( • ̀ω•́ )✧ 插一个食堂话唠大叔的故事：一食堂有个卖英凤饵块的大叔，是个和蔼的话唠～每次我们去买饵块他都会乐呵呵的和我们聊好多～他特别爱介绍他做的东西“这个很营养的”“那个去火的”反正就每次都说一样的，无非是介绍他做的东西绿色健康又营养。他很辛苦，每天早上4点就要起床做新鲜的早点（熬粥、煮鸡蛋什么的）然后晚上九点才能休息，有时候忙的走不开早饭晚饭都吃自己做的饵块。他干这一行很多很多年了，但是也没见他觉得烦，反而他很欣赏自己做的食物，乐此不疲地和每个和他搭话的顾客聊他卖的食物。他对待生活那股劲特别棒～ 【关于玩哒】 我们学校有游泳馆、健身房、电影院、温泉～这些常见的去处就不介绍了，介绍一些冷门的可玩的地方～英语学院有琼安的书屋，里面全是外文原著，气氛特别好～艺术学院有钢琴练习室，前提是你有这个学院的小伙伴带着去～大学生活动中心到了晚上经常有去跳街舞的～学校里面还有茶室，可以喝喝茶～对了，西区一食堂1.5楼有打麻将的咖啡馆  【关于学习】    对于某答主所认为的师大是学风不好的三流大学一说不予置评。只想说大学学习真的是靠自觉，你在什么样的圈子里看到的就是什么样的状态。如果你七点起床逛一圈校园，多去图书馆和自习室坐坐，也许你不会那么绝对地给出一个评判。不敢说老师教的有多好，但至少我是遇到了一些好老师的，亦师亦友，受益良多。身边的同学也有很厉害的，我总觉得大学里遗憾的事情就是学的太少了，因为可以学的真的很多！  所以，我要乖乖滚去学习了～过两天再来填坑(｡・`ω´･)哇哈哈哈  ————————我是分隔线———————       师大也有很多高规格的学术讲座～多关注学校动态就不会错过和学术大牛面对面交流的机会了～
云南财经大学怎么样？,题主你好，我是云南财经大学13届的毕业生。第一，在云南，二本分数可能去不了。第二，我想对所有黑我们学校的屌丝说两句。财大的不足无疑就是学习氛围以及硬件设施，说到底，这都是外因。学校安排的课程，老师的水平都非常不错，实践机会也不少，你凭什么学不好？学校的藏书很多，图书馆环境也很好，你凭什么学不好？就是因为你周围的同学都玩？就是因为考试的时候老师划重点？还是因为你有不懂的知识去问老师，老师不告诉你？从来不要鄙视一个学校，因为为自己的失意找理由的行为，实在是没有格调。。。  _  现在我在南开大学经济学院读研。感恩财大。 - 又一年，高考结束，首先希望学弟学妹们能够去更好的学校。如果分数合适，云南财大将是一个不错的选择。 有人说了，选个好学校不如选个好地方，这话确实不假。比如对外经贸和央财两所学校的学生，在本科阶段的实习机会要比南开的学生多很多。也正是由于学校地处西部，远离中国的金融中心，所以无论这几年财大怎样努力提高自身师资，排名也拼不过年轻的南京财经和山东财经。但是财大毕竟作为云南地区财经类专业门类最全，体系最完整的商科学校，在云南地区财经界的存在感还是有的。 未来谁说得准呢？希望母校越来越好，希望未来在高端的社科期刊上，能频繁出现云南财经的名字。也希望学校在应用经济学领域披荆斩棘，为全国金融系统注入新鲜血液。 最重要的，学弟学妹们，你们才是承载母校荣誉最核心最核心的存在。加油！
