暨南大学保研率为什么那么低?, 因为暨南大学不是教育部直属的985高校。 
广东外语外贸大学好，还是211暨南大学好？,广外除非是一些好专业否则不要来，非常水，垃圾学校，广外就业不错，但是根本没什么综合水平可言，你身边的人也很一般，自私自利的很多！ 最后再说一遍，本科真的优先选学校。无论是学校牌子的影响力还是你的校友关系，你都能占到不少的便宜。而在毕业后找工作的时候，决定你能去哪，拿多少钱的因素，通常是这两者。
暨南大学更适合哪些人来？,谢邀。  作为一个在暨南大学学习了七年，在广州、珠海和深圳三个校区都生活过的学子，我很荣幸可以就个人感受回答这个问题。  暨南大学，是一所承受太多包容太多的百年老校，是一所生于北方位于南方的风范大校，也是一所在教育产业化浪潮中略显被动的学校。但正因为所有这些，这是一所有情怀有故事看得见摸得着的有血有肉的学校。  来到暨南大学的学生非常多样，由于处于提前批，在几个大省每年都有高分生源(top学校的分数)，也有许多港澳台的同学(成绩可能不那么高，但许多地方非常优秀)，这会天然造成一种极具包容性的学校文化，这种包容性的氛围和包容性的思维，离不开很重要也忘不了。  在地理上暨南大学处于珠三角，对于这个分数段的绝大多数考生来说，这是一所“性价比”极高的学校，高体现在学校可以给予学生的资源，也体现在毕业时的综合竞争力。这是一所只要你真想学习、真想干事，就一定会学有所成、事有所成的学校，因为学校现在极需要这样的人，而如果你是这样的人，放心会你会见到更多的朋友而不是对手。  具体的衣食住行我就不说得太细，网上可以搜索得到，我当时对暨大一无所知，但来到后从未后悔，暨大已经是一个符号，一个归宿，每当现在身边有人要求推荐学校时，我都极力推荐暨大，不是自卖自夸，是我有这个信心，当你真正努力过经历过，你可能感受比我更多。  有价值的生命才会产生有价值的情感，大学四年在哪玩游戏在哪网购其实都一样，如果你来到暨大，成为我们的师弟师妹，希望你一是吸收营养健康成长，另一就是好好琢磨努力发展。  学校和地域环境最终只是外因，路怎么走永远要问双脚，欢迎报考暨南大学！  --------------------- 各个校区和专业又各不相同，如果追问再补充。
211本科会计，考研纠结在对外经贸大学和暨南大学之间，会计学硕？,谢邀，这是我在知乎第一次被邀请，很荣幸，谢谢题主。  我是对外经贸大一的学生，所以对题主的疑惑不是特别了解。我只是单纯觉得对外经贸的实力是明显比暨南大学强不少的（虽然知名度不高但这与综合实力无关），相信对外经贸会是更好的平台。  我是因为喜欢北京报了对外经贸最终考到这儿的。在北京的这半年，北京的雾霾确实很严重甚至经常一周有三天体育课没法上，但空气好的时候还是很好的。不知道题主本科在哪里就读，我个人觉得北京是个不错的地方，不管是历史古迹，还是其他等等很多方面都有它的优越之处，当然还是要看题主自己对这个城市的看法，还有其他基于自身因素的考虑，最终来选择一个最喜欢也最适合自己的去处。  很抱歉不能给题主什么实质性的帮助，但还是鼓励题主，祝福题主，希望题主尽快能够明确属于自己的选择和方向，祝愿题主考研顺利，事事顺心。  欢迎题主来对外经贸成为我的学姐/学长。
苏州大学与暨南大学哪一个更能促进自身发展？,看你去哪里发展，华南地区选暨南大学，华东地区选苏大
在暨南大学修读双学位是一种怎样的体验？, 一直在知乎都是潜水，这次也干脆匿名，或许认识我的朋友看到这段文字可以认出。   最近有人问我，念双学位到底好不好。  这是个复杂的问题。递交双学位申请是在两年前，六月中下旬，递交截止的最后一天。系主任在负责研究生答辩，很忙，而我需要得到她的签名，才能把资料往上交。  她很不开心我打断了她，看到我的成绩单，更加愤怒：“你这样的分数，我不是很建议你去学习，我们学院很多学生我已经拒绝了。”她从各个角度替我分析，无论是本专业，还是双学位，我最后都会一无所获，甚至是溃败。  回到寝室后，望着成绩单发愣。大一第一学期的成绩并不优秀，事实上整个大学期间，我的成绩都不优秀——也正因此，凡是与成绩挂钩的奖项，我基本无缘。  但是，我有些不甘。  高考完填志愿的时候，我随波逐流。不想出省，按照省内高校的“排名”，一所所填了下来。按照老师们的指引，学校的名声能够让自己的背挺得更直，不过经历之后才发现，首先自己得挺直，其次再谈学校。  因而很不幸，盲目的填报最终也盲目落得一个不愿意学习的专业。大学生活基调仿佛被定格在痛苦与煎熬之中，室友同是天涯沦落人，终日以游戏洗脸，在经历与见证一些事情之后，我最终意识到，我学习的专业，或许救得了身体，但救不了我的灵魂。  这大概是我写作的动力之一。  当年双学位申请通知出来的时候，还是有很多选择——新闻学，金融学，投资经济，计算机，工商管理等。在盲目之中，我也受到了本校热门专业的洗脑，同时由于中学时期对数学的热爱，最终选择了很多人报名的金融。  那会，总有些劝阻的声音响起，说是学习了并没有什么用，单位不会承认学历什么的。不过我倒也没去想那么多，有用没用学了再说，反正我周末闲着也是闲着。  于是，我又拨打系主任的电话，恳求她答应我签字。她思索许久，最终让我前来答辩大厅，她说道：“如果你没有提高成绩，我会取消掉你学习的资格。”  不过直到现在，她也没有取消我的资格。  就这样迎来了又一次“高三”洗礼，每周末别人放松休息，节假日别人游玩的时候，我都在教室里学习。  如今，双学位毕业论文与毕业实习的分数也已出来，不高不低，恰好满足。两年的双学位课堂中，我没有错过任何一门开设的课，因此最后得到的学分，比要求的还多了六分——这样的信念倒也简单：不想浪费周末的时间，难拿分的课堂也去开拓视野，我知道我是一个要逼迫才会学习的人，“不选课去旁听”对我而言只是一场幻梦。  lulu是一个很严格的老师，但他是真心对学生好。他早已没教我们，活跃在朋友圈之中。前几天他发送状态，配上图片：“又结束了一年的双学位。”是呐，又结束了一年，一年前我看着同样念双学位的师兄师姐发着毕业论文的图片，吆喝着要去拍毕业照。时间过得真快，一年又这样结束了。  有的人说，它学习的内容很枯燥，课程很虚假，混混就能够过去了。  可能在他们的眼里，除了双学位之外，所有的课程也不过如此。事实上，每一个周末的努力都能成为值得记住的故事，课堂上的知识当然不可能满足生活的需要，时间紧迫，科目繁多，比高三更加疲惫，每个人志向不同，理解的问题也全不同，我也不能说出一个标准答案，也无法去评述对错，因为我本身就是事件的亲历者，难免会加上自己的主观评价。  不过，它到底好不好，时间与意志会证明一切。  2  上周三主专业的师兄师姐答辩，我们大部分人都进行观摩。  不可否认，答辩这道关卡是很多人心中的boss，它常常决定了四年的努力会有怎样的证明。  幸运地是，亲眼见证之后，心中的畏惧也少了几分，更何况我也经历了双学位的毕业答辩，虽然没有抽到我。  或许是大学期间最后一次展示了，每一个人在讲台上都展露自己最好的一面。一身正装，谈吐流利，虽说问答并非自如，但总归交上了最后一份答卷。  收拾完毕，师兄师姐们朋友圈里全是胜利的合影。  第一次旁听答辩，也是最后一次旁听，下一年，就该轮到我们了。  3  师弟是我真的师弟，同一所高中到这个专业的第三人。  自三年前我的到来，每一年高中都会献上一个孩子到这个专业。师弟说邀请我参加毕业生欢送会，我婉言谢绝。不是不想参加，而是不能参加，那时候我在北京。  去年的这个时候，同样是欢送会，同样是在北京，不过是因为不同的事情。因而算起来，本专业的欢送会，我只参加过一次，大一那年由我们自己给大四师兄师姐举行的欢送会。或许明年，同样有师弟师妹们给我们欢送，但那时定是另一番心情。  有人戏称这是专业年会，本专业各个年级汇集在一起，都是朋友，谈论过去现在和将来。  最后的合影虽是笑容，每个人都流露不舍。  4  从北京赶回来的时候，匆匆洗完澡我便跑到实验室里协助队友实验。  这是本学期的最后一次实验课，也是四年来最后一次实验课。  没有人来得及不舍，更没有人拍照留念。由于是设计性实验，每个人都紧张地看着自己的实验数据，生怕出了什么差错。在摸索与实践中，时间过得很快，匆匆到了下午，而我与队友，连午饭都没来得及吃，紧张地忙碌着实验。  我们的手套，是两年前第一次进行生物实验时在淘宝买的，多少份倒已不记得了，不过刚好用完。  很多人的实验袍沾上岁月的风霜，甚至已经更换。  但胸前那褪色的班级名字，仍然在烈日下有些发红。  如同湿润的眼眶。  5  已经是十四周了，这学期的课程也即将结束。  这个学期参观了几个企业，仿佛看到了这个专业未来的走向。  去年这时候，师兄师姐们说结束了大学最后一课，想想我们也是如此，很快就要结束课堂的理论学习。  今后再也没有每周约定好到同一教室上课了，许多人甚至只能在毕业前的通知会上匆匆一见，或者只是活在朋友圈之中。  大学过得这么快，毕业照也无法凝固时间。  6  高中的时候，每逢高考高一高二年级便会放假，腾出教室给高三学生作为考场。  班上负责摆放桌椅的是我，虽然我不是班长。  后来，到了我们高考的时候，仍然要摆放桌椅，不过这一次服务的主角，是我们自己。  我们班长看着教室背后的对联，眼神有些不舍。  上周我上火车前，他来送我。  烈日很像当年的烈日，我们却隔了很多说不完的话。  不过我还记得他把我们锁在寝室里，把锁挂在自己脖子上的趣事，有机会我会讲给你们听。  7  今年的学生代表大会，我不能参加了。  回想起过去的经历，自己在也参与过很多学生组织的工作，没想到待最长时间的是学生代表团。  看到新一届成员的面孔，看到新一届学生会换届，看到评选新任学生会长的结果，虽说不是看好的那位师弟当选，不过我相信新会长也一样能做好。  想一想，上次学生会换届的投票，是我最后一次在学院里投票了。  8  今年暑期很忙，是我大学实践里最后的课堂。  双学位的毕业照发下来，背后并没有写名字。五十多人只有五个男生，然而大多数人我仍叫不出名字。  我想起了有人问我的问题，念双学位到底好不好？ 
可以分享一下暨南大学的 法硕（非法学）情况吗 录取分数 奖学金什么的 越详细越好~？, 您好，谢邀~  先来给您看下暨南大学的简介   近几年的复试线   参考下17年法硕招生目录      备注：  1．奖助对象为纳入全国招生计划的2017级非定向就业全日制硕士与博士研究生，不包括定向生。  2．“少数民族高层次骨干人才计划”硕士生在校期间享受二等奖助金，博士研究生享受三等奖助金。  关于学制。  （一）硕士生学制2—3年。  （二）博士生学制一般为3年。  （三）学生按学制每年缴纳学费。  关于学费(以广东省物价局最后核定的为准)  （一）硕士生  1．非向就业全日制学术型硕士生8000元/年；定向就业学术型硕士生28000元/年。  2．各专业学位各学费标准不尽相同  3．定向就业单考生每年40000元。  4．“少数民族高层次骨干人才计划”硕士生8000元/年（不分学硕和专硕）。  （二）博士生  1．非定向就业全日制博士生，每年10000元。  2．定向就业博士生，每年40000元。  3．“少数民族高层次骨干人才计划”博士生每年10000元。  其他信息可以到厚大法硕官网 暨南大学法硕招生简章目录_历年分数线_调剂复试信息_厚大法硕   进行查看~ 
如何评价暨南大学？,作为一个刚毕业不久的暨大本科毕业生，还是说说我在暨大的这四年吧，顺便试着评价一下暨大。 主要从生活感受的角度，可能略煽情，不喜勿喷。 可以说，暨大的这四年是目前人生中最美好的四年。其实我很少问别人选择一所学校的目的，所以更不知道大家来暨大的目的，或者选择某个系的原因。 当时懵懂的我选择暨大的原因当然是名气，当年中大招生表现出一种很bitch的高调状态，最后果然分数线变态高，当时心中没底，更宁愿去次好的学校读想读的专业。（最后幸好没报中大，差了1.5分...）  看了不少外省朋友的答案抱怨暨大名气不够，但…这不是明摆的么，中山大学在外省都不一定有人听说过，甚至以为中山大学在中山或者南京…那更何况暨大或者华南理工呢。所以如果要追逐名气，请远离广东省高校。    不过不得不提的是，暨大是居然是这三所学校里面就业率最高的，至少据我了解是。举个例，当时我们班（接近80人），读研的读研（大概1/3，包括国内外），找工作的刚毕业那会除了少数全都无缝接驳了。所以如果大家追求名气不是为了可以可悲的炫耀一下自己的本科背景，而是追求在广东就业的话，暨大还算是不错的学校。  好吧还是说说这四年是怎么过来的吧。  首先声明本人是学渣一枚，很多危险动作切勿模仿。   学习生活方面   为什么先讲学习生活？因为我觉得这里不用费太多唇舌，这总体来讲并不是暨大的特色所在。当然暨大某些系还是有很强实力的，譬如会计、传媒方面，在华南地区首屈一指。要知道香港很多电视台例如TVB就大部分是暨大传媒毕业生，不过当然大部分是香港学生到暨大读完回去工作的，广东省各大传媒都一定有暨大的线眼。总的来说，在本科碰到有意思的老师占一半吧，所谓有意思是指，一种是学术上很有造诣又很会教，另一种则是这老师真心很有意思。  在暨大，后者比较多。很多老师愿意在课堂跟大家分享自己的人生经历，因为不少老师有过企业工作经验的，或者很会聊自己的经历和看法，会经常跟大家讨论某件社会事件，即使这老师可能教的是运筹学。记得当时教货币银行学的老师，在学习上抓的很严，给分也很严，但是上课总会用三分之一的时间讲自己的经历，而且非常搞笑，相信我，大部分时间你会抱怨太早下课。而且这些经历都不是说笑笑就算的，还多少是跟某个知识点有关，真的非常佩服这个老师。很多内容开放的课，老师一般比较有趣，例如计算机基础啊，近代史啊，思想道德教育，甚至毛概这些必修课，老师都有惊人的水准，往往会感到自己上这课能学到超越期望能学到的内容。反而正儿八经的理论课，什么高数啊高代啊，还是朗读ppt的老师居多。总的来说，教偏文科内容的老师比较有意思（虽然貌似是常态）。  另一个不得不提的传奇老师，标哥，现在教的是数学分析，只要上过他的课，无一不被他对数学的热情所震撼，这个老师在香港也有不小的知名度。早些年标哥跑了香港一圈，交流学习，后来有师姐去香港读精算硕士，香港的教授反而问师姐，你们学校不是有标哥么，还来这边读精算干嘛。要知道，只要大概知道统计的人，应该会知道SAS这个统计软件，这是全球范围内大公司必备的数据分析以及管理软件，而在十年前，标哥就在暨大教SAS了，可能我孤陋寡闻，但是目前我还没听说国内有哪所学校有开SAS课的。  当然，论师资，暨大不能跟一线大学，例如清华北大浙大那些比，但作为本科生，我觉得这点影响还不算很大。虽然有大牛教感觉不一样，但现在很多大师都不肯教本科生了，即使教，又会尽多大的力气呢，还不如回去管管自己带的学生，多发几篇文章。所以总体来说暨大的老师还算是比较令人满意的。而且每间学校都肯定有极品老师的，暨大的比例目前来说不算糟。   课余生活方面   高三毕业后，本人基本是带着“书本上学到的东西以后都没啥用”的心态进入我的暨南大学的。由于本部扩招，人太多，宿舍太少，于是要被流放珠海两年。一进去暨大，感觉到无比的自由，甚至会有点自由得无所事事，对于受了多年的高压教育的我（们），一下子真的很不习惯。  没有军训是一个很大的原因，因为军训名义上是训，实质上是硬把不善于人际交流的各种12年教育下书呆子聚在一起，面对共同的敌人（教官），好培养一些战友情谊。作为华侨学府的最大特色：没有军训，起到了无心插柳的结果，大家会在半被迫的状态下，学会如何开拓自己的人际关系。  当时我傻乎乎，啥都想试试，第一年当了班长，班长是真心不好当。由于暨大的自由性，你会发现班长比较苦逼。所有同学都有属于自己的圈子，班里的班外的，由于各种兴趣爱好集结在一起，加上我们班当时80来人，向心力很低。想弄班服，没弄成，意见太多；想找足够的同学参加校运会，还得一个个做心理辅导；想组织班级活动，勉强弄了一个，参加率70%...而且最恶心的是暨大的行政人员，办事效率真的是...其实当班长锻炼了不少，特别当你要对抗向心力和行政楼的工作人员时，感觉人生特别有挑战...而且算是把80个人都认识了，还不错，但真的干的挺辛苦。  不过我的心思其实不太在班长上，珠海校区有个很有意思的地方，因为正如上文所说，我们的理论课真的教的不咋的，所以大家学习也不算很努力，对于无聊的课，老师不严的话就逃课，老师严格的课大家都在课上玩手机或者睡觉，当然学霸除外。就像其他答案也有提及，暨大会给人一种散漫感。因为这里没有人逼你学习，甚至没有人会提醒你说，挂了一科了哦，下学期不抓紧可是要延毕了哦；再不努力选些简单的课刷刷绩点就申请不到好的研究生大学了哦...因为学霸毕竟是少部分人，所以不免会给人散漫的感觉。  但也因此这里的学生活动可是搞的相当热闹，我当时进入了团委，玩了两年。据我了解一般学校团委都不会把组织架构弄很大，基本学生活动都是由学生会搞定。但暨大珠海团委和学生会可以说是对着干的，大家都有十几个部门，一共两百多号人，即使除了招新外，两大组织没有正面的冲突，但是多多少少会有假想敌的意思。因为大家办的活动，多多少少是有重复的，谁办的好，直接或者间接影响招新。所以大家都会很用心去做，这个竞争关系使学生活动有一种奇特的吸引力，有点像搞政治一样，因此大家都会想方设法把团委的工作做到极致。  以我当时的部门人力资源部（HR）为例，下致策划怎么写规范完善，实施起来效率高，绩效考核怎么弄才能同时收到评估和激励的效用，怎么能让其他部门的干事和部长更重视绩效考核，怎么设计干事培训等等等等...上至作为部长怎么处理跟干事的关系，处理跟其他部长的关系，处理跟上级的关系，甚至跨部门合作、部门发展方向等等。 正因为这种思想，大家一起成长的速度真的非常快，参加学生组织不能说是能力上有多大多大的提高，只是把之前初中高中教育中使用不到的才能发挥出来，或者说极大的提高了某些方面意识，例如创新和沟通，能大致学会如何想东西才能全面周到，沟通更有意识揣摩人家的思想，尊重对方情感。更重要的，那是一个认识不同领域的人的绝佳平台。你会认识很多想法很牛逼的人，或者是很有野心的人，或者是性格很好的人，这些朋友，都会是以后进入社会的巨大财富。  认真做事之余，素有BTHR之称的我们，也时不时在学校干些出格的事情，哈哈，不方便说，反正大家连通告批评都没有接过，就从侧面反映暨大的自由度了。  其实说实话，到时候回忆大学生活，你回忆的是坐在教室认真听讲的时光，还是与同学们嬉戏打闹的青春岁月？如果我当时知道这一点，我填报志愿的时候心里也许舒坦的多。  所以作为一所大学，暨大打的就是自由度招牌，这里有无限的可能性。前几天朋友圈大家都在传一个创业成功的师兄准备在暨大开设“年度最有趣的人”奖学金的新闻。   对暨大未来一些看法   其实暨大最悲催的一个问题是，暨大的管理层并不欣赏暨大的自由性，这一点从学校的很多制度可以看出来，譬如经常举办班级比赛、班级为单位的校运会等等，事实上参与度很低，最后在角落画圈圈的还不是各个班的班长。还有就是选课的自由度也不算高，必修课已经可以把人上死，好玩的公选课也不多。我以为还不如直接打破班级界限，像外国的大学一样运作会给暨大带来更大的优势，不过出于管理的理由，我想这是不大可能实现的了。  至于担心暨大学习风气不良的大家不用过于担心了，随着打算出国读研的小朋友增多，大家都忙着刷绩点去了，学生组织的规模也越来越小，大家心思不在，学生活动更是越发趋于平庸。  暨大现在很喜欢招收名校博士来上课，他们一般自视绝对不低，所以也不屑于研究教育方法，反正老子一整个学期微观经济学就给你们这些小朋友说“谷贱伤农”。我都逃好几次了，回去一上还是“谷贱伤农”。  大家（特别是家长）有一个非常担心的地方就是暨大外招生很多，怕影响风气。我可以负责任的告诉你，从比例上来看，外招生认真读书的，不会比国内学生低。而且外招的学霸，才是真学霸，那青春洋溢的脸上写着的就是人生赢家四个字，你高数100分很厉害么，人家100分还会拉小提琴。我真心不懂老一辈究竟是凭什么瞧不起人的。   总结一下   暨大的自由度，会使你像活在一个相对单纯的小社会当中，这恐怕不是所有大学能给的。但在这里，龙能变虫，虫能变龙，这全是看自己奋斗的结果，而且所有的压力都基本来源于自己。  我的意见只能代表我个人对暨大的想法，因为一方面能参加组织的人其实不在多数，我是其中幸运的一个；另一方面，我对上大学的理解和大家很有可能大相庭径。所以我只能从四年的经历挑一些大概说一下，也不能做得全面。  另外给各位正在or将要选择大学的同学们一个忠告：你的大学多牛逼都没用，重要是如何在这四到五年学会如何变得牛逼。你的价值并不体现于你的简历上，而在于你以后的工作表现。  匿不匿都有人知道我是谁吧我猜...
暨南大学不用军训，没有违反《兵役法》吗？,换个名字你们就蒙圈了？ —— 暨南大学2015级新生开学典礼8日在该校邵逸夫体育馆举行。当天开学典礼结束，新入校的本科生参加了新生训练营开营仪式。据了解，跟往年一样，今年暨大不对新生举行军训活动，而以新生训练营代替。  　　据介绍，新生训练营是暨南大学的创新之举，今年是第二次举行。旨在通过体验教育、知识讲座、体育锻炼、团队活动、集体竞赛、互动交流等方式，培养新生的纪律意识、团队意识、责任意识和创新意识，使新生在共同生活、共同学习、共同成长的良好氛围中，了解大学学习和生活的基本特点、规律及要求，尽快适应新的环境，融入新的集体，结交新的朋友，顺利完成从中学到大学的角色转变，以积极的态度、饱满的热情投入大学新生活，全面促进新生的学习与发展。        据悉，本届新生训练营具有诸多的特色活动，如通过举办《学子铭》征文比赛，让新生初步感受百年侨校的文化底蕴和传承；组织岭南文化考察活动，参观广东省博物馆、游览花城广场、珠海渔女等岭南特色景点，让新生切身感受岭南文化的魅力；通过组织新生开展集体创意造型设计比赛、班服及口号设计比赛，开展武术汇演及队列训练评比等活动，增强新生的团队和集体意识，培养新生同心协力的集体荣誉感。在学习的同时还会进行消防、防地震、实验室安全操作以及医疗急救等安全教育培训，提高新生的自我保护意识、安全意识和急救能力。   　　2013年新生训练营主要活动将于9月8日在校本部、华文学院、珠海和深圳四个校区同时开展，来自全世界各地的5000余名本科新生参与，活动一直持续到9月14日结束，为期一周。
如何在二线城市985类似湖大 与一线城市211如暨南大学之间选择?, 泻药。鉴于题主很可能是还没面临社会和大学生活的懵懂少年，我就稍微详细地阐述我的观点。  作为已经保送到厦大攻读会计学硕的，大四狗来说，我对高考志愿填报还是有点心得的，当时选择暨大注会专业也是经历过极长时间的考虑和纠结才决定的，直到填报志愿截止时间前一个小时我才填上了志愿。大学也经历了不少，获取了求职、深造以及院校等大量信息。总结来说，我填写志愿的指导思想便是根据你的职业规划来，哪个院校专业有助于实现你的职业目标就选择哪个专业，而不是管别人怎么想，毕竟每个人的偏好都是不一样的，强求每个人都是一样的偏好，从而做出相似甚至相同的决策是完全不现实的。  具体到你的问题，由于每个人对一般专业的定义不同，不知道你所谓湖大“一般专业”究竟一般到哪里去，所以假设都是跟暨大热门专业差不多的几个专业，包括会计、金融、经济、工管、统计、保险等经管专业。根据我个人的阅历和经验，简化点考虑，便是你本科毕业后究竟想直接就工作了，还是继续深造。   选择（珠三角）就业：推荐暨大。   深处珠三角中心城市广州的中心城区（但现在经济学院、管理学院、国际学院等热门院系都在番禺校区，比本部麻烦不少），实习就业咨询、机会跟长沙可不止你想象中一点两点的差别，而是指数级的差异。你若学了经济学，就会知道经济上有一种集聚效应，经济特别发达的地方拥有吸引各种产业和经济活动在空间上向它们集中的向心力，会集聚区域内绝大多数经济资源，而相邻其它地区却是相对于发达地区少的可怜。具体到就业方面，就是相对于长沙等全国其它地区，巨量的实习和就业信息和机会、市场化的商业氛围等等是广州独有的优势（举例来说，你在应届大学生求职网之类的求职网分别搜索两座城市的实习信息，差别可以发现是巨大的）。之前我参加保研夏令营的时候遇到来自吉林大学的营友，从他们的口中得知他们那边的实习信息极少，甚至大部分同学不知道实习这回事儿，究竟有什么意义，以及如何找实习，经济欠发达地区城市匮乏的实习信息和氛围由此可见一番；但对于我们暨大的经管学生而言，每人至少一个实习是学校强制要求的，有些专业甚至会给你帮忙安排实习，实际上相当多同学手握不止一个高质量的实习经历。而对于想找到理想工作的人而言，适当的实习经历及其培养你的职业素养不仅是你求职的核心竞争力，而且还是你挑选适合和自己感兴趣的工作的绝佳办法。在这个时候，城市的要素要强于学校。  当然，学校等级太低也是不行的，因为理想企业都有目标院校或者目标院校级别。比如只要211或者其中某几所学校。以我们相当多会计学子梦寐以求的四大会计师事务所来说，它们一般都有目标院校（所谓target school），一般来说其它学校的学生甚至连它们的简历关都过不了。幸运的是，珠三角好大学太少：即使暨大的名气离开了广东便很少人再知道，但由于珠三角好大学太少（985两所，211也才四所，跟其它经济圈相比简直相形见绌），暨大是包括四大在内的知名企业的目标院校，所谓广东三巨头之一，作为地头蛇以经管、新闻等优势专业在珠三角财经界、新闻界等行业校友广布，就业的优势一点不输相当多985院校。所以说暨大是一个性价比比较高的院校：你以一个只能上在全国来看只是普通211的分数，却能考取一个在全国三大经济圈之一的珠三角中具有显著就业优势的大学，这种大学本身较低的学术地位与其较高的求职就业地位的错配是作为一所普通211暨大的高考分数线（其实也包括考研分数线），特别是热门专业比相当多985大学及其专业的分数线要高的原因之一，即使这些985大学无论是学科水平（国家重点学科、博士点、硕士点数量、科技大奖获奖、科研基金等的数量）、还是师资力量（院士、长江学者、杰出青年科学家、千人计划等的数量）、办学和科研经费等等各方面，都比暨大高不知道多少个层级。这种情况我想自作聪明地称之为“暨大现象”，这在全国都是非常罕见的，你想想，环京津经济圈10所985，29所211，长三角7所985，21所211，即使把空间范围缩小到北京和上海这两个在各自经济圈的最核心地区，也分别有8所985，25所211（北京），4所985，9所211（上海），所以其它的普通211在各自的经济圈都面临着来自自己地区众多985、211大学的竞争，无法获得暨大这样天然的优势就业地位，这与一些历史原因密切相关，展开都可以写成一篇论文了，这里就不再细化了。   选择深造（保研或出国留学，考研则主要跟自己的努力有关，去哪所都差不多）：推荐湖大   湖大作为985大学，有着暨大无法比拟的学术水平：一级博士学科24个（暨大15个，下同），国家重点学科一级学科 2 个（0），国家重点学科二级学科14个（4），院士数量8个（7），千人计划53人（12），杰青21个（17），2016年科技经费7.66亿（4.46亿）等等。湖大的经管专业以2000年合并的湖南财经学院为主体，这是原隶属于中国人民银行的中央部属高校，在银行为首的金融行业校友广布，学术水平和业界的实力也不容小觑。  一般来说，985学校的学术水平比211的要高，这也导致保研和留学申请的简历筛选阶段，为了提高筛选效率，降低筛选风险，读研院校非常看重申请者的学校背景，985院校的身份背景能为你的申请材料增加非常多的竞争力。虽然这样会拒绝掉相当多潜在并且合适的申请者，但这也是无奈的事情，申请的人实在太多，基于在985院校的申请者中有更高概率遇见合适的申请者这样的前提，以是不是来自985院校作为条件之一筛选申请者，能够有效降低筛选成本。具体表现之一就是你在985院校的成绩更受到读研院校的认可，比如在申请英国的院校时，985的85分相当于211的90分等等。所以为了让你读研申请的时候能够更上一层楼，我觉得去湖大读书更有优势。  （以上对湖大的分析都根据网上和一些渠道的公开信息，关于具体学科、具体生活学习情况由于不是湖大的，不好胡说。有评论说湖大理工科给分很严，留学的慎选，具体看评论吧）  最后两个特殊情况：如果你不想留在珠三角，想去长沙求职，跟上面一样的道理，当然选择湖大；如果想去除了上述地方的其它地方求职，个人觉得湖大强点。   另外，看往年湖大的就业质量报告，每年超过23%的本科毕业生，约670多人会选择到珠三角求职（在一线城市中占比最大），说明湖大毕业生也倾向于在珠三角求职，在珠三角还是有一定势力的。如果题主不太确定未来本科毕业究竟是就业，还是深造，可以选择去湖大，到时候两条路都可以选择，给自己四年思考的时间。  当然，以上都是针对一般情形下的一般人，在其它条件都相同的情况下，未来拥有暨大或湖大的学习经历和身份在不同情况下竞争力如何的讨论，坚决不回应个别极端例子。如果你是金子，那么无论是就业还是深造，去哪所大学都可以发光发亮的。  其实这几年的大学生活经验告诉我，到最后在这些院校专业中千选万选，都抵不过你好好珍惜和过好自己的大学生活更有意义：尽早找到自己的目标和理想，制定具体的规划，让自己的大学有导向，让自己的每一个行动都有意义。我们会计学上有个概念“主营业务”，指企业为完成其经营目标而从事的主要活动，类比到大学就是大学阶段的主要任务，我们要时时刻刻地提醒自己，究竟要怎么做才能实现你的职业目标。多学一点专业知识，多练习英语，多参加比赛活动提升自己，多去实习适应社会和职业，多去结交良师益友相互学习促进，多学习一些一般化的技能（PPT，演讲展示，视频制作，ps等等），多去锻炼提高身体素质……总之，大学四年总要折腾出一些事情和成就来，不要总是把太多时间浪费在打游戏啊、网购啊、看脑残剧啊、看脑残综艺啊、刷微博微信啊、到处瞎玩儿啊等等对自己的成长没啥意义的东西上，更不要害怕困难，不敢面对未来残酷的竞争和挑战而选择逃避，无所事事。即使深处洪流，也要相信自己，坚信着自己的命运掌握在自己手里，以自己的实际行动不辜负你前十八年挥洒的汗水，让自己大学四年最终有一个满意的答卷。   以上只是我个人一点不成熟的观点，如果有暨大或湖大的前辈能指出其中的不妥之处，我将不胜感激。  平生第一次在知乎这么认真地回答问题，走过路过觉得有用的都点赞、感谢一波啦:-D 
普通二本保研到暨南大学?,保送成功的概率还是挺大的，本人也是一所二本排名一百左右的大学保送到暨大的，看了你的介绍觉得还是挺优秀的，好好准备复试时候的笔试和面试，加油！
为什么在广东，暨南大学（211）的地位和华南理工（985）的地位相当，并列全省第二？,你真的想多了，华工一向都是广东数一数二，中大也只是规模来看更大一些。暨南大学能不能当第三都不一定，很多人都认为广外或者华师，甚至深圳大学是广东第三，暨南很多人认为第六左右
广州第三的暨南大学是否被上海倒数的上海大学碾压？, 关键是倒数第几，倒数100吗，目前上海大学与同济大学PK上海老三的位置，上大与同济的差距，只是一个医学院，上大医学院一旦建立，同济上海立马第四，而且距离第三的差距还有点大，暨南要PK上大，先把同济PK下去再说。另外说，上海大学目前就业率99.15，是全上海第一，超过复交的，就业质量世界五百强单位22.64%，只差复交3个百分点 
选择华南理工大学还是暨南大学？,华工的会计专业能跟暨大比么。
