现大三 本科医学类 高中文科 政史地都不错 现在想跨专业考研 马哲 学校华中师范大学 求指导？,排名比较高，出路比较窄，三思后行
加入华中师范大学科幻协会是怎样一种体验？,       我是华师10级的，我没加入过科幻协会，不过我大一大二的室友兼死党黄皓是科幻协会的，好像还当过副会长，在他的带领下，我成了一个伪科幻迷，所以算是有一定了解，这里便来谈谈我对科幻协会的看法和一点设想。        与九州、奇幻类似，科幻也是属于一小部分人的，“铁甲依然在、天驱永不灭”、“生生不息、繁荣昌盛”，如果你会心一笑，说明便是同道中人。        上大学前，我没看过科幻小说，感觉最瑰丽烂漫的大概是《诛仙》中的奇幻世界了，什么青云山、滴血洞、天琊剑、痴情咒……后来看到黄皓的藏书中有一套《三体》，便拿起来一翻，这一翻就翻出了一个更加光陆怪离、天马行空的科幻世界。      《三体》带给我的震撼是不亚于《诛仙》的，不过话说回来，看《诛仙》时我才初二，知识匮乏，眼光狭窄，连摩天大楼都没见过，所以《诛仙》才印象深刻，它就像一面镶嵌着钻石的华美镜子，将惨绿少年荒凉的童年照射得纤毫毕现，所以才疯狂地爱上里面的人物。而看《三体》时，毕竟十九岁了，各方面还是提高了不少，所以那种震撼才更加深入灵魂，仰望星空，似乎那里不再是冰冷冷的一片苍茫，而是有着无数的文明在孕育、发展、繁荣、湮灭……        还是转入正题，谈谈科幻协会吧！        前面说了，我没加入过，当时我虽然看了《三体》，但更多的时间精力被足球、实况、奇幻、课本所占据，加了个文学社团，去了两会就没去了，因此当时也没想过加入科幻协会。因此，我只能谈谈我设想中的科幻协会。      1、志同道合、兴趣为王。小众，很大程度上意味着忠诚，凝聚力强，这一点要大力发挥出来。比如可以效仿玫瑰十字会、共济会之类的组织建立纲领、暗号之类的。      2、拥抱想象力，激发创意。想想一群人围坐在屋顶上，面对浩淼的星空，畅想未来的场景吧。      3、主题研究。科幻下有很多次级标签，比如“机器人”、“人工智能”、“星际迷航”、“三体”、“基地”、“蒸汽朋克”、“赛博朋克”、“环形世界”等，可以围绕这些主题展开活动，比如研讨会、小说及插图征集比赛、小型沙龙等。      4、协会会刊。这一点我认为是很有必要的，即使无法做到一周出一刊，一月一刊，甚至两月一刊也是可以的，里面可以收录会员的科幻随笔、随想、短篇小说、科幻插图、电影及小说鉴赏或者读后感、会员感悟，甚至是会员中的八卦，诸如此类。      以上就是笔者对科幻协会的一点设想，一家之言，仅供参考。      最后推荐一些本人看过或者想看的科幻小说：    《流浪地球》、《北京折叠》、《发条女孩》。 
对文科女而言，东北师范大学，华中师范大学，中国海洋大学，南京师范大学，山东大学威海分校对比如何?,保研率有11％，是山大从济南那边划过来的名额，但是比例还是比济南低一些的，不过保去的都是很好的985/211大学
华中师范大学对外汉语考研的相关问题？,呵呵，考研是为了更高的眼界，能过硬的专业知识，人越往上走，境界就不一样，结识的人也会不一样。绝不会停留在有没有人要这等俗的问题之上。我若盛开，清风自来。
本人，大三，女生，普通二本师范大学，想考华中师范研究生，家庭条件不好，应不应该继续考研？,针对问题 1能贷款就贷款，现在投资自己，回报绝对不是这几年花费10w左右能替代的 2能有饭吃有衣服穿就够了，不要眼光太短，愧疚一阵子总比愧疚一辈子好，我觉得还是多读点书以后日子肯定好过很多。 3读研之后，还可以留在华师当大学老师。不一定必须是高中老师。更高的平台才有更多的机会，更高的山峰才能见到更多的风景 4我觉得，真的努力到了，还是应该能考上的，不过，我也不能确定，因为，不可能你每天都是最佳状态的学习，还有其他很多原因，反正最后你自己负责你自己。讲道理，最重要的东西是未得到和已失去。我觉得，未得到给人的遗憾比已失去还要让人不甘心。  我还是建议你去考研的，如果你心里是想考研的话。 因为就算失败，也是为自己的理想而奋斗，不算遗憾， 假如成功了，就是到另一个平台，给你带来的好处，绝对不止是求职时候多的那几百块钱工资，带给你眼界什么的好处简直说不清楚，有些东西，你不进一个圈子是不会知道的，能进入一个好的平台，会带给你很多机会，真的。人生的选择还有很多。谁说就一定要当老师了？世界这么大？不想去其他国家看看？还有这么多语言？你会几门？以后有孩子了，你是难道不希望自己知识素质经济 越高越好么，这样才能提供更好的教育。 退一万步，就算研究生出来工资高不了多少，甚至研究生期间也没有好好努力奋斗，但是，光是这个圈子对你的影响，就已经能够给你带来很多好处了。 不要想着打工挣钱，以后几十年都得打工呢，急什么，不差这几年，你研究生期间课很少，自己可以去做很多工作的，也是很挣钱的。  读了大学的人应该知道读大学带来的好处，读了研究生的才知道研究生的好处，。 不要去想能不能考上，不自信的人，做什么事情都不会全力以赴，谈何成功呢呢呢呢呢呢呢呢呢呢呢呢呢？？？？？？？？？
想跨考华中师范大学的心理学研究生？, 不知道你英语四六级都过了吗？如果没有的话，趁着刚大二还来的及那就好好学学英语，而且英语好真的是一件终身受益的事儿。  其次就是先买一本普通心理学看看自己能不能读的进去，书本上的知识能不能理解。  如果自己之前学过心理学的一些知识，那么理解起来应该没有太大问题。  其次把华中的书单给你：  1．《普通心理学》，彭聃龄，北京师范大学出版社。【第四版，全部14章】  2．《实验心理学》，郭秀艳、杨治良，人民教育出版社。【结合其他科目出设计题】  3．《社会心理学》（第三版），侯玉波，北大出版社。【金盛华老师的书作补充】  4．《现代管理心理学》（第四版），程正方，北京师范大学出版社。  5．《发展心理学》，林崇德，人民教育出版社（第二版）。  6．《变态心理学》，钱铭怡主编，北京大学出版社。  7．《心理咨询与治疗》，钱铭怡，北京大学出版社。  8．《人格心理学》，美Jerry M.Burger著；陈会昌[等]，中国轻工业出版社。  9．《现代心理与教育统计学》（第四版），张厚粲，北京师范大学出版社。  10．《心理与教育测量学》，郑日昌，人民教育出版社（第三版）。  11. [美]理查德·格里格，[美]菲利普·津巴多 著；王垒，王甦 等译《心理学与生活》，人民邮电出版社，2003年版  有的书是学校没有给的，但是它的真题有涉及的，所以还是要看看，  有什么问题可以在评论区问我，也可以直接给我私信 
华中师范大学为什么赶走范冰冰?,我信我师，被拉去炒作也就罢了，还要背锅被骂。 
华中师范大学的寝室是自己选择还是学校安排？,不完全由自己选择，每个院先从宿管中心分配到具体楼栋和房间范围（一个院的一般都在一起），然后院里再按照专业分配房间和床位。你所能选择的宿舍也就只是在本专业可选范围内的房间和床位。
华南师范大学与华中师范大学哪一个好？,首先从中国师范大学的排名来说，第一是北师，第二是华东师大，第三应该是华中师大   艾瑞深中国校友会网编制完成《2015中国大学评价研究报告》 中国师范大学20强     排名仅供参考  不知道题主所在地区，如果在广东，根据地域优势，华南师范的就业影响力并不会比华中师大小多少。 一般来说，华南师范的录取分数要略低于华中师大。  华中师大排名最好的专业是思想政治教育。  本人是华中师大马克思主义学院的大一学生， 入学将近一年，对华中师大的印象还是很好的。 当初理想志愿是东北师大，但因为自己在东北地区，东师较热门，分数差了几分，华中师大则因为距离较远，所以分数有了优待，后来也很庆幸，毕竟华师的整体实力要强于东师，自己现在学得专业也很好。  希望对你有帮助。  Ps:华中师大为教育部直属，华南师大为广东省直属，这点在就业时还是有点区别的。
华中师范还是东北大学？,华师的全国排名可是排在东北大学前面，一个是一流大学—华中师范大学、师范类排名第三、211；另一个是知名大学—东北师范，师范类排名第四，还不知道是不是211，你说选哪个？ 正常人你说选哪个？
18考研想知道华中师范大学学科数学往年的录取比例 ？还有333教育综合是学校自命题吗？, 同学，报录比学校是不公布的，这个哪里都查不到。333的话，是自命题，不会完全依据考试大纲来~  如果有更多的问题，可以咨询优加考研，官方QQ1422321743。优加考研在华师师大教育学方面的资源还是很丰富的，包括和华师的教授也有合作~ 
如何进华中师范大学历史基地班？,只要高考压线基本就能进基地班，班是好的，但从不被人看好……
心理学考研，哪些学校是自主命题，特别是天津师范大学，首都师范大学，西南大学，华中师范大学这几个学校。？,目前来看，除天津师范大学是统考其他都是自命题的。 西南大学和华中师范大学是15年刚刚退出统考的。除此北京地区已全部退出统考。 参考书目上来看华中师范大学复习参考书还包括《心理学报》 西南大学基本和统考一致，但是要看黄希庭的《心理学导论》 至于首都师范大学不指定参考书，考试内容包括：普心、实验、人格、统计、测量、发展。 
华中师范大学宿舍的长相？求图。？,  室友书桌  寝室小阳台  当然刚入学时肯定都是这个样子的 军训时检查卫生的一个标准就是看起来没有人住^_^   对面宿舍楼 有空调 感动的泪水T_T  补图 
关于华中师范大学入学考试？,英语分三级，发展级最高，提高级其次，基础级最低。级别决定你考四级的时间和修大学英语视听说和读写课的时长。比例不清楚，但是整体是金字塔型排列的。 入学考试个人建议好好准备一下，因为个人感觉学校开的视听说和读写课程极其无聊and浪费时间，能把用在这上面的时间去学些别的东西更好。 至于考试难度，如果你能达到你高考时英语的水平的话，进发展级应该能差不多，保底提高级，就酱～
以后想当数学老师 怕去重庆大学不是师范生会吃亏 但华中师范又不是985华 不造该怎么选？, 非要去华师？其他师范大学就不能去吗？东北，华东，北京，首都，那个师范大学不是985211？再说，华中师范的也不错啊。还有重庆大学也是个好学校，如果你只是为了上师范，那就去个985。不是这个不推荐当老师，，从今年高考成绩分析，学生的能力在普遍下降，，老师，，有些高危。不建议，真的不建议，，你有能力上好学校，就不建议当老师，，， 
华中师范大学拍摄4500人毕业大合照是如何实现的？,根据华大图片网站新闻稿，“摄影公司后期处理好后，学校将在校园网上提供全体毕业照的电子版，毕业生可免费下载。”（ 我校首次出现4500人超级毕业合影   ），这应该是外包给摄影公司的。  从器材角度讲，是用两台“环摄照相机”进行的摄影。 这是一台典型的环摄照相机： 环摄数码617照相机--色影无忌网    环摄照相机是专为拍摄全景照片而设计的摄影器材，根据以上链接中的数据参数，拍摄617全景照片所需时间“全速/分辨率只需1秒”。摄影公司可能是安排了两台环摄照相机，每台设备分别扫过180°，然后使用后期软件将两张全景照片进行接片，就可以得到一张360°全景照片。  摄影初学者一枚，若有什么地方有错误，欢迎各位不吝指教。
在华中师范大学龙岗附属中学就读是一种怎样的体验？,这学校以后绝对潜力无限，但也因为这样，有利有弊。 利 1.师资 这里没有那种好班差班老师有区别的情况。。。英才班和实验班老师有的一样，平行班和实验班老师也有的一样，看你想不想学。老师基本都是华南，华中毕业的，你随便问问理综都是280上下的。还有很多很厉害的老师！像寇辉，孙文彩，杜先斌，刘赵等等，都是可遇不可求的好老师，我高中确实有遇到觉得不好的老师，但我其他同学反倒觉得不错，所以老师好否其实也要看你个人吧。 2.食堂 学校开放日有提供饭菜哦，虽然和实际确实有些差距。。。但不可否认学校在不断的做出努力，原来的大碗饭，跑操后的高三特供，推出的煲汤和限量小吃，还会有鸡排！！！ 3.宿舍 这个是真的良心，宿舍光线都很好，特别是床很新！！！空调很新！！！确实学校不像龙城有那种带桌子的，但说实话龙城那里树太多光线真的好差。。。而且宿管阿姨很可爱呀么么哒 4.社团 学校因为重视砸了很多银子，有很多很棒的老师，比如LZ原来舞蹈队的，为了编舞专门外请老师，费用高的吓人，后面的演出服装也是专门请的设计师，全部是学校掏钱。但也有鸡肋的地方，毕竟学校刚开，不可能十分完美。 5.教室环境 反正我当初是因为喜欢蓝色桌子毅然的报了华中233333，空调两台，高三会有装门的书柜｡◕‿◕｡ 6.管理 确实挺严的，但骚年你不就是来学习的吗233333 7.活动 真的挺多的，而且砸的钱也多。之前的华附好声音，为了全校能看还专门请了直播团队呢（*＾ワ＾*）什么十佳歌手呀，话剧表演呀应有尽有啦。 弊 我觉得唯一的缺点可能就是学校想打出名气来，现在靠着我们的许家祥大神已经迈出很大一步啦，所以有时可能会有点缺乏人文关怀，从学校的角度出发。我不管我觉得这不算缺点啦ヾ(❀╹◡╹)ﾉ~ 最后 欢迎大家报考华中师范大学龙岗附属中学 PS.不来后悔一辈子（我乱说的啦）   
考华中师范大学教育技术硕士研究生复习哪些专业课本?,何克抗《教育技术学》～
华中师范大学的历史学基地班与文学-历史直博班哪个好？或者说两者有何区别？,我觉得在这里问不如去华师的贴吧或者说找一个你们省的华师老乡群，里面肯定有历史学院的。
华中师范大学小学教育专硕考试科目“815小学课程与教学”的参考书目。急求。？,突然发现两年前问的问题，时间过得好快啊，现在来写上答案吧，可能有人还没找到吧。参考书是课程与教学论，张华著。欢迎报考我大华师～（当然这个可能有变化，最新的要上华师研究生院官网或是教育学院官网查找为准）
华中师范大学应用心理学考研的参考书目是哪些？,华中师范大学学硕和专硕都是自命题的。 补充说一下华中专硕，16年最低分是336，最高分397，相对来讲分数线不算很高。
在华中师范大学就读是一种怎样的体验？,[不算极高明，却也不甘道中庸。]  你总算从应届考生的千军万马中闯过了独木桥，不过报志愿时你心里也清楚，你不过是全国闯过了独木桥的几十万人中不上不下的一个。  于是你把华中师范大学填进了你的志愿表，两个月后，你来到了这座在全国地位不上不下的城市，进入了这所在全国排名不好不坏的的大学。  一开始免不了被许多溢美之辞洗脑。比如你看到了媒体的报道：佑铭的地铺、最长的毕业照；比如你看到了数据和指标：虽然只有几个985学科，但起码是个211；比如你听到了领导的讲话，竭力地渲染华师的过去与现在的“辉煌”；比如你认识了迎新的学长学姐，对被她们一言一语搭建起的“华师”心存向往...  再翻翻校园照片，看看妹子比例，似乎一切都很美妙。  你大概心里也是乐意接受的，觉得自己选了所不错的大学。  然而在短暂的新鲜感过后，当你真正开始日复一日的华师生活，你会发现这所学校远没你想象的那么好。  高高举起的形式主义大旗、不断被抓去当活动的壮丁、宿舍动不动就停水、大多数课并没有想象中那么好听......  说出去似乎也没那么带范儿。“师范”二字当头压下，比起综合性大学总没那么大气；武大华科盘踞江城，即便高考那年跟他们也就几道题的分差，却总是没来由地就有那么点没底气。   其实学校也有这种自知之明，全国那么多一本高校，他不算极高明，却也不甘道中庸，每年总得弄出几个噱头来抬高自己，但不管怎么样，内因外因的，总还是不太给力。  怎么说呢，也是蛮拼的233   但你或许就开始觉得不甘心，或许会觉得更好的地方才更适合自己，然而你再向身边看一看，却发现自己并非鹤立鸡群。  你觉得你很优秀，但你会发现身边有很多人比你更优秀；你觉得自己很努力，但你会发现身边有很多人比你更努力。  当你开始意识到在华师成为最优秀的人并非像高手虐菜那样轻而易举，你或许也会慢慢意识到，其实这所学校也远没你想象的那么差？   你想去听大牛们讲课，发现华师很多老师的课也能让你受益匪浅。  你想遇到更优秀的人，但其实身边比你优秀的牛人已经有一大堆。  吵吵了几年要装空调，好歹现在也慢吞吞开始进宿舍扯线安装了。  食堂饭菜没那么美味，至少吃腻之前还是让你感觉到比较好吃的。   诚然，这所学校弥漫着恼人的形式主义，不过转念一想，又有几所大学没扛着这面大旗。  诚然，这所学校的学生只是同龄学生里中等偏上的一群，但并不妨碍其中那些努力的人，向着更高的地方迈进。  诚然，这所学校不大可能是你的终点，但如果将它作为迈向下一阶段的起点，倒也是个优于全国90%院校的存在。  诚然，这所学校有许多混日子的人，但想到有那么多老先生们把毕生的青春和热血倾注在桂子山的岁月里，有章开沅老校长潜心治校为了这座学校更好（好吧这大概也是华师尤其是历院对章老普遍的一种敬重吧，虽然现在的领导差不多把他老人家当吉祥物在使，不过章老先生本人真的值得敬重），现在的华师也不缺乏德才兼备的年轻学者......想到还有这么一群淡泊执着之人在为着这所学校好，便觉得这所学校也不会让那些心意被彻底辜负。  ......   总之，假如华师欺骗了你，不要悲伤，不要心急，因为你本就不该对它抱有太多的希冀。  它不足以让你凭恃，但至少能让你凭借。  它给不了你最好的，但好歹能给你还不错的。  它不是个最高的平台，但至少能让你更容易地往高处去。  就像校歌里那句“长风送鲲鹏”一样，  如果你是那展翅的鲲鹏，它也不失为一阵可以借力的好风。   ——————  2017.06.20更新  今天毕业了。  回看大一时写的答案，嗯，还是一样的感受。 
从非英语专业跨考华中师范大学学科教学英语，大家怎么看？,老师要求很高的……今年考研复试里面，其实有名额，但是，老师们觉得复试的后几名学生太low了，都把名额废了。  毕竟，不能砸自己招牌，我桂子山的英语很强啊。 难考……
￼ ？USNews世界大学排行榜华中师范大学进入前500名，物理、化学专业进入前400。,既然写进前400，那么就是400之前不多
大学新生，被华中师范录取到生物技术，看了几个帖子，感觉很绝望，谁能详细的说明一下生物的前程？,师范口，当然是好好读书以后走上科研教书的不归路比较好啦~
如何在武汉理工大学和华中师范大学推广知乎?,请看我的签名，欢迎理工华师知友
学前教育专业，毕业大专学历想套本科，拿的是华中师范大学本科学位，请问去外地如广东这类能找到理想工作吗？, 你还是去当幼儿园老师吗？  你可以查查往年幼儿园的招聘简章，然后看看他们对外地人员有什么要求。比如，上海有些幼儿园招外地人员要求居住满一年。所以你第五年就要去那边实习。其他方面一般都没什么特殊要求。上网站多查查差有关信息好了。 
情报学考研 苏大 河海和华中师范大学 该选哪一个？,情报学当然是华师阿
武汉理工大学MBA和华中师范大学MBA哪个好？,怎么没有朋友回答这个问题呢？我最近也是一直在比较武汉理工大学和华师的MBA哪个好，很希望有人可以帮忙解惑一下呢！
华中师范大学应用心理学专业考研应该看那些书？,去学校的研院网站搜索一下招生简章，一般都会有参考书，或者去考研论坛找之前考上的学姐学长问
求华中师范大学心理学专硕历年真题 先谢谢啦?,这个我还真有。
为什么范冰冰参加华中师范大学活动被强制要求离开？,想起之前跑男想去中南财大但是中南财大正在搞校运会为了学生安全拒绝跑男进入学校，我觉得这才是一个大学该有的样子，同理，华师为了学生安全就算真的逼走明星强制性叫停活动，我觉得没有什么不对，大学有大学的风骨，不是所有地方都要为明星让路。华师大官方微信发声温婉简明，大华师百年底蕴！清者自清，浊者自浊。
考专硕，求介绍华中师范大学的学科教育（生物）的导师？,请问，考学科教学生物 的 生物教学论要买的那四本书中  崔鸿老师写的那本 是买第一版吗
华中师范大学舞蹈研究生都有什么专业，偏理论的专业有哪些？大三，武汉二本舞蹈生？,华师好像没有舞蹈研究生吧。。。。这些你查一下官网都有的
华中师范大学免师教育学院转免师数院是怎样的经历？,一切转专业考试的内容要靠自学。 至于难度，建议去学校教务处网站查询去年的转专业成功名单和转专业报名名单，对一下就明白了。
在华中师范大学党宣舆情与新媒体中心工作是一种什么样的体验？,华师的新闻学院是一个近年才独立出来的学院，折射出这个学科不是其擅长的领域，发展需要所致，毕竟师范院校的王牌还是心理学，中文之类。所以，在985，211老师招聘根本不看国内博士（北清人）的今天，华师新闻专业是少有接收国内博士的学院也就不见怪了。 舆情监控是是新闻的一个新方向，国家管理需要，说直白点维稳，他的政治用途非常明显，那么从事这个学科的老师教授们经常和谁一起工作就不用多说。 华师的舆情老大是其副院长，此人善于交际，和官员走的很近，舆情这种东西没有政府支持也搞不起来，消防公安医院应急办灾害防御协会都是要经常走动的单位，免不了官气十足，学者气淡。科研经费也应该狠充足，动辄就是开发系统，出书撰文，现场调研，大数据互联网，李某人还为其灾害防治手册小红书出过序言，此事经常拿来吹嘘。至于学术含金量不好评判，只能说这是一个全新的就业领域，未来国考长江委，省应急办，或其他单位的应急工作都有优势
华中师范大学的数学经济交叉班的具体情况是？,我是13级数经班的学姐。关于数经班的一些事项我可以做一个大概的解释。数经班是华师数统学院和经管学院两个学院一起联合创办的班，班级的管理也是两个院交替进行。13级是经管院管理，14级是数统院管理，以此类推，16级就是数统院管理了。学生的选拔也是在两个院里分别进行，但是考试内容一致，分别考英语和数学，最终成绩是按照40%×英语成绩+60%×数学成绩来计算排名的。我以我们13级为例来对一些问题进行说明。当时由于是经管院管理数经班，所以在经管院经济大类里参加考试的学生里选拔20位学生，在数统院选拔15位学生组成数经班。关于考试：(1)选拔程序：与全校新生参加英语摸底考试；按照自愿原则报名数经班选拔；报名数经班的同学参加数学考试。（2）考试时间：当时我们两场考试都是在军训期间完成的，而且是在军训上半阶段就完成的（具体的不是很记得，但是时间比较早）。（3）考试内容：英语主要以四级为主。听力完全是四级模式，单选题是考察四级词汇偏多。所以建议大家可以利用暑假时间背背四级词汇，这对以后无论是英语考试还是四级考试都是百利无一害的。数学考试的话，印象中是以高中知识为主，知识点和高考比较类似，所以也可以利用暑假时间稍微巩固一下高中知识。因为不同学院管理有不同的规则，所以我提供的一些可以参考，具体的细节的话也可以问问比如12级，14级学长学姐。祝你成功，加油！
怎样看待华中师范大学一个月了停水半个月的现象？,广埠屯停水停电女子师专
普通二本公共事业管理学生，考研想考华中师范大学土地资源管理专业，难度大吗？又或者说值得考吗？,华中师范大学土管一般，可能偏向不动产方向，那本书不动产估价就是华师大的艾建国编的，还有同样在武汉，华农，武大，地大的土管相对来说资源更好，业界名气更大，值得参考。
机械专业想跨专业考研华中师范大学汉语言文学专业该系统准备些什么？,这跨专业也跨得太大了，学机械应该是男生吧，男生学汉语言文学似乎也不是很合适，你还是了解一下适合你自己学的吧
华中师范大学新闻专业研究生就业前景怎么样？,虽然现在很多人嘲笑新闻理想，但是我觉得，如果没有新闻理想，还是别从事新闻。 不过贵校是211，你又是硕士毕业，找工作应该问题不大吧。不做新闻的话，找份文字相关的行当，应该都不错。
武汉大学，华中师范大学有哪些可以辅修和双学位的专业？,不是华师的学生所以不是很清楚。武大的话主要是以下这些。   法学院（法学）、经济与管理学院（经济学、金融学、工程管理、工商管理、国际经济与贸易、市场营销、会计学）、新闻与传播学院（广告学、新闻学）、信息管理学院（编辑出版学、电子商务、图书馆学、信息管理与信息系统）、外国语言文学学院（英语、法语、日语、德语、翻译）、计算机学院（计算机科学与技术）和药学院（药学）。
华中师范大学化学学科教育考研需要些什么参考书和资料书啊？有考过的同学能不能帮忙推荐一下？越详细越好啊,  333教育综合150分 参考书四本，用标红的就可以了~  
