北京理工大学的电子信息专业和北京交通大学相比哪个更好？, 泻药，虽人在北理，但毕竟不是学电子信息的，不方便做任何比较与评价。 
北京理工大学珠海学院怎么样？,风景不错，学习环境的话还好，主要是在大学要靠自己。自觉是最主要的
多少分能上北京理工大学？,同学你是哪个地区？每个地区是不一样的。
想学计算机，西安电子科技，北京林业，华东理工，这些大学怎么选？发达城市vs特色专业？在线等，挺急的。?,北京或者西安
本人是华北理工大学口腔医学专业，即将大四，想报考北京大学医学部口腔医学院的研究生，现在应做什么准备？,1）丰富简历…最根本的还是提高学习成绩/排名吧…前期提交材料的时候看到的只是你的简历，在一个不错的学校排名又很靠前的话，进入复试的可能性自然就会很大…（加分项非必需项：如果有什么非常牛的科研经历当然更好了…） 2）其次是想清楚自己以后想学哪个方向，因为竞争是相对的，越是热门的专业报名的人越多…明确方向以后才能更好着手准备，复试是科内组织开展的，不同的科考核内容不一样。 3）多了解。不同科室、临床型/科研型的培养模式、就业/发展方向…看看自己到底追求的是什么。因为华西、武大、中山等等的口腔也都有很厉害的专业。 希望对你有帮助 干巴爹…
北京理工大学环境艺术设计考研难度大吗？每年招多少人？招生比例大概多少？, 北理环艺难度适中，每年招收人数在10人左右。2017年录取了7人。报录比差不多是1:10左右，不论考哪个学校都要踏踏实实准备，全力以赴。祝考试顺利！  更多真题、考研资讯可以参考：  北理工考研博客：    http://  blog.sina.com.cn/u/3290  264937       
在北京理工大学(BIT)就读是怎样一番体验？,我在北理呆了十多年，说两句吧。其实我们学校不管是老师还是学生，都有很多优秀的， 之所以近些年不见起色，实在只能说是学校在管理方面实在不能适应当今时代的要求，行政权力过大，体制僵化，管理效率低，人浮于事（不过这也是几乎所有中国高校都存在的问题），导致各种潜力发挥不出来。 当前中国985大学都极为强调科研，大政策大环境之下，导致大多数教师都必须把精力放在科研上，放在教学和育人上的时间精力必然有限，对学生而言这个问题确实很严重。但这个问题现阶段几乎无解，因为所有大学都是教育部管的，教育部制定的政策、对大学的考核方式，都是一个指挥棒，大学没有独立性，更谈不上实行“教授治校”，“自主办学”等理想了。 对于本科生呆在良乡，确实太远了。也不知当年做出这个决定时校长是怎么考虑的，大多数高校都北迁到昌平，就我们学校是南下，大多数教师的家都在北边，而北京地盘如此之大……，拿我来说，从家到良乡做个技术讲座，来回得花4个小时在路上，长期下去，实在吃不消…… 闲话不多说了，我想看此贴的应该很多是本校学生，我给大家一个建议： 在良乡的本科生，生活比较枯燥，固然不好，但也有一个好的，就是各种诱惑和分心的东西也少，可以专下心来在这两三年期间为未来打下一个扎实的基础。我建议大家在这段时间大量看书，看各种各样的书，同时利用互联网上丰富的学习资源主动学习，比如在网上你可以听到MIT、哈佛等世界一流名校的课程，中国各大学的MOOC课程也己经上线……，要跨专业地学习，要主动地学习。人这一辈子，也就是大学这几年可以真正自由地学习自己想学的东西，别浪费了。当然这要看各人的自制力如何了，但至少你应该知道必须抓紧时间去充实和提高自己，去为自己未来的人生精心策划一下。 在大学，学习主要靠自己。我所看到的优秀学生，有自制力有主见积极主动，几乎是他们的标签。 我是教计算机的，附上一个今年我在良乡给计算机学院大二学生所作的一个讲座，其他专业的学生可以参考：  《人在IT——计算机专业杂谈》     http://  jinxuliang.com/lecture/  20140619/PersonOfIt.pptx      
在北京理工大学文科前景好吗？,北理文科女一枚 其实……有点后悔选了这里 大一要学物理化学微积分等等等……可能是我真的……数学太差吧。 而且感觉整体和理工科机会差距有点大…因为我一心专注出国十九年就只能就出国这方面来比较……我这个系出国交流的机会还不错……跟理工科相比好像也差不多……感觉其他的文科专业就有点……嗯水水的感觉 如果想在国内发展的话 大学是不是985 211真的很重要！能去更好的学校当然就去更好的 如果高考分在北理工这个分左右那我觉得北理工还是一个不错的选择了 有啥不懂的欢迎继续问我哦(*/ω＼*)
北京理工大学好考么？,不谢邀    我不知道，我没考上。  
大连理工和北京交通大学选择哪一个？, 也没有很接近吧，作为13年报考大工考生，当时相似分数段里并没有北京交通，北京的学校里相似的是北京邮电。
如何评价北京理工大学财务处？, 办公态度不是一般的差劲，吃吃喝喝倒是6的飞起，提前下班那是常事，那都是皇后，那都是老佛爷 
北京理工大学怎么样？,学术严谨，体制略僵化。科研水平很高，教学水平一般。 学校不大，总体偏科研，国际上偏重科研成绩的QS排名里北理一直在稳步提高，处于国内十几名的位置。国内的各种排名算得上权威的只有上海交通大学发布的排名，其他诸多排名没什么参考价值。 ==========================以下为吐槽============================ 北理的位置避免不了要与北航比较，历史上北理北航各种恩怨，现在很多人感觉到北理落后的原因有很多，先说外因：   北理传统比较务实，擅长领域主要在军事工业方面，产品成果等大多数是成本导向型，比较土，听起来不那么高大上，不被人关注；   近几年国家大力投入的是深空探测、航空工业、航海，不是北理所擅长的领域（北理深空探测实验室才成立没几年，负责教授也是从兄弟院校挖过来的，土著都是兵器领域的，以陆军装备为主），而且现在国家整体发展路线正在由被动国土防御转向主动积极防御，所以海空军方面会持续大量投入，另一方面航天正在往民用化商业化发展，经济利益越来越高，投入也不会少，所以受行业影响，北理受到的关注不如兄弟院校，当然这不是说北理没钱，科研经费北理排名一直很高，另外北理也在积极发展新的领域；   校友掌权者少，这是个很尴尬的问题，北理一向以工程师文化自豪，号称工程师的摇篮，大多走的科研生产路线，而目前国内评选院士很多情况大家都懂得，光靠学术做的好是很呵呵的，而在某弹不如茶叶蛋的年代北理人才流失极其严重，导致人才的断档，综合起来结果就是院士集团北理只能靠几位年纪非常大的老院士撑着，后来的没有强力外援进不去，话语权越来越小，评选各种重点学科、重点实验室的时候实在无力。   以上外因导致北理在宣传上看起来就是一直衰落，再说下内因：   北理一直重科研轻教学，制度上也比较僵化，所以老师们虽然学识很高，但教学热情一直不高，一方面学校科研任务很重，很多老师没那么多精力，另一方面投入高回报小。本科同学基本要依靠自学为主，如果能自己总结问题再找老师交流效果会很好，听讲为主的同学多数不会适应。这也导致北理学生分化的很严重。另外本科与硕博分界太大，大多数本科同学不了解自己学校，不明觉不厉；   从匡时代开始的两个校长都一上任就重新划分学院，都把自己的领域扶正作为第一大院，院系的频繁变动导致传承的断裂。老校友们说的老几系现在估计没几个清楚。先后重点扶植的光电属于分系统，对其他学科的带动作用不明显；力学偏理论，与其他工科学科联系不多，而且校内合作很少。长久下去必然是传统的优势学科由于培养力度不够而萎缩（不仅仅是资金的问题，更多是人事方面的），各种分系统很难突出（其他学校也在迅速发展，竞争越来越激烈，原来不具优势的学科很难迅速突破，尤其本身底子不厚的情况下）。   生源问题。北理宣传上没优势，同学们不够自信，学科建设上成就不多，生源质量自然会越来越差。而且北理作为北京最不歧视外校考研的学校，加上管理部门简单粗暴，所以生源不仅更差而且同学们无归属感。（非歧视，我接触的大多数外校研究生总体水平确实略低，北理专业方向大多独特，外校没有相关专业背景的过来实在是吃力，当然也有极为优秀的，作为本校学渣我不能比）。  ================================================================ 就我了解的情况，北理的领导层在教学上、制度上一直在反思、学习和改进，也有很多方案正在逐步的落实，其中加强老师教学积极性是一个很重要的方面。 至于北理是不是落后于北航，学术上不见得，之外的东西，呵呵...   注：未经许可严禁转载！  ================================================================ 14.09.07编辑：去掉一些情绪化的评论，另外以上总结的原因只是 个人观点 ，夹杂了颇多的吐槽，感谢点赞的同学，也提醒大家注意这 不是一个足够客观的答案 。
华南理工大学真的不如北京理工大学吗？,像华南理工这种一年招七八千个本科生的大学，还好意思和北理工比精度？  看来华南理工这样的巨无霸不仅仅人多，还很狂妄啊。  一个正厅级985竟然敢跟北理工这种副部级985比，好大的口气。
北京理工大学车辆工程专业研究生好考吗？,如果你是指车辆工程专业，不好考。 本科生录取分数线近几年都是全校最高的，学霸比较多。本科毕业北理工车辆工程专业三分之一出国三分之一保研剩下三分之一考研或工作。 北理工现在车辆工程大类分三个专业，车辆工程，装甲车辆工程和能源与动力，侧重点是军用车辆，传动，底盘，新能源汽车方面
2014年考北京理工大学的教育学，不知道怎么复习专业课，有没有学姐学长指导下？,最后考了吗？
北京理工大学 北京交通大学 北京航空航天大学 计算机研究生哪个好？,查一下排名就知道北航最优，北航&gt;北理&gt;北交。但越好的学校越难考，不敢赌的话恐怕很难考上。  大学学的东西本来就很难直接用在工作中，大学学的是学习能力，进了公司当然要自学，即便你是什么名牌毕业生。如果题主为了学校招牌去考的话可能意义不大。在IT圈向来都是依能力排座次，而非文凭。  不知题主想进哪家大企业。向网易这样对文凭有强制要求的公司不多。也不一定非要进，还有很多更好的选择，只是你暂时没看到。
怎样认识北京理工大学的女生？,题主的问题问得让我摸不着头脑，我来做假设吧。   北理的男生想要认识女生  这个应该没有问题吧。虽然是理工大学，但是男女比接近2：1，并不是很悬殊。至少可以和班里的女生熟识啊，不好意思当面说话可以在群里多水水，只要不拿腔作调，女生对幽默或者可靠的男生还是很有好感的。班级里的活动多参加一下，像什么聚餐或者团日活动或者班级联谊，自然而然就熟了。大学社团活动和学生组织繁多，只要活跃一点一定会认识很多人（包括女生）。上课的话也会遇到很多女生的，面熟之后可以随便聊聊啊。   不是北理的男生  这个我还真没想到什么办法，不过可以参考如何与女生搭讪的相关内容吧。
211学生考北京理工大学研究生难吗？,我是biter说句实话，歧视外校考生的现象很严重。特别是复试的时候。
如何看待北京理工大学疑似冷淡处理校内学生性骚扰校内学生事件？, 利益相关，北京理工大学良乡校区大二学生，性别男，某班班长，某学院学生会主席团成员，北理工第三十二届学生会委员会委员。知乎第一次作答，不匿名，只是为了向大家证明我确实是北理工的学生，而不是水军。很多人看头像和名字会猜出我是谁，那么请替我保密。知乎是个言论自由的圣殿，每个人都可以表达自己的观点和想法，我在此向各位承诺，以下都是本人真实想法，如果有人觉得我是收了某一方的贿赂，那么欢迎向学校和工信部（BIT是部属高校）举报，我个人愿出10倍赔偿你。  我是6号中午，在北理小喇叭（一个推送学校内重要通知和部分失物信息的平台）看到了题主发出的照片的，最开始我是持怀疑态度的，毕竟只有单方面的证词，还带有强烈主观情绪，不免让我联想到不久之前的 “4岁女童在饭店叫喊，女大学生疑似冲上去踹小孩”事件，一直期待学校官方或者另一当事人给出确切回应。但根据现有情况判断，翻转几乎不可能，基本已经坐实“ 某男生与女生在教室内发生冲突 ”。    这是我们导员转发学校管理处的通知，请各位注意，校方用词“疑似骚扰女生事件”，所以我不能将一个违法行为强加在一个人身上，但并不代表我相信那个男生是无辜的。本来我觉得这件事在一个985高校中，会很妥善的解决。可没想到一瞬间，QQ动态和朋友圈被疯狂刷屏，大部分都是要求严惩男A，爆出个人信息，要求上私刑的，只有少数人能理性思考或者不盲从的，完完全全为受害人考虑，而不是当键盘侠蹭热度的。   先上我的观点吧， 私下双方协商解决，是对三方（某男A、受害人、校方）收益最高的解决方式之一。   理由如下：  1、根据女生的表述，不愿报警处理，如果我是一个妹子，我也愿意不移交警方。北京，天子脚下，但法律和正义并不能笼罩每一寸土地，总有阳光普照不到的地方。按照现有的法律法规，该男子只能被行政拘留10天左右，出来之后我不能保证自己不被恶意报复，而且立案的话我会再一次回顾那可怕的回忆，二次伤害了吧。那些，忽悠女生勇敢站出来的人，请你谅解，并不是所有人都像你一样勇敢。  2、当女生放弃将案件移交公安机关的时候，请各位明白学校和任何个人都没有执法权，我们没有权利去惩罚他人，即使那个人十恶不赦。那些主张私刑暴揍一顿的人，我相信你们的出发点是好的，但我们这个社会的公平正义是依靠法治和民主，而不是人治和民意。法律有一个术语，我小时候一直搞不懂，为什么那些长的凶神恶煞的叔叔即使在审判过程中，即便证据确凿，还被称作“犯罪嫌疑人”，为什么会有律师为这些丧尽天良的人代理官司，为了钱连良知都不要了么？后来，我长大了，我开始敬畏这些律师的职业道德，即使你犯了天大的错误，即使你与全世界为敌，在法庭没有最终宣判之前，你永远都是我的当事人，一个“犯罪嫌疑人”而已，你有为自己辩护的权利。等我在长大一些，我开始敬佩几种职业，警察、医生、护士、士兵、律师等等，在他们面前人人平等，享有同等权利，仅此而已。当你今天用了私刑给他人，那么总有一天，宙斯的霹雳也许将落在我们每一个人身上。  3、记得在知乎上看过一句名言，“  刑罚的威慑力不在于刑罚的严酷性，而在于其不可避免性  ”。如果我们将所有性骚扰都处以极刑，但是破案率很低的话。那么犯案人会将自己的落网归因于时运不济而不是本身的违法，所以要真正去解决一个问题，让那些犯罪分子不敢去知法犯法，因为他们知道，一旦触碰了这条红线，必将受到惩罚。   那么校方有没有过错呢？  我认为并无大的错误，各位先请不要骂我，听我分析完。  首先，校方有执法权么？答案是NO!即使是清华北大的校长也没有权利拘留或者拷打一位在校学生。  第二个问题，校方是否不作为？很遗憾，我也没有标准答案，前段时间很火的电视剧《人民的名义》中孙连城区长就是因为懒政不作为被双开的，知乎上就他是否不作为进行了很深入的讨论，我就不在复述了。并没有明确的规章制度对不作为的程度进行量化，什么是不作为、什么又是作为呢？估计只有一把手说了算吧，赵家人制定游戏规则当裁判还又是选手，你说这怎么玩？如果学校雷厉风行，立刻开除男生A学籍，并通报全校，那谁来保证女生的个人信息不被泄露，人身安全谁来保障？男生会不会找人报复，他人会不会言语重伤受害女生，一切都还未知。问题的解决不是上厕所的时候拍脑子想出来的，而是需要斟酌和考量，必然需要时间。  至于学校提出私了，我上文解释过了，这是我认为最好的考虑。私了不是代表不了了之，而是双方协商解决，你可以提出民事赔偿，100或是100万都可以；也可以提出将这次行为记入男生档案中，开除学籍当然我认为也算是合理，学校并没有让你毫无原因的放过那个男生吧，但在你的文字中，我并没有看到任何诉求啊，那你让学校怎么协调。双方谈判都有底线和筹码的，总不能您两手空空去，期待满载而归吧。  3、学校是否是故意息事宁人冷处理？  我认为至少现在看不出来，在北理小喇叭刚刚推送这条消息之后，一个小时内，学校给出了上文中图片的回应，并且据我了解，校方正在开会讨论，并且积极解决，而不是题主所说的不作为。我想题主也应该是一个学生，这么说一件不确定的，是否有失公允。我们都希望学校能给双方和每个同学一个妥善的解决和一个安全的校园环境，我们需要做的是一起努力，而不是徒劳的谩骂和抱怨，那样毫无意义。    那么受害人如何得到应有的赔偿呢？  我个人想了如下几点，谨代表个人意见，如果有不对的地方，敬请指正。  1、坚持和学校谈判，不允许和稀泥的结果出现。同学，你要明白现在是什么时候，还有一天就高考了，全国性的招生工作即将展开，学校不希望有损声誉的事情出现，必然会妥善解决，这是前提。  2、那个男生，肯定也不会想这件事毁了他一辈子，就现在的体制而言，只要你有过犯罪记录，那么很多大门将会对你关闭。公务员跟你说byebye，很多国企不会考虑有污点的毕业生，高校基本上要进行劝退，所以他会在很大程度上让步。如果你不打算追究其刑事责任的话，那么我劝你私下协商，索求民事赔偿。如果是我的话，我会很乐意接受你的索赔，相信那个男生也是愿意的。当然了如果男生不愿意接受的话，建议连同校方一起起诉，理由是未尽到监管义务。  3、为了你的安全考虑，我建议你不要露面，让你的父母或者男朋友出面协商，毕竟他们面对危险的应变意识应该比你好（并不是性别歧视，而是通过你表述，“陷入长时间呆滞”，我个人觉得，你不太适合处理这种场景）。  4、一定要有书面调解协议，双方当事人和校方共同签字盖章，将具体解决方案明文写在纸上，这样才具有法律效力，当然我也不是学法律的，只是这样做觉得稳妥些。   好了，正文部分就到这里了。下面我想说一些和这件事情无关的话。  去年的时候，北理良乡校区也发生过女生被骚扰的案件，只不过是校外人士犯案。良乡校区并不位于市中心，而是在远郊区县，所以基础设施还不是很完善，而且学校内部有一个很漂亮的北湖，很多家长带着宝宝们来玩，也有不少老人们来这里散步，所以人员流量很大。然后案发地点是校区最南头，灯光不是很亮，也有一片树林，给了犯罪分子藏身之地，加之过往学生太少，夜色过深，才导致悲剧的发生。  之后很多很多人，在论坛或者朋友圈上评论和咒骂，那些话语由于相关法律法规和政策，部分内容未予显示，当然并不是所有人都是键盘侠，北理男生们也自发组成了巡逻队，护送妹子们回寝室，学校也加强了安保措施，你可以明显感觉到巡逻的力量增强了。  我们班男生自发的组织了一次全校的安全隐患调查，结果如下   地点：静园A    道路前路灯未亮    地点：学服道路    学服前路灯未亮    主干道的灯光普遍太暗，不足以支撑照明    地点：南操场周围，天桥边，操场周围树丛    来往学生很多，没有路灯，藏人根本不知道    地点：操场到至善园、疏桐的道路    操场熄灯以后至善道疏桐整条路都是黑的    地点：南区东侧围墙    很黑，而且晚上较少同学经过    地点：理教和理学楼    理教和理学里面那一片挺黑，晚上进出同学估计较少。    地点：疏桐    疏桐B和C中间小花园黑暗，路灯几乎不亮，监控不好使，    疏桐A地下室是死角，黑暗，无安全措施    地点：南食堂附近    南食堂门前通往至善的路黑暗无路灯    南食堂后面有一片漆黑的树林，有零星的学生经过，伸手     不见五指，树林有网道路崎岖。    地点：至善园附近    至善A，B之间花园无路灯，一片漆黑，至善外车道监控没开    地点：博雅楼附近    博雅楼下一片漆黑，无路灯，有一个报警器，博雅前小树林无路灯且树木茂盛，即使藏人也没有人发现，女生回博雅有三条线路，第一条是从南食堂经至善到博雅；第二条是从南操场穿过小树林到博雅；第三条是绕道经生态楼前主道到博雅。经采访可知，即使是小树林没有路灯，存在安全隐患，但是大多数女生仍选择走小树林。可见这正是给犯人作案留下可乘之机。    地点：北湖湖边    湖边路灯比较少，而且有很多地灯要么很暗要么不亮。    地点：北湖小岛    岛上比较黑暗，没有监控，很容易藏人。    地点：桥    桥上路灯很多已经坏了，栏杆的空隙比较大。    地点：北湖东北方和西北方的小山堆容易藏人。   上述安全隐患，或许并不完全准确，但是希望校方能够有所了解，对此我们有如下建议：   第一：路灯改造，加强瓦数和数量，保证主干道和环湖道路的亮度。    第二：木桥和小道加装廊灯，加强照明，拐角处楼梯处要有提示。    第三：小树林地方加装照明或巡逻。    第四：报警装置太少，不够显眼，而且要加强报警器的使用训练，进行学生培训。    第五：监控器的覆盖面要扩大，清晰度加强，起到实时监控的作用，减少此类事件的发生。   建议并不完善但希望学校加以考虑。  北京理工大学，这是我们的北理，是学生的摇篮，港湾。这是我们的北理，面向全球，走向世界的北理。我们也希望北理能越来越好，如您所想。   我亲自向安保部门说明了来意，在深夜试验了北湖跑道的报警装置，走遍了良乡校区的每一个角落，试着以一个犯罪分子的想法来寻找作案地点。我说了这么多并不是想表达我做了什么，而是先告诉一些人，我们发现问题并不难，难的是如何去解决。我们是大学生了，而不是小孩子，这个世界也许并不温柔，但并不妨碍我们去期待明天的美好。一年前圣诞节的那天，我因为某些原因觉得生无可恋，一个人坐在北湖的石头上，心灰意冷。后来手机一震，一个人跟我说：“YY，你要相信人性的美好”，我至今视若珍宝。我想正是因为我们想去保护某些人，想去珍视某些事，才让我们面对这么残酷的世界还依旧保持着一份真心和希望，那么，就为了那些人，做点什么，在我们离开的时候，留下一些值得回忆的东西。  最后送给各位一段话，作为结束语。   如果天空是黑暗的，那就摸黑生存； 如果发出声音是危险的，那就保持沉默； 如果自觉无力发光的，那就蜷伏于墙角。 但不要习惯了黑暗就为黑暗辩护； 不要为自己的苟且而得意； 不要嘲讽那些比自己更勇敢热情的人们。 我们可以卑微如尘土，不可扭曲如蛆虫。  --季业   forever we are young 
本人北京理工大学机械工程专业，对于这个专业的就业薪资待遇迷茫，希望解答？,北理机械工程的研究生好考么，本科211
在北京理工大学良乡校区读四年是一种怎样的体验？,说真的，辛辛苦苦十几年，终于从城市考到了乡村。每次去城里来回五小时，每次都心很累。
北京理工大学电子信息类实验班怎么样？,实验班相对于普通班，分数高，教学计划不一样，教学资源分配更好一点，目前实验班实验的是研究型教学，就是有些课，比如数据结构是分组完成大作业然后答辩的形式，数字信号处理、自动控制原理等也有类似形式。在保研方面，名额是教务处单独划分的，稍微多一点，奖学金的比例是普通班的两倍（16级扩招后好像就一样比例了），专业方向分流也是随意的，因为专业分流不会拆开班级。
如何在北京的211大学和大连理工大学间作出选择？,我今年的河南考生632，给我纠结的问题一模一样，我选的大连理工大学，已经录取了，明天去学校领通知书
北京理工大学周围有哪些IT公司？,理工学校周围没有太出名的IT公司吧。海淀区的IT公司主要集中在中关村、五道口、上地软件园、西二旗等这几个地方。
北京理工大学计算机硕士专业怎么样？,不了解这个专业。 貌似计算机找工作主要看自己的能力和兴趣？
北京理工大学工业设计专业（工科）的学生能申请清华大学工业设计的研究生吗？,能
如何看待北京理工大学以“上网不涉密涉密不上网”为名的网络监管和控制？,我以前在涉密实验室工作过，机器都不许联网的，进资料室要锁手机，所以我觉得“涉密不上网上网不涉密”是很正常的监管手段。 不过该监管手段有没有隐文就不得而知了。
如何看待北京理工大学2017年1月17日深夜研究生跳楼身亡？,知乎处女答，不潜水啦。答主我理信院2016级本科毕业，现就读于上海交大。关于金旭亮老师提到的人文关怀，我想讲3个故事：  （1）2016年度交大“校长奖”（注：交大教职工最高荣誉）候选人之一，是学校保安队队长。其被提名理由为，“不论你在交大校园发生什么意外，手机掉河里、自行车被偷、散步遇到坏人、崴脚走不了路、失恋不开心、遇见小猫困在树上，只要你拨打保卫处电话，我可以保证我们的保安队员在5分钟之内赶到现场。补充一句，自2008年以来，只要小偷敢在交大偷财物，就没有不被抓的。”答主有一次遇见室友喝醉了要送校医院，亲测过保安队电话，3min20s赶到，感动得不要不要的。  （2）答主于2015年夏参加浙大航院夏令营，3天的时间里，其学院书记全程陪伴，听讲座、游西湖，为我们跑前跑后、排忧解难。告别宴上，答主问书记，“您平时不需要将精力投入到科研中嘛，怎么有时间来全程参与夏令营呢”书记答到，“在浙大，院长负责科研，书记负责行政，互相协调，愿为师生更好地服务。”很遗憾，答主愚钝，在北理工4年，未曾和信院书记院长进行过交流。  （3）2016年9月，交大开学典礼上我注意到了一个细节，交大霍英东体育馆有5000+座位，每一个座位背后都刻着一位给交大捐赠过的校友姓名，其场面甚是震撼。很遗憾，就在3个月前，我花了50 RMB购买了一张北理工校友卡；当得知兄弟学院的校友卡是免费发放时，我和朋友开玩笑道，咱们的北理工校友身份，可是用真金实银换来的，比他们正宗。  这周一答主专门从上海回了一趟北京，给恩师备了些水果，与导员吃了顿工作餐，和好友举酒言欢，没错，【我爱北理工】。没有比较，就没有伤害，出来之后才知道，原来天下不是所有的高校，不是所有的【工科院校】都没有人文关怀。真心希望我理对自己的孩子呵护更多一些，希望这样的悲剧更少一些，希望我们的母校更好一些。  前些天喝酒，朋友问，“高老师，等你有钱了，会给北理捐钱嘛？”我想了想，说，“会，怎么着也弄一栋楼，留给本科生上自习用。”  我们够呛改变潮水的方向，但还是要试一试。 愿逝者安息。
华南理工 北京理工 大连理工 湖南大学工业设计哪家强？,工业设计专业湖南大学很不错，但地域上不占优势。现在，这些大学出国交流的机会都很多的。
北京理工大学冲学校还是川大、电子科大、西财选专业？, 我是13届的四川考生，目前北理工刚毕业，高中同学有在川大，西财和电子科技大学的，感觉我可以答一下。  先说当年的情况，我是班里成绩最高的，第二比我少一分，去了川大数学。从往届的录取分数来看，北理工与其他三校差距并不大，估计十来分。也就是说当年我跟你面临一样的选择。但是我的决定是来北京，所以就很好选择了。也就是说这是个选城市的问题，如果来北京，就北理工吧，留成都就选川大，西财和电科。从城市发展来说，北京优于成都，但是作为一个四川人我不知道你喜不喜欢北京的生活方式，我是在北京长大的，所以我喜欢北京的快节奏，成都的生活是偏慢的，悠闲的，舒适的。北京这边的好处就是眼界可以开阔些，出国的氛围也很好，但是这边压力大，北理工不是北京最好的学校，上面有清北人大等高校，但是在成都就不一样了，川大等校是四川最好的学校，校友资源云集，读书的感受肯定是不同的，这点也要考虑。  城市选好之后还是要看专业，我个人观点城市大于学校（当然专业不要太冷，除非自己喜欢）。  对了，北京冬天有暖气，室内可以只穿一件。 
北京理工大学的校园网登陆认证网页为什么会出现多次弹出登陆成功的弹窗，但仍然无法连上外网？,大姨妈了
北京理工大学安全工程研究方向是什么，好考吗？,(⊙o⊙)…额，题主别考北理工了，和我一起考中南或者南工大吧。 关于北理工的安全工程的研究生方向，如下图：  关于北理工的考研科目，如下图：  关于北理工的考研招生人数，如下图：  关于历年分数线，这个我也不知道。不过，北理工既是985也是211，分数应该不会低吧。 题主慎重考虑，淡定：  祝题主考研顺利！
北京理工大学的电子信息怎么样？,还可以，北理的雷达所相当不错，通信电子之类的也不错
北京理工大学考研去清华困难吗？,看什么专业了 有同学考了两次 不过他进了...是电子
北京理工大学是不是没落了，之前经常听说北理工和北航比较的话题，最近几年好像听不到了？,我是北航在读学生 首先我想纠正一个误区，就是拿大学整体来比较。北航在各省招生排名确实比北理靠前，但是这不代表北航所有都比北理好。 我个人对大学的评价更倾向于评价专业。 北航的航空航天类专业全国第一(因为哈工大没有航空，但是直升机还是南航好)，精密仪器类第一，控制类第四，说白了北航在造飞机造火箭导弹这块比较擅长。 北理的具体专业我没有研究，但是北理的坦克和北航的飞机是齐名的。在讲究立体化作战的今天，二者都缺一不可。  ——————————分割线———————————  有些别有用心的人喜欢借抨击体制来污蔑大学。拉帮结派和造势这种事情，清北、人大北外那些学校都比北航北理擅长，因为北航北理的学生出来基本上没有从政的。北航确实缺少人文气息，因为他生来就是一个理工类学校，但北航有文科，而且文科排名比理科还靠前，更何况北航近几年都对这方面进行了改善。   有人说北航喜欢蹭热点造势，不是北航蹭，是航空航天这方面本来就是北航、哈工推动的，哈工大支持的机器人产业园也遍地开花，我们做出了贡献，就应该理所应当地跟别人说这是我们弄的，凭什么北航默默为航空航天奉献几十年，却要经常被人误认为是二本？北航的其他专业也没这么宣传，你见过北航在宣传飞行器研究后再顺便宣传人文社科专业了？该得到的荣誉那就应该心安理得地享受。北理走下坡路也和人类活动向空天发展有关，时势造英雄，几十年前国家大力发展重工业时可能会红极一时，但是不做出调整只会走向没落，应当顺势而为。   
武汉大学和北京理工大学选哪个好？, 说几件关于北理工的事。  1）有一天夜里9点左右，一群人把一辆凌志车围住了。我也凑过去看。原来是这辆凌志车在学校里横冲直撞，擦到了一个女生。车主不道歉，还骂人。气势有点像“我爸是李刚”。车被迎面来的男生用自行车拦住了，后来大家要求车主道歉。车主开始横得很，死活不道歉。后来见人多，躲在车里面不出来了。僵持一段时间之后，人群中有人挤进来用砖头上在车上砸了一下就又钻走了。这一砸不要紧，人群纷纷都跟着砸起来。后来车被砸得不成样子了。里面的车主和一个女的终于抗不住跑了出来。人群抓住男车主不让他走，女的吓得有点脚软。后来旁边宿舍楼里从窗子往外观望的人大声喊：把车掀翻！把车掀翻！  于是一群人就真把车掀了个底朝天。  最后校长拿着大喇叭过来稳住事态了！据说那天晚上警察已经出动，守在各个校门口要进来。不过没有一个学生被抓走。  2）有一次大概晚上10点左右，一个理工男在大街上碰到一个外校（哪校忘了）女生，说是手机钱包被歹徒抢了，希望帮报警。理工男生给她手机自己就往歹徒方向追过去了。追了老长一段距离，歹徒跑累了，亮出家伙。理工男就站着跟他对峙。歹徒冲过来，他就逃跑。歹徒往回跑，他又跟过去。总之就是：敌进我退，敌驻我扰，敌疲我打，敌退我追。后来，歹徒心虚，放下钱包和手机，摞下一句：你特么牛B！理工男把手机、钱包还给女生，并送她回学校。  3）有一次我们班去北京北边的黑龙潭春游，碰上一个女士在一个小湖边拍照，不小心滑落水中，一点一点地向湖中间方向飘去。湖不大，但水挺深，春天的时候水很冷。他丈夫急忙跳下湖中去救她。可是他也不会游泳，一下水就扑腾得厉害。形势危急，旁边人群都在喊叫，就是没有办法。这时，我班一个水性好的男生，赶过去立即跳入湖中，一把揪住那个男的，往岸边拖，把他救上岸了。然后又去救那个女的。那个女的也最终也救过来了。我同学身上的衣服、钱包、手机全泡水了。对方也没回过神，彼止问了几句就各顾各的了。回到学校，我们班准备给该同学捐款，买个手机。突然学校团委过来了，说学校接到感谢信，知道该同学救人了，特别过来通报表彰。那对夫妇同时送来2000块表示感谢和赔偿。后来我们就没有捐款。该同学毕业时得了北京市优秀毕业生。 
如何看待北京理工大学化工教授开设的国学基础课程？, 这个事情，难保说不是受了李和章副校长的影响。李校长在担任主管学生工作的副校长期间，带着全体学生工作人员（团委的，学工处的，还有各学院的辅导员们）读道德经，读论语，然后还让批讲。。。 
