复旦大学的考古学专业怎么样？,题主先看看这几个比较直观的图片。 如果你是本科成绩还不错我建议你考吉大，包括研究生。 但你想冲刺考北大，个人觉得北大的研究生一般般，因为不值钱。而且有名的导师只收北大本校学生。因为北清都是本科生最值钱。这是过来人劝解你。 至于复旦大学考古学，题主你侧重文科还是理科，因为复旦大学考古学的重点研究方向是分子生物学考古，其他的方向不及吉大和两个山大。只能说是学校牌子在南方有点名气，但是专业水准中等。上海一带的考古内容很杂，贯穿中国古代。可研究对象不是很有针对性。但是如果你想学博物馆学可以考下试试。 然后看你是北方人还是南方人。你懂的…   再来看你对考古学研究是不是够专业，如果你想更多的下地田野考察，建议郑州大学，因为河南实地就可以考察。不用导师带都可以。   还有就是你考古的研究分类和阶段是哪部分，最好按时段来划分。因为技能和方法在研究生阶段基本上都是自学。   最后看你以后是想搞科研还是想混学历找工作。                   个人浅见 最后不知道题主是男是女，女孩子的话建议你时刻准备好spf50++的防晒霜… 不然每年夏天你都会因暴晒，会被误认为黑非洲… 希望帮到你。
怎样看待复旦18驴事件？,微博里，拥有“律师”和“复旦”两个标签的，我的策略是全部拉黑。
在复旦大学的四年时光，哪些事情让你最感动？,每一个复旦人，在进入复旦那一刻起，就有了一项伟大的事业，孵蛋。 开学典礼上大家会收到那个属于自己的蛋。穿着书院服，看着国旗升起，耳边循环着孵蛋奥义“孵蛋孵蛋旦孵蛋”，心中升腾起对自己那个蛋的无限期盼，甚至想着可以找一个同样带着蛋的人，一起孕育出两个鸳鸯蛋，想着想着就飞红了脸，连没有wifi这样的大事都能抛诸脑后了。 复旦学子很忙。其他大学的学生只要上课科研社会活动就能过得心满意足，而复旦学生的一颗心，必须分半颗给蛋。那些从不出门上课，只宅在寝室叫外卖看剧的人，你以为他们真的颓废吗？naive！他们只是认真，只想专心做好孵蛋这一件事。奥义告诉我们，旦孵蛋，孵蛋只能在白天进行，于是在一个个深夜，我们想着如此长久静谧的时光，居然不能拿来孵蛋，我们长夜痛哭，之后便足以谈人生。 吃饭的时候，我们孵蛋。这使得我们不得不注意自己的饮食，要是吃得一身都是脂肪带来的萎靡之气，孵出了一个卵黄过大的蛋，这么多胆固醇是会让人心生慌乱的。我们需要的是蛋白质，是维生素，特别是B族。有的人想要孵出一个与众不同的绿蛋，让其发展为绿巨人，于是他们疯狂摄入叶绿素，食堂为了鼓励这种磐石无转移的决心，专程为他们开了素食窗口，并且为了保证绿得纯粹，不供应胡萝卜。 上课的时候，我们孵蛋。胎生动物需要胎教，难道蛋就不需要蛋教了吗？笑话。于是我们侧耳倾听，在知识的海洋里抱蛋冲浪，披荆斩棘。为了保证蛋教质量，我们时不时地跟怀中的蛋窃窃私语，问到：“记住了吗，糖酵解里有三个关键酶”“大蒜是百合科的，百合是基科的，维基百科上不了了”“perl的草泥马系列有好多书啊，我们一起读吧”。感受着蛋的反应，我们淡淡一笑或黯然神伤。 跟朋友在一起的时候，我们孵蛋。人多蛋杂，我们不得不战战兢兢，汗不敢出。哪怕我们谈论理想，谈论诗歌，谈论周游世界，杯子碰到一起的时候，要是发出了梦破碎的声音，我们就会霍然而起，奔向各自的蛋，害怕还没成熟的蛋就夭折在此，让人扼腕。有的蛋碎了，随后便会传来一阵阵咒骂或啜泣。有的蛋没碎，便能看到那个幸运的孵蛋人眉开眼笑，为之四顾，为之踌躇满志。 转眼间，这个蛋就陪了我们四年。要离开的时候，我们会把蛋留下，送给那些穿着书院服，听着奥义的小男孩和小姑娘们，然后转身离开。东关酸风射眸子，忆蛋清泪如铅水。他们惊恐地说“学长你的蛋掉了”，我们停顿了一下，说“不，是你的蛋”。然后用背影告诉他们，不必追。 多年以后，再有人问及复旦的意义，我们只是笑笑，说： “我曾经在那儿孵过一个蛋。”
上海财经大学的金融专硕和复旦大学的金融专硕在上海就业差别大吗？ ?,先考上再说吧，上财的金融专硕可是比复旦难考多了，当然你如果是为了洗底的话还是考复旦吧，毕竟上财现在人多了，没有洗底的作用了
南京大学和复旦大学哪个更值得报考？,谢邀。我 非 专业人士，只谈 个人看法 。有错误请斧正。 首先，从专业来看，考古及博物馆学的话，南京大学算是在第一梯队，复旦大学恐怕差一点。 近来貌似有几份排名说复旦大学该专业排名反而高，我个人认为不合理。君可以再了解下。  其次，关于中央大学嫡系这个问题，没有什么意义。对一座大学没有实质性帮助。我们在对比大学时，大学历史上的光辉事迹并不是比较的重点。比较客观的方法还是从大学的现状入手，具体到一个学科来对比。  再次，复旦大学目前来看比南京大学发展得好些，但这并不意味着复旦大学可以在“综合性”方面胜过南京大学。南京大学较为低调一点，但其师资力量，特别是在理化数、天文、中文、历史、外语、考古方面，基本在第一梯队，短板只有工科。但考虑到南京大学当初就没有继承工学院，工科目前的发展也是可以接受的。 复旦大学和南京大学相似。总体看也是文理强而工科弱的局势。不过复旦的商科很不错，如果这个问题是在权衡复旦大学和南京大学商科的话，那么复旦大学是更好的选择。  结论是，总体上看，复旦大学对南京大学不构成根本的优势，两者实力相近，平台高低相当。复旦大学在区位上对南京大学有优势；但南京大学在题主想报考的专业上来看，对复旦大学有优势。 个人建议：报考南京大学。  最后，祝成功。
复旦大学成立大数据学院，你怎么看？,不要想师资，课程，学费。硕士的核心要义就是利用区位优势，学校牌子积累实习经验。所谓实习实习再实习是也。
复旦大学的国际政治专业怎么样？,肯定比不上商科专业，因为数学学的少，虽然毕业也可以去银行四大咨询等，毕竟经管更对口。 排名的话全国第一，全球第十九，出国交流机会非常多，有美国和日本两个研究中心
北大软微金服和复旦金融选择哪一个？, 谢邀。   我觉得， 这事情主要还是跟你的工作规划关系更大。   你真的那么想回成都吗？   如果从“留下来工作”的角度来说，明显复旦更好。   上海不但是金融中心，而且从买房留下来生活的角度看，在上海买房会有更多选择（最近知乎的房产话题下有人讨论，城市内的中心更多，不像北京必须到那么多环以外），而且从气候的角度看，跟成都相对接近一点。  假如你是打算多工作几年，再回成都的话，那你带回去的不止是文凭，也有在上海的工作经验和事业基础，那么，北大和复旦之间的差距就没那么大了。   但假如你不准备留下来，那么，在全国的绝大多数地方，北大的文凭都比复旦要硬得多。   因为，除了某个专业领域内的少数人以外，其他人哪里搞得清楚学院和学院的区别，金融硕士和工程硕士的区别？  他们只知道，北大是北大，复旦是复旦，高考的时候分数线是相差不少的。  更何况，中国人普遍对TOP2有情结，无论是给爹妈长脸，还是以后谈婚论嫁，都会给你增加不少优势。 
复旦传媒专业怎么样？有名师不。,我曾经是复旦新闻学院的学生，但我只待了一年，说下我对新院的印象。  我对名师不感冒，只是上马新的时候，知道童兵老师很有名。另外，听说广告学系主任程士安（程sa）很厉害，以及概略地知道一些老师在媒体的背景。我大一遇到的新院老师都比较认真负责，尤其是讲新闻学概论的一位高个子女老师，讲课很有风度。值得一提的是，在外系修读的专业课里，也时常遇到非常棒的老师，比如心理学导论的老师刘铎。  我觉得，有优秀的老师是很重要的。新院的老师也不是只会动动嘴皮子，用用软件这样。他们在媒体的见闻，对于这个行业的看法，甚至是个人的谈吐和形象，都值得学生思考。  但作为一个物理化过三年的纯理科生，我觉得课程的内容实在不合我胃口，这也是我转回理工科的一大原因。在CS顺风顺水了三年半，回想一下刚入校时的自己，就会发现：自己确实不适合学新闻，因为学的思路不对。  在新院想混得开，不是靠上课刷GPA就万事大吉的。最重要的——也恰恰被我忽视的——是认识了怎样的人，以及如何利用复旦提供的平台。新院有很多大牛，气场不同凡响。他们中，有的十几岁就开始玩电影了，有的早已出版过诗集，真的是厉害啊。即使是新院的普通人，大多也个性鲜明，对人和事很有想法。复旦有各种校园媒体和活动，新院的学生总是非常积极地参与其中，即使没有丰富的经验，也会勇敢地尝试。一年的时间里，我能感受到周围的人在迅速地转变，噼里啪啦地成长着。  而我依然不敢，也不愿，像一个正常的新院人一样存在，最后选择退出，不提也罢。  至于工作，因为我没有和新院的同学保持联系，所以不得而知。我毛估估嘛，就看你这四年混出了点什么名堂咯。我一直以为，只有心态和能力上最出色的那些人会去媒体，大多数人还是会去咨询公关市场一类。要说职业门槛高低的话，我觉得文科出来差不多都能混着投，关键还是得看人。脑子机灵哇？人靠谱哇？说话有分寸哇？能和大家玩到一块儿哇？长得漂亮哇？即使你觉得新闻水，复旦新闻的牌子还是很好用的吧。况且，在新院四年，你要是能“水”出花来，也挺厉害的呢。
浙江大学和复旦大学哪个好？,问的简单，题主其实是要一个简单的回答。  复旦好。因为绝大多数进浙大的人是考不上复旦的。
想考复旦，有什么建议？,谢邀。  答主是2013级的学生，距离高考已经两年有余，我现在的回答可能会夹杂很多我在大学之后才有的想法，所以对于还在为了高考或者千分考挣扎的学生，可以信，但不要全信。  对于考复旦有什么好处，我觉得大家都懂的。说是复旦，但跟清华、北大、上交这类学校并没有什么差别。我觉得在高中阶段就对特有的学校情有独钟非去不可的人其实很少，大部分同学的想法都是要考到一个更好的大学。  一个更好的大学，意味着有更好的资源，更好的老师，更好的同学，更好的环境。将来的人生要达到某个标准 可能 会更容易一些，人生也 更有可能 会有更高的发展水平。  但我觉得各位更加关注的是方法论。  考到复旦来，无非以下4种途径：     高考达到复旦在该省的分数线。     千分考（不知道还有没有）取得降分，高考过线。    数学、物理、化学、信息技术等竞赛获得较好名次（每年标准不同）被提前录取。    投胎投得比较好，家里给学校捐座楼啥的。     其中第一种最普遍，最后一种最扯淡。除了上海考生，个人觉得录取人数由上到下递减。  答主是高考考进的复旦。山东省考生。  那时候还是很单纯，什么都不用想，只用学习就够了。  但每天都学习是一个非常枯燥的事情。心态上也很容易浮躁，每次老师在讲台上搞传销，说什么过了高考上了大学就解放了，让我相信，我是拒绝的。但答主心气高啊，想着像我这么聪明绝顶智商极高的人，要是在古代肯定会有个骗子道士，啊不，得道高人来跟我爹娘说令千金骨骼清奇，将来是要中状元的。于是每次考得不好了，我就会觉得一定是我没有努力，我要是努力肯定会金榜题名，周围的人哪里比得上本姑娘，然后再下一个阶段非常努力，果然成绩会比上次好一些。我就靠着这种对自己智商的执念，考到 一个挺好的学校（虽然最后还是没hold住，考得不甚理想）。  你问我怎么考上好学校，我回一句无可奉告，你肯定不满意。但是我觉得一个正常的中国高中生从小到大被人教的如何考高分已经够多了。  问我具体怎么做，简洁点，无非一句  耐得住寂寞  。 具体点，无非  上课认真听讲，下课认真完成作业，摸清楚每一个知识点，多做题，blablabla...   这些东西你随便往走廊上一蹲，别说抓个老师，抓个成绩中上的同学他都能跟你叨叨一大堆。  但如果你问我你为什么总是考不好，我可以回答，因为所有那些你已经烂熟于心的标准：   你做不到。     中国文化博大精深，每个词都有着不同的含义。 何谓 认真 ，什么又叫做 弄明白 ？身体坐在课堂里，谁知道心思跑到哪里去了。真的是在 以弄明白不会的知识为目标完成作业，还是为了完成作业而完成作业？    作业这种东西，我一向是不以写完为目的的。 老师布置的作业，是针对全班同学的平均水平，而不是你自己的水平。 就算完成了所有的作业，得到了老师的夸奖，大家都说你是好孩子、好学生，你也觉得自己已经非常努力了，但如果并没有走心，就没有什么卵用。 相信我，限制只是针对无能的人的。对于成绩好的学生，老师一向很宽容。     我说这些，不是说写作业没有用，而是写作业要走心。如果为了急着做完作业，根本没有搞懂错了的或者不明白的题，是因小失大。如果认为这道作业你已经会了（这里是真的会，会出声，不是觉得会，差不多就行了，我曾经无数次死在”差不多”这三个字上，不说了，全是泪），不做也无妨。找点别的题，什么三年高考五年模拟，王后雄，天利三十八套啥的，你们比我清楚。  提高时间的利用率，一直坐在桌旁，看着像是在努力，却没有用心，只是感动了自己。老师家长无非是感叹一句，XXX看着挺用功啊，咋就是成绩上不去呢？我觉得蔑视一个人的智商是最大的侮辱。估计你们在找考的不如意的理由的时候也更愿意说是后天不努力的原因：）  虽然我承认人与人的智商、家庭背景等各个方面都是有差距的，但是，借用一句之前非常流行的话：  以现在大多数人的努力程度，还远没有到拼智商的地步。    最后，我还是想说一句，劝君莫惜金缕衣，劝君惜取少年时。 我在你们的年纪的时候也很盼望上了大学多姿多彩的生活，但现在想起以前什么都不用想，只用学习的日子，还是非常、非常的怀念。同桌下课互相调侃，好朋友勾肩搭背/手拉手一起去上厕所，邻座男生的暧昧，同学间的友谊，都是过去了就再也回不去的青涩时光。   但昨天已经过去，明天还未到来，当下即是最好时光。   与君共勉。 
复旦校庆新宣传片再陷抄袭门吗？,这次的问题真的比较严重，复旦在国内的地位可能不会动摇，但在国际上肯定会变成一个笑话。一边说承认错误接受批评，一边又犯了同样的错误。复旦的困境和上海的困境很相似，想要show出高逼格的东西，但没有那份匠心，无法沉下心来去思考创新，最后出来的山寨货都给人败絮其中的感觉。 慕尼黑工业大学那个创意其实算不上上佳，但复旦在这个节骨眼上再使用别人的宣传片创意真的是太打脸了，最后的双胞胎美女那个上下传接校徽明显错误，而且就像网友说的，同一届同学捧着同一个校徽传来传去，意义何在？慕尼黑工业大学那个每批人捧的内容都不一样，算是从不同角度做宣传。复旦这个又犯了形式大于内容，为抄而抄的毛病。  顺便说一下，慕尼黑工业大学是德国最好的大学（德国大学其实不排名，不过慕工大是我心中的第一 -_-）。结合第一次的东大，我感觉复旦想成为国际名校的野心真的很大（满满的急功近利，还自诩自由而无用，不是打脸嘛），只是没有那份把一件事情认真做好的匠心，拍个宣传片如此，教书育人亦是如此。复旦人之所以牛，只是因为考进来时已经很牛了，在大学里没有发生任何本质的升华。  国家也好，学校也好，人也好，习惯了走捷径想改变很难的。
请问复旦大学国际商务专业硕士专业课指定书籍有哪些？,关于参考书：复旦大学管理学院没有推荐任何参考书，而经济学院的国际商务推荐了5本，分别是： ①　《国际经营策略》强永昌 ②　《跨国直接投资》张纪康 ③　《国际金融新编》姜波克 ④　《国际贸易教程》尹翔硕 ⑤　《微观经济学》黄亚钧 第四版  另外个人推荐两本，必须要看的书： ⑥　《国际商务管理》薛求知 ⑦　《国际商务》 查尔斯·希尔  关于参考书使用的说明： 由于管理学院没有指定国际商务研究生入学考试的参考书，而经济学院推荐了5本参考书，又因为经济学院与管理学院的研究生入学考试的试卷是统一命题的，故而经济学院的5本推荐参考书同样适用于管理学院研究生考试专业课备考。 除了以上经济学院指定的5本参考书大家需要好好掌握，薛求知的《国际商务管理》这本书同样是需要用心复习的，推荐的一个重大原因就是2011年管理学院第一年国际商务研究生入学考试的真题上（当年经济学院还没有开设这门课），出现的真题有多道题目原原本本地来自于这本书的课后练习题，故而我们有理由相信，管院当年的命题老师非常看重这本参考书！且这本书和希尔的国际商务一样是一本关于国际商务的综合性的书，知识点稍浅，但很全面，其内容覆盖了许多其他5本指定的参考书，与大纲重合度也是最大的。故而我强烈推荐复习的时候可以从这本书以及希尔的国际商务这本书书入手，由浅入深，有易入难，循序渐进。 希尔的《国际商务》这本书，我在本笔记中参考的是第七版的，目前市面上已经出了第九版本，其实那个版本都是大同小异，新版与旧版其实知识性变化不大，都可以用的，所以不需要太纠结是买哪一版本的比较好。希尔的书非常系统而基础地介绍了国际商务的基础知识，是国际商务总纲类型的书，对于没有接触过国际商务相关知识的跨专业考研的考生来说，本书有助于考生正确理解国际商务的基本原理和知识，有助于有形成国际商务的知识体系有综合框架。不过个人认为相比薛求知这本书，希尔的书的部分内容还是不大符合管理学院命题老师的口味，从历年真题来看，很多知识点本书虽然有覆盖到，但是若单纯从本书找答案回答，则不容易拿高分。所以个人认为本书的知识点离DDIM考试的真题的核心要求还是有一定差距，其中的观点和提法与复旦自主编写的教材的内容仍有一定出入。但是千万不可以忽略本书的重要性，特别是打基础阶段，一定要认真拜读本书。 黄亚钧的《微观经济学》这本书是为16年专业课新增加的一本参考书，从16年真题来看，并没有涉及到这本书的内容。我个人认为这本书被经济学院推荐为指定参考书的用意还是为大家在国际商务的复习过程中打基础做好准备，其用意不在考试，而在于希望大家打好基础。这本书离历年真题的核心考点其实还有很大距离，而且许多知识点不适合在考场时考大家，一方面是涉及的计算还有复杂公司与模型太多，另一方面本书的部分内容太过难懂与晦涩，而复旦国商历年考查的都是基础内容，所以请考生在看本书时，把握好基础知识，为后面的复习打好基础即可。 张永昌的《国际经营策略》这本书，个人认为这本书内容过于陈旧，适用性不大，已经脱离了中国的国情，有许多知识点老师是不大可能那里面的内容出题考大家的。所以大家复习这本书的时候遇到过时的内容直接跳过，提高复习的效率，最后能对着考纲与真题或者是参考本人做的专业课的复习配套笔记来复习就足够了，千万别钻牛角尖，别进死胡同，要懂得取舍。 《跨国直接投资》张纪康、《国际金融新编》姜波克、与《国际贸易教程》尹翔硕这三本书的知识点每年都会出现在国商考研的真题上。复习这三本书时要特别要注意的是对各个理论的考察。从历年真题上看，基本上是每一本书都各考一个理论，所以大家在后期的复习过程中最后能做到要能把国贸、金融、投资的几个重要理论默写下来。当然这三本书也有部分是超纲，请考生们自己依照考纲和真题做取舍，或者参考本人所做的专业课笔记复习。  ～～～ 别光看不赞啊  ～～～
在复旦读法硕是什么一种体验？,谢邀！不好意思我没有在复旦读法律。我是华东政法大学的法律硕士。华政和复旦地位不同，重点学科不同，气质也不同。如果是上海本地人的话来两个学校逛一逛就知道是什么样的区别了。复旦的高大上不用叙述，我们华政在法律界的地位也不用说了。复旦多才子，但华政的话，踏踏实实，勤勤恳恳是整个校园的风气。 要说法律硕士的话大概全国最共同的一点就是生源的多样性吧，来自各个专业本科的人因为对法律的各种情节通过自学考入研究生教育。这一点或许会被法学本科的人比较鄙视，因为我们的确在理论方面差了很多，才入学的话，你会发现在法律思维方面有些跟不上。这一点可以通过多听讲座，多看书，多与老师交流来赶上。另外，多动笔，多写写很有助于思维的成长。这一点应该在研一就开始。 我并不认为法硕非法本比法学本科的有太大的差距，因为美国教育中，本来也不存在法学本科这种教育。法律硕士，其实就是JD。在我身边也有很多混了好多年本科的法本，并不比那些认真的非法本同学强。而本科的不同背景其实对研究生的深入研究是很有帮助的。特别是如果有一点工作经验的话，在学习法律时是会有极大的理解力上的方便的。 以上是比较玄幻的体验。 具体的体验就是，多读书，读很多的书，法理的，司法考试的，本科专业的，不断地读书，每天读书，多多思考，多参加活动，法援啊竞赛啊什么的，这一点应该都差不多。对了，法律英语很重要，我们都是外教教学，我们老师不会说中文。。。。这个课有点痛苦的。。。熬过就好。。。提高真的很大。。。这些地方应该每个学校都差不多。 既然都是研究生了，就无所谓什么放假之类的事儿了。。。课虽然多，也没高中多，二十好几的人了会自己安排时间，对我来说就是什么时候太累了就自己放放假散散心。周末啊，春节啊什么的对我们来说没啥意义啦，有那么多事儿要干呢。。。但为了自己做事儿和被迫做事儿是不一样的。 在华政的话，研二可以选个方向，然后真正的研究生生涯就开始了，可以深入研究了。所以研一就要多多打基础。 今天先写到这儿吧，最近有点忙。。。。。。
如何评价复旦大学数学学院闫哲坤？,数院&amp;经院颜值和才华扛把子
如何看待复旦大学文科楼10.10跳楼事件？,歪个楼：  【超灵异！胆小的筒子晚上千万别手贱点开】复旦大学“新”十大禁地超恐怖物语    整个复旦你连能没过膝盖的水都找不到，根本不能和北大那种博雅塔未名湖下双双殉情的鸳鸯比。上吊你又没有大房梁，服毒你是文科的话也搞不到二甲基亚硝胺，割脉的话浴室也没浴缸、厕所臭不可闻，所以只能选择跳楼了。而要跳楼，就只能选四教和 文科楼 这种五六层的低建筑，弄不好你命硬，一跳摔得跟血葫芦似的可还差一口气，就要死很长很长时间，终于能体会到die后面加ing的人生了。  正题： 好端端的人生不过 非得这般?这得有多大的决心与世隔绝。最后逝者已矣。
上海交大和复旦大学到底是什么关系？,在国外交换，有一天和同班一个复旦的妹子走在一起，遇到两个清华的，自我介绍我俩是交大和复旦大学，说完这句话觉得气氛诡异，四个人都笑了。。。
复旦和交大之间的关系，为何不像北大和清华之间那样惺惺相惜？,先问是不是，再问为什么。是谁说清华北大惺惺相惜，宛如一家人的？？！！ 我记得刚上本科时，有次开大会某小领导讲话，大致如下： “清华对学生的心理健康是非常重视的，我们校内就建有心理咨询中心，为同学们提供专业的、全面的心理咨询服务blablablabalbla 这点难能可贵！不像某些北京高校， 为了友好起见，我就不指名道姓了 ，对学生的心理健康关注严重不足，有的学生竟然因为得不到及时的咨询与治疗，跳了  。。。   。。。  。。。 。。。 。。。  未名湖 ！” 。。。 。。。 。。。 。。。 。。。 我了个去！！！！ 领导，不是说要友好吗？？！！ 领导，不是说不指名道姓吗？？！！ 未名湖。。。未名湖。。。未名湖。。。（余音绕梁，三日不绝）  领导，跳未名湖有卵用呀？？！！ 领导，您真的是脱离了低级趣味，纯粹为了黑隔壁而黑隔壁呀，这样真的好吗？？！！ 说好的惺惺相惜呢！！！！说好的宛如一家呢！！！！真尼玛是相爱相杀！相爱相杀呀！！！！你说虐不虐？虐不虐？  
有一个复旦女朋友是怎样的体验？, 写不出稿，应约来答题。  首先谢公主殿下邀  @张可卿    其实最开始在一起的时候，并没有意识到“复旦”这两个字的重量。  因为那时候一直都觉得自己是个垃圾，一个垃圾能被人喜欢上，已经是很意外很吓人的事情了。  所以确定关系那一天，当我问出“那我们算是恋爱了吗？”没得到回复的时候，心里其实慌得不得了，想着我就知道是这样，我怎么会被人喜欢等等。  害怕的缩在椅子上，一秒一秒等着她的回复。  在一起之后，也一直没太意识到复旦有多厉害，因为在学渣眼里，是跟其他名牌大学一样，都很厉害。  直到那一天她说复旦是除了清北最好的大学时候，忽然一惊，我去，原来这么好？  不过可能比较迟钝吧，因为没体会到，只是听，就只会觉得，原来有一个这么厉害的人喜欢着我。  对了，值得一提的是，她的作业很多。  没想过原来到了大学也会有这么多作业，几乎每天都是学到十二点左右，有时会更晚。  会因为作业太多写不完而很难过，听起来似乎有点可爱，但是想一下，又觉得有些心疼，只恨自己没办法帮到她。  作业是沉默点。记得有一次说要一起看电影，说是一起看，其实也不过是在各自的宿舍，打电话，然后一起点开电影罢了。  记得当时看了眼时间，八点多快到九点，好奇地问了句，“今天作业写完了？”  电话那头立马传出她的声音，“我今天休息不行啊！”  “行行行，好好休息。”  还好第二天是周末，补了一天作业大概是补回来了，可是作业那么多，哪有个完呢。  心里有佩服，觉得不愧是复旦，也说过，希望以后可以变得更好，让你不这么累之类的话。  但看看现在依旧进步甚微的自己，就觉得这话如同泡影般弹指便破。  五一假期终于去找她了。  到了上海，到了复旦。  说起来挺有趣的，这大概也是我经历的最特殊的一次“约会”了吧。  四月三十号晚上到的上海。  五月一上午起床后，两个人吃了午饭，就去自习。  她看书，我写稿。  到了点去看下午场的电影《喜欢你》。  然后回去继续自习，晚饭，自习。  第二天，自习，吃饭，自习，吃饭，自习。  对，她有课，我方便去的话，就会跟着去听（虽然根本听不懂），不方便去的话就在外面等她，下了课两个人吃饭，然后自习。  在上海待了四五天，基本都是在自习中度过。  有时候她学累了，就靠在我身上或者趴在腿上躺一会儿，睡起来继续学习。  所以当回来，舍友问我在上海玩的咋样的时候，我只是微微一笑，回答他们说，我在复旦上了三天自习。  就连情话都是那么特别，记得快要离开时，骑着车载着她，她在后面抱着我，说了句，“特别喜欢和你一起上自习。”  其实这篇回答写的挺乱的，想等状态好了再改改，但某人一直在催，只好就这样乱下去了。  因为来回都是十六个小时的火车，所以回到西安时，忽然觉得就像一场梦一样，在梦里到了上海，到了复旦，发生了那许许多多的事情，好像虚幻版的幸福。  因为她的努力程度哭过。  因为自己太烂了，害怕跟不上她的脚步。  也根本不觉得，我这种人能配得上她。只是希望自己能变得好一点，让以后她介绍给别人时，显得不那么丢人就好了。  但就连这点，似乎都要拿出十二万分的努力。  唯一会的事情是写点小说，但这种需要天赋时间耐心恒心机运等等各种方面的，并不是很厉害的小特长，此刻显得那么的微不足道。  有点跑题，还是拉回来。  并不是像普遍认为的那样，学霸都是书呆子。  除了漂亮身材好之外，她真的很活泼可爱，而且懂很多。  在一起的时候，总觉得她什么都懂，各种事情都能给我解释讲解一番，虽然基本都是听过就忘记。  大概就这些吧……  以前爱把喜欢的女孩比喻成阳光、太阳，但她似乎不是这样。  温暖而不刺眼。  更像是一个与我携手同行的伴侣。  一个懂得很多，很厉害，但仍旧愿意温柔对待我这个垃圾的人。  一个也会需要我，想念我，并且真心对待我的人。  说了这么多似乎已经不止于复旦了……  果然最近不适合写东西，简直乱七八糟。  用一句诗来结尾吧。  “试问岭南应不好，却道，此心安处是吾乡。你在的地方，就是我的家。”   ==================================================================  麻烦一本正经讨论哪个大学最好的不要来评论，您爱说哪儿好就哪儿好，但别在我这儿评论，一律拉黑删评。  谢谢。 
清华，北大，复旦，上交的毕业生的性格和气质有什么不同？,“复旦人就应该做三件事，第一是做复旦人真正想要做的事，第二是做复旦人真正应该做的事，第三是做只有复旦人才能做好的事”——老校长  理想主义。
如何看待无锡一中秋游去复旦大学?,见校友啊，复旦的学长学姐那么多，
魔都普通市重点新高一想考复旦大学语言方面的专业求指点？,谢邀！！！第一次被陌生人邀我好怕怕！！！想想还有点小激动··· 先给个结论：没有意外的话，尽管我不知道你长得美不美，但是不要想得太美了。  来自魔都n+1流市重点的人在这里 不管允不允许我还是要吐槽···咳咳··· 普通市重点是什么鬼，至少了解下自己学校有多少推荐自招的名额还有考进的名额吧 动力很好啊，有动力就不错了，还是这么正能量的动力，劳纸当初的动力阴暗的多了啊！！！ 考不上高中的能进市重点，我服啊，然而高一就这么忙应该是17高考改革的因素，别误解你们学校 然后我并没有觉得你很想考复旦啊，居然来问的是是不是该享受一会儿，而不是怎么虐待自己 反正我没见过中等成绩能上复旦的普通市重点，所以我建议题主既然这样提问题，还是放弃吧。  然后一些没有干货的答题 断网会死的···不用断网，越是断网心理越是不爽，也可以用社交软件，但是控制好，别荒废时间。合理的聊天放松啊完全是必要的，别一刷微博2小时（捂脸跑）··· 成绩能多好就多好，搞清楚名额，争取校推或者自招，高考对你而言可能性太小，除非突然疯了一样奋发图强or人格觉醒然后走上人生巅峰？ 所以你进复旦的途径我觉得有以下三条吧： 1、任何方式，使自己的成绩达到能进复旦的程度，任何可以教的途径都是废话，怎么做你看着办。 2、学校的推荐或者自荐。考试不行就什么项目都去吧，去看17年复旦招生看重的点，找找机会 3、搞个柬埔寨国籍，老挝也可以，到时候可能转不回来，那有什么关系，反正能进复旦
在复旦，你遇上过什么奇葩室友？,这个问题必须答。我觉得全复旦可能找不出我这样奇葩的宿舍生活了。 先说说我是怎么摊上这么个室友的。复旦的都知道，在复旦大一是打乱专业编班分宿舍的，加上那个时候专业课少，选修课多。所以就一直没怎么在我们药学专业的圈子里玩，好朋友都是其他专业的，心想反正药学专业的人以后三年有的是时间认识。结果，药学专业的同学竟然把大二搬张江以后的宿舍自己组合分好了，而我竟然从头到尾不知道！直到快搬了，辅导员说起考虑怎么分宿舍，有人说已经分好了我才恍然大悟。 于是，我和这位室友这唯二的两个在自由组合方案里被剩下的男生住进了最后一间宿舍。一开始还以为意外得到两人间的高标准是因祸得福。后来才知道，有那么一个奇葩的室友而且没有其他更多正常人制衡，真的是噩梦。 他是陕西山区来的，平心而论人不坏，但是生活方式和一般人的确格格不入。 首先是极端内向，三年里正常宿舍室友间说过的话够绕地球好几圈了，我和他说过的话可能都不够绕我们那屋一圈的。除了有一个学期住进了两个外校交换生之外，一天从早到晚不说一个字在我们宿舍简直太正常了。 可是这给我带来的并不是安静的学习环境。每天晚上在宿舍都会从他那里发出各种声音。擤鼻涕放屁是生理反应，我理解，可是隔几分钟就自言自语一句“黯淡了”，同时还笑两声，这实在忍不了。最过分的时候甚至在宿舍里一直拍篮球。 还有，一年四季睡觉的时候都要开阳台门。睡觉前我关上，但是等我睡着以后他又打开。也没有人管得了他，别的宿舍都是关阳台门的。 我们宿舍里面的卫生间是可以洗澡的，但是他洗澡的时候不许我进来方便。虽然洗澡的地方有浴帘也不行。内急的时候听到他在里面慢慢悠悠一边洗澡一边哼哼唧唧，真的是杀了他的心都有。
复旦大学的宿舍条件如何?,北区研究生宿舍两人间，博士单人间，卫生间都是整个套间公用的。空调可以装也可以租，在卫生间洗澡很方便，刷卡就有热水。食堂、体育馆很近很方便。 
