湖南大学转专业的有哪些具体要求呢？,成绩很前或关系很硬 ps.胡来大学转专业坑死爹
中南大学环境工程和湖南大学环境工程哪个更好？,湖南大学环境工程毕业硕士不请自来并怒答！！！ 看你的研究方向、读研目标和就业规划~~~ 一、研究方向 湖南大学环境学院的研究方向主要集中在堆肥上，学术发展方向相对单一（可以在湖南大学环境学院的网页上看看湖南大学环境学院的研究生发的论文），如果是想对大气等方向进行研究则不推荐湖南大学。中南大学情况不清楚。 二、读研目标 ①快速毕业拿文凭：湖南大学环境学院毕业情况还算比较理想，硕士一篇“三环”（环境科学、中国环境科学、环境科学学报）就够了，实在发不出来发一篇CSCD有的导师也能让毕业。另外2012年我毕业的时候湖南大学硕士还可以两年毕业（只要导师同意），现在啥情况就不清楚了。如果题主不想硕士读三年，湖南大学还是优选。 ②读博深造搞研究：这个本人没读过，不好说看法，但是直博可能是5年毕业（2年硕士+3年博士），硕士毕业再考博士博士就至少读4年了，博士毕业的话2012年我毕业的时候最低要求一篇SCI，现在就不清楚了。 三、就业规划 主要是毕业去留问题。 ①留在湖南：就我读研的时候来看，读研选择湖南大学的湖南、湖北和河南的同学比较多（湖南本省的尤甚），毕业后基本都想留在湖南，如果题主是这样的话，则推荐湖南大学。主要原因是湖南大学在湖南省环境领域基本上是统治地位，上至湖南省环保厅，下至各市各区县环保局，涉及的行政、事业、科研单位基本遍布了湖南大学环境学院的毕业生，导师及师兄弟的存在对想留在湖南工作的同学来说是极大的资源优势。 ②离开湖南：湖南大学在湖南、江西、广西、广东等南方地区认可度还是比较高的，中南大学不清楚，如果是就业到北方的话，那湖南大学是有点悲剧！！！ 最后，重要的事情说三遍！！！ 能就业先就业！ 能就业先就业！ 能就业先就业！ 以上~ 欢迎拍砖、私信~
如何评价湖南大学2016年体测？,许多人测完没成绩，还要再花时间去重测，志愿者也不查人，那么多代测的 只想说垃圾湖大
新疆阿克苏学院大学教师和湖南私立高中教师，我该如何选？,个人建议去阿克苏地区教大学生。  中学老师压力太大，那种压力我个人受不了，所以当初有很好的就业机会自己主动放弃了。  大学老师主要突出一个自由，这种自由不是钱能解决的，而且新疆那地方瓜果飘香人美歌甜，去几年也不是不行，以后还有机会跳出来做其他的事情，但进了高中……不是你想出来就能出来的。  为了自由。
如何评价湖南大学前书记刘克利？, 典型的官僚书记，把持湖大权力数十载，连钟志华堂堂本土院士都无奈远走重庆，赵跃宇更只能算菜鸟了。  书记校长双双被免事件后，这货啥事没有，平调去了省人大科委养老，可见在省内的关系经营还是花了血本，背后不是一般的硬。  然而，这种只懂钻营权位，只顾自己饭碗，不为公谋发展的臭虫，必然导致湖大体系的上行下效：内部行政上，搞得湖大官僚之风肆虐，各种管理效率极低，科研系统沦为行政的附庸；外部开拓上，保守迂腐，坐吃山空，湖大10多年的发展几乎停滞，很多方面甚至倒退，错过了太多发展机遇，例如大学合并、合并后多个强院的分崩离析、例如贷款圈地、建校建房....多不胜数。最终被隔壁中南大学逐渐甩开一大截，甚至已不如一些211强校。 在靠ZF赏赐定位和施舍资源来决定一切的大陆高校圈，这种劣势翻身的可能性已趋近于0。  综上，正如各类权力场中的一样，像刘克利这种身居高位的臭虫，是高校发展中最臭的一种。  （作为老湖大人，今天偶然看到，依然唏嘘不已。说句题外话，希望在新校长书记手里能有起色，至少不要继续下滑。） 
浙江财经大学2本专业与湖南科技大学选哪个好？, 湖南科技大学，至少这个学校是一本，虽然湘潭地方差了点。  但是如果想在大学期间出去走走，湖南可以旅游的地方太多了。  如果想好好学习，毕竟是一本，在湖南算挺不错了，就是学风有点差，但是还是比二本强太多（主观想法）。  你自己好好想，还要考虑离家远近，来湖南很少会有不习惯的，从不吃辣的广东人都能完全适应（麻辣烫不要辣）。 
计算机考研选择院校：电子科技大学 四川大学 湖南大学该如何选择？,谢邀 1.建议题主把自己在计算机专业方面的积累说得更详细些， 比如编程基础怎样， 数据结构，操作系统，网络等专业课之前有学过没有，   这样我们才能更加了解你的实力， 判断你考某校考上的可能性. 以你现介绍情况来看， 河南某二本学校， 市场营销专业， 无论是学校还是专业对于考研来说都没有优势. (当然跨专业考研的同学是挺多的.)  包括你说你现在的复习进度也不是很理想........感觉不是很乐观啊.  2. 考研报学校， 主要是两方面参考吧， 第一个是学校，专业，城市的好坏， 第二个就是我们自己的能力，   我们首先得报一个自己考研成功把握比较大的对吧，这是首要原则.就像清华CS当然最好， 但显然不是所有人都能报的.  所以最关键的还是你对自己实力的判断，  以及对各个院校CS的难度，优势方向等，从这两个角度综合来考虑， 这些功课还得你自己来做.  3.这三所学校的话应该是成电CS最好吧， 成都只去旅游过，对城市不了解.   我在国防科大，  湖大CS我不熟， 但湖大校园是真好玩，  大学城里， 和中南，师大挨着， 生活氛围特别浓，另一方面自然也不是很清净.  当然你读研肯定是为了找个好工作，不是为了好玩. 这个点仅当参考吧.  4. 和考研无关， 就业有关的题外话.   考上研后，最关键的还是要自己多编程，多做项目，早为硕士毕业时的找工作做好准备. 用硕士的出彩来弥补本科的不足.  祝你好运.
求问报考中南大学或湖南大学的行政管理研究生的具体分析比较？（难度，分数，要求等等）?,我也是想问中南大学行政管理考研当面的问题啊
为什么湖南师范大学那么穷？,666啊
湖南中医大学学校代码前带字母，为什么？带字母的代码，是高收费吗？, 每个招生学校的代码是当地省级招办确定的，通过招生志愿手册来发布，一般都有学费的信息，再不明白，电话咨询招办。 
湖南工业大学有哪些特色专业？,包装设计是有名的，我记得应该可以排到全国前几（好像是这样），其余的就不知道了
湖南大学车辆工程考研机械原理和材料力学比较？,材料力
湖南师范大学的法学院如何？毕业后就业前景怎么样？,本人报考湖南师范大学时，抱着成为老师的梦想，阴差阳错被法学院录取，最初抱怨运气不好，现在只觉得，能遇到法学院，是最幸运的事。 学校条件比较差，长沙夏天将近40度的高温，宿舍没有空调，教学楼和宿舍距离很远，大概二十分钟的公交，还要步行十几分钟， 但是学习氛围真的很好，法学院在湖南省的地位要比一些985学校的法学院更高，有专心致力学术的老师，有科学的培养方案，只要静下心踏踏实实学习，我们师大法学院培养出来的学生竞争力可以说是非常强的， 当然我最开始对这个专业并不感冒，但是我们的老师真的很值得尊敬，他们一心对待学术，不求名利的态度，最打动我，和周边学校比师大条件真的太艰苦，但是能坚守在这里，对这门学科的真诚和热爱可想而知
为什么作为985的湖南大学鲜为人知，在相邻的湖北存在感都没有！？,湖北教育资源丰富，7所211、2所985，还有众多的一本院校，如果不是很优秀可以去北清或者华东五校的情况下，基本都在本地上学，两所985优势互补，基本没有短板。湖大文理工和华科武大相比水平都相去甚远……而且校园环境而言其实和两校也无优势，而且没有校门，校园比较嘈杂。学校风气也在985当中无任何优势，而且985中湖大确实是末流，这是不可否认的，现在趋势是上升的，但无奈欠账太多。顺便说一句，以武汉人的眼光看，长沙差武汉太远，无论城市格局是规模发展，经济总量，还是武汉更胜一筹。总而言之，湖南大学，对湖北人尤其是武汉人吸引力不大
