西北农林科技大学可否合并北京大学、清华大学、西安交通大学、西北工业大学、西安电子科技大学来提升影响力？,西农不是985了  找不到学生是肯定的 但是越来越不值钱的一本分数线给了西农人一种自己分数线在变高的错觉 至于合并的想法 我认为西农人的生命是有限的 但是为其他大学做好绿化磨好锤子的工作是无限的 西农人应该认识到自己的七本尴尬处境 将教育部经费省下来 将教职工和学生分散到其他高校看门扫大街 这也算是另一种形式上的合并 以上
如何看待西安电子科技大学五个大三学生声称造出皮卫星？ ？,作为一个采访过其中一人并且略听过几耳关于相关知识的人，我觉得我还是能说得上两句的。 1.真的觉得这是个很容易的事么？浙大十年发射了多少颗，许多最后都沉寂在宇宙中了。而空间一号皮卫星已然接收到发回的卫星。2.这五个人是学电子方面的，他们在信息存储等方面就比较在行，比如选用f-rame作为存储介质等等机械方面的知识可想而知能有多少，比如太阳能翻板的展开等等，都是自己的探索。一共做六七颗样星，首先对航天环境的模拟就不是轻轻松松就能做到的吧。宇宙辐射，太阳风，高能粒子流，超高低温等等诸多问题，不是说说就能解决的。不得不承认学院给予的各方面支持。3.日夜辛劳，过年不回家，学校附近连个吃饭的地方都没有。大冬天早起晚睡在楼顶检测信号很轻松吗？4.这个小组是他们自发组织，兴趣使然，与学院要求无关。
在西安电子科技大学在线抢票是怎样的一番体验？,来知乎提问这个。真是闲的蛋疼。最多去睿思灌水区发发还好。这样糟糕的问题泛滥导致了1:知乎平均水平越来越low，成为了灌水专区，失去了知乎当年意气风发以及初衷。2:拉低了我北雷男职的逼格，抢票这也不是北雷男职发明的，清北复交多了去了。那些同龄人从来没有这样过。一种潜意识的心理，记住，桃李不言，下自成蹊。
西安电子科技大学周围有没有月租房呢？,新校区还是老校区？ 新校区南雷 老校区徐家村
西安电子科技大学如何转专业？需要符合哪些条件？,1.入学考试  前提是你的高考成绩在前20％，然后开学考试考英语（CET4题型）数学，物理（不计入总分） 成绩好的通过面试就有机会转到通院电院的教改班了 2.大一成绩在本院前5％左右，在大一结束后可以申请转专业，要留意学校的通知，大二开学有一个面试，通过面试就可以转专业了
怎样看待“西安电子科技大学两名副校长违纪被调查”？,抱歉， 我不认为这件事能到热搜榜第一.  
保研 西安交通大学机械和电子科技大学机械但是导师做的是医学图像处理和深度学习 求问该如何选择？,选择宇宙机
西安电子科技大学计算机科学与技术专业大二学生应该如何选择大三的专业细分？,你搞操作系统和编译器的话，应该是比较接近底层的。选嵌入式方向可能有帮助。网络方向比较轻松，学得是关于网络编程，信息安全，还有进程并发服务器一类的，软件顾名思义，算法，和软件开发。最后视觉这个方向我个人是觉得很好的，它是机器学习必要的路子吧。不是p图，但是你得会这个吧，好像，它是对图像进行分析的。
如何看待西安电子科技大学老校区食堂用炒菜锅洗拖把的行为？,利益相关：南区本科生  所有：   建议回内网讨论的  说“母校是一个可以让自己随便骂但不能让外人凌辱的地方”的  认为在外网开贴讨论是给你电抹黑的  认为“能在校内解决的就不要动辄传出去让大家都去看笑话最后反过来嘲笑”的   真的，建议你们先把匿名马甲脱了，看看你们是从那个校区的行政楼发的贴   然后去食堂喝刷“拖”锅水。   我就不明白了，什么时候开始有这种风气的呢？出了事情还想着怎么把事情压下去，怎么让这个事件的讨论范围小一点，而不是从多方面给压力，让部分人晚上睡不好觉呢？  不知道你们想没想过，能在那个时间段把拖布放到锅里，不管你这个锅要不要换，本身就代表着卫生操作流程在工作人员心理就没有任何痕迹。  退一步，就算只是这个保洁员个人的问题，别的工作人员也没有制止他的行为吧，食堂经理也没在食堂值班吧，视频监控看不到是谁吗，监控室连个电话都不打吗。  细思极恐。  啊对了，听说新校区北门的板房被拆了哦。
西安交通大学、西北工业大学、西北大学、西北农林科技大学、西安电子科技大学、 陕西师范大学、 长安大学、西安理工大学 、西安建筑科技大学、西安科技大学这些大学那些专业毕业后好找工作？,我是西电的，首先说一下西电。  西电的就业率比较不错，一直以来都居于西北地区的就业率的前列。不过我想大家关注的可能不是学校的就业率，应该更关注毕业后能不能找到一份比较好的工作。  通信类硬件类：西电的通信工程居于全国第二， 嫦娥计划五个总工程师三个是西电的；  中国移动总工程师西电毕业的 。例子太多了，就不说了。 作为西电的王牌专业，很  多人将西电的通信工程作为首选。 那么西电的通信工程毕业之后可以去哪呢？华为中兴是比较不错的选择吧。华为最低工资月薪九千，中兴八千。而且最近物联网以及智能设备非常的火热，将来这方面专业的就业比较看好。  计算机类软件类：程序员在这个行业内是非常受欢迎的，很多大牛到BAT，360，金山，58同城，赶集网，年薪20W+以上的不在少数。因此， 西电的计算机科学  与技术，软件工  程，都是非常不错的选择 。程序员并不屌丝，只是将屌丝作为了一种生活方式。  再来说说软环境。个人觉得交大的软实力还是非常不错的，培养了周鸿祎这样的牛人，我去过交大，感觉确实是西北所有的大学的标杆，自由宽松的、重视实践的氛围，是值得每一个学校去学习的，交大大部分专业都是非常棒的，关键是一个好的氛围，因此， 报考交大的各种理工科专业都比较好找工作。 再者，很多公司来西北地区招聘，往往只招交大、西电、以及西工大的学生，招聘会直接在交大或者是西电举办。  当然啦，西电也在努力中。比如 腾讯联合创始人曾李青，西电毕业的，文件大师、  每日瑜伽多个移动互联网产品的创始人或者是联合创始人，西电的 。当然了，现在在西电正在创业的慕声耳机团队以及多个互联网团队，都是非常不错的，我们看到了西电在这方面的努力，我们也看到了西电学生的努力。  清华的学生从一开始就自认为是社会精英，可以做大的事情，而我们西北地区学校的学生，大部分都在想着以后要考研，要做技术。 希望之后的我们，九零后的我们，能够展示我们的青春活力，有自己的想法，有自己喜欢的事情。 然后在校期间能够做点事情出来，让自己真正牛逼起来。
在西安电子科技大学就读过程中最温暖的一件事？,看到这个问题时，，还只有一个人回答  @张宁祥 。 我想分享一件事： 那是14年的七月份，刚考完期末的季节，瓢泼大雨。我在唐延路打车，准备回北雷。那天的雨真是倾盆，我却没带伞。 唐延路那一段路没有商店，我只能蜷在车站的亭子下。狼狈的是，等了一个多小时，没有916，没有921，更没有一辆出租车。更狼狈的是，还被一辆过路车溅起的泥水从头到淋到脚。那辆车也真是丧心病狂，经过水潭和人不但不减速反而加速飚过。 头一次被淋得这么彻底。 失望，心情跌到了谷底。 突然雨幕中驶来一辆熟悉的绿色大巴---校车。 我微微波动，因为我知道回新校区的大巴中途是不拉学生的，我尝试挥了挥手，反正不抱希望。但没想到车真的停了下来，司机打开门：赶紧上来，外面这么大的雨。上车的瞬间感觉桃花落满车厢，刹那间春风拂面。 对，有一个词叫怦然心动。   当然还有巡逻车半夜把发烧的我送到校医院，保安小哥替我付几块钱的药费。回宿舍我给他，我再怎么说他都不肯要···  在西电，不缺温暖的瞬间。   尽管都说西电缺少人文关怀，但我觉得，这已经足够。  愿你我用心去发现，彼此珍惜。
西安电子科技大学为什么不是985呢？,既然有人邀请了，那身为西电er简单说几句吧…   第一个，之前在天涯看到过一个985的8项评分标准，具体的已经记不得了，可能有一些方面西电处于劣势； 地域可能也是原因之一，虽然985的地域成分并没有想象中的那么大，但是如果西电也是985的话，西安地区的985确实有点多； 然后就是先天劣势，985大多数其实都是综合性大学（即便西农也是有很多和农业关系不大的院系专业），上财、南理工、南航之类，也同样不是985； 再就是，985应该是省市和教育部共建的吧，听一些西安本地人传说，西电和当地政府的关系不好，会不会有这方面原因？（无责任道听途说） 还有一个比较扯淡的，校名…西电和成电最明显也最让西电er不爽的区别在哪？校名！当然这一点有点玩笑话的意思……   以上差不多就是我理解的原因了。没评上985其实也没什么啦，毕竟985只是阶段性的工程，而且学校实力摆在那里，就算没有985的名号也也不会对自己的发展有什么负面影响的。
如何看待西安电子科技大学的校园上网计费政策？, 西电在中国的IT行业具有相当大的影响力，作为理工类学校，在科技与信息技术方面见长，计算机类学科也进入了全球前5%。然而西电作为2017年互联网+大赛的承办校方，在全国提速降费的大环境下，却将互联网使用限制了，这实在是令人遗憾！  西电的财政紧张，各种实验教学仪器长期使用损坏颇多却难以得到更新，我们奖学金比其他学校低得多，连国创项目经费上限金额也是只有其他学校的一半。财政紧张我们都可以理解，毕竟每年很多地方都有刚需的支出，但是我们渴望与世界交流，不希望做井底之蛙，互联网就是我们信息交流的重要通道！  作为理工科学生，我们几乎天天都需要与电脑和互联网打交道：  写代码时候，需要大量检索国内外互联网上的资料；  研究一些专业问题或者做一些项目的时候，需要大量检索国内外互联网上的文献资料；  学习大学基础知识和专业知识技能的时候，我们还需要大量地在“中国大学MOOC”、“慕课网”和“Coursera”等网站上观看学习视频； Linux系统每隔一段时间就需要更新，每次更新也需要数量不小的流量（几十MB到几百MB不等），Windows下的软件、安卓手机、苹果机亦然；  做机器学习、大数据等方面的课题时，还需要下载和上传大量的数据集，这些数据少则几百MB，多则几十GB……  这还不是全部，仅仅如此算下来，我每个月所需要的流量不仅仅是免费的10GB流量外加几个GB的流量充值可以满足的。  本人是不打网络游戏，不看网络直播的，之前的计费方案，虽然价格与其他学校相比并不算便宜（30元包40GB流量），但是是满足我的使用需求的，然而新的计费方案会使得我每个月要多花很多钱支付上网费用。而且，在IPv6尚未在国内外大面积普及的情况下，我们的上网需求仍然主要依靠IPv4，即需要计流量。  最后，我只能说，我希望能够推出更合理、灵活且相对便宜实惠的计费方案，希望西电能变得越来越好。  ps: 向校长信箱反映。 
西安电子科技大学保研不公，这让我们怎么办？,上天涯呀，还有百度贴吧，西电吧
西安电子科技大学比较好的导师有哪些啊？,别去西电，小心传染病。自己百度西电有名的结核导员李警。除了西电，去哪里都好。
西安电子科技大学在知乎上是什么地位？,大概比不上山东一所世界一流大学。  不过，我本人还是觉得是一所不错的理工科大学。
在西安电子科技大学就读是怎样一番体验？, 全删了  总结两句吧  依旧怀念那些正直优秀的老师，是他们给我了基础和机会。  依旧怀恨处处为难学生、占学生小便宜的辅导员和行政，是他们让我对西电“百感交集”。 
大学想填西安电子科技大学和北京工业大学，麻烦评价和就业前景分析？, 我觉得题主应该拿西电与北邮比较。  再反驳一下上面一位，信息安全，西电是历史积淀，应该比北工大强。  各位可能奇怪，信息安全怎么会有历史积淀呢？  西电以通信起家，通信媲美清华，密码学的功底非常深厚，所以在基础理论这方面，比北工大强。题主可以百度一下西电密码学，看我说的是不是符合事实。  2014年西电顺应时代趋势，响应国家号召，率先在国内成立网络与信息安全学院，“震惊西方媒体”（可能是他们需要一个攻击中国的素材，所以西电躺枪）  《纽约时报》：西安电子科大设立新学院 培养网络信息安全人才     美媒猜测西电网络学院涉军用研究 - 热点 - 21CN.COM     西安一高校开办网络学院 美媒:与军事有潜在联系     我校院士主要集中在通信和电子领域，所以信息安全院士，暂时只有马建峰教授一位(2017年评定)，更多教授正在申报中，毕竟海归和留学博士团队血气方刚啊。  题主还可以访问我院网站。   网络与信息安全学院     我院还有网络空间安全实验班，教学资源丰富，学生群体中大佬云集，很多大二大三就已经拿到奇虎360和bat的offer  【走进网信院】网络空间安全实验班，有啥不一样？-西安电子科技大学 综合信息网   
如何看待西安电子科技大学优先给留学生暖气而本科生直到现在依然不能全面供暖的行为？,不知道什么用意，西电的供暖和供水我觉得够可以了，你们这种人都是惯出来的，天天意淫这些不公待遇还不如多去学习。
南京理工大学和西安电子科技大学哪所学校比较好？,南理工地理位置好，但是计算机不是王牌咯。  西电你懂的，计算机氛围好，但是地理位置不好。
电子科技大学(沙河)还是西安电子科技大学？,两个学校差不多，计算机都是强项专业，电子科技大学(沙河)是这几年搞的示范性软件学院，分数在逐年走高。两个学校的就业也差不多，每年都有BAT来校招，学到真本事是关键，题主不如按城市来选，经济发展成都要好些，历史人文西安要浓些。
在西安电子科技大学读文科是怎样一种体验?,经管院文科生 也是最后一届 下届经管大类招生就只有理科生了 简单说一下 作为文科生我要学c语言，数据结构，数据库，计算机网络……这些不知道是什么的鬼 摔！ 然后觉得这样一个理工科气息浓厚的学校人文氛围确实不强～ 各种竞赛什么数模，ACM…… 听听我也是醉了  然而作为一个文科生 当初在选择学校的时候当然也考虑到了这点 但是冲着西电的男女比例 我还是毅然决然的选择了这里 哼～ 然而并不后悔 在这里认识了很多有趣的人 经历了很多有趣的事 遇见了两个任  既来之，则安之 就酱
2017内蒙考生，高一本线100分，选择深圳大学王牌专业，还是西安电子科技大学随便专业调剂？,谢邀。 喜欢开放发达而且包容的城市啊？很棒！说明你是一个有想法的人。 报计算机有两个因素很重要： 1. 一定要是985/211，否则找工作会很惨，进不了大公司。参考   https://www.  zhihu.com/question/6151  5252/answer/188870365     2. 互联网城市是：北上深、杭成广。别的城市的互联网公司很少，没法实习。参考   https://www.  zhihu.com/question/4745  7245/answer/106427841      所以，如果你报深大，不是211，由于整个深圳都没有211，所以你可能可以找到实习和工作。但如果你想去其他城市工作，那就过不了大公司的门槛了。  只要去过南方，喜欢上绿树成荫蓝天白云，以后去北京工作的可能性极小，因为雾霾太严重了，而且你喜欢开放发达包容，北京完全相反…… 而且工作以后逐渐经济独立人格独立，会想成家立业，就不再想和父母住了，知道“婆媳矛盾”的说法吗？工作以后有自己的生活和爱人，周末假期出去旅游之类的，几个月半年回一次家就不错了，那么离得近和离得远其实没区别了，只要有飞机和高铁，回家花半天一天，和你从北京到内蒙差不多。或者你奋斗的很好，把父母接过来安家那是最佳方案。 所以可以先不考虑未来去北京。  我的建议： 上海很好，985/211也多，发达开放，也包容。 杭州不错，只有浙大一个985，看看能不能上。 个人最推荐成都：互联网发达、房价低、985/211好几个，是2016年全国一二线房价翻倍之后互联网人首选的安家之地，可以考虑过去上大学并且大二买套房子，房租就够你生活费了，毕业时也许又涨价就是人生赢家了。 参考   https://www.  zhihu.com/question/5050  2415/answer/128628030     广州离深圳很近，也不错，有好几个211，去深圳实习和工作还算方便，可以看看。 西安正在搞一带一路大建设，房价会涨吗？很可能。会不会带来互联网行业发展？可能性很小。发达吗？不。包容吗？不。把买日本车的人砸成植物人的就是西安。 参考：《四年了，那个开日系车被“爱国青年”砸穿脑袋的中国人》   https://  zhuanlan.zhihu.com/p/25  575261       最后来一张我最不喜欢的女演员演的一部最喜欢的电影——《观音山》：“住成都好安逸”   https://  m.douban.com/movie/subj  ect/4059245/        
西安电子科技大学近几年一批b（少数民族预科班）录取结果？,拜托大哥 这个我真不清楚，我连这个学校名字都不熟悉 不好意思
请各位客观评价一下西安电子科技大学在业内的地位?,业内地位不清楚，反正我是挺讨厌的，教育氛围像高中，老师们天天就尼玛知道点名。。。。。。关键是教的东西太！落！后！。。。。但是考试还考。。。。也不怪学校，，，整个国家教学水平都很落后。。。。工作了，总算脱离学校教育，可以自己学自己感兴趣的东西了
