上海理科考生，北京林业大学和宁波诺丁汉大学选哪个更好？,各有千秋 单看生源倍林比宁诺分高不少……样本取自来自10+省份的同学，省份不同无可比性。 都是不错的学校      仅仅仅仅仅代表个人观点  以及个人发展和学校没有，没有，没有关系
北京化工大学，北京林业大学，东华大学，学计算机，该选哪个？,跟我当年情况一样嘿嘿， 计算机实力而言排序 北化&gt;东华&gt;北林，这个差距也不是太明显，因为都不是本校的优势专业，所以这个时候在这当中选学校，就得看看地理条件啊，硬件资源啊，大学当然不只有学习，你想想这是你要生活四年的地方，住得好吃得好就显得比较重要了  地理位置而言 北林&gt;北化&gt;东华  理由:单论计算机的互联网氛围北京还是比上海好点的 北化是新校区在比昌平更远的南口（感谢评论区更正），位置最好的是北林，在五道口，地铁什么的离中关村也近，其他不说，对于计算机的来说，找实习听讲座跑其他学校玩都是非常方便的，当然你心目中的大学是苦学四年就当我没说23333。  男女比 北林≈东华&gt;北化 东华有两个校区，一个市中心一个郊区，漂亮小姐姐都在市中心的校区，模特班啊艺设啊不说了。。我记得计算机的是在郊区那个校区，额惨不忍睹。北林，3比7，夏天全是腿大学，这别名不是白叫的哈哈哈。  认可度 这个嘛。。。好像都很容易被以为三本  学习氛围 北林一般，北化很不错，听说自习都靠抢。东华不太了解。  学校设施 这个没法说。各有各的 北林面积很小，但是五脏俱全，寝室应该是三个里最好的，阳台电梯空调美滋滋。北化是新校区，都比较新，其他不太了解。东华面积大，大学该有的都有，寝室也不错的。 学校综合实力排名的话还是有点不好说，得看看各专业，每个学校都有自己的优势专业，不能一概而论。 看个人的情况，各有取舍。 你比如学化工类的当然北化，东华之前叫做中国纺织大学，北林的风园和林业类，这些学校都有自己的特色专业，但可能其他专业的实力就一般了，这里的一般也是指211一般的水平，并不是很差的地步。  同理的提到的地大和矿大，石油，就计算机专业而言并无太多明显差距我就不多说了。矿大在北林对面，位置也不错的，北京的石油大学研究生教育比青岛的好，本科还是建议青岛的那个，地大不是很了解。  对了顺便提一句，北京的大学，不算在郊区那些的话除了清北，其他的大学面积都挺小的。 利益相关:北林本科在读 如有纰漏，也是我瞎说的   
广东理科考生报考北京林业大学风景园林或园林分数大概需要到达多少？请举近几年数据分析。?,我刚考上，很幸运，今年分数出奇地低，621以上可以上风园。
为什么北京林业大学女神配屌丝居多？,恕我直言，一般喜欢给男生贴上屌丝标签的女生都是女屌丝，而一般喜欢说女生绿茶婊的男生都是屌丝～
北京林业大学对于福建美术生难考吗？,谢谢邀请，我不是学美术的，具体不很了解。但是这个问题，得看你自己的水平在哪里，林大总体来说不难考。
如何认识北京林业大学的妹子？,麻烦清华的男生不要到我们学校来抢妹纸了好吗！北林的妹纸是属于我们北林的汉纸的！北林的汉纸也是属于我们北林的汉纸的！肥水不流外人田！不会让你们得逞的！
请给我推荐北京林业大学附近的心理诊所 ?,心理的话学校就有啊…开学会有人带你去参观心理咨询那层楼然后跟你讲如何预约…
北京林业大学好考吗？,山东超一本线40
有多少关于北京林业大学的冷知识？,炸掉半导体，还我人工湖！
西南大学和北京林业大学如何选择？,麻烦打架了。若有其他建议也可以提出来
北京林业大学的自动化是最差的专业吗？,辅修没有用的 只给大专学位
北京林业大学研究生还有家具与室内装饰工程这一专业吗？,有木工专业，家居方向。有室内设计专业。
北京林业大学的风景园林博士如何？报考应如何准备？,感觉他们园林专业天天都在画画，园林宿舍邻居答。
今年被北京林业大学的管理科学与工程类录取了，想知道这个学校的这个专业怎么样？,竟然一样刚刚被录取
选择北京林业大学还是中国农业大学？, 实名反对推荐农大的。你要是其他专业，我绝对推农大，但是学风景园林不去林大，脑子有泡吗？  农大的园林就俩字，垃圾。  接触过林大学园林的学生，水平要比农大强不少 
北京林业大学会计专业怎么样？,如果你是看中了地处北京，那就来吧。 如果要说专业实力，请查阅其他专业院校。毕竟专业的，排课会专业。 欢迎报考北林园林专业，虽然我是一个学会计的
在北京林业大学就读是怎样一番体验？, 2010年高考，为了莫名其妙的原因，觉得非北京不去，非海淀不读，最好要在五道口。五道口有清华、矿大、地大、北语，清华去不了，矿大挖矿，不去，地大不合适，北语不喜欢。还剩下林大，百度上看起来不错。好吧那开始选专业，都不喜欢，没办法那就选便宜的吧。林学和水土保持都是两千五一年，但是“林学专业课程充实”——好了，我明白了，这是课多的意思，果断选了水土保持。  我被录取了，假期就像夏天的蝉鸣，无休无止，无比漫长，终于到了八月末，我在北京林业大学的生活开始了。我好几个月都不敢相信，我成为了大学生。   我有个同学，因为莫名其妙的原因，他比我早上一年大学，也在北京，但在偏远的昌平。我还对大学生活充满憧憬的时候，他就不忍心地看着我，仿佛看到了从前年幼无知的自己。他对我诉苦，说大学不好，宿舍上下铺，和高中一样。天天提着个水壶排队打水，水房外放满了水壶，也和高中一样。会有人偷水壶，被偷的人会偷另一个人的，另一个人会偷第三个人的，事情像无法阻止的多米诺骨牌，引发一次水壶混乱。图书馆很小，还像高中一样。食堂的菜又贵又难吃，这个就和高中不一样了，因为高中的饭菜至少便宜。   我们出生于南方山区小镇，对大学的印象来源于道明寺花泽类等的青春偶像剧，来源于网吧里的盗版电影：大学里面树荫匝地，一尘不染，城里姑娘抱着书本从教学楼出来，穿着白色的裙子，风吹过，裙摆微微摇动。  这想法是不是很莫名其妙？  我们农村人经常因为孤陋寡闻，而产生各种莫名其妙的想法——当初有人说想去内蒙古大学，我心里马上浮现一片无边的草原，蓝蓝的天空白云飘，白云下面是青草，青草间点缀有白色的绵羊，像上帝缝衣服时候不小心打翻的白色毛线团。镜头缓慢移动，那边有一所大学，下课铃响了，穿着蒙古服装戴着哈达的女生从校门走出来，脸上带着笑容。  “为什么她们要带着笑容？”很久以后，我和同学说起这件事，同学问我。  “对啊，为什么要带着笑容？”我也疑惑地问自己。  很久很久，我都没有找到答案的蛛丝马迹。暑假回老家，不经意翻开弟弟的课本，恍然大悟，原来课本里面少数民族总是带着灿烂笑容的，再想一想，发现宣传画也是，电视机里面也是，而且少数民族都会穿民族服装。尤其是蒙古族，他们会骑马、摔跤、射箭，甚至还会射雕。   村里人把我这个大学生送上火车，火车奔驰一天一夜，当踏上北京的土地时，我感到一阵眩晕，一种虚无感向我袭来，在我人生头二十年漫长的岁月里，北京一直只存在课本中，在古老的红歌中，在电视机的狭小空间中，我从没有认真想过她会出现在现实中。  我的人生经验受到了非常强烈的挑战。  走进学校大门，主楼上“北京林业大学”这几个字令我欢喜，拿出录取通知书看，哇，果然和照片上长得一模一样！  校园比我们高中大多了。球场里面有人打球，打得很斯文，不像广西农村球那么野蛮，也看不见穿着拖鞋打球的拖鞋党，或者光脚党。女生情侣手拉着手，接吻，大城市果然比较开明。我逆着上课的人流，走向宿舍，别人一眼就看出我是新来的大一狗，因为我不敢和他们对视。宿舍楼下，我看见了传说中的电梯，但是怕它会咬我，所以选择爬楼。   我们在十楼，打开门看见上床下桌有阳台，宽敞明亮还干净，我很想打电话告诉化工大的同学，但又怕小家子气。后来他来我们学校玩，赞叹不已，打电话告诉父亲：“当初我报林大就好了，他们的宿舍好宽敞。”等他打完电话，我告诉他，我们班另外一个男生寝室更宽敞，如果愿意，他们可以凑钱买一个乒乓球台，放在宿舍中间。即使他们不喜欢打乒乓球，他们也可以拍照，发QQ空间，然后说：  “啊，我们的宿舍太宽敞了，放了一个乒乓球台，还是放不满，我好讨厌这种空空荡荡的感觉啊，让人好没有安全感！”   站在宿舍门前，看着门口贴着的陌生名字，他们将是我四年的室友。他们和这个世界一样，对我来说很陌生，我将会花四年时间熟悉他们，熟悉这里的一切。我将行李放好，出门查看环境：走廊两端都有厕所，东侧有洗澡间，不过只能洗冷水。有自动开水机，打开水方便，不会出现无可救药的多米诺骨牌事件。晚上辅导员会告诉我，热水澡要去一楼的澡堂。澡堂里面所有人都光着屁股，这令我们南方人有点不习惯。所以一开始我都洗冷水。后来冬天到了，我也去了澡堂，澡堂里面都用沐浴乳，没有人拿肥皂。   每年开学都会有不要脸的学长骗新生钱，他们假装辅导员，卖铁通卡，说吃饭上网洗澡都要用这种卡，每年都会有人被骗，我被骗了四百。不要买任何上门推销的东西，被骗无所谓，有所谓的是新室友会觉得你蠢。   安顿好，我联系了哥哥，哥哥叫我去他们学校找他。原来北大的宿舍没有阳台，空间逼仄，光线昏暗，左边是上下铺，右边是书桌，天花板上没有电风扇，电风扇各人买了放在蚊帐内，晚上吱呀吱呀转。   后来我去交大，他们的宿舍更烂。我很高兴。   直到有一天，我逛了清华校园，校园很大，很漂亮，他们宿舍四人间，有空调，而且男生可以进女生宿舍。我失落了很久，就像被抛弃的小孩。   女生的条件不好，要住上下铺的八号楼，光线阴暗空间逼仄。   两三天内老师会组织大家参观学校介绍校史。告诉大家林大的坚强，还有曾经受过的委屈——流放云南，北京的地盘被各单位霸占，后来都要回来了，除了被邪恶的半导体研究所拦腰霸占的那一块。因为邓的女儿在半导体上班，他们可以通天，邓知道了这件事，用浓重口音的普通话说：“半导体很重要啊！”于是林大的版图永远凹了一块。半导体研究所的建筑和绿化很没有品味，影响这边的风景。男生宿舍到饭堂、图书馆、教室的道路也因此暴露在夏日炙热铁板一样的阳光下，吃饭自习上课会被晒得很惨。不过我们终究是乐观的，我们开导自己，如果当初人工湖不被占领，学校会美很多，分数线就会提高，我们就考不上了。   林大的伙食挺不错的，每次朋友熟人同学来都会有些惊讶。   女生宿舍在校园的西南角，男生在东北角，西南有六个食堂，包括唯一的清真食堂，所以女生吃饭比较方便。男生这边有两个食堂，一食堂和莘园，饭点爆满，总是有人占着座位不吃饭。好不容易空出两个座位，上前准备坐下，飞快跑过来一个人，坐到了对面，指着你的座位说：“不好意思，这里有人了。”如果对方是女生，你是没有办法的。室友喜欢吃莘园的蛋炒饭，遇到这种情况，他会站在那个女生旁边把饭吃完。   DOTA和LOL是大学的标配。  热天男生们打开宿舍门对流，穿着裤衩玩DOTA和LOL，激动地咆哮，电风扇无休止地摇头晃脑，发出夏天的声音，床上有人在睡觉，无可奈何地翻个身。  我有个室友，打游戏的时候，电话铃声响了，一看是女朋友的。  “妈的，怎么又打！”  我靠，这么硬气，看来要干一场。  我们盯着他。他接通，温柔地问道：“喂，什么事啊？”    “你们的学风还是很不错的，”我朋友这么说，暑假他来我宿舍住了一个月，“我们西大，午夜十二点夜生活才刚开始。”  早上起早了，出门。  “我靠，你们居然有那么多人早起上自习！帝都果然就是不一样啊。”   学校十一点熄灯，这产生了深刻的影响。  化工大的同学用宿命的口吻对我说：“你看过各高校DOTA实力的排名吗？事实证明，考得好的人游戏也玩得好。”  西大的同学则告诉我：“你有没有发现，排名靠前的学校晚上不熄灯？”   因为晚上熄灯，无可避免地，早上六点钟时，台灯会齐刷刷亮起来，扰人清梦。我们尝试各种办法，每天熄灯后提醒大家关灯，然而电来了，问题依然存在，台灯的光亮就是无法逃避的命运。一次又一次，大家都很沮丧。有一天，问题终于得到了解决，夏天来了，天在六点前就亮了，时间解开了所有解不开的结。   东侧的厕所经常会井喷，下水道里面的大便纠结，缠绕，融合，堵塞，喷出来，从厕所蔓延到水房，从水房蔓延到楼道。整个楼道内发散发出一股大便发酵后的气息。所有的门都关上，所有的行人都绝迹。  甚至没有风，连风都已经被臭死。   小南门进来是银杏道，秋天，叶子在蓝天下被凉风染黄，落满青石板。操场到图书馆则是白腊大道，叶子是麦子的颜色，金黄金黄，干燥得一把火能全烧掉。我喜欢踩落叶，听它们在我脚底破碎的声音，因为这会令我想起小时候的干脆面。女生宿舍出来就是悬铃木大道，悬铃木树形高大，外面一片艳阳，底下一片阴凉，像电影中发生爱情故事的地方。每年这里都会有跳蚤市场，将离校的师兄师姐来这里卖化妆品、书籍、衣服、吹风机、颜料，大妈们来这里捡宝，砍价砍得丧心病狂，他们很享受这种胜利的快感。为了促销，时常会有买东西送可爱学姐活动，记住，那是骗人的，我买了并没有送。   冬天校园里一片萧瑟，白蜡树狰狞的枝干如同铁丝刺向天空，同时又像是大地的裂纹。下雪时候，请原谅南方的同学吧，他们会很兴奋，拍照发朋友圈展示给其它城市上大学的同学看，或者给在家里补习的同学看。  雪天早起，世界被填平，一片白玉，我总会舍不得下脚，晚起就只能看见被踩脏了的雪。我喜欢窗外烧暖气的烟囱往外冒蒸汽，白色在白色的背景中蒸腾，这就是雪天的味道啊。   天空依然雾霾，可是一天迎春突然开了，灰蒙蒙的背景中一片明艳。接着是连翘、山桃、紫叶桃。山桃有两种颜色，老图书馆西边那棵白色中带点暧昧的粉红，新图书馆北边那棵白色中透出微青像是梨花，都纯净得犹如早起的雪，让你怕不小心亵渎到她。图书馆墙边紫叶桃间杂着颜色也有两种，一种鲜红，一种是村里平价红纸般的旧红。桃树结实尚未成熟，会有人拿旧塑料袋摘走。   图书馆二三四楼都有自习室，自习室夏天很冷冬天很热，恶劣气候分流了一部分人去教室。夏天图书馆里都是齐刷刷学姐的大白腿，白得像洗干净的葱，上次我心里一激动鼻血都流了出来，赶紧捂住鼻子，假装咳嗽，跑去洗手间。林大女生占了百分之七十，加上女生又比较喜欢学习，所以图书馆里面白腿多，加上冷气足，所以白腿们都仿佛散发着森森的寒气。然而我还是不喜欢自习室，我钟情于阅览室，因为不能带书进入，所以阅览室人少，多是画图的妹子。   我大学很轻松啦，从大一下学期开始逃课，有的老师我甚至没见过。到了考试才恶补，十一点熄灯之后，许多人都会如我一样，借助走廊和电梯间的灯光预习。背书背到三四点，最终换来长叹一声：“罢了，罢了，大势已去。”   去年毕业，室友们工作的工作，读研的读研，都在北京，只有我离开。他们送我走，踏上火车，往事如烟。窗外望去，只见北京不见学校，火车缓缓开动，我在上铺，车厢锁住了我的视线，只觉得事如春梦了无痕，眼泪差点流了下来。 
请问北京林业大学风景园林考研体检需不需要进行色弱色盲测试？,需要
去北京林业大学报道需要准备些什么东西？,可以贴吧里找校友群。一般群文件里都有具体介绍。
北京林业大学女生宿舍条件好吗？,并不（手动微笑脸） 新寝室的上床下桌也真是独特极了 也许北林的上床下桌就是这样呢
计算机专业是选择调剂北京林业大学还是二战？, 本人本科非211的重本信计专业，今年跨考北邮计院热门组，分数处于组线边缘，其他组今年调剂很悬，现在很纠结要不要考虑外校调剂。很想留在北京读研，看了一些研究所和其他学校的调剂信息，如果调剂会比较难学自己喜欢的机器学习，不知道北京林大这个选择怎么样 
北京林业大学专硕考研？,华元手绘官网，资料下载版块，有很多免费的资源，可以去下载看看
女 准大一 被北京林业大学车辆工程录取 学习 就业咋样啊 (๑•̀ㅂ•́) ✧?,学妹你好。一个专业怎么样要看两个方面：一是这个专业本身，在全国排行多少，就业行业怎么样；二是，你喜欢这个专业吗。 北林的车辆想比较周边大学确实不怎么样，勉强还算可以，而且这个专业本科毕业后读研相对简单一些，在北林算个中游的专业。如果你不是调剂过来的而是自己选的这个专业，那么应该还是会有很多乐趣的，整个阴盛阳衰的北林，工学院的女生还是挺吃香的。如果你是调剂过来的，本身对车辆专业没什么兴趣的话，大一还是可以申请转专业的，具体你可以入学后问问老师。一般也不是很难。 我是08级机械专业的。
北京林业大学德国项目怎么样？,本科德国留学项目？不是全日制普招。是类似于成人教育性质的。材料学院和成教学院都有类似项目。师资和普招一致，都是校内老师。收费相对较高。在国内需要学专业和语言。其实只要有能力，读啥都一样，这还能混一个国外正经大学的文凭，有时候不就是为了一个文凭么。当然，家里需要一定的经济实力。
请问北京林业大学景观设计专业很累么？平时还有时间干点自己的事、参加社团、周末出去逛逛啥的么？谢谢.,现在不知道，十几年前没觉得累，因为我不是好学生。。。 补充说明一下 当年大家好多人觉得累是因为设计科最后弄到要熬夜画图 然而我这种没法藏着掖着的人基本有空就把图慢慢都画了，所以我从来没有熬夜画过图，还很嘚瑟的在deadline之前帮别人画过。 然后当年很影响速度的一件事是学校小卖部卖两种裱纸带，便宜的那种很容易导致绷了。很多人就是渲染了两三遍之后“啪！” 欲哭无泪的重来！ 买贵的那种就好了嘛。不知道现在的学弟学妹还要手工画图吗？还是都电脑画了呢？
