太原理工大学和哈尔滨工程大学哪个文科专业好？,为什么要去工科屌丝学校读文科？
在哈尔滨工程大学核学院就读是怎样的一种体验？（本科）,现在是23点58分，看论文看累了偶然看到这个问题我实在不能自拔，平时都是同学，朋友转发才会关注下知乎的我觉得有必要回答这个问题。 ------------第一次写知乎------------- 先交代一下人物背景，本人男10级本科，14级研究生，当年从万恶的山东高考爬出来，抱着想出去闯闯的心态拿着当年高中拿下的自主招生名额去了哈工程核学院。报考的时候觉得可以接触点杀伤力大的酷酷的东西…(武器迷不解释，谁让他叫核科学不是核能科学)可实际学的都是清洁环保稳定到连飞机掉下来砸都不一定能出事的核电站的知识………每次回家给别人介绍专业时，除了已经无力吐槽的哈工程与哈工大的误区，就是别人对核专业近乎妖魔化的理解……"啊，那你毕业以后是不是就是国家保护人才了"(艹这又不是培养大熊猫)"那你是不是工作以后要进山沟里想回家都难啊"(不是每个核行业人都叫邓爷爷……小子你电影看多了吧) 也可能是小弟赶的时间次，本科一来正好逢日本福岛事故0周年纪念日，不论过年还是暑假，回家看亲戚时讨论的事情从今年高考怎么样啊，变成了听说福岛是因为水下核试验引起的海啸你怎么看，话说你知不知道切尔诺贝里到底是个什么情况？ 话说刚才看到一个回答说国民对于核专业不了解，确实……毕竟中国核电行业也没开展多久，最近国家大力开发国民字典里核电的出现顺序才开始排在他兄弟核弹前面。不知道你们有没有那种体会，就是福岛事故没几天，N多亲戚给你打电话问你到底要不要抢盐防辐射，一个个解释的无力感……不过我也知道，作为一个核电人…这也是自己的义务吧 ------谈完了与家人，朋友方面的体验现在说说学校情况------ 第一点，咱们先说说这报考学生比较看重的一方面，就业。怎么说呢，我大天朝对于能源，引用一句参加会议时老外的形容thirsty……煤炭由于在燃烧时极大的不环保，再加上傻子都能看到的雾霾(主要是后者……)已经成为需要淡化的能源…加上国家以每年四五个机组的速度(看今年政策吧，只多不少)发展核电……人才缺口自然是大………我们那年比较倒霉，碰上核电冷淡期，停了好多机组建设，大家找工作时心如死灰，纷纷看破红尘遁入空门，成为一代研究僧…现在的行情，比起那时候真是春天啊… 第二个，爱情。……此段请各位恩爱狗自动跳转至下一部分，仅有一句奉上：不要分手不要分手不要分手……俗话说……入伍快三年，那啥赛貂蝉……如果作为一只雄性单身狗，不加入FFF团或者搞基真的很难想象如何生存下去……7:1的数据不是盖的……你每次去图书馆，去11号楼，去食堂……那都是心碎的感觉……春天11号楼后面的花繁叶茂，夏天济海湾傍晚的潺潺流水，秋天围着军工操场的纷纷落叶，冬天，漫天飞雪，整个学校成了童话世界。可是……可是……这些上帝的造物本是他老人家用来让人类感恩的……却被情侣们用来作为场景buff来增加对于单身狗的暴击率和暴击伤害……哎……说多了都是泪……所以……如果有雄性单身狗学弟在看……我的建议是……赶紧打开手机，翻到通讯录……建议高中同学吧……这是你最好的出路……虽说外语系，人文，包括现在的空乘女生多……但是……但是……作为一个过来人……我的经验……文理毕竟有代沟，高中发小很靠谱，四年异地并不苦，回家能见面，毕业不易分啊……好吧，最后对于各核院本科单身女性…如果你想脱单…要做的很简单…别，太，挑。别，太，另，类……肯定会找到的……放心吧…… ----------抱怨了一下不平衡的男女生态下的爱情，咱们来看看学术--------- 问题是本科生是吧，那我就不跟你们扯咱们的研究生院了，大一大二都是基础性知识，这你别抱怨为什么要学力学基础，为什么要学机械基础，为什么都高考完了作为一个理科生还要学文科四大本……这是国家规定的硬指标……作为核电人，是为核电厂服务的，所学知识也逃不过核电二字，首先是核，从原子核物理到反应堆物理，要让你明白为什么核能发电。然后是电，核生热，热烧水，汽发电…所以这一派系的专业课，基本离不开热与液。工程热力学和流体力学，包括他们的总和升级版-传热学，属于专业基础性学科，由于烧开水时会出现很多不同的气泡现象和沸腾现象通过影响压降和流量影响换热所以要学两相流…好了现在可以说原理咱都懂，想要实现原理就得装机加配规程…那么就要背诵船舶核动力装置，结构与材料，反应堆装置，并学习泵与阀门，电厂汽轮机…(背诵的科目真的一点硬计算也没有……)…然后把以上总和总和就诞生了反应堆热工水利……之后燃料的后处理，核电的安全等这些last but not the least的知识点…就要在辐射防护，反应堆控制，仪器仪表，这些课上补充…… 我是按照我四年对这些知识的理解拍的序，学校毕竟不是按这样出牌的…… 课先介绍到这，老师呢………由于我还在读，不方便评价老师优缺。所以希望别人补充啦…… 以上就是我在哈工程核学院的就读的感受……我也是第一次回答问题，可能有很多不对的地方，欢迎指正。说话说得不好的地方，敬请谅解……想到啥说啥很没有条理……现在是1点29分………先睡了……有疑问的可留言   -------1点38分-------- 没睡着上来补充几句，四年的大学时光，可能对于哈尔滨本地人来说没什么，可是对于每次背井离乡的人来说充满了苦辣酸甜……你可能会遇到你的初恋，可能会找到自己前进的方向，可能会迷茫不知所从，可能会来不及见亲人最后一面……四年大学读下来你可能会忘记书上的知识点，老师的名字，但你会记住这段生活。读大学，与其说是读，更不如说是体验，是选择一种生活……只要保证每次做的决定真的是自己做的决定就好，这样才能做到不后悔。
有没有准备或者已经考上哈尔滨工业大学光学工程研究生的学长学姐，想知道它在外校招生有没有什么要求？,一届一共21个左右，保研占了大半，外校想考的话，分数够高就可以，本科学校要求不高，我们每届都有长春理工过来的。
如何看待哈尔滨工程大学书院制改革集体搬迁公寓一事？,我就想问问，所有反对搬寝室的理由对校长或者对学校管理层，决策者有什么好处？我们看到我们自己搬寝室麻烦，过程混乱，分配不公可这些对于校长来说也是有害而无利的啊。甚至校长需要面对的是整个学校搬寝室复杂的进程。我们作为本科生在哈工程最多四年，看到的也只有哈工程四年内的利益，甚至我们只看到了我们自己四年内的利益，而校长或者说是学校的决策者们是要从学校十几年甚至是几十年的长远利益出发，是要从整个学校而非某个人，某个寝的利益出发。学生只在哈工程待几年，可哈工程在这几年后仍然是哈工程。这四届的学生根本不能代表哈工程的利益所以全体学生投票根本不具有合理性和合法性，这个改革根本不是只为这几届学生改的，哈工程也不是为这几届学生开的。 我对搬寝室也不太赞成，可是改革必须在阻力中不断深入。
你知道哪些关于哈尔滨工业大学的梗？,咦为何这条回答会被人点反对？反对什么？ ————————————  谢邀。我记得在知乎上已经有类似的问题了吧。 圣马家沟男子职业技术学院。 Majiagou Institute of Technology 哈尔滨工业中学附属大学。 哈尔滨工地大学。 哈尔滨工业大河。 规格严格，不让及格，功夫到家，不让回家。 一对情况三对基→一个腐女看3P。 亚洲最大男子公寓。 行政楼又叫马桶楼。  英才学院又叫三本学院。 运动会又叫祈雨大会。 “校花”=丁香花。 “哈尔滨工程大学离世界一流大学有多远？”“不远，坐5站地铁，下车。” 本地某高中：不好好学习就等着上哈工大吧。（这句话应该很多哈工大学生都听过吧。） 前任校长是宋小宝啊不对是王树国，后来去洗脚了啊不对是去西交了。除了西交，我校还负责向北航北邮等各高校输送校长。update：下面有人提醒说，大连理工校长也是。 校友李长春视察公寓，发现还是几十年前的样子，备感亲切。  上图知名度比较高，出自我校。《张广磊同学你该好好练字了》  这道操作系统试题的知名度也较高，向Sunner总舵主致敬。  一时思维阻塞，想到更多再来补充。
哈尔滨工程大学研究生有什么学院？,我校哈工程，工科大部分专业都有，又好又好考，年年没人报，年年招不满
哈尔滨工程大学计算机研究生选拔海军国防生可以吗，能成功吗，,国防没有这个专业
哈尔滨工业大学环境工程研究生？,主要分为几部分：一是本校保研，二是威海分校靠过来的，二者加起来差不多有一半吧，最后就是其他学校考过来的。分为三个班，两个学术型，一个专业型。其中一个学术型包含几个微生物专业的。就业，绝大部分是设计院，一小部分读博。
在数学领域中 哈尔滨工程大学的卜长江有没有学术能力，如果有的话有很强吗？,在知乎里面除了那些名人大佬以外，尽量不要指名道姓的谈论一个人。
哈尔滨工程大学有帅哥么？,12级学生会崔主席帅不帅？！
江南大学哈尔滨工程大学长安大学哪个厉害？,江南大学，长安大学，一听就是民办大学的塑料感，哈工程，有一种哈工大的余威，坐落在东方小巴黎，吃秋林红肠，饮纯正哈尔滨啤酒，学校与省军区，欧亚男科相伴，有全国第一大的操场，前身哈军工，红色贵族学校，远东第一军事学校，纯正苏联军工混乱邪恶血统，教学楼里可以开坦克，三海一核，吊打所有
如何评价哈尔滨站改造工程？, 这个问题还真是一个扎手的活。  一、哈尔滨火车站已经不是俄罗斯人建的老站房了。中东铁路秦家岗站的站房1959年就拆掉了。1960年代初，哈尔滨站主站房两侧投入使用，中间的大钟是1980年代才完成的，自此形成了我们熟悉的哈尔滨站。  二、哈尔滨站在拆除前有三个候车区：A候车区，即高架候车室，在主站房左侧，可连接所有的9个站台面；B候车区，在主站房二楼，连接哈站旧天桥，只能连接1-3站台的5个站台面；C候车区在主站房一楼。这样看来，从哈站主站房正门进入哈站，如果你的列车在A候车区，则需要进站后向左走上那么二里地才能到检票口，而如果你的车厢距离检票口很远，比如是在滨江方向，那么恭喜你，你就获得了进站四里地的成就。形成这种情况的原因是因为哈尔滨站的高架候车室和4-5站台是因应后期客流增长而修建的，为啥不用老天桥直接连接4-5站台呢？这就要说到老毛子修的霁虹桥了。  三、霁虹桥，是中东铁路的一个配套设施，属于跨线桥，目前仍然是哈尔滨的重要的市区道路。当年霁虹桥设计是富有前瞻性的，桥下预留线路达四条之多。当年修建4-5站台时候，因为霁虹桥下的阻挡，4-5站台只能向北京方向平移，那么老天桥就够不到新站台了，所以只能新建一个高架候车室。但是因为哈齐客运专线正线需要引入哈尔滨站，霁虹桥已经无法满足这种新情况。目前的设计方案是在原铁路配件厂处开凿新桥洞以保留霁虹桥的主体。目前来看这个方案是各个方面（铁路、市政、文保、民间）的一个折中方案。毕竟霁虹桥和别的桥不一样，动它一指头从法理上都是说不过去的。对于这个问题我在  如何评价哈尔滨霁虹桥改造方案？ - 知乎  这一问题里已经有了一些说明。  四、哈尔滨枢纽的布置，对于哈站拆除造成的影响也是有一定的缓解作用。哈尔滨枢纽是环状布置，顺时针为哈尔滨-滨江-太平桥-三棵树-东门-香坊-王兆屯-哈尔滨。另外在王岗-孙家间有王孙线，与京哈、拉滨、哈环形成了“日”字型的车流组织形式。这使得哈环线上任何车站都有可能成为普速列车的始发站。目前的解决方案是哈尔滨站部分列车放至哈尔滨西、三棵树始发。从三棵树始发去往京哈又有两种走法：哈环、哈环-拉滨-王孙。其中T184次就是走的第二种走法。但是因为王孙线没有在《铁路客运运价里程表》内公布，故里程仍按照经由哈尔滨站计算，即计价不变，使改线造成的影响降到最低。  五、由于霁虹桥的继续存在和高架候车室的保留，哈尔滨站进站二里地的情况仍然不会有太大的改观。北广场的修建，使得道里人民坐车终于不用跑到南岗上车了！而且对于来哈旅客，去道里也更加方便。据说有在北广场复建圣尼古拉教堂（刚查了下资料，是圣伊维尔教堂，该教堂现在主体尚存）的说法，这个我觉得还是别折腾了，徒增笑料尔！  六、依本人愚见，在哈尔滨站完成后，哈尔滨站不宜办理长途普速始发业务，哈尔滨站只负责动车组和中近途列车的始发客运业务，长途列车应甩至哈尔滨西站和三棵树站办理客运业务。多说一点，建议哈尔滨站经由哈环各站及哈尔滨西站，开行至呼兰、双城的市郊列车，采用25Kv市郊专用动车组，与地铁结合，负担哈尔滨站与邻近各站的中转客流。哈尔滨现在的列车公交化也是有一定成绩的，利用哈尔滨枢纽的通过列车，发售去往周边各站的车票，本人亲测从哈尔滨站乘哈齐D车去哈尔滨西站也是比较舒适的。但是这些列车毕竟是为了长途旅客需求设计的，启停速度慢，时间、票价不统一。典型的反面例子就是哈双的城际动车。如能利用25Kv市郊动车（类似温州市域铁路），在既有哈环新增一线，则能够利用现有资源，方便各站换乘。  以下是部分图片，我们结合图片再来谈几个问题。    图1 哈尔滨站售票处2楼   图2 哈尔滨站C候车区，可见地名指示标志，AB候车区需要上楼。   图3 哈尔滨站C候车区。   图4 哈尔滨站售票处1楼 窗口虽多，但买菜式买票极为严重，买票的说不清楚买什么，卖票的说不清楚卖什么，效率极为低下。   图5 哈尔滨站旧天桥，此是第二站台（2/3站台面）的楼梯。   图6 某次列车进站，远处是高架候车室。   图7 某次列车进站，远处是高架候车室。   图8 建设中的北站房，与原站房天桥几乎处于同一水平线，由此可见进站二里地的情况仍难以解决。   图9 老天桥，远处为哈尔滨站东侧咽喉区，可见有缩脖子的感觉。远处为霁虹桥。   图10 老站房配楼，去往高架候车室的旅客需经由此处。   图11 左侧为出站口、配楼，可见去往高架候车室的距离很远。   图12 老站房主楼以及配楼。   图13 哈尔滨车站派出所，位于1站台。   图14 出站口以及去往高架候车室的通道。 
今年的哈尔滨工程大学招聘会校外的能进去不？,国人素质有待提升，尤其现在的招聘会都是有知识的人们，不该这样啊···
如何评价哈尔滨工程大学升级后的校园网络 ?,没发现升级，反而更烂。
2017年在哈尔滨工程大学征兵的有什么兵种？,去问学校人武部
哈尔滨工程大学 (计算机科学与技术)，与吉林大学 (软件工程) 的选择？,我是2016级湖北考生，表示当时上不了哈工大，但上东北大学，吉林大学绰绰有余，又想考的远一些，于是来了东北，而且选了纯工科学校哈工程，来了这里就给了我一个感觉，学科不多但实力足够精悍。虽然只是211（我一直不在乎学校985，211如何，我只在乎能否学到真东西），但他的确让我实力得到质的飞跃。而且你问这个问题无非是为以后毕业用人单位考虑，但我只想说到了大学真的就看能力了，我才大一读完，我学通信工程，但我在学有余力的情况下学过很多其他学科的内容（包括计算机，船舶 ，航空，我一直认为那些能够拥有交叉学科背景的人才是真的强的人），我不在乎别人对我学校的评头论足，因为我无需用学校的好坏证明自己的未来，只有对自身能力肯定不足者才会用学校的荣光掩盖自己不济的悲伤。所以，无论哪个学校，只要自身足够努力就行。学校只决定你的下限，而不是你的上限，中国还没有出现外国那种特别严重的阶层固化问题，所以大家仍有机会同台竞争。如果非说就业单位只认985的话，那么我只想说一句：       你有放弃我的权利，我有让你后悔的实力。     没有好的用人单位那就自己创造公司（我学了这么多东西，我可没想过毕业后给别人打工）
怎样在哈尔滨工程大学找到女朋友？,这是哈工程在知乎上被黑的最狠的一次。
找一个人。哈尔滨东北林业大学 工程技术学院 大一。？,能找出来一个加强连
