厦门大学好考吗，你们是怎么考上呢？,不难考，当年的保底学校，然而我研究僧还是过来了。厦大是个好学校！
厦门大学有哪些适合文科的专业？,目前是大类招生，既报考的只有学院，专业的大概方向，具体要在入学学习后再分专业。 首先推荐学院管理学院，会计专业和财务管理专业很好，适合文科；再来推荐经济学院，虽然院里各系平均水平比管院高但个人觉得学的偏理；再来是法学院、厦大的优势专业之一。外文学院新闻传播学院也是很棒的选择
在厦门大学当学霸是一种怎么样的体验?,蟹妖  一开始，强烈要求匿名的某位女神 邀请我回答，我是拒绝的。 作为一个临近毕业时候挂科数目两位数的大学霸（zha），我觉得可以用侧写的方式来帮助各位走进一个真实的厦大学霸，一个可怕的厦大学霸，一个有血有肉的厦大学霸。 那就是强烈要求匿名的某位女神 怎么可能，这位学霸分明是美貌与智慧并存的 @氧化硅 ！我拙劣的语言描绘不出这位学霸的万分之一！因为我和这位学霸同志虽然同属一所学校，却不怎么熟悉彼此。好在现在是网络时代，经过一番交流，发现学霸与学渣的爱好竟然有些许重叠，颇有些惺惺相惜的味道。怎奈学霸已然踏上求学旅途，继续深造。学渣迫于现实压力，不得不忍辱负重，卖身糊口。真是闻者伤心，见者落泪。连女神都看不下去，将我好言相劝。但是，女神也是学霸，即便再怎么通情达理，学霸也是没办法理解一个学渣的。 因此，我在此刻，光荣的决定。如果这个星期这个答案够100赞，我就决定正式升华一下我与学霸的革命友谊，去淘宝买一束鲜花送给@氧化硅 如果够200赞，我就决定踏上探望@氧化硅 的旅途。视情况而定采取下一步针对性的行动。 诸位围观的学霸和学渣们，虽然学霸与学渣的差距差不多有三个及格线那么遥远。 旁友们，拿出你闷的实力，让大家看看学渣与学渣的距离，并没有辣么遥远。 最后，真诚的祝福考试周的各位学霸和学渣有一个好成绩(≧▽≦)   一百五十个赞的更新 谢谢各位知友，校友的支持，我觉得自己已经可以订票启程两件事一起做了。不过我自己突然开始有所愧疚了，因为根本没有提到学霸的事情啊。 那么来说下我认识的某位学霸弥补一下 从大二开始，蝉联学院绩点前三名。每天很少出去玩，除了看书没啥特殊爱好。与她一起工作（办公室）的时候能明显感觉到她的自制与毅力，所以说成为学霸不是脑子好用就可以了。她的意志力真的很棒，我也始终很佩服她。 某学渣觉得大学里做学霸也好，做学渣也好，各有利弊吧。本身本科生时期就是尝试的阶段，你可以德智体美全面发展呢。没必要特别花精力在自己专业上。（学渣快醒醒，这是针对学霸的！）  当然，也许只是某学渣的意志力太弱了也不一定。当然不排除我又蠢又没意志力啊(；一_一)
厦门大学的“我爱你，再见”slogan为什么被厦大学生奉为经典？, 谢谢大家的赞和感谢。没想到一段写给自己的话让这么多人有了共鸣。    我和她各自生活的都很好，也都完成了各自阶段性的目标。缘分虽已尽，但还是朋友，很偶尔的也会联系。希望大家不用担心。   又要高考了，Incoming XMUer，加油！   _________________________________原答案____________________________________    今天是她的生日，95岁，我用知乎第一篇长答来祝她生日快乐吧。  ___________________________________________________________________________  5年前，厦门大学90岁的时候，我还是这个学校大四的学生。90年整寿，校庆办得很大，感觉整个学校的学生一大半都是志愿者。当时我和我的女朋友也是志愿者之一。我们住在海韵，每天晚上彩排和布置后，都要通过长长的芙蓉隧道。隧道熙熙攘攘，我们却总是走得很慢。时不时的跟各种涂鸦摆个造型拍着照片，也算是一天忙碌少有的放松了。有次，她让我猜整个隧道的涂鸦她喜欢哪个，我指着那幅经典的“我爱你，再见”问，“是不是这个？”，她说，“才没有那么俗嘞”。说完她转过身牵着我继续向前走，我却看到了她嘴角露出的微笑。害羞中带着一丝甜蜜。那丝甜蜜现在想来，心里都还暖暖的。   校庆过后，毕业季好像是一转眼的事情。答辩，毕业酒，典礼，离校手续，一个接着一个。还记得那时候大部分的晚上都是鱼肚白之后被哥们儿抬着回寝室的，喝的像傻逼一样，哭的像傻逼一样。当一个人喝醉的时候，价值观好像也总是不那么清醒。我看到过醉倒在路旁唱校歌的，看到过鼓起勇气去女生宿舍做最后的表白的，当然，记得最清楚的还是我们一群人抱在一起喊出那句。。“我爱你，再见”。那晚的很多人我至今也没再见过，大家有的已经结婚，承担起人类繁衍后代的职责，有的事业有成，拿到了人生剧本仿佛成了神选之人，也有像我这样的，每年在特定的时候，感伤一下，给那时候的自己上上坟。不清楚他们还记不记得我们那晚百年校庆重回母校的约定，再过五年也就知道了，按照这五年的速度来看，很快的。   现在你可能想问我，扯了那么半天你跟隧道里那姑娘到底怎么了。就像票房不过亿的国产劣质青春片一样，我们也没能走到最后。离开厦门的前一晚我送她到宿舍楼下，她抱着我很久很久，我还开玩笑说，这以后又不是见不着了，你干脆咬我一口留个标记算了。她上楼的时候回头望了好几次，我当时怎样都没想到，那是我们最后一面。而她想记住的，是我们最后的瞬间。毕业之后我们去了世界上不同的角落，有了不同的生活。淡出了彼此的生活。有人说异地恋就是一个把爱人剖离出自己的过程。如果你有过那种经历，寥寥几字，你应该能懂。最后无非也就是输给了现实。   今天校庆，朋友圈里面刷屏的信息。我回过头看了看钱包里的那张照片。。她好像已经成了一个tattoo，文在了我心中最柔软的地方。“我爱你，再见”   这也许就是“我爱你，再见”对于一个厦大人的分量吧。   -- 美西时间，2016年4月6日0点，于一个离厦门很远很远的地方  
身为江西学生，想考厦门大学管理学，请问要多少分？, 这与分数无关，与内心相连 ~  我想你可以为了一个更高的目标而努力（这里不论排名）  无论是什么，至少高于厦大。  为什么这样说呢？  那是因为答主仅仅混了个三本，因为当时答主的目标就是奔着普通二本的目标而努力的，现在想想，如果当时我要是为了考一本而努力的话，我现在应该考上个不错的二本~  哈哈，权当自黑，但我想说的是 ，压力越大，动力越大    在三傻大闹宝莱坞里有这样一句话：“ 追求卓越，成功就会在不经意间追上你 。”  虽然我们不得不承认有些人生来就是有学习天赋的，但是毕竟现在大部分的孩子们还达不到拼天赋的地步，想来排出时间等若干因素，如果足够努力，必定足够出色   越努力越卓越 ，这句话对天才同样适用  但很多事情却是都是后知后觉的，更多的天才与大多数普通人一样忘了努力，都成了真正的普通人   请别为了要去厦大而去厦大   更不要被分数蒙蔽了双眼，它不过是检测你多努力的一个工具而已  人生最大的悲哀莫过于胸怀大志，却又虚度光阴。  年轻人，问问你自己，有够努力吗？  年轻人，问问你自己，当你够努力的时候，还会提这个并不重要的问题吗？
考研 同济大学和厦门大学该如何选择 是优先选择地理位置还是选择好的专业？,先举个例子，深圳大学和厦大的学生，谁更容易去腾讯？生活在北京人和小县城的人，谁的视野格局更大？ 学得好不好，很大程度上是靠自己的后天努力，但地理位置，社会环境上的先天差距是很难弥补的，作为在厦大七年的人，我很遗憾错过了两次可以去华南理工的机会。 至于同济好还是厦大好，仁者见仁智者见智，我只说这么多。
厦门大学医学院和厦门大学相互独立么？为什么校徽都不同了？,那是院徽吧………我的天
如何看待张荣接任朱校长空降厦门大学？,邀个没完了。。。不过还是答一下吧。  貌似山东大学的同学对张荣评价不太好，但老实说当前体制下并不是所有锅都得校长背。  朱校长长期以来口碑很好，较为关心学生，但也有一些问题。例如修建游客中心，石板路等偏离大学主题的面子工程。  个人觉得目前换校长是有助于学校发展的，毕竟朱校长已经呆了很长时间，换一个人有助于打开新思路。另外据传学校和引进人才在住房待遇上出现了较为严重的矛盾，这可能是导火索吧。
在厦门大学读书的体验？,作为一只大二数学狗我就稍微说一下。 厦门大学又名厦门不放假大学，厦门人民公园，厦门旅游大学。 分为思明校区（本部&amp;海韵），翔安校区。 本部风景好、伙食好、生活丰富，缺点：游客超级多。文史类、社科类、语言类等偏文的专业以及管理学院、经济学院这俩厦大亲儿子亲女儿在这。妹子多质量好 海韵：理工狗在这，夜宵丰富，缺点是公寓的两个食堂都很一般。男生偏多 翔安：大家称为艾利斯顿皇家理工学院，科研设备和建筑那是没得说，图书馆真的是非常理想的自习圣地（岛内校区经常找不到地方自习）。就是附近没什么可逛的大贸，交通麻烦，以及大型活动一般都在岛内，在岛外会损失很多当志愿者见世面积累经验的机会。海洋医学等在这。 具体可百度。 感受的话，负面的方面：1、游客多，学校很美但是每天几万游客（好像差不多这么多，如果说错的话很抱歉）总之就是很多，白天在芙蓉隧道骑车速度快点简直是在玩命，速度慢点就要迟到了。吵吵闹闹乱涂乱画到处参观在食堂借卡抢菜吃（捂脸哭）2、最近校方总是不顾学生的意见做决定，比如撤掉楼道垃圾桶、建游客集散中心、把本部地砖换成石板（骑自行车颠的手机都摔出来好几次、pp疼www）3、资源分配不均，在厦大，经管才是亲生的，如果要考，建议经管，真的很强，就业读研出国都很适合。文史语言等等实力也都很不错。理科化学数学都还行，化学实力很强，但是认识的化院同学都在担心就业。不建议工科，实力相对较弱。（个人观点，有意义可和我讨论）4、放假时间太短…春季秋季，暑假还有小学期“君问归期未有期、厦大还有小学期”，去年正月初六就要去学校了，今年也只有28天寒假，全国寒假时长全国倒6（捂脸哭）。 正面的方面：1、住宿条件生活条件真的很好很方便，四人间（还有二人间套间），宿舍有热水淋浴，全校去年换了新空调，住的超级舒服，你可以查一下，全国条件这么好的学校不多，尤其是北方 大部分都是大澡堂，思明的公交四通八达都是大贸（最常去中山路中华城啦）和很多很棒的小巷（沙坡尾什么的），我比较喜欢逛街吃吃吃，厦门很多很棒的店，四年都吃不完。2、思想很开放，Lolita、coser们随处可见，被称为萌都，猫多萌妹子多。3、发展很快，举个例子，金砖会议今年就在厦门办，经常都有很多大型赛事展会，能得到很多锻炼（当然跟北京上海比不了啦，但是我们胜在开销少、留厦成本和生活压力低、环境也好，厦门是一个很适合生活的很美的城市）4、转专业难度小，我认识的似乎挂没挂科都转成功了，不过经济学院和管理学院的会计、财管这样的王牌专业转不进去，生科医学转不出去，如果分数太低报不了好专业或者对自己的专业不满意可以考虑转专业，管院的市场营销、工商管理也都很不错转的难度也不算大努力一些就好。5、学习压力小，如果非常有理想有追求可能会稍微辛苦一些，挂科率全国看来偏高一些，但是只要平时认真成绩都会比较理想，目前为止我遇到的老师也都很好，上课认真有耐心，分数偏低会调分。6、风景好，空气好没雾霾，生活在这心情都会好很多啊，很多同学都想定据厦门～ 综合来说，我没有后悔过报厦大（尤其是还找到了现在的男票嘻嘻嘻），生活丰富有趣，经常被很多其他学校的同学羡慕，觉得我们的大学生活才是理想的大学生活（不过也看每个人的性格、生活方式和对大学的定位啦），只是后悔没有考得高一些去经管，所以报了wise的金融双学位。 很建议报厦大！分数不会偏高，性价比很高！
山东大学和厦门大学有明显差别吗？,一个山东的厦大新生，说一说厦大与山东的差距，不正确请大佬们指正 浅谈差别，从志愿到本科，考研 即使在山东省，这个人人都对山大存有一分好感的省份，世一大的投档分数也要比厦大平均低十五分左右，这是所有考生与家长用手脚投票的结果。社会对985进行分级，清北，华五，c9，中坚九校（厦大，中山，武大等），山川吉（此三校排名无先后），兰湖民。。山大确实差厦大一个层次。 从本科阶段，最近esi排名山大排名第十，厦大二十出头。确实厦大的航院里的电机等专业比不了山大，或者说整个工科，厦大也有很多不如山大的地方。然而，厦大有如今最火的经管啊。金融，会计，经济法...就问你怕不怕? 这些热门专业，使得厦大更加声名远扬。上海券商target里有厦大，无山大。在沪红圈律所target也有厦大，无山大。至于北京，两者皆无。 校园生活条件，厦大独立卫浴，空调很早就有，海景且干净，在电视剧的宣传下，厦大之美早已深入人心，比如厦门公园附属大学？山大是到了张荣校长才最终拍板装的空调，至今仍是南方同学普遍不能接受的公共澡堂。下雨校园（本部）文脉悠长，但宣传做的很不到位。厦门比济南略发达，且远比济南更加宜人。 山东大学官僚气不免有一些，很多黑段子都是由此而起。而厦门大学，上一届校长领导班子很亲民，很为厦大学生考虑，校园比较自由。 考研。。。山大占总体上的优势，毕竟山东考研大省，山东大学学风也是剽悍。而厦门大学偏安逸——侧面烘托，厦门大学的本科学历工作适用度更高。修行看个人啊，考研大部分看自己 山东大学，在山东影响力仅次于清北。在外省影响力偏小。厦门大学在福建同样很超然，辐射力可达珠三角，长三角 ———————*——*——*——*——*——————— 回归正题，厦大与山大同属985，同为副部级建制，在职位等级上算是平调。算是。。。 我儿时曾无比向往山大，彼时山大才刚刚跌出前十，彼时厦大二十五开外。 只是世一大跌的实在太快。我一个受得了艰苦条件的山东小学生也很无奈   
厦门大学在国内的排名怎样？,摸着自己良心讲20名进进出出，处于上升期。 要是看重排名我也不来厦大了。只是那年我喜欢厦大，厦大恰好也喜欢我。
厦门大学什么专业比较好？,除了经管这种大家都知道的，我来补充一个大家都不知道但是性价比真的很高的。 海洋与地球学院 中国海洋学系起源厦大，中国海大源于厦大海洋。全国排名第二。保研率今年新政下降了还有百分之30，如果想保研本校，只有年级排名前百分之50就可以了。 拥有国家重点实验室。 明明是一个很好的专业录取分数莫名低，可能是因为比较冷门。 有去南极北极机会。 我们一个学院拥有两艘科研船。 科研经费妥妥的，随便一个本科生手里的科研经费都有3000+，多的几万块。 但是如果想要本科出去找工作请慎重，如果理科不好请慎重，如果无法接受翔安这个穷乡僻壤请慎重。
如何看待厦门大学学生因投诉保安而被带走？,这里的人不知道那不知道内幕，知道内幕的人人不会来这里。还有，表面和事实差别大了，你看到的未必是真的。
研究生专业选择——同济大学知识产权法OR厦门大学财政学？,想知道题主去了哪儿！！
厦门大学金融本科上海就业有多大难度？,找是找得到。好岗位难找，毕竟上海复旦交大上财三所学校这么多研究生，好单位何必要厦大本科。
如何看待厦门大学校长特殊待遇餐以及高校学术腐败、官本位的恶俗影响？,全国都这样，尤其是官本位思想最根化的东北。但东北不太引起关注，可能是地域或其他的关系吧。 我的学校是黑龙江一所金融类院校，也算是小有名气吧。但学术上没啥大成果，但在管理上确实奇葩，好几次上了哈尔滨日报，但是也没翻出多大的浪花来。因为这个学术问题，我们校训是敢为人先，问题是官本位思想都扎根的土里会哪来得学术或技术创新，这校训分分钟打脸啊。没办法了，退而求其次改为礼融天下。我们不求多进步，但我们要讲礼貌，学术不行我们就素质，官本位的素质。我都不知道是该哭还是笑。 我就简单说下我们学校的经费问题吧，这几天天天跑财务我快崩溃了。发泄下。  今天也就是2015.12，。15人民日报所说省纪委成立巡查组发现黑龙江教育厅的的部分高校专项资金管理失控，腐败案件多发。并且发现问题所在，具体问题具体具体分析，成果显著。其实把其他高校的问题放在任何一所高校上都适用。归根结底还是行政分化严重，行政大于科研，大于学习。导致科研经费，建设经费，层层剥减。而行政体系庞大，但不作为，腐败。  作为我母校的学生，我不能讨厌她，因为俗话说子不嫌母丑，她毕竟是我的母校，我在这里生活了四年。但有的时候，学校真的让我无语。从经费上说，我大二不幸做了个创业训练，万幸的是训练而不是实际创业。  找资料，做项目，差旅费，调研费，耗材等我们付出了心血也付出了钱是自己的钱，过程也很艰难。但在结题后依然还有经费报销的问题。报销的注意事项竟然是结题后发布的。再告诉你哪些是能报销的哪些是不能报销的。而能报销的项目里还有潜问题比如我们不接受耗材报销，因为耗材是校办公采办，我们不能占用学校的报销，再比如忽然告诉你不受理某某公司的发票。  问题是学校为什么当时不说，为什么我们消费了，交税了符合要求，还是不给报销。学生去问为什么，财务只是说这是规定。那么规定在哪，谁规定的，为什么这么规定谁没人去说，只是告诉你赶紧的补发票去吧。  但是所有做项目的经费报销的人都不知道。项目开始了，投入了付出了，有发票了。你告诉我这发票哪哪不好使，还不想付出了没经费汇报，去找人开发票吧，也就是假发票。假发票也不是那么好开的，你还要继续报税点。每开一张，8%的税点这还算是合理的。但像我们学校的周边的，符合要求能报正常税的，学校以不收这家公司的发票，把我们堵住了。而符合经费报销还要符合学校财务的公司或个体商，全是学校老师开的。学生消费了要发票不给开，以老板不在为由让我们打电话找他，找到了说改天的，一拖再拖。实在忍不住了，必须要开发票了。行，可以，假发票，10-15%税点。气煞宝宝了！  大四了，不去写毕业论文找工作，天天一遍又一遍的跑财务。  想骂人，从开题到现在两年了，这钱我们都不想要了。  可我们不要，让我们帮忙捎带报销的老师还要呢。  多现代的幽默文学啊。 
准备考厦门大学税务研究生，想问一下该专业的前辈有什么资料可以推荐，还有厦门大学的考试风格？,同求！
在厦门大学西部梦想社团，是一种什么样的体验？,西梦，带给我最多的，可能算是温暖吧^-^大一加西梦，到现在大三，虽然说不在社团里呆着，但还是给人一种家的温暖。偶尔老队友一起聚个餐，K个歌，喜欢这种随叫随到的友谊，不管多久没见，再见到心里都有他本就是我最亲的人这种感觉。喜欢西梦，这是一种发自内心的归属，我就是西梦人的这种归属，喜欢西梦，不管现在社团里的人还认识多少，不管是本部西梦还是翔安西梦，只要有关于西梦的一点小事情，都会有与我相关的想法。喜欢西梦，想念那些像孩子，他们带给我的快乐和感动...总之，温暖+快乐+感动+...=西梦！
如何评价厦门大学数学科学学院谭忠的教学水平？,本科生阶段:垃圾
厦门大学是如何在地域和排名均落后的情况下使自身分数线超过邻省985的？,       谢邀。 首先我要说明一点，厦大，中大，武大，这是三所一个重量级的大学，档次一样，而且具体的差别放到投档线和均分上，也是5分左右（五分之内）。除了个别省对某所大学有所青睐以外，综合来看，这三所大学之间彼此够不上真正优势和劣势。 题主贴出来的理科投档或许无法全面的反应三所高校的招生情况，本人在下面的介绍中会放上简单的文科投档线排名。以下是最新的理科投档线排名情况（数据来源于网大） -------------------------------------------2015年主要高校投档线排名（理科）------------------------------------------ 排行准则 1、内蒙采用了1:1平均分，新疆采用了投档平均分，其他省基本都采用了调档分或录取线； 2、两两进行比较时胜得1分，平得0.5分，负得0分； 3、仅考虑各校校本部的主体生源； 4、如果全胜下面的所有学校则按照当前位次排名，有交叉关系的比较净胜分，净胜分还相同的比较相同者之间的胜负关系； 5、江苏总分和选侧等级一高一低的暂未比较。  第〇档 1北京 大学   、2清华大学 北京大学：清华大学=16.5:9.5 一二档之间均为一档零封二档  第一档 3并列（复旦大学、上海交通大学） 在双方招收计划中人数均达到两位数的省份复旦大学：上海交大=6.5:4.5 二三档之间均为二档零封三档  第二档 5浙江大学 浙江大学：中国科大=19.5:6.5 浙江大学：人民大学=18.5:8.5 浙江大学：南京大学=25.5:0.5 6并列（中国科学技术大学、中国人民大学） 中国科大：人民大学=14:12 中国科大：南京大学=25.5:0.5 人民大学：南京大学=24:3  第三档 8南京大学 南京大学：上海财经=23:3 南京大学：北航大学=27:0 南京大学：同济大学=25:1  第四档 9上海财经大学 上海财经：北航大学=17:10 上海财经：同济大学=19:10 10并列（同济大学、北京航空航天大学） 北航大学：同济大学=13.5:13.5 北航大学：南开大学=24.5:3.5 北航大学：中央财经=23.5:4.5 北航大学：对外贸易=26:2 同济大学：南开大学=28:1 同济大学：中央财经=24:4 同济大学：对外贸易=26:2  第五档 12并列（南开大学、中央财经大学） 南开大学：中央财经=15.5:13.5 南开大学：对外贸易=18:12 中央财经：对外经贸=17.5:10.5 14对外经贸大学 南开大学：西安交大=20.5:9.5 中央财经：西安交大=19:9 对外经贸：西安交大=19:9  第六档 15西安交通大学 西安交大：武汉大学=20:9 西安交大：厦门大学=20:10 西安交大：中山大学=19:10  第七档 16武汉大学 武汉大学：厦门大学=17.5:11.5 武汉大学：中山大学=17.5:11.5 17并列（厦门大学、中山大学、北京师范大学） 厦门大学：中山大学=15:15 厦门大学：北京师大=8:5 中山大学：北京师大=7:6 北师大仅在13个省市第一批招生，算上提前批估计在西安交大档 武汉大学：东南大学=25.5:3.5 厦门大学：东南大学=23:6 中山大学：东南大学=20.5:8.5 -------------------------------------------------------分割线------------------------------------------------------------------------        所以可以看出来，在理科投档线分数高低的排名中，厦大VS中大=1：1。并没有出现局势一面倒的情况。下面补上最新的具体省份投档线排名（累计对比）：  九校2015各省市本科一批次（理工）投档线/录取线相对排名表  华科  哈工大  天大  北理  东南   中大    厦大    武大   西交  北京市  9  7  3  1  8   4    2    5   6  天津市  8  9  4  1  7   3    5    5   2  河北省  8  5  3  1  7   9    5    3   1  山西省  7  5  2  3  7   9    5    4   1  内蒙古  9  2  5  1  5   8    6    3   6  辽宁省  9  6  4  5  6   6    2    3   1  吉林省  6  8  9  3  6   2    4    5   1  黑龙江  8  8  6  7  5   3    2    3   1  上海市  7  3  9  8  2   6    1    4   5  江苏省  9  7  7  6  1   4    3    2   4  浙江省  8  9  6  6  2   4    1    2   5  安徽省  4  8  7  8  2   5    5    2   1  福建省  9  8  7  5  3   3    6    1   2  江西省  6  7  9  7  5   1    2    4   3  山东省  9  4  5  1  6   7    7    3   1  河南省  5  2  7  3  7   7    5    4   1  湖北省  1  8  8  5  7   3    3    1   5  湖南省  5  9  8  7  6   1    3    3   2  广东省  5  9  8  7  5   2    3    1   4  广西区  7  8  9  6  4   3    5    2   1  海南省  5  9  4  8  7   1    3    2   6  重庆市  6  6  4  9  8   2    3    1   5  四川省  8  7  5  8  6   2    1    3   4  贵州省  6  8  7  9  5   3    3    2   1  云南省  5  9  7  8  6   4    2    2   1  陕西省  5  9  5  8  5   2    4    3   1  甘肃省  8  4  3  9  6   2    7    4   1  青海省  6  7  2  3  7   4    5    7   1  宁夏区  新疆区  9  2  5  6  7  3  1  8  3  总计  197  193  168  159  158   110    104    92   76 可以发现，中大和厦大完全在伯仲之间。再看文科：  武大和厦大总计都为10.3，而中大12.7，相差不大。 ------------------------------------------------------小小的分析---------------------------------------------------------------------       任何一个看起来一样的问题，具体到每一个地方和个人，都会有或多或少的区别，即便是同一层次的大学去每个地方招生，呈现的也有不同内容。按照题主的分析，包括地域、排名、学术、就业等，厦大有所不及中大，理应中大的生源大幅领先厦大才对，可是实际上并没有，这是为什么呢？本人有两个拙见。    中大本身的实力对厦大够不上大的优势，实力差距很小。 在这里我不否认中大要略强一点，但是放在大部分高中生的志愿单上，是没多大差别的。我就遇到过几个学弟学妹，第一志愿中大，第二志愿厦大，或者反过来，第一志愿厦大，第二志愿中大。其实这种填报方式很有可能两个学校都滑档。因为历数往年的投档趋势，这两所学校都是旗鼓相当的。我们再拉一所学校，南京大学。位于六朝古都的南京，其地理位置要比厦门好，但是略逊广州，其风景算不上最好，然而为何生源成绩要比厦大中大和武大高出一个层次呢？ 因为人家实力摆在那里，实力差距很明显。    厦大的区位优势并不弱。 我们注意到一个很有意思的细节，就是今年浙江的文科投档线，厦大比浙江大学高出12分，比中大高出15分，仅比文理强校南京大学低1分！！浙大文科实力相较其工科可谓差强人意，然而与南大的差距竟然如此之小也让人略感意外。而事实上，这正说明了 厦大中大武大这一层次的大学生源质量存在明显的地域差异。 对于江浙沪的考生来讲，广州的区位优势基本不在思考范围，他们更注重学校的硬件和离家的远近，厦大可谓是这边风景独好啊！能够佐证地域差异的我还举个例子，湖南。自从武广高铁开通后，湖南的老百姓基本把广东当成第二个家了，所以中大的受欢迎程度水涨船高，连续三年理科投档都高于武大和厦大（去年中大/武大/厦大：631/625/621，今年中/武/厦：639/630/630）。  
厦门大学考研考历史，怎么准备。？,难度非常大，属于一档考研难度。准备流程和所有考研准备一样：前期准备英语和专业课，一轮把英语基础（单词、短语、语法）搞定，专业课指定教材看一遍；第二轮英语真题+专业课教材细看，抓重点。  政治9月中旬开始，每天1小时，不必投入过多精力。重点是英语和专业课。
南京大学和厦门大学该如何选择？,我建议去上海的高校读个金融方面的研究生。 视野更开阔，等到研究生毕业了再去厦门工作也是可以的。
厦门大学是否是最被高估了的大学？,不要来厦大读工科。   厦门大学这所学校还可以，可惜工科实在太烂，烂得不忍直视。    高中生请看清楚，仅是厦门大学局部某些工科专业比如物理机电航空的情况，不代表整个厦门大学，它的经济和管理还是不错的。    厦门大学的物理机械电气航空航天 之类的专业 ，相当差（厦门大学的优势专业是经济学和管理学，前途光明，也很成功地拉高了分数线，它是一所经济管理强校。正所谓：厦门大学有三个学院，分别为经济学院，管理学院和其他学院，待遇和资源分配以及就业前景和实力潜力等各方面真的有很大的差距）， 而且当前的就业大环境下这些传统工科被新兴科技比如互联网产业碾压成渣 ，物理机电航空这些院系的学生几乎都是调剂 过来的，也直接 拉低了厦大的分数线 和价值。   某种程度上讲， 厦门大学有经济学有管理学有文科有理科， 但是没有物理机电航空。 
厦门大学有哪些老师的课尽量不要选？,不蟹妖，本人选课都是本着学东西的原则才选的，给分方面就不细究了，毕竟每门课都是要钱的。 比如本人在某学期作大死的选了数院的数学建模，结果拿了个及格分，但是在这门课上我学到了很多东西，以至于之后在国赛中拿了个国二。
厦门大学哪里美女多？,要看哪类了：气质美女图书馆多。集中看美女请在午饭时间去饭堂看，挑准了，去芙蓉餐厅，可别到凌云这种汉子餐厅了。如果要看时尚、可爱型的美女，去南光餐厅后面收外卖那里看。想看浓妆艳抹性感美女，请去校门口看游客。要看动感活力的美女，去演武场看。  我懂这么多但并没有什么卵用，sorry，在厦门读了四年书的我应该说：没个懒觉用，该单身还是得单身
如何看待「中国信古派殿军」厦门大学历史地理学家周运中发布这则歧视山东人的微博言论？,学养深厚和性情乖戾不矛盾，学术水平和为人刻薄也没有啥必然联系。这位周运中助理教授还很年轻，我觉得修养不到位也有可能。我的意思是，知识水平到了，修养水平没到。况且民国时候那群大师对骂也都挺难听……
能告诉我厦门大学怎么样嘛?,第一位校友回答的太文艺太凝练，我表示鸭梨很大，先做个沙发，厦大给我的感觉就像是江南雨巷中那个撑着油纸伞的姑娘，小家碧玉偏居一隅，但确实就是酒香不怕巷子深，一杯酒下去虽然酒味不算浓烈，但却后劲极强值得人回味。
厦门大学 曾厝垵 鼓浪屿 中山路 帮我排个游览顺序好吗？,时间充裕的话第一天去鼓浪屿，晚上在鼓浪屿上住一天，听听海风，第二天再走；然后可以休息一下，睡个午觉下午起来去逛中山路，第三天去曾厝垵，晚上去酒吧玩玩。
考厦门大学是一个什么概念？,没考上浙大南大的概念
考入厦门大学真的要有特长？,从高考考入厦门大学你不需要特长，你只要分高，但有特长必定是好事
对于厦门大学的一些问题?,现在不是刚刚高考完么？
求厦门大学2018哲学考研参考书目？, 你可以上这个研途宝网站看看 厦门大学考研网，厦门大学研究生院，厦门大学考研吧，厦门大学考研论坛，厦门大学考研分数线_研途宝   ，有专业课参考书，真题笔记等 
河北2017文科考生怎么才能考上厦门大学?,高考考好一些就可以了呗。厦大收分又不是像清北人华五八大名校那么高，也比不上两财一贸航开济，智商水平中游及以上，努力一点就可以达到。
厦门大学美术特长生录取分数线？,大文大理650➕，艺术包括（百分之四十文化分➕百分之六十专业分）✖️2，艺术考厦大需要700➕。参考2016分数线。
厦门大学电气工程竞争力及前景如何？保研出国有的机遇怎么样？,厦大本来就以文理商科见长，工科其实是鸡肋，而电气工程更是这几年才建起来的，论积累即使在福建省内恐怕还不如福州大学。  如果题主是福建人，且考出了能上厦大的分数，学工科建议还是别去厦大。同样的分数可以报考省外学校，性价比会高很多。  至于出国保研，更多看题主自己的造化了。
厦门集美大学诚毅学院怎么样？,坏境优美，硬件设备好，老师很多都是集大那边的，离集大很近，交通便利，图书馆可以去的有三个。
厦门大学有很多个吗？,这句话的断句有两种：   厦门/大学有很多个么？   有很多，集美大学，华侨大学，厦门理工学院，厦门大学…    厦门大学/有很多个么？    厦门大学只有一个 ，但是厦门大学在本土下辖有三个校区：思明校区、翔安校区、漳州校区。另据消息，马来西亚校区已建设完毕，将于16年2月22日投入使用。思明校区是大部分社科人文学院，及部分理工科所在；翔安校区有理工医科等学院；漳州校区属于嘉庚学院。  作为 旅游 点知名的是思明校区，也就是通称的厦门大学本部。思明校区着落在厦门本岛上，倚靠青山、面朝大海、春暖花开。翔安校区12年才投入使用，在翔安区， 可乘坐751直达。前往漳州校区需要搭乘轮渡，可经由旅游客运码头前往。  对于 报考 的同学而言，需要注意的是，嘉庚学院是厦门大学下属的三本独立学院。翔安校区虽然偏僻，不过经过三年的建设，风景已经比较可人了。思明校区的学子看到一大波游客来袭，请千万要保持淡定…  配上各校区风景图（部分图侵删）：  思明校区：            翔安校区：      漳州校区：    
这是厦门大学研究生网站被黑了？打开其他所有网站都是好的，这是什么情况？,代码bug外加浏览器没能自动识别编码
