西安电子科技大学电院辅导员钱德年是一个怎样的人？,大家自己去导师评价网看吧，此人迫害学生，无耻混蛋，不想多说
如何看待电子科技大学通信学院张翼德老师对女学生的性骚扰行为？, 看来在经历了邵振海教授事件之后，我电的同学们还是没学会公关爆料的正确姿势。每次都是先在内网发帖，内网被删后，转战知乎等外网，而此时防守火力都被吸引过来，打草惊蛇，敌没伤着，自损八百。被相关部门追着打，非常被动。热心老学长忍不住来传授几招，跟我一起念十六字箴言   字不如图，图不如片    敌暗我明，步步抢先    我充分理解各位学妹的心情，但是请不要把你的控诉只停留在洋洋洒洒的万言书上，因为这样做除了感动自己和同学们，在强大的校方机器舆论喉舌面前，完完全全是战五渣。正确的做法是：  1. 在他上课吹自己的大别墅的时候，在他聊骚女同学的时候，在他叫你去他办公室的时候，在他约你出去吃饭的时候，掏出你的高清美颜相机，把录音开到最大，最好能录上一段视频，视频录不上录语音，语音都操作不上，就偷偷拍照，截图。总之就是， 保留一切证据 。  2. 打开你平时最喜欢的微博，秒拍，敲下一个好听的标题，比如《985教授课堂吹嘘自家豪宅（附高清视频）》《堂堂海龟教授竟然这样骚扰女同学（实拍）》等，标题加上学校名字也未尝不可，但是那样同样会增加被定位和谐的概率。  3. 内网发帖，贴上上述地址，引起同学们围观顶贴，甚至转发阿特有影响力的大v  4. 坐等上微博热搜，今日热门，进一步扩大事情影响力  5. 坐等学校相关人士找你谈话    为什么我不匿名  因为我对母校爱得深沉，出这样的事，学校固然丢人。但如果最后不过是在某党委书记座谈会说几句不痛不痒的话，受害学生被安（bao）抚（yan），那是真是丢人*1024     ----- 分割线  真是搞笑了，居然有人私信我说，这样刻意搞大事情是泼学校脏水。  是啊，出了这种事情，我有什么办法，我也很无奈啊。大家都是读书人，读诗书，知礼仪。大家都知道这样不体面，不优雅，在网上高声喧哗，博人注意。像哭街的大妈一样。  问题是不这样有其他办法吗，你去找辅导员，你去找学院书记，你去找学校领导，你给他们一通哭诉，他们也许态度和蔼，言语关切，然后呢？极大的概率是第二天这样的叫兽依然和他们谈笑风生。然后留你一脸懵逼。  所以根本不是我们想闹，这个妹子不到绝路上，会出此下策吗？在这个神奇的土地上，要想你的权益得到伸张，你就得把他弄疼，他才知道厉害。  什么叫泼脏水？清者自清，浊者自浊。爱她才泼水   PS：计通网选谁的课？当然是徐sir了，人萌活好，专业能力比张翼德不知道高到哪里去了，平时几个大作业把你虐得死去活来，期末考试只占10%。也就是你平时做好了，期末考试完全不用去就拿个绩点4。放眼全国高校这样对平时严格要求的老师也为数不多。当他助教还会给介绍女朋友，我会到处乱说？ 
电子科技大学的数学系如何?,注意措辞，是UESTC，直译是”中国电子科技大学“，电子类学校的211，985唯一所
西安电子科技大学如何转专业？需要符合哪些条件？,说下当年转专业经历。  第一个机会:入学考试。可以通过考去教改班或者卓越班进入其他院其他专业。如果特别想转别的专业，无论专业好坏，从往年分数分析，考去计算机学院网络工程专业难度应该较低，且妓院发展前景真的很不错！码农现在真的很赚钱。（很多通信工程和电子信息工程专业的读研都转计算机去了）  第二个机会:大二开学初。经历了大一一年的学习，成绩如果达到专业排名前15%，就可以申请转专业。从当年的情况来看，通信工程和电子信息工程专业申请转去人数较多，好像当年差不多刷一半。计算机院和软院招收人数较少，计科录取6个。微院微电子科学与工程和集成电路专业录取人数大于申请转入人数，所以难度较低。  所以主要转入的是通信工程   电子信息工程  和微电子。  这三个是主要的转专业地方，也是答主认为值得转入的。当然如果编程见长，计算机我觉得是最好的。（我比较看好码农）  我当年是申请微电子，后来考虑了一些因素，放弃了转专业。毕竟读了一年了，打下了基础。考虑了长远的发展和保研之类，放弃了转专业。
对于电子科技大学这样一所学校的经管学院怎么看？,我朋友就是深受这个老师的影响，听说了些关于这个老师的“事迹”，那可真是有点奇葩哦。最近我朋友弄得可烦，还得换导师！
四川大学和西安电子科技大学哪个在全国更有知名度？,川大总体知名度高，综合性强 西电在电子通信领域国内领先，不输清华
电子科技大学计算机怎样？,答案放到了  @LemonMan 
成都信息工程大学和桂林电子科技大学比较？,现在，你应该已经开始上学了吧。 本科生的话建议去成都。 学校层次不高的话，城市很重要！能影响三观！
在电子科技大学没有男友是一种什么体验?,感觉我电好多妹子没有男票.....
电子科技大学电子信息科学与技术专业怎么样，学的是不是挺杂的？,看吧233  
怎么评价西安电子科技大学的应数（英才班）？,谢邀！学长通院大四一枚，但是认识很多数统院英才班的同学。不是非常了解你们专业的情况，说一些自己的观察。你学的专业偏向理科方向，也就是理论研究的会多一些，但是在西电，肯定会跟信息通信接触到的。你们英才班在你们数统院肯定是属于拔高班，很多政策会比普通班不一样的，但是还是需要自己的努力，保研的名额，奖学金的名额都是自己争取到的！！！如果你想在本科结束之后继续深造，还是要好好学习基本知识，打牢基础，尽量拿到保研名额（千万不要到时候考研，竞争很大的，而且相比保研生一点优势都没有），在你们院除了均分高可以保研之外，可以通过参加竞赛获得保研名额，具体的可以问问你们专业的学长学姐。如果你打算本科结束之后工作，除了学习书本知识之外，还是建议多接触些软件或者硬件的实践操作。大一基本上都会学习编程类的课程（c、c++、Java等），有的学院学的少，有的全会学，如果你感兴趣可以自学。编程可能是你以后吃饭的家伙，多多练习练习肯定没错。今年（2016年）大四的很多保研的，有的是成绩保研的，有的是参加数学建模保研的，也有的是参加其他竞赛保研的。我大多是通过数学建模结识你们学院的学长学姐的。建议好好享受大学第一年，认真思考大学第二年，详细规划你的大学第三年！大四嘛。。。有你忙的！！！
实行院校平行志愿投档的考生报考杭州电子科技大学需要政审吗？,我都大四了，不清楚什么政审什么的，记忆中没有这个东西吧。 只要在系统里报考了就可以了，之后是拟录取就可以了。 其他没有什么要做的，录取通知书到了后会有相关的材料要求，按要求做可以了。 总之，这个不是你要考虑的问题吧~ 你现在还在填志愿吗？  杭州电子科技大学是一所工科特色很明显的学校，学校的电子，自动化，通信等工科学科在浙江省是仅次于浙江大学的，就业也基本上是以工科工程师、软件开发、电子工程师等工作的。另外值得一提的是杭电的会计专业也是很强大的，俗称“专业会计师的摇篮”，在学习内都是很难转的。总之，如果对于自己的工科方向很清晰，或者有志于金融会计等方面，杭电是一个不错的选择，杭电欢迎你。
电子科技大学中山怎样？求实情！？,感受是:翻山越岭。 大大小小的山坡，但是麻雀虽小 五脏俱全，学院里什么教学设备，娱乐设备之类的统统俱全，风景也很好。
桂林电子科技大学与天津理工大学比较？,天津理工大学的计算机在天津这边还是挺让人认可的，而且有博士点，就业率也很不错，天理还是值得考虑的。
北京邮电大学和电子科技大学该怎么选择？,果断北邮啊……当然如果你学工科，某些专业北邮比不过啊~从地域来考虑，北京比成都好吧？
平心而论，电子科技大学的计算机和信安在国内到底处于什么样的水平？,弱鸡非常弱，大佬强没边。  大佬靠自学，弱鸡能过关。  无脑吹考研，大四愁毕设。  刷题是王道，代码先放放。
南京邮电大学和电子科技大学哪个好一点？,这是我第一次看到有人把这两所学校拿来一起比的。。南邮换成北邮来和成电比还靠谱点
兰州交通好大学和桂林电子科技大学哪个好些？,兰州交通大学的土木全国排在20名左右，交通运输全国前十，车辆工程排第十五，环境工程前二十，自动化全国排名二三十，工程管理全国五十，软件工程通讯工程全国八九十的样子，全国铁路学校综合实力弱于西南交大和北京交大，是第三所铁路院校，张曙光，白中仁等铁道部中车的原高层毕业于此，万科王石也是其校友。相较而言，桂林电子科技可能电子类专业会有优势，工科绝对远远不如，毕竟不是一类型的学校。就业的话兰州交大远远领先于双非院校，毕竟现阶段全国铁路系统，地铁，车辆，信号，工程局，铁路局都有大批校友，如果不挑城市的话，肯定兰交大好，全国综合排名也更高
如何看待西安电子科技大学图书馆A区实习预约措施？,孩子们还是太naive。你早给通信工程学院的李勇朝副院长送点礼不就保研了？李副院长神通广大，没听说过作弊学生王凯鹏都能收录为研究生？ 凡事不早做打算，到现在受欺负了来怨天尤人。你说你让我说你什么好？
如何看待杭州电子科技大学要求退换奖学金？,我觉得这个事要去问一下教育局，如果有猫腻，应该直接通过相关途径来处理这个事情，而不是一味的妥协。 研三的怕影响毕业，可以理解，所以我打算明天早上先打到杭州信访办问一下。如果没有一个合适的答案，考完试后继续怼。
