中国传媒大学录音工程系到底算艺术专业还是文化专业。如果属于艺术那么我该需要准备些什么呢？求学长或行家？,艺术专业 会考视唱练耳和才艺 去年没考乐理 但是之前有考过 保险起见还是准备一下 校考前要通过省音乐联考 内容同上
如何考上中国传媒大学播音主持研究生？,  首先，就先从这个专业的基本情况开始讲起   要声明一下，只要你的声线适合播音（无论本科是否为播音专业），积极进取，可以快速学习播音的理论知识，这个专业就欢迎你！！！   并且，专硕和学硕的培养方案一样，导师一样，课程一样，宿舍都在一起，难道你还要说专硕没有学硕好吗？   培养具有跨学科的特点，具有传播学、艺术学、新闻学、语言文学、社会学等多学科融合培养的特点（但考试只考艺术学）  它的目标说白了就是，如何运用所学知识创造出举国赞赏、老少咸宜、妇孺皆知的赏心悦目、悦耳动听的电视节目   然后，介绍下师资    马缔老师，硕士导师。国家级普通话水平测试员、《播音主持艺术》（丛书）执行副主编。曾有20年电视媒体实践经验，担任过播音员、主持人、编导、撰稿、制片等多项工作，作品多次获得国家级奖项。回校任教后一直从事播音主持教学工作，重点研究娱乐节目主持教学    马玉坤老师，硕士导师。曾任新疆人民广播电台播音组组长、总编室副主任、专题部副主任、新疆经济广播电台台长、播音主持艺术学院副院长等职。主编、出版北京市高校精品教材多套。    王青老师，硕士导师。2006年在德国之声中文部短暂工作学习，主要从事记者、编辑、编译、主持人等工作。主要研究方向：广播电视语言传播、广播电视新闻学、说服学。主讲课程：广播电视播音主持业务，说服学等。与人合作编著《广播播音与主持》一书，   考试科目 ：政治、英语、336艺术基础、826艺术综合   专业课参考书 ：中传从08年就不再公布参考书了~但民间流传的参考书有三本：王次炤《艺术学基础知识》、彭吉象《艺术学概论》、王次炤《艺术概论》。（前两本要重点看）     历年招生情况（拟招收人数不包括推免生）        PS初试需要提交一个作品光盘（内容只要能体现你的播音潜质即可），占其中一门专业课分数的50%，所以要提前准备哦~    说完了初试，我们来谈谈复试吧~   要想参加复试考试，第一步需要做的就是  过初试分数线，获得复试考试的资格！  考试流程为：英语口试—专业课笔试—专业课面试。  面试的流程为：自我介绍30秒--新闻播度及评论--科研设想陈述--老师提问   其中新闻播读的稿件不会太难，基本没有生僻字   非播音专业的同学面对新闻播读也不用害怕，表姐跟你讲，每年都有跨专业考生拟录取，也会有播音专业同学被刷掉，关键还是要看自己的声线及发展潜质。   最后，来说一下实习和就业的情况吧~   MFA的01方向播音与主持艺术专业的就业主要分为三个板块。  1、新媒体行业占绝大多数。作为一个新兴行业，对人才的需求量较大，待遇较好。  2、传统媒体行业占一小部分。但人数较少，其中原因就不用表姐多说了吧~  3、高校任教。现在关于播音的理论人才比较匮乏，加上高校教师相对稳定，高校任教成为专硕同学的一个新选择~ 对！你没看错，专硕毕业也可以去高校当！老！师！    有志者事竟成，只要努力，相信大家一定会成功的！加油！  
请问中国传媒大学与上海戏剧学院的戏剧影视文学专业哪个比较好？,要我选的话 想都不要想的选择中传 但是还是主要看你未来想要研究什么方向 中传的电影方向肯定比上戏的要好 上戏的戏剧方向也许比中传的要好 但是我觉得还是中传要好 或许是我更喜欢电影方向吧 而且上一个学校是和一个城市有关的 毕竟你起码要在这个学校，这个城市呆那么多年 至于上海这个城市就是很洋气 而北京就是那种味道很正的 再说，其实你在大学还是想要学什么 想好学什么 才可以更好的选择你要考的大学
18电子与通信工程考研，有人对中国传媒大学或中科院声学所的此专业了解吗？,1，你问的通信方面的，其实我也不太懂，我考的其他专业。 建议你去qq群搜索下关键词“中传通信考研”或者“中传考研”，找找类似的qq群，进群之后问问学长学姐，相信你一定会有收获（我当初就是这么来的） 或者去考研论坛看看，有没有相关板块，我当初在王道论坛（这个是计算机考研的论坛）收获了不少信息，比如如何备考，我想去的学校的考研难度 2，中科院的空间科学中心很厉害，有一期新闻联播专门做过他们实验室的报道… 3，今年是12月23，24.号考研初试，还有四个多月，你要尽快决定好，定下来考哪个就一鼓作气勇往直前。 加油~
中国传媒大学研究生就业怎么样？,   倒数第五行。
非艺术生可以报考中国传媒大学数字媒体艺术专业吗？,不可以
山东大学和中国传媒大学的文化产业管理比哪个强？,山东大学的，国内前三。
中国传媒大学和中国传媒大学南广学院到底差多少？,——以下回答为大一刚结束时感想————— 南广在校生谢邀～ 艺考时北京几所最好院校也报考了通过了可惜由于种种原因没有录取最后来了南广。 总体来说差距肯定存在，首先就是办学性质不一样这些比较硬性的国家政策没办法。 其次学校环境虽然在全国高校算非常棒的但确实没中传那种海底捞大学服务而且学费高，大家又买设备器材啥真的很烧钱。 但是如果真想进最好的传媒学府那就考中传呗，考不上来南广那也只能认命。 南广算是个大染缸，通宵打游戏的通宵排练剪片子写稿子的都有，看你如何权衡。 最重要一点，你真的对这个行业有抱负有实力，去哪都一样，完全可以撕破外界对学校那些标签。 目前准备考研去中传读MFA，感觉在这行还是要去北京闯一闯机会多。 最后，我觉得南广能发展成这样在民办大学名列前茅实属不易，而且我很喜欢南广的一个氛围就是我们有很多有想法的学生都向着社会公认最顶尖艺术院校靠齐努力学好自己的专业。 至于为什么这几年学校有负面一些报道，我可以告诉你就是因为扩招了，林子大了什么鸟都有。 我希望能成为一名骄傲的南广人，为母校争光。
广告专业学生考中国传媒大学研究生，哪个专业合适？,本校广告学院的艺术设计专业。
绘画专业可以考中国传媒大学吗？,可以
中国传媒大学军训怎么了？,今天一天真的是义愤填膺…的一天…  我也是微博上话题最初的带起人之一，话题被我转发到朋友圈，渐渐把大家的火力从微信引导到微博，原因很简单，就是为了上热搜。  相信很多人都明白现行学生军训制度是有弊端的，这一点是毋庸置疑的。三观问题，如果我们三观不同也请没必要看我的回答了。  我有多爱传媒大学，多爱广院呢，认识我的人都知道，不想赘述。广院人是最团结的一行人，说中国传媒行业，都是这些人相互扶持打下的也不为过。  这个话题，绝大部分是完全属实的，小卖部哄抬物价、卖的暖瓶频繁无端爆炸伤人、某连长某教官过激言论甚至“烂人”“把你们脸当屎踩”乃至脏字、随队医生不专业、部分连队学生得不到休息恶性训练，这些都是我亲身经历的，毫无虚言。同时我也承认个别同学或者社会人士蹭热度所说的抽水沟的水日用这一说法是想象力太过丰富。  而我不能理解的是，我们搬出这个话题不是为了抹黑学校，只是我们作为传媒人，想将这一话题放在明面上，客观公开公正公平地讨论。如果沟通真的能解决问题，我们谁也不愿意用舆论的方式。  军训从15天改成很多学校的7天可不可以，放在气候较好的春秋可不可以，烈日当头就停下来休息或者在阴凉处训练可不可以？ 大家都是成年人，谁也不比谁高一截，军队方面态度放尊重一些可不可以？ 小卖部哄抬物价售卖残次品可不可以得到解决？ 学生的伤病能否得到更好的理解与照顾？ 等等。  久久以来的沉默，让人们觉得理所应当。可是我们不想要这样的理所应当。  绝大多数学校大一军训，可能受过高三高强度管理的同学们并不会格外反感。而我们这届是近些年传媒大学第一次大二军训，经过大一一年独立人格的培养，对于种种不受尊重，自然是难以忍受的。我不觉得这是服从性变差了，不觉得这是不负责任了，而是觉得我们的独立人格真的开始出现了。  不要提以后会被老板骂要学会忍，难道连长给同学们发工资？连长能教会同学们谋生技能？再或者，老板骂下属就一定也是该被社会容忍的？  我们真的不是娇气，衣食住行的差不过是我们的吐槽，真正令大家生气的，是本不该属于一个学生的高强度训练和某些领导自以为高高在上的歧视与人格攻击。  更让我不明白的，是很多师哥师姐的指责。真的只想用七个字形容：好了伤疤忘了痛。人都是会选择性遗忘记忆中的不美好的，我承认军训中有很多美好的回忆，可是我们提出的不满，难道你们当年就没有体会过？平心而论，你们心里难道就没有一丁点“这些苦我们都吃过，你们凭什么不吃”的拒绝社会进步后人乘凉声音。  广院有训新的传统，老人训新人，我这么叛逆的人竟然不是反对的。因为我的师哥师姐的确教会了我很多我在课堂上学不到的东西，甚至很多东西现在已经成了我谋生的工具，更甚至他们带我找到了人生的新的方向。而军训，在我看来甚至不如已经被中传叫停多年的训新有意义。而你们，却以着这样的姿态，来指责我们今天的举动。  几个小时前，某连连长因为这次事件回到军训做答辩，临行前做出了一番道歉，竟然让很多同学态度大转变，一股脑的心疼起来。犯错就要道歉，不是态度多真诚，理由多完美，公关多成功就能改变错误已经产生的现实的。如果你们真的如此感动，我才真的觉得传媒大学的教育失败了，培养出这些没有立场相信鸡汤的一部分人。  很多人开始大喊着反思，大喊着上热搜丢光学校的脸。我只想说，如果没有这次热搜事件，这件事情永远只是同学们的吐槽而已，讨论无从而来、解决无从而来，令你们感动至深的道歉不会出现，恐怕代替而来的是接下来十天继续的言语辱骂。  正因为我们是传媒人，我们有知识与能力来引爆话题带来讨论，我们才更不该沉默。弊端如果无人提及，弊端永远不会被人发现。那就会正如有些师哥师姐所说了，会一届一届这样下去。  我憋了一天的话终于最后发了出来，好笑的是正是因为知乎可以匿名才发了出来。因为我也有功利心，我不想也不愿意因为一次热搜而断送了我的某些理想，因为我也尚且还活在体制中。  话说的有点多。我们晚安吧，明早五点还要起床去训练呢。  ————————————————— 过了一年了居然还陆陆续续有人赞，哈哈可能又到了一年新生入学季了吧。  最近学校水逆啊，各种消息接连不断。不过还是那句话，海底捞大学欢迎你，我没后悔过上了传媒大学。  匿名取消了，毕竟已经工作了一年多了，上学就是等着拿毕业证了，现在没什么好避讳的了哈哈。现在回想去年军训，居然很怀念，那个时候和同学们天天扎堆儿像过夏令营一样，每天最大的开心就是拿凉水冰一瓶雪碧喝，傍晚树下一起玩狼人杀，回宿舍拿凉水扣盆冲澡，半夜热的睡不着宿舍楼下乱转聊天唱歌，还团结起来和连长互怼，仔细一想也是挺值得怀念的…  但是让我再回去经历一回我也是万万不肯的…每天遭的罪现在虽然选择性遗忘了但是一想还是…天气又闷又热，每个人都晒的又黑又红还长了湿疹，每天吃馒头蘸酱，坐在操场上晒着太阳考试，糟着没必要的醉，挨着不是人的骂…哈哈，还是空调房更舒服…  转眼小师弟师妹们又要去军训了吧，现在这个天气又凉快，比起当年我们七月伏天军训好了太多，偷着乐吧宝宝们。
