今年北京师范大学珠海分校的分数线会很高吗？,广东531分
本科在北京师范大学-香港浸会大学就读传播学专业，研究生到香港浸会大学本部继续就读传播类的可能性大吗？, 传媒类专业作为浸会比较牛的专业之一，一般的学生去还是有一定的难度的。  但是作为UIC的学生去浸会还是有以下的优势；   可以免雅思  GPA的要求比其他学校稍微低一点，但只是低一点，要求还是有的  有导师推荐，如果你有认识的导师愿意推荐你，但你就成功一半了。如果你是一个好学生，老师也是很愿意推荐你的。  暑期可以去浸会上课，如果有老师觉得你是好苗子，应该也是一条路（这是我自己估计的）。  
北京师范大学的自然地理研究生毕业之后一般从事什么工作？,高中地理老师好像是北师大的地理硕士
烂二本好专业(工程造价）还是选择好大学烂专业（比如北京师范大学的生物）？,问题要求太多，拒绝回答。
在北京师范大学珠海分校就读是一种怎样的体验？,哈哈，突然就看到了这个题目，所以出来溜一圈。 嗯，毕业一年了，我还在学校。。。。附近。 这就是他们说的离不开这个圈子吧。 其实也不一定，万一某一天就慢慢离开学校方圆百里了呢……
北京师范大学音乐学（钢琴）需要校考吗？,必须得参加北师大校考，且是入取的重要考分，和文化课总成绩合并总分入取。一年也就8，9个钢琴专业。文化课总分达不到450以上，术科不到550，就不用考虑了。
北京人想在京就业上大学的话是上华东师范大学还是首都师范大学？谢谢就要报志愿了，想学师范，北师又上不了？,能上华师就果断华师啊~ 首师跟华师不是一个档次的吧…… 首师大最近在吹的校友是白敬亭…… 你仔细体会一下  或者试试北师的免费师范生(能接受不能正常读研的话，自己查一下免师是什么权衡一下)分数一般能比非师低很多。 你把华师跟首师比作为华师友军的北师人都看不下去了……华师一般不都是跟北师比吗……
北京师范大学珠海分校的学生在当下如何看待该校与北京师范大学的关系？,在这个事件爆发前两校严格来说其实压根就没有关系，硬要说有什么关系就只能讲讲分校最早成立的那段历史和两所学校的校名了  现在因为部分学生的不当言论，使得两校学生的关系愈发紧张。真正爱校的学生当务之急应是清理整顿内部的低素质言论，向北师大本部学生及其他受到不良言论影响的学校学生表示歉意，并用实际行动表明我们也许输了高考，但绝没有输掉做人  话题实在敏感，我一个二本生能力有限，应付不来各方人士的询问与质疑，关闭评论，还请多谅解
为了试一试中国人民大学苏州校区即中法学院而放弃北京师范大学，值不值?,谢谢各位学长学姐的建议与帮助！(｡･ω･｡)ﾉ♡ 现在已经被北师大录取了  不过有些变动 去了法学卓越实验班，天朝理科生开启了背书生涯（扶额哭） 最终放弃了中法 目前来说不后悔 希望这是个正确的归宿吧 
在北京师范大学就读是一种怎样的体验？,为什呢我之前编的答案都没惹〒_〒。。那我就重来一次〒_〒。。  (我是调皮的分割线) —————————————————— 在知乎第一次回答有点小激动呢~~ 在北师刚读了一年，谈不上有什么高深的见解，只是谈一点点自己片面的看法。 毫无疑问北师是一所很优秀的大学(→_→)在这里你能享受到最优秀的师资条件，每天你能和很多大师对话、交流，发表你自己的看法。常常爆满的图书馆、自习室带来了浓厚的学术氛围，同时也带来了森森的鸭梨〒_〒。。。 人是在不断比较中提高的，北师区别于其它学校的地方，就是它有能力使很多人保持上进的状态。我们愿意去尝试、去努力，因为大家都是这么做的，这些潮流带动着我们。 不想多说北师的宿舍条件、男女比例、恐怖故事-_-||。。。对于这些。。我只想说。。习惯就好＠(￣-￣)＠。。。(其实我经常被吓得碎不着。。。) 我觉得北师是一个能给你梦想，并促使你实现它的地方，它决不仅仅是师范这么简单，艰辛的过程会带来美丽的结果O(∩_∩)O。 加油吧﹋o﹋
北京师范大学 首都师范大学 生物学考研怎么选？,可以先考北师大，如果考不上也有机会调剂到首师大。
一本的分数上北京师范大学珠海分校会不会有点亏？,安徽考生，16年理科高了15分去的。不觉得亏
请问在北京师范大学珠海分校就读一年普通专业大概得费用是多少（包括学费与生活费住宿费等等）？,卸腰，北师珠在读准大三。 普通专业学费是1.8w一年，宿舍四人间带空调0.2w  (条件优越可以考虑青年公寓或京师家园，房间2000/月往上)  身边朋友生活费平均1500~2000
在北京上学的的非师范专业在校大学生，户口不是北京的，可以考幼师资格证吗？,能考 需要考普通话 新改革的两个科目(具体忘了你度娘一下哈) 毕业证 最后去教委参加面试(试讲) 合格了就可以给你发教师资格证了
想了解北京师范大学的教育学和汉语言文学保研和就业情况？,我们学校大部分不好就业的专业保研都超过70%。呵呵
北京师范大学瀚德学院招辽宁文科生吗？,山东文科是300多，辽宁文科的话，我们班有一个省里160的，报中文被调剂了法学。北师大法学也不错，但是真的没有历史中文那么知名啊！师大法学的老师真心特别特别好，让我超级感动的，特别是民法贾婉婷老师，商法林老师，诉讼法肖萍老师，熊跃敏老师和法制史的柴老师!我们这级高考考砸被调剂的人超级多的，大家都想考研换学校或者换专业哈哈。
请问考研世界史 南开大学和北京师范大学 哪个更好一些 各自特色是什么？,南开的方向： 古希腊古罗马，拜占庭； 日本（请直接报日本研究院） 中东（哈全安教授） 加拿大，美国，拉丁美洲（其实就是整个美洲啦）
北京林业大学和南京师范大学的临床与咨询心理学方向哪个比较好？, 首先，楼主想对比的这两个学校，确实在人们的视野里面，都是属于比较低调的，资料不太容易找到，我也是为了楼主的提问，尽力的去找一些内容，希望对你有所帮助  想必楼主对北林的咨询是有所耳闻的，北林的心理学建系比较晚，不同于南师大这种老牌的师范类学校，在建系之初，朱建军老师就把自己的心理咨询或者准确的说是表达性心理治疗等应用到自己的教学实践中，因此发展出了以意象对话、催眠心理治疗、绘画测验、叙事疗法为特色的方向上，可以说，北林的老师都是非常有特色的，像台湾的老师一样，风格迥异，每个人都有丰富的咨询经验，比如     朱建军 心理学，教授  雷秀雅 心理学，教授  訾非 心理学，教授  王明怡 心理学，副教授  王广新 心理学，副教授  方刚 心理学，副教授  田浩 心理学，副教授  杨智辉 心理学，副教授  吴建平 心理学，副教授  吴宝沛 心理学，副教授  金灿灿 心理学，副教授  丁新华 心理学，讲师  刘洋 心理学，讲师  孙世月 心理学，讲师  李明 心理学，讲师  李昂 心理学，讲师  项锦晶 心理学，讲师   这个是北林的师资情况，至于就业，这个还是没有统计的，楼主可以去他们学校官网上去查一下   北京林业大学人文社会科学学院        最后，关于南京师范大学心理咨询方面的情况  南师大有学硕和专硕，学硕这边，是没有单独的咨询的方向的，唯独应用下面只有社会心理学的细分支，那么专硕这边就是看老师的了。查阅了一下南师大心理学院的部分老师   教授-南京师范大学心理学院     只有郗浩丽、陈益这几个比较少的老师在研究咨询方向，比如游戏和沙盘等等。     所以，从师资的情况上看，你这边如果只是在这两个学校里面选择的话。还是更推荐北京林业大学一些，南师大更适合喜欢发展教育方向的同学。  以上，欢迎提问。               
