有哪些网红出身于清华大学？,女流66算吗？挺喜欢看她玩小游戏的。  补张女流微博上的图。    ～～～～～～～～～～～～～～～～～～  原来这么多人喜欢女流66，哈哈～
在清华大学读法律本科是怎样的体验？,毋庸置疑，题主提到的清华北大人大的法学院，虽然在各种排名中互有胜负，但都是中国顶尖的法学院。 作为本科生，在这种顶尖的法学院之中学习，最关键的不是学院在硬件软件等各种资源上好一点点或差一点点，而是你在学院能获取到怎样的资源。   以最能体现学院软实力的师资来说，民商法领域，清华的崔建远教授、北大的刘凯湘教授、人大的王利明教授等等都是学富五车的学界泰斗，他们的学术修养都远远超过了本科生学习所需要的程度。因此关键的不是三所大学的教授学术水平究竟孰高孰低；而是本科生在学院学习的过程中，如何能与教授建立良好的关系，积极学习专业知识，更深入地了解为学、为人的种种道理，并锻炼自己的学术水平。  同学的方面，三所法学院的同学都是极优秀的。就拿常打广告的出国申请来说吧，据我所知，清华和人大今年都有申请到哈佛法学院的同学（北大不了解申请的情况）。但比起津津乐道学院有多少人申请到世界名校，更重要的是，你能不能成为申请到哈佛法学院的那两个人中的一个？  至于学校学院对学生的各种培养计划，到海外交流研修的机会，三所大学都是很充分的，只要你足够优秀，只要你足够努力去争取。  顶尖院校法学院是一个两级分化非常严重的地方，用时下流行的话说，20%的人掌握了80%的资源。 到了大学你会发现，英语很漂亮、学术成绩很优秀、模拟法庭成绩很好、去最好的国外大学交换、去最好的律所实习、参与各种金光闪闪的项目……拥有这些不同特质的，往往是同一批人。 到了你所说的这个层级的法学院上，关键的不是你在哪儿， 而是你能不能成为这批人中的一个。  说了这么多，似乎有些偏题，但只是想引出最后想对题主说的话： 清北都很好，纠结没必要；前景怎么样，完全看个人。 如果一定要在清北人三校当中选的话，选清北，因为清北Top2的名号在很多人心中都非常根深蒂固；而如果一定要在清北两校当中选的话，选清华，因为有我。   男女比例的话，清华法学院大致是女2男1，不过内部消化出班对或院对的并不多，也有男生单身很久的...八卦详情欢迎来清华找我聊。
清华大学去MIT是不是很容易？,看问题识题主系列
请问清华大学软件学院主要专业课教材是哪些书？, 软件工程（1）（C语言程序设计）：The C Programming Language， Brian Kernighan and Dennis Richie——江湖人称 K&amp;R C Bible  软件工程（3）（软件工程）：构建之法，邹欣，封面是鲁班锁  数据结构与算法（1）（数据结构）：数据结构（C语言版），严蔚敏，清华大学出版社  数据结构与算法（1）（图论）：图论与代数结构，戴一奇等，清华大学出版社  数据结构与算法（2）（算法分析与设计基础）：Introduction to Algorithms——大名鼎鼎的算导  计算机网络与体系结构（1）（计算机组成原理）：Computer Systems: A Programmer's Perspective——江湖人称 CSAPP  计算机网络与体系结构（1）（计算机网络）：Computer Networking: A Top-Down Approach， Jim Kurose  计算机网络与体系结构（2）（编译原理）：Compilers: Principles， Techniques， and Tools——传说中的龙书  计算机系统软件（1）（操作系统）：Modern Operating Systems， Andrew S. Tanenbaum  计算机系统软件（2）（数据库原理）：Database System Concepts， Avi Silberschatz， Henry F. Korth， and S. Sudarshan  软件理论基础（1）（形式语言与自动机）：Introduction to Automata Theory， Languages， and Computation， Jeffrey Ullman and John Hopcroft  （我发现这些年我还是看了不少书的（逃 
中国留学生大学回清华交换是什么样的体验？,谢邀。然而我并不知道……  @李某某   要不邀一下QBC（假如他玩知乎…）
哈佛大学读四年和清华大学读四年的人相比，他们的未来有差距吗，差距多大？,      图侵删
清华大学数学系本科生需要修哪些专业课？用什么教材？,清华数学系大三学渣一枚 课程：数学分析（卓里奇 或者 复旦的数学分析讲义 或者你用陈爷爷的数学分析讲义也行）高等代数（张贤科 或者复旦的高等代数学）常微分方程（推荐那个俄国人的不记得名字了的一本书） 抽象代数（复旦姚暮生的抽象代数学）实分析（因为就是陈爷爷教我们所以教材你懂的）复分析（推荐Alhors）概率论（好像是叫杨振明的概率论）最后还有一个PDE和泛函分析应该都要学，泛函用的是Swarchtz的Elementary Functional Analysis以及Breiz的FL and PDE，PDE我还没上，不知道教材。 其余的课都是分方向之后的课程了，比如我搞基础的，学了微分几何、拓扑学、模形式、还有一点点代数几何
清华大学的微积分A与微积分B有什么区别，微积分B难度是多大啊？,微积分a主要针对电类信息类，微积分b主要针对机械类。难度其实没有区别。微积分a用的教材我是参与者之一，习题都是我搜罗整理的，难度较大。考试期中考完的部分期末不在考。期中笔试。微积分b教材简单，但习题课较难，期中机考，期末考整本书。难度基本都是工科数学分析的难度，这几年微积分a的考试难度略低于微积分b
钱伟长报考清华大学时物理真的只得了5分吗？, 钱伟长的物理曾经只考了“5”分       就在钱伟长决定进入历史系的第二天，也就是1931年的9月18号，日本发动了“九·一八事变”，侵占了我国的东北三省，而蒋介石却奉行不抵抗政策，一时间，全国青年学生纷纷举行游行示威，支持抗日。钱伟长当天也从收音机里听到了这个震惊中外的消息，他决定弃文从理。  钱伟长：那么我听了以后就火了，年轻嘛。我说没飞机大炮，我们自己造嘛，所以我下决心，我说我不学这玩意儿，我要学飞机大炮，所以我坚决要进学物理系。物理系主任是吴有训，他怎么也不肯。  记者：你说物理才考了5分，   钱伟长：我这物理是一塌糊涂，5分考的。   记者：所以他不让你进物理系是有道理的。  钱伟长：有人告诉我，说你跟那个系主任泡。  记者：软磨硬泡。  钱伟长：天天去。  记者：你怎么泡的呢？  钱伟长：让他办公，办公你就去，他一到你就跟他说，我要进物理系，我天天这样，跑了一个礼拜，他办公都没法儿办。他因为8点钟，大学…8点去上课，他请领导，我6点都到了  记者：等着他。  那年清华的物理系，因为九一八，而变得十分的热门，新生中竟有五分之一的人想进物理系，但该系的名额只有十名，面对这些学生，系主任吴有训十分为难。  钱伟长：后来他没办法，他说这样，你那么坚决，可以。可要有一个限制，因为现在想进物理系太多了。所以他得限制人家，说一年这三门课，普通化学、普通物理、高等数学这三门课，你要能考70分，先让你试读。  记者：能考70分才收你。  钱伟长：那么我当然要答应了，先学了再说。对不对。  记者：但是当时有没有担心过，您长处在文史方面，如果你放弃了长处，去学一个自己只考了5分的物理，那将来一旦学不好。  钱伟长：我这些都没有考虑。   后边提到了70分，可见当时的满分确实是100分，而他也承认了自己考了5分，应该是真的很差。他是因为918才下决心学物理的。
清华大学那么厉害为什么这么多年也没出一个类似盖茨一样的人物？,我和我的AP讨论过这个问题，他说每当听到这个问题或者诸如：为什么中国科学界没有诺贝尔奖？就会想到他4岁的儿子。他们一块种了一盆花，种子刚埋下去，儿子就一直蹲在地上看着它不肯走，每隔一个小时就问他：爸爸爸爸，为什么它还不开花？  问这些问题的人就像他儿子一样。  因为需要时间。
在清华读文科好吗？,语言类专业还是去北外吧，清华不论是资源还是机会都比不过（真心话）。 文史哲方面清华划分不是很明确，分专业的时候也要求跨专业选修一定学分的其他两个的专业课。文和哲还是比不过北大，但历史方面清华还是比较有特色的。 冷门的……法律？ 清华法律相当强了，人大北大国内做的更好，清华国际法这块做的更好，国际交流机会也是非常非常非常多。如果以后想出国深造的话强烈推荐清华咯。 清华心理复系之后进步很快，但毕竟时间太短，还是有差距。
清华大学求是学会是一个怎样的组织？,呵呵，看到哪里说那个毛笔字，然后我就来了，因为很长一段时间是我写的。很丑，我自己知道，但是条件所限，只能做到那样了。如果团委肯多给点支持，我们也愿意做个大展板，也愿意用一些烧钱的宣传形式！ 这个组织叫做“清华大学学生求是学会”，我也曾是其中的一员，现在因为精力所限不能参与过多的活动了，最近的状况了解的也不全面，对于跟李世默这样一个“我是资本家，我为共产党代言”的人进行的争论，也只是旁观。关于求是学会的情况，简单介绍，掺杂了个人感情的地方请见谅！  学会的建立，历史的产物。上世纪80年代末90年代初，国际国内政治经济局势可谓风云变幻，尤其总设计师南巡，清华大学团委的几个老师意识到：以后的思想政治工作不好办了。大规模的政治课程之外，需要组织一批人比较深入地做一下理论学习，于是在团委党委的帮助下，从中央党校退休回到清华的邢家鲤先生进行指导，求是学会组织起来了，在1992年清华校庆的那天在三教开了成立大会。这是由来。 历史发展，读书会的定位。求是学会是个读书会，这是指导老师给的要求，同时深入学习马克思主义基础理论也是成立这个组织的初衷，所以学习原著理论、学习共产主义运动史、学习党史国史，这是很正常的。此外，还要做一些宣传，三四五六教贴的长文叫“求是园地”，2012年求是学会20周年纪念的时候还创办了报纸叫《争鸣》，我算创始人之一，也负责过很长一段时间，网络宣传包括人人网公共主页和微信公众号；讲座会办，请的“多是左派学者和退休官员”，这么说也还可以，当然我不认为这个有什么不好的，跟一些时事热点或者重大历史时间的纪念，也有一些理论的普及工作。实践活动，了解社会现状，通过一些经历者来了解和理解历史，看看在网上不大容易看到的世界，可能得出一些与教科书上不一样的论断。不管是宣传工作还是实践活动，都要围绕读书围绕理论学习来做，求是学会的定位终于还是一个读书会。 关于在学校内的形象，关于“外人”的评价。早就知道学校里很多人不了解这个存在，不少人对这个组织敬而远之，甚至我也听说过有一段时间求是被看做是“清华里最大的邪教组织”，我也不清楚具体的原因是什么。只能说， 其一是活动，对外的一个形象就是与众不同的 ，但是这没什么不好，记得有过这么一句话，是观察者网的人说的，“不是我们太左，而是世界太右”，关注社会的发展，没有去按照某些专家的分析方法去说话而已；关注社会现状，没有完全按照新闻联播里的调子去描述而已；关注社会上不同层面的人，没有把关注点放在那几个被当做典型的成功人士，仅此而已。 其二是你身边的“求是会员”， 因为求是学会希望尽量扩大宣传的面，所以只要报名的就会全收，只要表现出一定的积极性，就会逐渐地给他一些责任，也就是成为了能够对外讲自己身份的“求是会员”，如果你身边的所谓“求是会员”本来就很另类，那么他可能在求是找到了一个避风港，然后你就把他的形象与求是的形象混淆了。 关于求是出来的人都干了什么，我只能说呵呵。共产党里边还有各种各样的人呢，何况求是学会只是一个学生社团，没有什么严密的组织纪律去要求人。 关于马克思主义，关于红色。之所以 很多人根本不知道马克思主义是什么东西就已经“很反感”了，原因在于现在被认为是主流的“马克思主义”是这样的两类：一类叫做皇马 ，全称皇家马克思主义，说的跟做的总是有差别的，但是影响面很广，不过很可能跟“社会主义核心价值观”的宣传是一样的，包围了所有人，但是谁都不想看它一眼； 另一类就是被公知们解读过的马克思主义 ，在这些人的解释中，马克思主义就是胡说八道，就是在做洗脑的工作，配合皇马宣传的负面效果，于是有很大的影响力。这两类把影响面和影响力都占据了，所以很多人根本不知道马克思到底说了什么，就按照被人摘出来的几个词句去骂人了。这种情况下，求是学会这样的学生组织，在没有什么后台的情况下做一些宣传工作，被看做是另类也没什么意外。 关于不足，有几位提到了呆板不灵活之类的，当然是需要注意的。不过，适当地理解吧，毕竟多数都不是专业的，水平所限，精力的投入也有限，经验等等。  最后，明确地讲，求是学会不是五毛，否则不会去惹什么李世默；也不是境外势力支持的反动组织，否则清华团委也不会允许其存在。至于你愿意给它贴个什么样的标签，没什么意思。
