从理工专业，考研或出国前景，消费和环境来说上海大学和苏州大学哪个好一点？,家里蹲
请问有同学知道苏州大学研究生入学免修英语考试考点什么吗？,谢题主邀请。可是我并不知道细节。我读的是苏州大学在职研究生（周末班，四个半天全有课，连着上，除了碰到国庆 五一这种国假才有休息机会，平时上班～ ）。  所谓入学免修英语，应该是指‘研究生学习期间，不参加英语课程学习’。那么需要先参加校内组织的考试，这样可以免修。但是，不论是我们班还是其他班，并没有多少人会刻意的去考，原因是，本来研究生课程就不是排得很满（我们觉得满是因为集中在周末授课），英语作为必修课也就是开一次，第一学期开一次，上十几节课，期末考试，然后通过了，就达到‘学位英语’要求了，你先去考试一次，拿到免修资格，其实也就省了那十几节课的时间，尤其对于在职研究生，省半天不上，还是得来一次学校，有什么区别？更何况，事实上的‘逃课 代签到  只要期末考试通过就没事’ 使得 免修的意义更加不明显了。（平时成绩占的比重不大）  总结一下，就是答不对题。我的结论是，不用纠结考点如何，如果程序不麻烦就去考一次，考过了，免修，没考过，也就是一个学期的课而已，能花多少时间？
请问你是如何考上苏州大学的？,高考考砸了不想复读就上了呗（滑稽脸）
想要在圣诞节的时候去美国，现在就读苏州大学 ，大二，视觉传达设计，女20想要去申请美签？,谢邀，可以说姐姐的没问题，跟姐姐一起出国旅行过这样是很合理的。你可以再准备姐姐的一些材料，比如她的美签页、I20复印件，以及你们一起去旅行的照片。如实去签就可以。
我是本科在苏州大学读的，考本校的MBA会不会容易些？,容不容易不知道，但你应该有认识的老师吧，打听一下今年的招生政策应该是没问题的。
在苏州大学东区七食堂认识汤哥是一种怎样的体验？,汤哥见到妹子就很兴奋。其余时间都在玩手机 包菜肉片盖浇饭很不错，就是油有些多，偶尔吃孜然土豆肉片，但是有点干，需要搭配可口的饮料。最主要的是，汤哥会小声告诉你，用现金付账便宜一块钱！
如何看待苏州大学2017学费爆涨？,同志们不要慌，我去年大三学费9400，我室友快一万。 我是电子信息学院的，可不是艺术生。 醉了，家里人还以为我谎报军情骗钱呢   
2018应用心理专硕考研，南京师大和苏州大学怎么选择？,  为了做这个图眼都要瞎了，  可能需要点赞才能好起来！为了保持在一张图片上，书单只写了名字没有写版本。  需要具体书单可以私信我。  还有其他问题可以在评论区问我，我去放松一下眼睛。 
苏州大学大一新生转商院金融容易吗？,卸腰~ 很遗憾，本人对转专业了解并不多  不过刚刚在新生群里看到一份文件 或许对您有些帮助 一张截图  
苏州大学功能纳米与软物质研究院的刘坚教授怎么样？,古龙的武侠小说《绝代双骄》中有个十大恶人之一的和尚叫“哈哈儿”，此人平时笑嘻嘻的跟弥勒佛一样，慈眉善目，平易近人，实际笑里藏刀，阴险毒辣，是个十足的“笑面虎”。连纵横江湖，阅历丰富的“天下第一神剑”燕南天都着了他的道，被毒到了，可见此类人的阴险狡猾、防不胜防，真乃江湖中的“大忽悠”啊。  最可怕的不是敌人，而是假装和善、假装为你着想的 “伪朋友”，正是因其带着伪善的面具，打着“仁义”的幌子招摇撞骗，却很难被发现，一些涉世未深的年轻人尤其是青年学生被其轻而易举的忽悠了，被绕进其精心挖好的坑里，就像那被人贩子拐卖的孩子一样，被人卖了还在帮人贩子数钱。“流氓不可怕，就怕流氓有文化”，这些科研界的所谓“大佬”，其实就是有知识的“流氓”，披着羊皮的狼，会流眼泪的鳄鱼。   有人的地方就有江湖，江湖何须地也？江湖，乃鱼龙混杂，利益纠缠之所。学术科研界作为“江湖”的一部分同样龙蛇混杂，人鬼共存。大家初来乍到，更要擦亮眼睛，分辨清楚科研界中 “教授”和“ 叫兽”，莫让自己的大好青春被这类人给白白浪费了。  闲话莫叙，切入正题，这里就有一位科研界顶着“青年千人”羊皮的“叫兽”。大家来围观下苏州大学纳米学院的刘坚“青年千人” 教授。  我一个关系非常好的同学在该刘坚课题组做过一段时间的实验，刚进实验室时对其抱有很大的期冀，希望能“好好做科研”发几篇好的文章，但做了一段时间后对刘坚教授的为人处事及其各种奇葩可笑并自以为是的想法有比较深的了解，对其大失所望，最终不愿浪费宝贵青春，不甘受其愚弄决定离开实验室；离去时刘坚教授一改平常“慈眉善目、满脸堆笑、平易近人”的假象，立时漏出了“狐狸尾巴”，阴沉沉地拉着脸，一副“欠钱未还讨债”的嘴脸，对我同学百般刁难，虽然我同学早有心理准备但还是被吓得回来在寝室里哭了一下午： “我只不过说不想再继续做实验了，从来没有也绝没有想到他平时看上去那么“和蔼可亲”的脸登然就拉下脸来，各种没好气。从来没见过那么阴沉吓人的脸！！！”  刘坚教授组有一位研二的师姐，不幸查出身患癌症，当时父母都在山东老家，不能立时赶过来，就刘坚教授帮忙照顾下自己女儿。结果刘坚教授怕担责任，心疼花钱，很冷漠的拒绝了。后面这位师姐病情越来越严重，其课题组的师兄师姐轮流去医院探视、照顾她，但刘坚教授本人却很少去医院探视，直到后来被其学院领导发现对其进行严肃批评后，这才硬着头皮去了医院，但据说他是空手去的医院。谁TM去医院探视病人有空手去的啊？亏你还是中国人，亏你还是大学教授，连最基本的礼仪都不懂？奇葩程度当真是 “前不见古人，后不见来者”，其人真是科研界的一朵奇葩，奇葩界中的一朵含苞怒放的异卉啊！！最后这位师姐还是不幸离世。弥留之际，师姐躺在病床上半晕半醒，含泪说：“以后再也不想见到该刘坚教授”。你说得多大的怨念才会使人临终前都不愿再看见他，由此看见刘坚教授的奇葩程度。那位师姐走后，刘坚教授怕其家人来讨说法，就躲起来不来学院，足足有半个多月没露面。真是枉为男人！！连做人最起码的准则，老师最基本的尊严和责任都跟着他那臭哄哄的洗脚水倒进了下水道！！这就是中国教育界、名牌大学培养出来的“天之骄子”、“青年千人”，这就是党和人民教育了十几年的“硕果”！！！怎么越看越觉得像《诗经》里的那只贼眉鼠眼、吃肉不吐骨头的“硕鼠”呢，真是莫大的讽刺，说来真令人不齿！！！  此人平时给人一种非常有亲和力的印象，很多不明就里的年轻单纯的学子就是被这样的一张脸给忽悠了，忽悠进了了他精心伪装挖好的大坑，等你发现后悔之晚矣。据我同学所知，其组的师生关系一直非常紧张，但此人比较善于装X，开始还“剑拔弩张”，之后就惺惺作态，好言相抚，真是“猫哭耗子—假慈悲”。  此人学术能力真不敢恭维，作为一个博导，来苏大四年了，竟然一个博士生都没招到，因为了解其人品和学术水平的人都不愿读他的博士，而不了解实情的人进来一段时间后也毫不犹豫的走人了，所以他现在一直是一个“光杆博导”。按照纳米学院的规定，他这顶“博导”的帽子早应该被撸了，但是因为其背后有关系才勉强保住了“博导”的头衔。  以上这些事情都是我同学的所见所闻，说的都是其实验室里的真人真事，绝非杜撰伪造，更非添油加醋，完全尊重客观事实。大家不论考研、考博还是工作都要擦亮眼睛，做到知己知彼，认清形势跟对人，免得吃大亏。
求助！东南大学和苏州大学mpacc到底报哪一个？？, 择校方面你也要综合你自己的各方面因素  首先，你对学校的方面看重的是哪一方面？学费？排名？还是比较容易录取的、   排名   一般要考虑高校排名&amp;专业排名这两个因素。   发展匹配度   报考前，可以了解一些学校的培养目标，如课程设置、专业优势等，结合自己的职业规划，找到最匹配的学校。   考取难度   考取难度一般包括要考量两个因素。  一是往年分数线  数据来源 百度〈mpacc 学校 分数线〉一般就能找到往年分数线。  数据使用 在看往年分数线时，除了要看分数线，还要看当年真题的难度，真题每年难度相差比较大，单独看分数线没有太大意义。     因为笔试考试内容全国都是一样的。  不管考哪个学校，不能以历年的分数线去要求自己，一定要往高分去冲刺。笔试过了之后准备复试不晚。   
如何评价苏州大学的“一元奖学金”？,2014年11月份，我还是苏州大学大四的学生，在那个11月份，我们年级主任把各班班干都召集一起然后非常认真地讲述了这个新奖学金制度是如何如何的。当然，由于鄙人大四，在此制度出现之前还是有挣到一定奖学金的（个人回忆还是一件很愉快的事情，毕竟经济上又可以宽松一点嘛～～）。  时光任然，日月如梭……当我作为一个已经从苏州大学走出来的人看到这个新闻成为热搜的时候，第一个想到的是学弟学妹们，很是同情，毕竟学生这么穷的群体，手里多一点富余是一件多么美好的事情（想想就开心），而这个“一元钱奖学金”制度直接扼杀了学生的幻想，尤其对经济状况不好的学生造成10000点火焰伤害…… 其次，我才是想到的学校，单纯从“苏州大学一元钱奖学金”这句话，我感到的是对母校极大的失望和无奈，唉～  从学校层面出发，这并不是一件小事，这一定是经过学校高层领导“交流”过后一致同意的，因为其中涉及的金额，可能不只是报道中的500万这个数目。而苏大作为一个211学校，这样一个有110年以上校史的学校，推行这样的“一元钱奖学金”制度，是十分奇葩、畸形和诡异的。放到任何其他高校都是一个笑话。  苏州大学从2014年11月就跟学生们强调，这儿资金还是给学生，只不过是转移到了“出国留学”项目上。试问： 苏州大学出国留学的学生人数是多少？ 占整体学生比例是多少？ 可以出国留学的学生群体家庭经济状况是什么层次？ 而其他达不到出国留学的学生群体的家庭经济状况又是什么水平？  这让我想到了曾经的潘石屹捐赠哈佛奖学金的故事，有那么一点点相似，似乎有一种扶持精英思维。 大家都说，潘老这么做也有一个私心，就是给自己子女买了一张哈佛的船票。 那苏州大学做出这个将传统奖学金调往出国留学项目上又牵扯到谁的利益呢？ （到底有没有真的用在出国留学生项目上，还是个问号）  作为苏州大学毕业的人，这样质疑自己母校是否有显得过分 但我很喜欢苏大，所以也关注着苏州大学的一些动态。当这样一个事件成为头条时，我感到惆怅
苏州大学法学院哪个专业好考些？录取几率更大？对于一个普通二本学生。, 2017.3.18更新  2017年的分数线出来了，暂且更新一发  来源： 重要通知 苏州大学王健法学院2017年硕士研究生招生复试工作通知     目前法律硕士专业学位的招生计划如下：  法律硕士（非法学）全日制60名，  法律硕士（法学）全日制75名，  法律硕士专业学位非全日制（第一批）计划30名。  专业学位考生参加复试比例原则上为1:1.5，各类考生复试名单将根据考生初试总成绩由高到低按比例排序确定      ——————原答案——————————  泻药。因为没有太关注，所以没有往年的数据，仅以2016年数据回答   先看复试分数线   专业代码 专业名称 复试分数线  030101法学理论337 030102法律史333 030103宪法学与行政法学321 030104刑法学355 030105民商法学339 030105民商法学（知识产权）344 030106诉讼法学366 030107经济法学341 030108环境与资源保护法学384 030109国际法学354 035101法律（非法学）325 035102法律硕士（法学）315分（限一志愿报考生，调剂复试生除外）  （来源： 2016年苏州大学法学院硕士研究生复试公告   ，根据 拟复试名单（调剂除外）预告   对其中数据进行更正）  根据复试线来说，法学法硕分数最低（315），环境与资源保护法学最高（384）   再看报名和录取情况，最后一列是报录比：   招生人数上看，法学法硕人数最多，环境与资源保护法学最少。而报录比宪法学与行政法学最高，环境与资源保护法学最低。   希望这些数据能提供一定的参考，但毕竟只有一年的数据，难免有偶然的因素导致其不能真实反映录取概率，还望见谅。 
江南大学纺织工程研究生怎么样，和苏州大学比哪个更容易考一些？真心求助，感激不尽！？,个人感觉应该差不多
在苏州大学外院上学是一种什么样的体验？,体验就是:  我将用研究生两年的时光去怀念本科四年。  住宿:一般来说分配到本部或者东区，价格在800-1000元/年不等，宿舍都有空调，然鹅都没有淋浴。  教师:高校老师良莠不齐，但根据我四年的体验，外院的老师总体来说还是比较NICE的。英语专业老师很多，我小语种出身，英语作为二外就上过三四门课，但也要吹一下带了我们两年综英的杨志红老师（英语翻译系哒）。  同学: 总会碰上不顺眼的同学，但你要相信毕竟高考的筛选还是很有用的。你无法想象以后读研或者踏进社会将会遇到怎样的极品。至于男女比例应该没多大关系吧，永远是旱的旱死、涝的涝死，永远是百分之二十的人谈了百分之八十的恋爱。  唉、好怀念老校区啊。本部北门出去是平江路观前街，南门出去十全街，西门出去十梓街。东区东门出去万科和欧尚，南门出去葑门菜市场，校医院的门出去就是后庄。而今在独墅湖文学院读研，我才发现宿舍有热水澡洗根本值不上这些。  一个月不回外院玩耍，我就浑森难受！    
苏州大学的数学专业好吗？,客观的评价来说，在江浙沪一带得排名也是靠前，全国来看，也能排到20多。苏州大学的数学系对基础课程的授课有很高的水准，如数学分析，高等代数等。如果好好学习，一定可以学的很好。不比其他的差。 如果题主有更多想问的，可以再次提问或者私信我。 望采纳。
苏州大学物流管理？,本人国际物流  算半个物流管理吧 独墅湖校区  刚开始07年开办是一本 结果人太少  暂时变成了二本   17年变回一本      可以转专业   双学位不是top5高校没有太大用 怎么说呢这专业   排不到前二十   开办历史太短了   基本是复旦清华北大那些毕业的年轻老师   发展前景很好   建议考研到top5或国外
如何看待世界大学排行榜苏州大学内地第17？,误入 不妄自尊大，也不要妄自菲薄。  仅引两个数据，作一个侧面的说明：  1、2015年Nature Index年度排行榜（Annual Tables），苏大列中国内地大学第9位。 说明一下，这是各科研院所自然科学理论研究水平的排名，不是综合排名。  2、2014年，教育部公布了高校学术论文排行榜，在“表现不俗论文”占本校全部收录论文比例的统计中，苏州大学以46.36%的占比在全国高等院校中名列第一，南开大学、复旦大学紧随其后。  苏大“表现不俗论文”的数量也以777篇位居全国高等院校第17名、在省内仅次于南京大学，位居第2位。这份榜单的数据来源于中国科学技术信息研究所对2013年度中国科技论文的统计。“表现不俗论文”即在每个学科领域内，按统计年度的论文被引用次数世界均值划一条线，高于均线的论文，发表后的影响力超过其所在学科的一般水平。   人才是发展的保障，苏大在吸引人才方面，近年来是下了大力气的。  苏大的影响力和科研实力均在逐年上升，这是不争的事实。照此势头，苏大成为中国的一流高校，就是时间问题，
苏州大学的双学位要求？,财管和会计都不开双学位，商院现在只开两个双学位一个是国贸一个是工商管理。双学位是在周末上课，性价比不高，对找工作并没有多大帮助。
苏州大学的人力资源管理硕士研究生怎么样？,我本科人力，研究生也是在想往苏州大学考。你看的那个是专硕下划分的人力资源管理方向，所以才是非全日制。想要全日制的话，应该是看它上面的那个工商管理，被划分在企业管理里。
苏州大学的经济学专业有哪些？, 额，那你可以看看苏州大学东吴商学院里面的专业： 苏州大学考研网   ；   2017年苏州大学东吴商学院硕士研究生招生专业目录 _ 聚英考研网   ，自己可以看看专业，考试科目也有详细介绍。 
苏州大学天赐庄校区北门的地铁站和公交站为何叫相门站而非苏州大学站?,为什么一定要非此即彼呢？加个括号兼容一下不好吗？  像这个样子：  
在苏州大学就读是一种怎样的体验？,谢学妹邀请，我不是在苏大读的，但是我要奉劝你，南京的某些学校和苏大的录取分数线很坑的，南航和南理工的线有时比西交和华科还高，如果你的分数能去苏大，你可以考虑一下中南大学，四川大学，重庆大学，西南交大，位于成都的电子科技大学，西安电子科技大学，哈尔滨工程大学。苏大的工科我用一个成语来形容就是一塌糊涂，因为它一个国家重点学科都没有。本人无锡人。
在苏州大学读书是一种怎样的体验？,风景很美，住宿很差（读研阶段，改善很多）。 师资还行，位置超好。 前景不明，全靠自己。
考苏州大学新闻与传播专硕复习遇难题，求解？！,  之前简单写的经验帖 希望对你有帮助
听闻苏州大学凤凰传媒学院要改名了？会改成什么？, 新闻传播学院。。。 
苏州大学跨院转专业的可行性？,首先，转专业是肯定可以的，在大一第一学期还是一年结束后就可以转了，需要关注苏大网站上面的通知发文。我们数科院好像只有想转出去的，没有想转进来的。 其次，数科院学的统计数学应该是从大类里面分出来的，金融数学是14年开的新专业，本科的不了解，一般都需要读研，和商院的金融学有联通。 最后，祝你转专业成功。  最后的最后，我们院长张影老师人又帅，脾气又好，打分也高，还会给学生复习画重点。
苏州大学的口腔医学怎么样？,个人觉得要是报口腔的话还不如报临床（除非你爱好口腔专业）因为苏大临床还蛮好，毕竟我就是临床的
考研考的是南京财经大学金融专硕，差校线5分，不甘心想二战，想换个成苏州大学，怕又考不上，到底怎么选择？, 给你提供一个南大学长二战的例子：  本人顾茂青，我是一名二战考生，本科是中国计量大学 测控技术与仪器专业（非211）。今年以总分385分，专业课124分，复试第四名，被南京大学金融专硕录取。  作为一个二战的考生，说到考研历程必须从一战开始说起。  一战报考的是同济大学的管理科学与工程专业，数学一、英语一，专业课管理学综合。本科工科，自诩数学功底马马虎虎的我将绝大多数时间投入在英语得学习上。对于英语的学习，我的方法就是来来回回，反反复复的做往年真题，背诵市面上的一些口碑较好的单词书还有一些期刊杂志的实事英文（事实证明如果只是通过应试的方法，英语的学习终究会达到瓶颈，日积月累的学习才能有质的飞跃）。  但备考的时间是有限的，数学置若罔闻，专业课浅尝辄止，政治临时抱佛脚。特别是专业课，题目都背过，但知识点十分混淆，三个小时的考试胡乱答了一通。专业课是自学的，没有本科老师的熏陶，答题时候基本上是大白话，毫无章法。  一战的结果让我大大受挫，再多的主观因素也拯救不了不过线的初试分数。大四下半学期基本上在毕业设计和同学聚散中浑浑噩噩的度过了，每天夜晚一闭眼就是考研一年来的挑灯夜战。方向不对再努力也是南辕北辙。     相比较一战，二战我在选择专业课上更加小心翼翼。  结合上一年的报录比和复试分数，我一开始选择的是南京大学工程管理学院的工业工程，虽然是工科学位，但二级学科却是金融工程方向，而且公共课是数学二、英语二，相比较进复试的可能性更大。  另外，专业课是《管理学》、《管理学原理》、《数据库》和《数据结构》，前两本是一战时候的专业课，后两本没学过但至少是工科大类下面的，自学起来也没那么难。  直到9月中旬的时候，我访问南大的招生目录，看到工程管理学院第一个招生专业变成了金融专硕，收30个全日制研究生。  从一战开始就是冲着金融工程才想转专业的，现在这个二级学科单独成系，我想是不是我的机会来了。临阵换将乃是大忌，况且还是专业课类目完全不同的三跨考研！彻夜难眠，第二天我决定了：考金专！不忘初心，方得始终！  先是公共课，政治、英语二都没有问题，数学三有问题，但最大的问题还是专业课。  专业是431金融学，学校给出的专业课参考书目是《金融市场与金融机构》、《金融理论与政策》和《衍生金融工具》三本书。其实，还有一个最大的问题：30个名额推免24个，这对于我这个非211的考生来说，难度又增加了很多！最后下了很大的决心，考！考不上再考一年！     首先是专业课，一开始我不知道如何下手，但从学习管理学的经验看，抄书。我拿A4纸一页一页的抄书的比较重要的部分（还好我没全抄，这种方法确实不好）。第一本书抄完过去了半个月左右，我回想书中的内容似懂非懂，感觉没什么印象。二战我有报跨考的半年协议班，一次偶然的机会听了郑炳老师的课，老师不光只拎书本上的知识点，还会结合实事和国家政策给我们讲解书本知识。  我把参考书目找来开始对应书中的知识点，一个专题一个专题的整理。在看到虚拟货币（专业课中真的考了）这个概念，从内涵、背景、原因、对策四个方面来回答，背景中引用2016年的“货币剪刀差”（M2的增速大于M1增速），原因从房地产等虚拟经济说起，对策主要是货币政策的内容。这样有条有理的，可以写满满2页的内容。  在11月份的时候，我把所有可能考到的知识点都整理下来，然后就开始回归参考书目。这个时候再看参考书就是另外一种感受了，我想学习431还是应该先搭建整体的框架，在框架的基础上把零碎的知识点串联起来。我现在还记得一个同学和我说白衣骑士这个名词解释的时候，我一头雾水，后来同学跟我说是在反收购哪里，我翻开书还真有，另外还有金、银、锡降落伞，焦土计划等。当然，考试考到这些就太详细了，但对于学科的学习还是很有必要的。  于是，431就像大树一样根植在脑中，上面的知识点就是枝枝叶叶一样明确系统。     数学，也是我二战主要下功夫的科目。  数学，主要是一遍一遍的做真题。每天上午的时间都是留给数学，数学一天不做，计算能力就会生疏。在将真题分专题做，合成试卷做完之后，开始看课本。这个时候再看书本，脑中就会浮现自己做过的题目，渐渐的就会明白出题者出题的初衷，就会发现考研真题的原型就是书上的例题。  再一个就是计算能力，这个非常重要，重要到你发现题目可能会做但发现几次做下来的答案都不一样。到考前的所有上午都是用来做数学的，要说捷径，我觉得没有。  政治和英语，我直接舍弃（最后政治60压线，不建议学我，政治还是很能拉分的，我只是情况特殊），最后只看了肖秀荣四套卷和英语作文（英语也是吃的一战的老本）。     最后，拟录取名单出来的时候看到自己的名字，两年的考研经历仿佛都云淡风轻了。阳春布德泽，万物生光辉！  此片文章献给正在考研的你，希望你不再迷茫，放下困惑，我在南大等你！     关注微信公众号： 金融四三幺 ，获取更多金融专硕考试内容。 
如何评价苏州大学入选14所全国博士研究生教育综合改革试点？, 蟹妖、宏观来看也许我校博士生们会有更多的联合培养 / 出国交流的机会。但是具体到微观下的每个博士生，只会导致毕业要求更高吧？     苏州大学入围这个政策跟博士招生多没关系。其实恰恰相反。苏州大学是博士招生最少的。通常985高校每年能获得1000人左右的博士招生指标。少的也能获得七八百。     苏大不是985，招生名额极为紧张，一年只有350个名额。去掉硕博连读和直博之后几乎剩不下名额。比如因为名额紧张，我校材料学博士点去年对外校一个学生都没招。     如果你觉得211招生规模小，那双非招生规模更小。比如青岛大学去年全校就招了59个博士 
外校的本科生想考苏州大学有没有绩点要求？,似乎没有这个要求。。。  一来你可以选择重修这门课 二来真正的学霸怎么绩点达不到3.5呢？ 四分制还是五分制？ 祝好
如何评价苏州大学这所大学？,985已经关门了。江苏只有两所985：南大和东南。 我是苏大的，客观地说我觉得苏大也没有资格入985。但好歹是个211和2011计划，也不算太野鸡。 全国入流的专业主要是放射医学，血液学等。稍有名气或者方便就业的有商学院的一波专业（比如会计、金融等），法学，纳米（有钱），数学（省内不错），园林，纺织等等。工科相当一般，不推荐。 评价苏州大学这所学校，地理位置强，虽然不在省会，但苏州经济牛逼，而且你换个角度说正因为不在南京才导致了苏大在苏州一家独大地头蛇的优势。 近年发展势头很猛，收了好几个知名教授，武书连的排行榜上排名也是水涨船高，但说实话我觉得还是50名的苏大比较靠谱。 因为是江苏省属重点大学，江苏生源多，但江苏基础教育不错，小伙伴们的学习能力和素质总体还都是可以的，虽然有一些奇葩，但有人的地方就有奇葩。 学习生活都比较舒适，最差的是宿舍，我已经不想吐槽了。但平时在学校上学，在苏州城逛逛。都是很轻松闲逸的。 最后，请忽视我这段话的逻辑性。 再最后，我爱王健法学院！
考苏州大学王健法学院的研究生怎么样？,谢邀。 择校选择本来就是一个仁者见仁智者见智的一个过程，有些人会理性的综合自己的专业、兴趣、自己知识水平的掌握程度、复习情况来选择自己的目标院校，也有些人会较感性的可能仅仅因为一个情结，或者喜欢目标院校的环境、氛围，甚至可能仅仅是校名，没有对错之分，适合自己的才是最好的选择。 只是我不清楚题主是偏理性还是偏感性的一个人，当然，我更想提醒题主的是考研的动机，因为有时候我认为知道为什么去做比怎么去做更重要。
为了女朋友考上了苏州大学汉语国际教育硕士，可是现在不太想去读，怎么办？,哈哈哈，本人也是，不过最后还是去读了，同是汉语国际教育硕士，敢问这位仁兄是？
本人今年考苏州大学的应用心理硕士，有没有什么好的复习建议？,如果同学是今年年底来备考苏大的专硕、郝老师针对同学的情况建议; 1、好好准备专业课、现在这个阶段是背诵强化和做题的阶段 2、复试情况、建议考完试再做准备 3、本专业考研优势与否，因为同学是本专业的，肯定了解到，有考上的也有考不上的，这之间的差距是在于同学自己如何对待和准备的。
苏州大学取消奖学金合理吗？,水深不敢妄言，心中有数即可～
有没有苏州大学的博士后，谈一下具体待遇和感受呢？,想挣钱的话不用来我校，随便找个500强就行。想搞学术也不用来我校，因为你骨子里已经刻好了钱这个字。
苏州大学文正学院的苏婉婷毕业了吗？,学弟，我们不约
本人苏州大学大三，暂时简历如下，适合什么类型的工作，可以举个具体的例子吗?,还没有回答的先肆意的哈啦两句。  首先从HR的角度来说 希望看到的是有所针对的简历 也就是能从简历上看到应聘者明确的目的 或者具备这个岗位所需要能力或经验的简历 所以最好不要奢望一份高大全的简历来应对所有岗位 而是能留有余地 强调自身符合应聘岗位所需技能或经验   然后结合你的自述和简历评估一下 优缺点  优点 1 结构完整紧凑       照片 联系方式 个人经历和素质优势都能在一页内呈现 重要信息也都在显著位置体现 并非简单流水账式陈述 2 尝试自我优势素质分析      团队管理 团队协作 甚至PPT技能都做了罗列和分析 （其实也体现出这篇简历的缺点）  缺点 1 请使用标准证件照照片 照片是简历重要内容 但请使用证件照 如果希望体现自我气质和生活状态可以在附件中添加生活近照 但简历标准照 还是证件照为佳 2 个人荣誉部分罗列了很多 代表你在学校期间收到的嘉奖 但简历筛选者面对的简历来源很广 也不可能完全清楚每个学校每个奖项的重要性 国奖？校奖？院奖？或者在简历中有标注 或者强调几个有分量的荣誉 3 优势分析没针对性      总体来说HR也是带着岗位要求的来看简历 寻找关键字的 譬如 技术性岗位所需要的技能和工具 简历上是否有呈现 管理性岗位 过往经验和相关行业是否匹配 等等 你的确是尝试着列明不少你自认为的优势素质 但....是不是你所应聘岗位所必须的？这是一块很有价值的自留地 只有你根据状况 有针对的处理 才会发挥更大价值 
