请问怎么看待南开大学津南校区浴室的设计理念？,拐    弯    那两个喷头的位置已然告诉我们一切~~~~
在南开大学的中文系读本科或研究生是一种什么体验?,硕士在读中。 课程极水，期末论文写2000字就能得90分。 可以说纯靠自学，如果导师太忙或不负责任的话，基本上混个学历就告别学术了。
当初你为什么选择南开大学青年国际交流协会（YICA）？,因为改变。 最开始进入社团的时候，被学长学姐对这个集体的热情和爱打动，可是越是优秀的集体，我越发现自己无论如何都无法融入，总觉得新来的自己很难和彼此已经很熟络的大家相处。况且巧的是自己的事情也总是和开会 活动的时间冲突。 硬着头皮接了几个宣讲会，蹭了几个活动后觉得就这样了吧，不适合我，退出吧。 直到暴走三周年的宣传片自己被赶鸭子上架，讲真一个人做一个视频太累了，自己那段时间的常态是翘课在自习室从中午一直坐到被门卫大爷赶出去。可是项目组大家对我的理解和支持实在是让我再累也没脾气可发。 （哈哈哈好像亲情营销） 后来就和昕哲一起做东艺毕晚的PCEO，好好体会了一把在Yica很流行的词叫“自虐式快乐”。 宣传部永远是纳新大屠杀首当其冲的受害者。从假期八月中下旬就开始着手准备，海报改了又改，毙了又毙。坐了半个多月终于在我和香林快被榨干的时候定稿。接着马不停蹄地开始做宣传手册。在这个自己成为学姐的季节，也终于明白了当初学长学姐对这个社团为何爱的深沉。当你把自己奉献出去，这个集体就会把你吸纳进来。还有谢谢一路走来认识的那么多好朋友，感谢遇见，感谢了解与陪伴。
想问下南开大学电子与通信工程专硕怎么样？毕业后留天津找工作帮助大不大？,天津的高新区那边外企制造业工厂相对较多，同时考虑南开大学在天津也有非常优秀的口碑和认可度，该专业前景不错。
南开大学有哪些禁欲系男神？,15工管魏荣峰是禁欲系的 15工管魏文轩是纵欲系的 作为他们的室友我还是匿了吧
南开大学为什么对学生并不重视？,利益相关：我开本科生。 经常听到“我开缺钱”的论调，我开为啥缺钱？ 稍微提一下一般学生都不知道的、尘封已久的新闻—— 南开大学4亿元资金被违规使用 疑犯潜逃(图)    最触目惊心的是下面一段话：   今年（2007年）1月12日，南开大学一位高层表示：“在杨外逃以前，南开曾请了北京一个事务所审计， 审计所的人说没见过这么混乱的账目 。因为没法对账，能落实的有1亿多，但审计理出的大概3亿～4亿元左右。”  有知情人士称，由于账目混乱问题，几年前曾有人提议调离杨育麟，但此事最后不了了之。  “ 杨育麟拿学校的钱做贷款担保，南开当时有10亿元授信额度，说是用来做学校建设用。在得到大概2亿元之后，杨育麟就跑了。这些贷款对现在的南开来说，也是不小的负担 。”另外一位南开知情人士告诉本报记者。   这个案子对现在学校的账面有多大影响，反正我是不知道。  以上 
南开大学2013级财务管理专业的何大神是一个怎样的存在？,何大神在大一的时候就已经霸气满满了，记得当时在校区镇鬼庭讨论组织生活会，大神建议我们采用一种互动性的游戏模式来实现“阅读日”的主题，现场效果超棒！！！而且大神效率超高的准备了多道优质的思考题目，当时简直就是膜拜啊！还有还有，宿舍的小伙伴曾经有去问过高数题，据说何大神给予了详尽的解答，还帮他复习了相关的公式和概念！对于我等高数渣来说，看着大神都是自带圣光的。还有还有，双修数学（我应该没记错）、全是学霸的学术项目组…… 最重要的是，大神真的平易近人，人超级好！！！
刚大一，非法学，想考法学硕士，考重点大学和好学校怎么样，高考没发挥好，三本，南开大学滨海学院，怎么学？,谢邀。 大一新生准备跨专业考研现在准备为时过早。1.如果真的有这个想法想考非法学，可以先看看大学的法学的专业课程。评估一下自己适不适合，是不是能学的下去，还有学习的效果如何。不能只凭一腔热情就盲目报考。 2.三个学校的考试难易程度跟你自己的学习程度和当年报考学校的报录比，知名度有关系。这个建议问问度娘近三年的对应学校的招生简章和报录比，分数线。然后根据自己的实际情况再决定。 3.考研不需要英语四六级证书，用毕业证就可以报考，考什么试用什么书，考研的时候非法学考英语一，可以到大三再买英语一的词汇书和材料。 4.复试能不能过也参照自己的准备程度，复试之前找到招生简章看看报考学校的复试用书，同时找到上一届的学长学姐搜集资料还有经验。这个也很重要。 5.报辅导班全看你自己的实际情况，现在很多辅导班都比较功利，各个辅导班的教学质量参次不齐，实体班一定要看是那些老师，也可以去听试听课。几万元的实体班看看投入和产出是不是成正比，主要还是靠自制力。比较建议看网课，哪里不会可以随时暂停重新听。时间都靠自己掌握。 6.最后有一些小tip给你，算是小经验。可以用forest这一类的时间监管软件，学习的时候可以远离手机。再就是可以去微博找一些你们非法学的考研达人，加入他们，她们每天都会在微博上po出当天完成考研计划的内容，特别正能量，或许会很有帮助。比起她们我真的差太多了。 希望小学弟能够如愿。看你这么积极努力，突然觉得自己没有后退的理由。向你学习。
南开大学347应用心理怎么样？好考吗？,不太好考的哈，招生人数比较少，分数线很高，而且只招生有在职经验的学生，我有整理过南开大学的考研成功的学长学姐的经验，你想要的话可以加我1720328421，我单独发给你哈
复旦大学，交通大学，中山大学，同济大学，南开大学，这些不以地名命名的学校，为什么社会声望比学校排名高？,南开其实也是地名呢，最早得名是因为是天津南部的一片洼地，叫做“南开洼”， 类似的天津本地一个地标叫做“西开教堂”。 现在天津有南开区，这是后话，因为仔细考据是有“南开学校”后有“南开区”，是因校得行政区名。  其实以上的学校都是好学校，同时，和这些学校排名毗邻的“以地名命名”的学校也都是好学校。 排名啥的，真的不要认真。
南开大学，因为梦想和专业，大二回去复读？, 作为一个在南开大学呆了23年的老学长，我给你的建议如下：  1.一切愿意为自己梦想努力付出的勇气，都应该紧密结合自己的现实，你已经大二了，想读经济被调剂到生物，然后心里想着去数学方向试试。我觉得最大的问题是你无法与身边的环境融合，你心里的自我想法太强，对环境有排斥或者不认同感，那么问题来了，你如何保证你现在想象的方向就是你想要的呢？生物失望了，数学再失望呢？所以先平稳自己的心态，至少你要花一个学期的时间去认真了解考察数学统计方向是什么，然后再考虑是不是去转方向。中国的孩子啊，先立志而后去看现实，其实不如认真看现实尔后立志，这样才能有更稳健的成长。  2.条条道路通罗马，任何学科所需要的问题分析能力、逻辑思辨能力、计算能力、设计能力都有很大的共性，本科阶段重的不只是学科基础，还有这种学习方法和学习观念的基础，更关键的在于，兴趣只是一个好的向导，却并不是保证你成功的核心，安心去了解一个学科，努力掌握基础的学习方法和严谨的思辨能力，通过各种动手实验培养自己尊重现实敬畏客观的习惯，这对你学任何学科都有好处，南开大学的生物学科不差，在培养你这方面的能力来说，其实比更理论化的数学方向更全面。动脑加动手，都练好了，再去强化某一方向，我觉得这会更好。   给你讲个真实的故事，我的博士导师的小女儿，国内中学，美国斯坦福大学本科，专业方向是生物，念完本科后发现生物学科找工作不太理想，然后自己申请了斯坦福的统计学方向硕士，发现生物学的本科功底很好申请啊，硕士毕业后去了华尔街，这种生物本科+数学硕士的身份，让她工作特别顺利，因为很多高新科技概念有生物学科的背景，她了解所以能上手，数学统计的思维又让她注重分析和预测，所以比那些纯经济学、金融学出身的人更容易做出准确的判断。   故事讲完了，答案也写完了，反正我的意见是：有勇气复读重考的话，更应该有勇气学好自己的第一专业生物，何必舍易求难？喜欢数学也好经济学也好，没人拦住你自学或者旁听，充分了解后再做决定，不要喜欢一个专业的名分而不是去掌握它的内容，那样不就是叶公好龙吗？永远充分了解现状的客观环境，以此为基础前进，靠改变环境来让自己开心，不如励精图治的积累，尔后意气风发的进入自己喜欢的领域。   好好加油吧！ 
南开大学和天津大学在天津的声誉谁好？,天津大学距离世界名校有多远，南开的学生回答:“一墙之隔”。
如何评价南开的两位校友给南开大学捐助一亿？,怎么看？校友挣了钱回来报答母校，好事一件，怎么花是人家的事，二位校友对这笔资金有充分的处分权利。 我等学院没蹭上这一亿元，也没什么可哀叹的，争取以后也回来捐钱呗，挺好。
北京师范大学和南开大学的传播学怎么样？, 南开大学传播学本科生答一波。说实话，南开传播学专业本身一般，但学校名气在，实际上考研难度不低。没有单独的新传学院，专业归在文学院下，资源也多集中在中文系，传播学其实比较弱势。院里是有很多不错的老师的，但教授偏少，可以带硕士生的副教授们研究方向也较很多独立的新传学院研究领域少（具体可以上南开大学文学院官网看下）。听读研的学姐说有的不太负责任的老师，本科生和研究生讲义都不换，不过这是极少数了。而且不知道为啥新闻学传播学学硕学制也是两年……而且天津这边相关实习、就业机会真的偏少。不好的一面说的比较多，但毕竟学校名气在，南开学风也很好。天津城市安逸氛围、发展潜力也很大，就看你自己的选择啦 
天津哪家大学的食堂最好吃？南开还是天大,天津的食堂大部分都吃过。不过这都是两年前的事儿了。如果做饭的人换了，味道自然也不是那个味道了。 南开和天大算是食堂里不错的了。 先说南开，南开八里台的 二食堂 应该是南大最好的食堂了。   一层打饭，两个菜二两饭也就六七块的样子。味道个人感觉应该是全天津一层食堂最好的了。 二层，盖饭面条麻辣香锅重庆小面，基本上市面上的小吃类都有，中规中矩。 三层，适合聚餐，味道一般，不过价钱合适。学校里经常有老师在那儿办婚宴。  一食堂，三食堂 差不多。 一层都是相当的难吃，如果你只吃这两个食堂的一层，你可能再也不想来南开了。 二层同二食，中规中矩，推荐三食二层的过桥米线。三食对面是个小排球厂，有许多盘靓条顺的姑娘一年四季在那儿打球，可以去看看。    清真食堂，羊杂 汤不错。   职工食堂的大包子，推荐。 再说 天大 。 我喜欢吃面，所以常去 学二 。学二食堂的二层面食挺全的，价格也厚道。推荐肉夹馍。  学五 的三层食堂也不错，环境应该是全天大食堂中最好的了。咖喱猪排饭不错。  学三 ，便宜但量极少，菜一般。不过早餐不错，三鲜包子可以。 而且有一阵子天大饭菜里经常有苍蝇啥的，不知道现在咋样？ 南大好像也有吃出苍蝇的，还上了bbs的十大。 年代久远，好多都记不太清了，就这些吧。
南开大学为什么没落的这么快？,当没有大学排名的时候你也不会觉得她变差了，所以南开不给武书连课题组捐点科研经费这个事情还真不好评价，别想太多吧，我觉得。
为什么南开大学的国际交流工作如此之差？,人数少不代表不好，武大一年招人过万，窝开也就是武大的领头，难道武大出国比窝开多就一定证明窝开的交流比武大差么，简直native
如何看待南开大学学生组织和社团纳新在知乎上“自问自答”？,你看看南京大学下面的问题，全是匿名提问 匿名点赞 匿名回答，专黑东南大学。  南京大学都已经穷兵黩武了，难道南开大学也要效仿？
北京考生 南开大学和北师大如何选择?,不请自来。 当初北师差不多可以随意选专业然而最后二志愿报了南开的人。南开的经济学全国前三无压力，数院水平也很强，如果真的有意向学经济可以考虑大一下转专业，学好英语数学就好。信安也很有名，搬津南新校区了。 经管法的话…经院内部不太看好，觉得不够专精，但是保研好+平均水平高+双学位，也很不错。 建议先报南开，毕竟院系好转学校难改w 以上。
南开大学附近有什么好的照证件照的地方？,青柠先生完美证件照，卫津路天大对面云琅大厦里的，化妆品都是牌子的，老板很用心，里面全是妹子，服务超级好!强烈推荐!
南开大学同等学力申硕报考条件有哪些？,南开大学同等学力申硕报考条件是比较简单的，专科及以上学历都可以报考残疾爱研究生课程的学习，完成学校专业课的考试之后，成绩合格，修满学分，可以拿到南开颁发的研修课程结业证书。 　　但是想要申硕硕士研究生学位的话，就需要考生是本科毕业，而且拿到学士学位满三年。考生入学之后，就可以报名国家统一的同力申硕考试，南开大学在每年考试之前，都会组织专门的考前辅导，所以申硕通过率是很高的。 　　详细的关于南开在职研的招生情况可以查看 南开大学在职研究生招生信息网   ，介绍的是很详细的。
综合考虑，中国政法大学和南开大学哪个更好？,想学政法类专业，去法大。 想学别的，来南开。 综合来讲还是南开好啦。
如何看待南开大学不允许未挂科学生重修课程的规定？,谢邀，但是可能带来的并不是您想要的答案。 我的回答：好。不会有影响。国内的大学我不清楚，别把国外的研究生院招生办当傻子。那些允许学生这么干的学校，才是真正地，对学生不负责任。 利益相关：南开大学毕业，俄亥俄州立大学研究生即将就读，平均分83.6，GPA用尽各种算法拼了命地提——3.6。  虽然我是这个制度的受害者，名副其实的受害者，但是—— 这件事情我是一直力挺学校的，甚至说，这是为数不多，我为这个学校骄傲的地方，接下来开始扯淡。  关于重修，我所了解到的大学好像有三种方案，一种是挂科可重修刷分，一种是不挂科可重修刷分，一种就是我开，任何情况不可以重修刷分，就算重修，成绩固定60分。 挂科重修，是针对学生没有完成毕业要求和学习任务所产生的方案，它是强制的；不挂科重修刷分就是题主提到的针对一些绩点对未来的影响很大，想要自己再多加努力提高成绩的。看起来这只是跟个人追求和个人努力有关，但我认为这件事情里面会对于学生的学习态度和评价体系本身产生非良性的影响。  第一，对学生学习态度的不良影响。 我记得自己入学第一天起，就得知了挂科所能带来的所有“糟糕后果”（包括我挂科就打折腿的爹），这个了解的结果是，我大学四年无论学习状态多差，都告诉自己，绝对不能挂科。 我知道南开不能重修刷成绩（当然在别人告诉我别的学校可以这么干之前我都不相信还能这么干），我就尽自己所能，在那些我还可以挣扎一下的课程上努力一下，尽量争取一个不错的成绩。 但就我个人而言，如果挂科没有这么严重的后果，如果成绩不满意就可以重修，我肯定不会由现在的成绩，因为我是个惰性的人，我还是个文科生，我不傻，我知道老师出题有套路，背的东西就那些，今年试一次考过的考点就不会考，明年就好蒙了嘛。 以我自己的专业来说，大一大二安排满了课程，大三大四闲的不行，出国的同学肯定来刷，不出国的同学也会刷分，毕竟谁不想让自己的成绩单好看一些。课上不上都无所谓，反正作为历史专业就那些东西，再多背一年，成绩怎么都来了。 其实我认识很多GT一直刷分的学生，很多都是有钱又有时间上的余地，一次不行下次再考的考，结果很多都比不过那些破釜沉舟、背水一战的。  第二，对于教学资源的不良影响。 选课选老师，我们都会知道本院哪个老师给分较低，如果这个老师还是必修课的老师，那发布成绩的时候肯定是一片哀鸿遍野。但是没关系，我们可以刷分啊，有同学打六十分不满意，还有同学打八十分想要九十，这些同学就纷纷跑去报了第二年的重修，我们就看到原本额定50个人的课程多出了1.5倍的人。 学院分配教学资源，尤其是必修课的教学资源，往往就是按照必选这门课的年纪的学生数目进行安排，这样子极有可能会打乱原本的资源分配，增加老师的教学压力。我们要知道大一学生选大二学生的课都会产生名额不够的情况，如果开放此类重修，教务处的老师们要如何合理地估算出教学资源的分配。 而在为了防止老师乱打分，期末成绩需有“梯形分布”的南开，这些重修的学生的成绩能否与第一次修本门课的学生的成绩分开，分不开的话，就看到一群老油瓶的试卷和一群小家伙的放在一起，那这样的梯形分布就会影响到第一次修课的学生的成绩，造成评分不准确……小家伙们再去重修……周而复始……  第三，对于评价体系的不良影响。 我记得自己在申请的时候，除了GPA还要填年级或班级中的名次，有的学校躲过了我还觉得清醒，结果我们院和我同专业也就是同班的一个学霸和我申的一个专业，而我们两个申请的也都是前二十的一等校。结果可想而知，学校会看到一个GPA3.9和我同班的人…… 但如果可以刷分的话，排名和成绩这种东西的意义就不大了，成绩单反映了分数，却反映不出这个成绩是学生第几次努力的结果。拿第二次的成绩和人家第一次的比，拿多次尝试的结果来试图代表自己的水平。学校要成绩单，无非就是想看一个学生的专业课基础与学习态度，当然你要是硬说有决心重修是学习态度好——我认识的学习态度好的，无论出国与否，第一次就是高分，他们不会拿什么挂科来敷衍自己，对，我就是学习不好的那类。重修刷出来的成绩单，看不出学习态度，更无法代表这个学生的水准，对于学校来说其实是欺骗，除非成绩单标上，哪几门课的成绩是第二次重修的结果，但如果这么标，刷出来的成绩也就没什么意义了。  最后我想说一些题外话。 就如同  @张衍中 同学所说的，“世上没有后悔药”，是不是最近某类题材的动画火了，大家就开始痴心妄想"读档"这种事情。类似的事请还有，高考不满意复个读之类的。 重修刷分想要提高自己的竞争力，说得不好听点不就是自己想要出国，发现成绩不够啦，竞争力太低啦，后悔啦，想要有个重来的机会嘛。 但是生活并不是游戏，我们不能按一个LOAD死了重来，死了重来肯定会越发的熟练，因为你熟悉了敌人的套路，熟悉了地图，熟悉了技能，熟悉了方法。死了我可以读档重来啊，下一次一定能够打死BOSS。 但是，和姑娘约会失败后可以和姑娘说对不起再给我一次机会，下一次我一定会让你开心吗？ 但是，工作之后接到的任务失败了可以和老板说对不起再给我一个相同的任务，下一次我一定会做好吗？ 今天学校给了你这个重修刷分的方式，让你可以进入更好的学校，但这个结果就是，你发现自己配不上这个更好的学校，因为你周围都是堂堂正正，第一次努力就争取做到最好的同学，而到了社会上，更不会有人给你这样的机会，还你一个“更好的自己”。  如果把我60分的体育，62分的中国古代后期史，68分的历史文献学基础，68分的中国现当代史，71分的高数刷到80以上，我的成绩单就不再有瘸腿，申请的结果也会好上一大截。 可是何必呢？ 欺骗的无非是自己。 一个不想为自己过去的行为负责的自己。
南开大学的社会声誉为什么高于厦大，武大，北航，天大之类的学校？,Shiing-Shen Chern
南开大学应用心理学710参考书目，求助各位师哥师姐！？,  哈哈哈，不用谢~感觉这个新的书单棒棒的~补充的书单也要买哦！！  书是最基础的哈~加油 
南开大学现在没落了吗?,今天早上的事儿。早上吃饭的时候，同学们都在排队打饭，一个拿着饭卡的不知道是老师还是行政人员的天津中年妇女，贼头贼脑的钻到了队伍最前面，问打饭的师傅“包子什么馅儿的”就当我们以为她只是问问而已，她以迅雷不及掩耳之势说，“给我来俩萝卜馅儿的。”以一副奸诈的嘴脸成功插队，我甚至都没来得及指责她插队。如果她是老师，我只能说圣贤书读狗肚子里了，如果他是行政人员，我也终于能体会我校的行政人员多次被诟病的原因了……
如何看待南开大学设立徐荣祥永久教育基金并给教学楼冠名荣祥楼？,某种程度上应当感谢方舟子把这破事捅出来了，虽然他还是没改一贯爱喷的臭毛病。
南开大学真的没落了吗？,额。。。。。衡量一座大学的好坏绝对不会以男神女神多不多或者曝光度为标准吧，我要是能考上南开我做梦都笑醒啊！ 不过骄傲的说我的学校也不差⊙▽⊙ 南开在高考的孩子们的眼里，是很棒的啊！ (曝光度啥的是针对与大众，大众里相对能了解学校的都是些学生啊，学生选学校可不会仅凭男神女神曝光度，还是以学校的文化呀资历啊实力啊为主 除了极个别学霸和学渣，大家填志愿都在考虑学校本身而不是学校男女生曝光度知名度啊) 并且，我个人特别喜欢有悠久历史的学校。   另，我选修了艾跃进老师的军事理论和口才礼仪网课，觉得艾跃进老师超棒的诶！ 在此缅怀。
南开大学想跨考华师大学科英语研究生，跨专业会有歧视么？,何必低就？
高二学生目前重本线附近徘徊 离高考还有三百多天 考上南开大学难吗？,好想问题主现在是高三了么？ 哦，对了，哪个省？ 贴一张当年的成绩，这是自主招生的时候学校给出示的成绩单，没有美化，竞赛生不给美化成绩。    我们当年理科生四百多点。最后高考全省500左右。在南开。 我只想告诉你，只要你愿意，就可以。
天津师范大学和南开大学哪一个好？,呃，南开和天津师大根本就不一个层次的啊。想当老师当然应该考北师大，华东师大这些教育部直属的师范院校啊。其他学校重点高中都是不要的。
在南开大学读应用心理硕士是一种怎样的体验？,我并不是南开大学的学生呢，18级考研想考南开大学应用心理学，可是没听说南开大学只要非应届毕业生啊，作为18年的应届毕业生表示很方。追问一下楼主你考上了吗？
南开大学心理学347参考书目，历年真题，求助？, 【10055】南开大学  周恩来政府管理学院  【347心理学专业综合】  南开指定   [1] 《普通心理学》，叶奕乾等编著，华东师范大学出版社，2010年（第四版）   [2] 《社会心理学》，全国13所高等院校合编，南开大学出版社，2008年（第四版）   [3] 《发展心理学》，林崇德主编，人民教育出版社，2009年（第二版）   [4] 《心理测量学》，戴海琦主编，高等教育出版社，2010年   [5] 《咨询心理学》，乐国安主编 南开大学出版社，2002年  [6] 《管理心理学》，车丽萍、秦启文，武汉大学出版社  [7] 《现代管理心理学》，程正方，北京师范大学出版社（第四版）【勤思推荐】  官网有大纲   【考试题型】  名词解释（12小题，每题5分，共60分）；  简答题（8道，每题15分，共120分）；  论述题（3道，每题40分，共120分）。  【分值分布】  普通心理学约80分；社会心理学约60分；发展心理学约40分；咨询心理学约40分；管理心理学约40分；心理测量学约40分。  真题，我只有一年的，仅仅供参考 
如何评价南开大学的政治氛围？,包容，多元，低调与张扬并蓄。  有艾跃进这种极左的货，也有极右的老师制衡之。  更有很多中间理性派。  学生思想则是多样化的。
南开大学国际政治一名大三学生，准备跨专业考研，该如何决定？,为什么不考北外上外呢。。。没有冒犯广外的意思，我也知道广外是一所很优秀的学校，翻译学的实力全国也是top几的存在。。但是真的头一回见985考研到非211一本的。。所以如果题主喜欢广外的话我并不介意，但是还是推荐北外啊啊啊。。
去天津读南开还是去北京读对外经贸大学呢？,利益相关，对外经济贸易大学学生。  当年报志愿的时候也在纠结究竟是贸大or南开，说实话，贸大的学习氛围让我挺失望的，毕竟是财经类院校，比较偏向实用主义，几十年间也没有什么知名校友。  但是贸大地处北京啊，但是贸大就业率高啊，但是贸大出去工资高啊，嘿嘿嘿  我觉得主要看题主你的发展方向啦，以后如果想留在北京的话，贸大是个不错的选择，如果想去司法机关等公职部门，肯定是南开的牌子比较硬。
我考上了南开大学，本来挺开心，但听说南开大学年年在下滑好纠结，怎么办？就好像买的股票是一直在跌的那种?,南开大学也是当今综合性大学里面的超一流了，而且这些学校几乎不可能有什么下滑，就算有些许不如从前那几乎对你也不会造成什么影响。 而且南开是综合性大学所以校友资源非常好，南开是天津最好的大学。天津本身也是大都市，而且靠近北京，所以发展的机会非常多。在南开去国外深造的机会也是非常多，到大学只要你能抓住机会那你在南开的求学之路绝不亚于同等学校。 所以你就安心的去南开吧，天津地区、南开大学乃求学圣地。
南开大学现在宿舍有空调了吗？,八里台的夏天是能热死人的，热到睡不着是非常正常的事，出汗出到床单都是潮的。去浴园洗澡基本是一边洗一边出汗。  然而学校根本意识不到这点，甚至要求学生组织的人提前半个月回去，无偿帮忙处理迎新事宜  一般这种答案最后应该写「我是爱南开的」，不过这一次我写的很不情愿
三本会计专业想考南开大学mpacc，希望大家给点建议？,蟹妖。 个人感觉希望很大，不过风险也很高。这个风险是系统性风险，不能分散。来自于同类竞争、只能选一个学校的独木桥，还有各种不确定因素。去年mpacc分数飙的太高了，能考上的人需要初试分很高。 建议把mpacc初试中的数学和英语考的越高越好。这两科风险可控。逻辑也分大年小年，建议把有套路的逻辑部分好好准备，有些争议的题目不要过度解读，不要把时间浪费在这里。写作的话，现在要开始适当练字和规范自己的书面。
南开大学金融专业毕业 在天津本地就业前景怎样？,泻 @gygigi khgjkbj 药。  呐，认真点的话，我估计会有人推荐参考官方的学生去向统计的。然而呢，据我所知不少像我一样毕业后暂时家里蹲的人，在官方统计中也是就业了的，毕竟有档案挂在人才市场嘛。楼下不必为电话销售感到惊诧，我这一届就有。不如这个的也有，不过再多说我就暴露了哈哈。  本班就业的人中，当时在同学中去向受人侧目的两位，去了北京与天津的四大，其他比较好的去向，则主要是各个银行（北京天津以外，一大批人去了广东）。现在在班级群里吼一嗓子说要办信用卡的话，瞬间能冒出10个以上的银行信息来。然而不造为什么，本地的银行几乎是天财的天下，抱团超厉害，南开的进银行居然不如天财容易，WTF！  不提保研的话，本班那一年考研似乎惨淡了点。我对此不了解，也是听关注考研的同学讲，那一年本班考研状况不佳。  出国留学的同学去向比较分散，美国英国澳大利亚哪里都有，最好的两个分别去了杜克和帝国理工。  ＝＝＝段子时间到了＝＝＝  咳，想当年老身入学的时候啊，金融前景一片光明呐，2011年实习的时候，光大银行一个普通的支行，二本应届生第一年进去柜员年薪13万客户经理17万。老身赶脚自己真是命吼啊！  然后2012年下半年就不大对头了＝＝老身在无数次双选会间学会了化妆／遇到过骗子（是的！进了南开大学双选会的骗子！）／遇到过中信银行不听自我介绍不想知道你叫什么专门问你爸妈是干什么的／遇到过XX证券一脸傲然的表示拉来600W给你转正／遇到过面试三流小公司时在我前面的本院硕士学姐信誓旦旦表示"一千块钱我也干"（单位说给两千呵呵）／遇到过双选会来南开招保安的／遇到过面试方狐疑地问我南开怎么不包分配／遇到过保险公司的人想骗我卖保险，这人一脸懵逼的问我"什么是管培生"。总而言之言而总之，半年过去了老身并木有offer。下半学期在某证券实习一月，发现入职后月薪5k，每月为完成任务要认购产品X万，我就跑了＝＝  哦对了，珠海某银行在我们班招人，两轮过去，参加面试的同学愤然告诉我最后是按颜值挑人的orz。  我毕业那年总体上来说大家找工作都不太容易，这里或许有整体经济形势不好的缘故。呐，反正最后老身心一横选择了读研，试着避开这个超长衰退期。在读研的时候我殷殷嘱托就业了的同学们务必好好干活，升职加薪，等我回来争取把我招进去以后过上一起在办公室打网游的日子。  现在我回来了，我惊恐地发现我的初中同学高中同学大学同学并没有按我预想的工资翻了几番，这显然不能解释为我认识的人统统能力不足，结合近期的经济基本面，我对同学们以及自己的未来深深担忧。
南开大学的法律和中国政法比起来怎么样？,单就法学而言法大很不错的 建议去法大读法律吧  南开综合院校资源会丰富一些  而法大就是激烈的竞争啦各种竞争压力很大
想问一下南开大学应用统计专业硕士怎么样呀？好考么？毕业以后可以从事什么工作呀？待遇如何？,保研的比较多 就业情况看往年的还不错 具体毕业情况，等我毕业了才能答
