上海外国语大学自主招生流程？,初审 通过之后在6月笔试及面试
南京大学和上海外国语大学抉择难题 研究生？, 你大学所在的城市很重要，但不是决定性因素。  说实话，我没有后悔来过南大，但再给我一次机会，我可能（仅仅是可能）会选择去上海，因为对于我所在的学科来说，秋招季找工作时南京地理位置的劣势体现出来了。。。以前年少轻狂不懂事，觉得985一定比211好，不肯委屈自己的分数去读外国语类大学(///▽///)  如果：你想走学术路线，以后当教师，然后再申请国外的学校读博，那建议你来南大，这方面南大在综合学科上提供给你的平台视野和知名度远高于上外，在这里你还可以亲身体会到三三制改革带来的跨学科的交流优势。啊，对了，南大男女比差不多1:1，来这里找对象也是很方便的^ - ^  如果：你对学术并没有太大的兴趣，那上海更好一些。上外的资源依托上海这座城市，企业数量比南京多，尤其是对于学外国语、国际贸易等学科的学生来说，专业对口的工作机会相对更多。  不过学校的位置不是决定性因素，自己的实力才是比较重要的。学校、学科、城市只是客观条件而已。如果你最后选择来南大，那么，welcome to NJU(^_^)  利益相关：南京大学外国语学院学沫 
英专考研，目标专业为英语语言文学或是比较文学与世界文学，请问应该选中山大学还是上海外国语大学？,升学的话985的牌子一般比211响，【而且985也比较容易】万一要申请国外的学校的话，就能深切感到985和211的差距了
在上海外国语大学就读是怎样的体验？,本科在上外金贸学院，2014年毕业。大三的时候写过这么一段：  “上外是这样一个地方。你会喜欢她的精致优雅与风情万种，也会喜欢她的奔放自由与潇洒不羁。她小资摩登又虚荣却从不慵懒，她目标明确马不停蹄且从不懈怠。你会惊讶于她的快节奏生活和高强度的竞争环境，但她早已习惯的固定思维是牛B的人太多，要么就与他们一样牛B并被人铭记，要么默默无闻滚去社会成为被无数次忽略的路人甲——当然，有时这样的事情只与时运有关，与资质无关。 我来到这里学会的第一件事就是“这位同学，麻烦你变优秀。” 上外的姑娘们是这样的。中英presentation没有问题，各种光鲜亮丽的衣着混搭，8成以上参加过学生组织，半数以上的脸可以起码打5分，4成大三就出去实习，3成以上拿过奖学金，1成有或有过男朋友。姑娘们的学业工作生活都欣欣向荣蒸蒸日上，但是，你懂的，有女人的地方就有没有硝烟的战争。没有姑娘心甘情愿做别的姑娘的陪衬品，所以在这里，姑娘们都很优秀，大家都在你追我赶的竞争中进化为全副武装的女超人，即使还没达到那境界，起码看起来有那气场。反倒是男生得了清闲，人数少且质量参差不齐，你好我好大家好，各自在原路渐行渐远，逐渐沧桑。 同时，金贸学院又是上外的一朵奇葩。录分最高，绩点最低，工作最好，睡眠最少，牛人最多，教室最小，课业最重，实习最早。 因为上外很急，因为金院很急。我们无力改变这个外部环境，就只能跟着它的频率走。所以我们也很急，非常急迫的要让自己的频率变得跟外部环境一样，因为这样可以让我们活得轻松一点。我想，等我的内心足够强大了，就可以不在乎周围的频率，只根据自己的频率生活就好。而现在的一切都会或多或少地制约我的今后，包括绩点，包括实习。所以呢，不喜欢做那件事也意味着要花时间把它做好，而喜欢做的事情并不意味着它就要变成生活的全部。很矛盾，但是同时也很现实。所以在我们还不够强大的时候，我们很贪婪，当我们的努力和成绩没有达成正比的时候，我们很愤怒。 但是依然想证明我们其实都是有血有肉有个性的孩子，没有被中国腐朽的教育制度摧残到哪种地步，没有愚昧到都上了大学还那么机械那么功利，也没有被洗脑要做乖巧温顺的学生为学院提高平均分。我们都有梦想，而且我们都很努力。即使我们都对成功很饥渴，我们也在努力的让自己变得更好，好到有一天可以不在乎社会评价我们到底好不好。”  已经毕业两年了，目前在美国读研，即将开始在旧金山工作。现在还时常感叹上外给我留下的印记。在高校林立的上海，复旦和交大往往被认为是殿堂级院校的代表，而上外则总以语言院校作为点缀。可我觉得上外是个性格鲜明的存在，她让我相信“美”和“优秀”应该是常态，“不美”和“不够优秀”才是意外。同时我坚信这里的牛人不比在综合排名上的顶级院校要少。上外的大部分同学都光鲜亮丽且聪明努力，甚至有些精致的利己。然而如何吸收这种氛围并且让它辅助你成长则全看个人造化。如果一定要说缺点，那么有可能我们是输在了格局上。我们没有“自由而无用的灵魂”，一切的努力都是为了“有用”，甚至是“有价值”。这样多多少少就会看起来有些面目狰狞，失了大格局大眼界所应有的豁达和淡泊。  毕业于上海外国语大学的金贸学院是一件让我无比骄傲的事情。上外让我成为我，希望你也能在这里找到自己。
上海外国语大学的国际政治如何？,松江校区的地理位置直接看地图就能看明白…反正地铁到徐家汇一共四十分钟。  至于国际政治，上外的政治学是一级博士点，开始创立的时候是复旦分过去的老师，底蕴在中国还是可以的。目前来看，在国内能排在5-7位。  其实国际政治的门槛比较高，没有一定的政治学和社会学基础很难完全明白。如果你想学这门知识的话，首选北大、外交学院、复旦、人大。这四个上不了，基本很难有完全强过上外的了。注意外交学院和人大的官气稍微重了点…不知道香港的朋友能不能适应，上外还是很自由开放的。  最最后，我们上外也不是谁想考就能考的上的。香港不清楚，反正国内收分是不低的。
英语成绩年级1％，没有全国性比赛的获奖证书，报名2017年上海外国语大学的自主招生初审可能通过吗？,   不请自来…去年我就是通过自主招生进入上海外国语大学的…    由于从来没有想过自主招生，也就没参加任何比赛，高三时候靠着英语年级排名有幸参加了自主招生考试。（所以说仅仅靠排名也是完全OK的！）    不过学校不同，排名的含金量也就不同。如果你的学校在福建有着比较好的排名和口碑，那么通过初审应该没有什么问题！
上海外国语大学怎么样？上海消费很高吗？,看到这个题目，做为上外马上毕业的老年人，真的很想说两句。虽然不知道题主现在还能不能看见。 上外这个地方，其实我大一大二的时候真心特别怨念，觉得简直是一坨翔，怎么会有人脑子进水来这里。大三以后，想法还是理性了很多。 若要问好不好，只能回答好或者不好的话，我还是会说好。上外其实是一个很特殊的地方，作为语言为特色的高校，和北外齐名，的确是不错的，然而语言类高校是不可能有985的，这个在找工作上会吃点亏。 我以前嫌弃上外最主要是嫌弃它水水的学术氛围。因为我是复合型专业，英语不过是修个双学位而已。复合型的确是好老师有限，大多数都是水水的，很多时候在课堂上我都有摔门而出的冲动，有时候也的确那么做了。无论是语言专业还是复合型专业，上外都是一个面向市场和就业的高校，很多时候培养的只是高级打工仔而已，学术氛围差是众所周知的，这是事实，不吹不黑。想做研究和做学术的还是不要来了。 然而我为什么还要说它好。 评价一个学校是多方面的，学术是一个方面，还有很多其他方面。即使是比较不招人待见的复合型专业，就业也是相当之好，比如我本科是信管，可能是吐槽最多的一个专业了，照样不影响周围的人很早就找到非常不错的工作。进外企不要太方便。就业可能是上外最优秀的一个方面了，即使是去了一个不那么好的专业，毕业照样是能找到好工作的。如果是想要直接去工作，那么上外没有差专业。学生综合素质极高是一大特点，和其他学校对比就会知道。还有一点，学校政治氛围非常宽松，还是比较开明的。 然而身在其中的话，氛围还是很重要的，非语言类学生常常痛苦不堪，后悔来了这样一个地方，直到大学毕业。 所以说实话，很多人是很不开心地过了四年，然后找了一个不错的工作，如此而已，看题主怎么选择了。 最近北邮一个计算机研究所并入了上外，将接收上外信管，貌似也是一个比较大的提升，果然是暗透了就能见到光明。然而我快要毕业了。 至于题主说的英语法语，都是上外安身立命的家伙啊，挺不错的，上外现在的校长就是法语出身哒。 当然法语分数极高也是真的，如果不能保送又不是上海本地人，那一定要接近省状元的分数，然而有那个分数，来一个211，大多数人又会觉得极端浪费。这也是众多牢骚的来源之一了。 祝好
上海外国语大学二加二？,不知道为什么要选择二加二这种 相当于一个合作项目而已 和本校生的师资资源还是有区别的 说白了就是两个学习都想赚点钱 促成个国外培训班
考北京外国语大学或是上海外国语大学小语种专业有什么要求？,没什么要求。分数够就行了。
我是江苏文科考生，381分，AA+，想在东南大学，上海外国语大学，厦门大学中选一个，哪个比较合适？,我木有人来！！！急！！！
怎么样可以进入上海外国语大学卓越学院？,推荐关注上外卓越学院公众号    大一第二学期可以申请，具体的我也不是很清楚. 公众号里有相关通知，希望可以帮到你
上海外国语大学虹口校区及其周围有什么好吃的？,谢邀，...不过我是松江校区的...去过几次虹口校区，附近有一些小面馆挺好吃的，还有就是虹口足球场对面的虹口龙之梦了……
对于二三本的学生来说，选择那些名校的学院怎么样？比如同济大学浙江学院，上海外国语大学贤达经济人文学院？,本人同济大学浙江学院在校学生。 在师资方面还是很值得一提的，基本上是同济大学过来的老师，两边授课，平时都大巴车接送。(在这里真的要向他们致敬，早起来嘉兴上课真的蛮辛苦的，我们英语老师说她五点多就要起来了) 对于是否能遇到更优秀的人，这个问题，我想说不管在什么大学，都有好有差，看你怎么交朋友了。
辽宁高三理科生，成绩在530左右，2016年想考上海外国语大学德语经济学双修，请告诉学习方法。?,不知道你现在考在哪里……上外 飘过
请问参加上海外国语大学保送考外语面试穿什么比较好？,谢邀。 我不考上外啊。。 上海的学校应该都比较注重形象 男生西装就OK  女生的话。。。。那就多了去了 不过题主是男孩纸嘛 所以就西装最好 我们学校领导说西装是最好的 但是一定要熨好 不然会皱巴巴的很难看 要端庄啊少年  加油 想到再补:-D
我是上海人 想考外国语大学 但是不知道自己应该考北外还是上外？,谢邀。 选择上外 理由有几点 一：首先你说以后要出国or回上海，我也是上海人，按照我以前同学经验，考了外地大学到了大四找实习的时候很尴尬，特别是要回上海的，工作上当你在大四时候，人在北京念书，各种工作面试却在上海，不方便，其次出国，上外出国机会也非常多，欧洲语系的各种项目也不少，我蛮多德语法语朋友就出国留学的。  二：你也说了想换个城市呆呆什么的，没必要用这种方式，你的朋友圈，交际圈全部在上海，去了异地从头开始，有好有坏，自己斟酌。 但是纯从出去走走来说，更推荐旅游，哪儿不能去，没必要离开家乡。 三：北京空气你懂的。 四：南北文化差异，生活习惯差异。 上海人讲究有距离的交朋友，北方略有不同。 五：我是上外的。
上海外国语大学贤达人文经济学院具体介绍一下可以吗 2017准大一新生 喜欢法语德语 哪个相对好？, 那个学院......说真的sisuer都不放在心上的.......一个挂着上外名字的不知道几本的院校，就是这样。你要是成绩还可以完全不用考虑贤达的。至于你问的法语德语，都挺好的，就业也差不太多，只要能考上这两个语种选哪个都好，还是看你自己喜欢哪个吧。PS：德语貌似是看着单词就能发音的那种，像拼音，当然我不是德语系的，仅供参考。 
有上海外国语大学传播学研究生在吗？求助?,官网上面有参考书目，或者去“千研万语”论坛问候学长，或者去QQ加群询问，有些东西自己是可以独自完成的。 
想考上海外国语大学多语种全球新闻专业的硕士，想求新闻和英文方向的指导。？,我想考法语的多语种新闻……
新世界教育 上海外国语大学日语自考怎么样？,报名了嘛，楼主，学校怎么样靠谱吗
上海外国语大学本科生招生的翻译专业是什么来的？,翻译是英语学院的。
上海外国语大学法学院怎么样？,我们学院调剂进来的人比较多，大部分对法学没啥兴趣，没什么法学氛围，再加上有的课真的很水，所以平时好好学习的没几个，大部分都是考前两周突击，不作弊的话复习还是很累的。（实际上我们学院每次期末考都强调不要作弊，还搞什么诚信签名，但该作弊的还是会作弊。并且事实上对作弊抓的一点都不严，有好几次考场里手机响了但就提醒一下啥事也没有，甚至有传闻某届院学生会主席作弊也睁一只眼闭一只眼没给处分……）  虽然一些老师给分比较良心，最后成绩都还可以，但每次还是有挂科的人。但我个人认为，如果你对自己比较负责，想为自己的职业道路打好基础，那么就不应该满足于靠两周的学习和老师的仁慈得到的那个不值一提的成绩。下面引用一段回答：  你大学四年顿悟了哪些人生道理？ - 萧西楼的回答   以前知乎上面的答案了：  在大学里，平均每个学期有19周，其中你的成绩，是由考试前的最后2周决定的，而你与别人的差距，则是由另外的17周决定的。  在另外的17周里，有的人整天疯玩，有的人刻苦学习……差距就是这样一点一点拉开，大一刚进来的时候其实就已经存在着差距了，四年以后差距就更加明显了。我们学院有很优秀的毕业生，有被复旦、剑桥、UCL录取的；也有很差的，到了大四还在整天打游戏的。总而言之，在考试之外的那17周里，最好做一些能提升自己的事。  ----------------原答案分割线---------------  师资力量、法学氛围都不如华政、复旦。在律所、法院等求职时也相当吃亏，因为很多人以后都不走法律这条路，无法形成人脉圈。         唯一的优势是我们是语言类大学的学生，有资格参加专八考试，而华政、复旦的法学院的学生不行。（别提法律英语了，上过我们学院法律英语课的都知道这门课有多水。）         所谓的法律人才实验班，也只是2013年刚刚成立，与其他班不一样的地方目前只知道知识产权法部分内容用英文上，有国际人权法课程，以及在大三上学期有出国交（旅）流（游）机会。         然而真正的成长都靠自己。学校和老师在这个时候已经作用不大了，没有人会去逼你学习，不管是法律，还是英语，想给自己一个光明的未来，都是得自己主动。          我一直很反对我们学院的老师盲目地吹我们学院，说我们英语比华政法学院的人好，法律比其他英语学院好。但是赤裸裸的现实就是，上海法律界华政、复旦、交大是三巨头，我们学院的毕业生根本就是在夹缝中生存。  但是， 没有绝对的优势，也没有绝对的劣势，一切都靠自己 。说真的，四年的时光真的很快就过去了，真心觉得这四年里真的要 好好学习 ，千万不要相信“高中好好学习，到了大学就可以天天玩了”这种鬼话，也千万不要抱有“前两年先玩玩，后两年再开始认真学习”之类的心态。难道你高三那年那么辛苦起早摸黑地学习，就是为了换得四年的休闲时光吗，我想说你的高考成绩给你的是一个更好的平台，更好的资源（学术、人脉等），请好好利用这个平台，并尽早决定好你大四毕业之后的道路（工作/考研/出国），然后早点开始做准备，尤其是你的GPA，平时不注意，到真正要用的时候就追悔莫及了。
在上海外国语大学和西南财经学金融的比较？,从学校级别看，西南财经大学是国家“211工程”重点大学、国家“985工程”优势学科创新平台建设高校、教育部直属高校，有深厚的金融行业背景、独特的金融学科优势、出色的金融行业影响力。从学科建设上来看，上外金融和西财金融都不在一个水平上……西财金融学在金融学排名中可以做到前5，这意味着两者的教学水平和师资力量的不同；现有专任教师1380余人，有教授250余人、副教授490余人，博士生导师260余人。特聘海外院长9人、国家“万人计划”领军人才2人、国家“千人计划”5人、教育部“长江学者”10人、“百千万人才工程”国家级人选5人、国家杰出青年科学基金资助2人、国家教学名师1人、教育部“新世纪优秀人才支持计划”31人、受政府特殊津贴专家17人、全职海归博士210余名。 从学校国际化程度上看，荷兰蒂尔堡大学全球经济学研究机构排名（The Tilburg University Top 100 WorldwideEconomics Schools Research Ranking）发布的最新排名中，西南财经大学15年经济金融学科英文论文发表排名有了大幅上升，以21篇经济金融学科英文论文发表数跻身亚洲13位，全球107位，在中国大陆上榜高校中位居第六位。荷兰蒂尔堡大学“全球经济学研究机构排名”首发于2010年，被认为是目前较为全面、系统评价世界各大学经济学研究质量的排名体系，其数据来源为ISI Web of Knowledge，涉及经济学、计量经济学和金融学等领域的70本主要国际著名经济学期刊，默认排名选取的是其中的35本重要权威期刊。这一排名对于提高各高校经济学科研究质量和水平、促进高校间的良性竞争和发展，具有非常重要的参考价值。除了这些，学校还为学生提供了丰富的留学交换项目，学校目前已与全球30个国家和地区的130所高校建立了182个学生出国交流项目，包括双学位项目、硕士学位项目、交换项目、短期游学等多种类型。公派出国留学项目数量和学生人数在西部地区名列前茅。学校设立“学生出国（境）交流奖学金”，资助、鼓励我校学生参加学校的各种出国（境）项目，每年资助总额200万元。    从学生生活条件来看，本科学生寝室为4人间，带独立卫生间，有热水淋浴、空调等，全校WiFi覆盖，食堂物美价廉，不仅仅只有川菜，学校提供全国各地风味，设有清真餐厅，学校图书馆享有“最美自习室”的美誉  从就业情况来看，看到有评论西财非常不负责的言论，这种言论都有人点赞真的是无法理解！在这里特意反驳！用数据说话！2015年毕业生总体就业率为 96.46%。本科毕业生就业率为 95.04%； 毕业生总体流向分为签约就业、出国（境） 、 国内升学、自主创业、自由职业、基层项目、不就业拟升学、暂不就业及有就业意向未就业等共9种类型。本科生中签约就业人数占51.36％，出国（境）及国内升学占39.32%；研究生中签约就业人数占96.24%；博士生中签约就业人数占98.26%。  　在签约就业的毕业生中，本科生在西南地区就业比例为 45. 53%，硕士生在西南地区就业比例55. 13%，博士生在西南地区就业比例为 65.09%     所以说，前年的回答，不仅是不负责任！而且严重偏离事实，配合学生生源地数据，其实可以发现，来自华南和华东的学生，基本都可以回到华南华东，不存在只能在西南就业的情况！能说出这种鼠目寸光制造的，根本就不是我校学生！ 从毕业深造情况来看，2015届毕业生中，本科生国内升学814人。其中，考取211工程学校（不含985）的毕业生497人， 占比61.06%，考取985院校的毕业生277人， 占比34.03%。985工程学校中，比例最高的是北京大学，达21.66%。 出国（境）方面， 22.44%的本科毕业生考取了全球排名前 50 学校，15. 64%的本科毕业生考取了全球排名前 51-100 学校。 本科毕业生签约世界500强企业的共计611人， 占签约就业本科毕业生29. 35%。 签约中国建设银行的本科生比例最高，占签约世界500强企业本科毕业生的18.66%，其他比例较高的热门企业为中国农业银行、中国工商银行、招商银行等。   综上所述，如果目标为金融学、会计学等经济类专业，西财无疑是最好的选择，但术业有专攻，如果是英语、翻译的专业，上外绝对要比西财好很多！
上海外国语大学在工作日期间对外开放吗？游客可以自行游览吗？,可以的，松江校区是对外开放的
上海外国语大学金融专硕学费多少一年？,为什么百度能查到的东西要跑到知乎上来问，伸手党也是醉了。 8万左右，名次高的还有奖学金
我高考发挥失利上了二本的大学，想考上海外国语大学的研究生实现梦想，又害怕考不上浪费了时间，求建议？,欢迎来SISU  任何事物都有风险，想考就考
在上海外国语大学贤达经济人文学院就学是什么样的体验？,我也是贤达的学生，来自上海，就读的高中蛮不错的，但是高考失利进入贤达。起初我真的很失落，以为自己就此跌落谷底。但是来到崇明才发现贤达并不像我想象的这么差。就教学来说，我们的老师都是上外，华师大及国外中上层大学的研究生及一小部分上外派来的老师。因为做大学老师要博士学位及以上所以这些研究生就来到了不需要读博就可以教书的独立学院贤达教书。她们中的一部分真的很不错。特别是教英语的老师。（英语是特色嘛） 为什么说贤达垃圾呢？我认为是它的各种安排和人力资源上有诸多缺陷。缺乏较多丰富的课外学习资源。 同学分很多种。有好好努力的学霸，有好好努力的学渣和不好好努力的学渣。三种人的比例在各专业内不同。但他们所有人都很友好。除个别例外。（每个班都会有的对吧，就像以前高中那样） 学校活动比较丰富，运动会，十大歌手不用说了。还有英语配音比赛啦，演讲比赛啦，戏剧表演比赛啦，新年晚会啦，圣诞班会啦，万圣节班会啦…… 既来之，则安之。沉下心学习，放开胆去尝试。到时候找工作也好，续硕也好，然后开心快乐地生活下去。
上海外国语大学交换生机会多吗？怎么争取？,非常多 2017国家留学基金委提供的优本项目（公费）上外有两百多人获批 人数全国第二（仅次清华，覆盖比例全国第一） 至于如何获得： 1. 好好学习，专业排名越高越好（成绩是前提） 2. 学好英语（要面试）
有哪位在准备自考上海外国语大学的英语本科的？互相交流下学习办法吧……,你可以买自考通，上面有教材的翻译，有的也有课后习题答案，最重要的是自考通上的题目大多都是历年真题，认真看完教材和自考通一般都可以通过考试的。
上海外国语大学成人教育专升本日语专业严吗？,你好，你是2016年的考验的吗？我也报的这个专业
本人今年广东理科生 在上海外国语大学 厦门大学和华南理工大学 的志愿顺序怎么排最好？,看你要读的专业吧。你想读外语类的就是上外咯。另外华南理工我不了解但是厦大很棒啊！（母校脑残粉）。但就地区来说上海的机会的确是比厦门多的多的多的多的多。
在上海外国语大学读研究生是怎样一种体验？,小语种研究生，实习机会兼职机会多多多的体验。
上海某知名外国语大学日语专业求入行财务?,进入日企财务部门，你的语言优势可以得到很大发挥，财务经验逐步积累，从翻译or基础财务角色逐渐转变为财务管理角色。  哪些日企就不用我说了吧
在上海外国语大学读广告学研究生是一种怎样的体验？,我也想知道啊 
上海外国语大学 金融专硕 该如何复习？,  图片加载不出来？
咨询一下2017上海外国语大学的一些情况？,上外自2016级开始允许转专业 但题主要想清楚的是： 1. 转专业需要很高的专业排名，你是否能做到 2. 当你转到西语德语法语这种洋气的小语种后，你是否能跟上进度，毕竟你身边都是一堆从中学就开始学小语种的保送生（没错高考统招生都很少） 综上我个人觉得转专业（尤其是转到小语种）没有太大的可操作性 个人觉得翻译已经是一个很不错的专业了 相较于英语语言文学比较侧重实际 如果题主是想到上外学英语的话 那不用担心被调剂的问题 上外除日语（国贸）外的所有专业都可以考专四专八 也都可以辅修英语双学位 因此上外的新闻经管之类专业就业也很好 欢迎报考上外
上海外国语大学在陕西的招生情况以及录取分数？,我也好关注
上海外国语大学海外合作学院？, 　上海外国语大学海外合作学院是上海外国语大学主要负责国际教育合作项目的二级学院，2017年秋季是第21届招生。学院承担上海外国语大学同英国、澳大利亚、美国、新西兰、西班牙、日本、德国、韩国等众多国外合作院校的教育合作项目。学院采用先进的教学理念、方法和手段，致力于培养高素质应用型外语人才。  上海外国语大学海外合作学院留学项目新生入学后须在中国(教育部)留学服务中心网站注册并享受留学指导服务，回国后学历、学位认证。  上海外国语大学与国外大学校际合作，并在中国(教育部)留学服务中心备案，所获学位被教育部和国际认可。 
你是如何考上上海外国语大学(上外)博士的?,考上了上外的博，今天公布的。但是我想告诉你，每个人的道路都是无法复制的。十年前的今天，我被我的本科院校劝退了。鬼知道我这十年经历了什么。你也要来一遍吗？
哪位有在上海的大学的学生会的联系方式？比如上海外国语大学、同济大学旦大学、上海外国语大学、同济大学？,为啥邀请我啊。。。。很奇怪诶。。我只是前女友在上海上学罢了。。 
上海外国语大学研究生宿舍怎么样 小别墅是给哪些专业的住？,上外的研究生宿舍:研一在松江大学城。研二、三在虹口，宿舍在你所说的小别墅………………的后面！条件……不算好，你别抱太大期望，但是我们都是为着学术去的，是吧！不要在乎外物啦~加油~么么哒~
上海外国语大学的【新编日语】网络教程怎么才能看到？,非常负责地说，你在哔哩哔哩上找吧 我就是在哪儿看的
江苏考生，是为了男朋友去东南大学，还是为了梦想去上海外国语大学？纠结死？,我不知道你的，如果是我，就读自己想读的大学，毕竟高中这些年的努力，好不容易考的分数不能浪费在自己不想读的大学里
报考上海外国语大学 读英语还是小语种？, 看你的未来方向和职业导向了 
怎么样上上海外国语大学呢？,我觉得有两个因素比较关键：考试时的心态，填志愿时的胆量。2014年安徽高考，理科出一本线66分，全省一万一千多名。按理说正常报考上外不高个一本线80分是没把握的，万幸我占了提前批的便宜，我看招生计划上说(农村专项计划)提前批最多可降20分，而我的成绩距13年上外本一最低录取分数线差21分。但我还是咬咬牙决定博一博报了。没想到还真被录取了！也可能算我撞大运了，不过后来据我了解还有比我更低的分数进来的…………网新专业在上外来说并不是竞争十分激烈的专业，浙江一万名（理科）机会还是很大的，最好抓住提前批、专业可调剂这俩増大录取率的利剑！现在距高考40多天，关键的还是保持一个好心态，跟平常一样，没什么大不了的。高考时我是哼着小曲儿走进考场的，尽力就好。加油！
上海外国语大学海外合作学院靠谱吗？,我是海合出国的 楼主想了解啥
想考上海外国语大学该如何努力？,首先，学校实力真的不错，看你能不能考得上，现在才高一，那就好好学习，少玩手机，不然你会后悔的。  提高英语很好做，但是你能不能做到？  比如单词量，听力水平，阅读能力，这些都很重要，任何一个短板，都会给你负面影响。  上外出的外语人才很多，你加油。
关于上海外国语大学国际经济与贸易(日语)专业能不能去日本一流名校留学的问题？,请问你是上外国贸日语专业么？我有意向报考这个专业，你觉得这个专业怎么样呢 
理科生，能上上海外国语大学，英语较渣，是否会很苦逼，求认真分析？,我是16年高考的理科生，现在读的就是英语专业，每天学习都很幸福，因为我非常喜欢英语。你呢？你喜欢英语吗？喜欢的话勇敢去报，不喜欢就不要强求，因为如果不喜欢的话你大学期间是没有内驱力促使你去学英语的，这个专业可以非常轻松，因为大学没人管你学不学;也可以每天都累的躺在床上不想动，因为就算你精疲力尽也依然快乐而充实。不看其他条件，就看你是不是真心喜欢。
去上海外国语大学金融学怎么样，有什么好处？,掌握一门外语的同时顺便学一下金融
上海外国语大学的新生如何在上外适应新生活？,不用办饭卡。  在上外呆一年了，没在食堂吃过饭。  不匿了，心塞。
财经类：上海对外经贸大学的研究生和上海外国语大学的研究生？,我给出的答案是上外的硕士，毕竟上外是211，名气要比我们外贸响，毕竟要在金融行业混还是需要好学校的硕士。当然我们外贸的硕士就业也是很不错的。
请问关于上海外国语大学日语系的几个问题？,1 是 2 本校可以修，隔壁外贸也可以修，我一个同学就拿了隔壁发的学位。不一定去东北片 3 辅修这个东西还是需要毅力的，尤其是距离比较远的辅修。出国交换的话，大四还要接着辅修，可能会和找工作啊准备留学啊同步进行 ，会比较累。论文答辩的时间也有可能冲突，还是有很多麻烦的，但也不是不能克服
上海外国语大学日语系的交流大学有哪些？,要说交流的话其实学校也就那样，也有好的也有差的。一般会在大三上学期开始有留学项目，最好的自然是东大和阪大，但基本上只有一两个名额（一个年级大概150左右，包括七八个高起，就是那种从初中就开始学日语的，高考时外语考日语的那些人，一般都是保送生，蛮厉害的。）其他比较好的也就是东京外国语大学和东京法政大学（东外大之前是只有在上外辅修新闻的日语系学生才可以报，不知道今后会怎么样，听说会改革；法政大学的话大概是三个名额左右；如何筛选呢？当然是看绩点啦，有时候也会面试，看口语能力），再差一些的话就确实比较差了，比如东京樱美林大学，长崎县立大学和活水女子大学等等。樱美林大学有自费的项目，就是只要你出钱，口语不是太差的就都会让你去，时长有一年也有半年，可以自己决定；活水女子大学的话有半公费名额，名额不多，但很少有人报名，因为活水在九州岛，很偏僻，但从另外一方面来说环境也比较好，人际关系比较亲密，物价也便宜。好与不好都是取决于个人价值观啦）本人是上外日语系大二一枚，也正在为留学的事情而烦恼着。
跨专业考上海外国语大学传播学可行吗？,题主，你考上了吗，我是准大三，学法语，一所本二，但也想跨专业考传播学，题主觉得哪所大学比较好啊，传播专业实力强，又可以竞争力少点儿
北京外国语大学的法语系和上海外国语大学的法语系相比哪个更好？, 单从语言类大学来讲，北外、上外是全国最顶尖的院校，排名上来说北外略高于上外  北外法语专业始建于1949年，是北京外国语大学的优势学科之一，现有在校本科生281人，硕士研究生29人，在职博士研究生12人。   现有教职员工35人，其中教授5名，副教授11名，讲师5名，助教4名。每年聘请2名长期法语专家，3名短期讲学专家，担任本科和研究生教学工作。本科生每年招3个班，每班24人；研究生每年招10人左右。   上外法语系1956年开始招生， 目前在编教师共28人，其中教授4人，副教授9人，讲师10人，助教5人。教师队伍的博士比例占总数的50%，另有7名优秀年轻教师为在读博士。   较目前的师资人数北外略站优势。   北外↑   北外阿语楼   上外↑  环境上各有特色，小北在北外办公相对了解，北外位于北京西三环，位置还是不错的，在北京市中心，相邻民族大学  上外的法语系位于虹口校区，位置也是绝佳  除了环境师资，同时也要自己参考想在哪个城市发展，再做决定！希望小北可以帮助你。  如果问题可以在评论或私信问小北，希望可以帮到你 
上海外国语大学立泰学院留学预科靠谱吗？,楼主.那成绩怎么样尼？25万的可以考虑英国澳大利亚.回国都是可以做认证的.楼主不用担心.上海外国语大学，是教育部直属并与上海市共建、进入国家“211工程”建设的全国重点大学.自建校以来，上海外国语大学始终保持着领先的学科优势和高水平的教学质量，是同类院校中唯一拥有两个一级学科（外国语言文学、政治学）博士学位授权点和博士后科研流动站的高校.给你个网址 上海外国语大学留学预科招生网   希望可以帮助到你.
