南京理工大学生活怎么样？,不怎么样
想问一下南京理工大学外国语学院怎么样？,作为外国语学院的学生来回答一下。南理工外院是个很小的学院，正因为如此有好也有不好的地方。好处是申报奖学金，项目，当学生会主席的竞争不会太激烈，只要进去之后认真做事再搞搞人际关系，不会太难。还有就是只要不逃课，上点心，考试基本不会挂科。不好的就是学校真的不够重视，专业拿到南京也不是很靠前，但是都是看自己的努力，我有几个直系学姐在全国的比赛上拿了奖，人定胜天。总的来说外国语学院虽然讲座多，面子工程多，不过妹子多，学习压力也不会太大
南京理工大学的计算机专业的学习氛围怎么样？就业前景如何？,远离南理工，你会有更多收获。。。学风和老师我就不谈了，烂就一个字。至于就业前景，那就纯靠自己了，反正学校和老师不会管你死活的。
来自南京理工大学经管专业新生的提问?,财管呢 或者考虑转专业啊
我今年大三，南京理工大学（211），电子信息工程，GPA3.63/4，想申请德国的慕尼黑工大有戏吗？,看来是电光院的噢
北京化工大学还是南京化工大学好 本人理科女 父母很想让我去北京化工 但是个人比较偏向南京理工大？,首先，南京理工大是南京理工大学？ 其次，北化比南化好，毋庸置疑，因为它是211，211，211。 如果是和南京理工大学比较的话，我觉得是看你将来想要发展的地域。北方就北化，南方就南理工咯。 最后，看你个人兴趣吧。
南京农业大学（卫岗校区）和南京理工大学有什么有趣好玩的趣事？,占个坑。南理工的一些故事，可以看我在贴吧发的帖：   https://  tieba.baidu.com/p/47134  96954?pn=1       学校的老建筑、老故事，这个帖讲得很全面。看完之后跟同学吹逼南理工不在话下。  有空再更，讲讲南理工的一些流言传说、拍案惊奇什么的。南理和南农在微博微信上秀恩爱的来龙去脉也写一点。  感觉内容好多估计填不完……
南京理工大学一个叫胡中俊的思修老师为什么给分那么低啊？？？, 既然这么在乎分数，那么为何不在平时和考试好好掌握得分规则去努力？自己试卷写得一塌糊涂，平时要么旷课要么玩手机。不要怪胡老师，我自己就得了90多，周边好多人都是80多，考后向老师要求改分本身就是一个不合规则的要求。胡老师人很nice，有一些深刻的见解，他的课使我获得了一些关于国家、人生的一些启迪。毫无疑问，胡老师显然不是一个靠给学生放水打高分博学生欢喜的老师！虽然现在很多公共课老师这样做，但是这不意味着这么做就是对的，因为要为所有的学生负责，让态度认真的人和态度不认真的人区分开！ 
南京理工大学外国语学院英语专业的研究生导师怎么样？好相处么？,你好 我也准备考南理工的外院 可以加个联系方式吗
【考研】【南京理工大学】相关问题咨询？,南理工刚毕业的机械院学姐来答一波这个问题： 1、就业情况：就我们小专业（工程+管理跨学科）来看，大概98%都可以找到，你要用心去找，没有找不到的，特别临近毕业的时候，班群里会分享很多公司的资料和招聘信息，而且都蛮友好的，让我们这些升学的看着都心动，PS：有些成绩不太好的同学也去了相对不错的公司。 2、复试的问题：没听说歧视二本啊，倒是照顾本校，有些同等级学校的考进来未必比你们容易，人情政策哪里都有。考研的面试关，本校考生貌似会高一点（10分左右），但是不会卡你的专业部分成绩，最后一些外校的也能考得不错。毕竟本专业的学生跟着学了四年，老师都认识，不偏袒一点都说不过去。就我以往跟导师的交流来看，如果你本身足够优秀，老师们自然会记住你的亮点，不会用本校不够优秀的学生来挤掉你的。 3、考研的压力：报录比没关心过，每个学校都挺大的吧，我们学校本校考本校的居多，感觉压力山大的人都是想要往外校考的，毕竟难度摆在那里，跟你外校考南理工的难度系数应该差不多。反正加油吧，没有那么难，当然也不轻松。 4、关于校园的设施，图书馆真的很高大上啊，设施应有尽有，包你来了就不想走，什么实验室、信息化教学中心、金属加工中心也都OK，资源绝对可以满足你的科研需求；现在南区宿舍也有篮球场和浴室了，是新建的，学校共有两个操场四个篮球场，网球排球羽毛球场馆也还过得去；宿舍是四人间，洗澡在澡堂，宿管阿姨人超好，只要你不太挑，宿舍就像家一样温暖。 5、专硕学硕：听说现在差别已经不太大了，但本专业同学都想去学硕。根据你的情况我推荐专硕，因为录取线相差几十分，为了增加成功率，还是报专硕吧。不过，如果你想获得更多的关注和科研机会，不如冲一下学硕，说起来更有自信。
如何评价南京理工大学近期的“大数据精准扶贫计划”，是否值得高校借鉴，从而真正解决贫困生问题？,南理工学生答。 如果正常吃食堂，一日三餐，一月30天来算。早饭普通点￥5(俭省的俩馒头一两块钱也能吃饱。) 午饭晚饭大盆菜米饭，普通的一荤一素￥7左右，有肉的菜一般是￥4，比如炒菜中搭配猪肉。或者干切的鸡鸭肉，素菜或者小荤菜比如鸡蛋类，都在￥2-3间，米饭一份￥0.6。 除了盆菜米饭，包子馒头，其他的就贵了，动辄￥10以上，所以想为了拿补助控制在这个点很困难。和学校解释的一样，如果有人苦心孤诣刷数据，说明他真的需要。
南京理工大学法学怎么样？,你觉得优势在理工科类的文科怎样呢 
武汉大学和北京理工大学选哪个好？, 造坦克_(:з」∠)_，孩子，这活你还是再了解一下吧，国防相关的都没有想象中那么美好。  学科比较的话看 2016-2017年教育部学科排名（完整版）   ，举棋不定的话把知乎相关话题浏览一遍，我个人建议还是选武大，相对来说选择余地更大，综合性大学，万一发现专业不对还能转专业，而且大部分专业的实力还是可以的。  总体的指导原则是  能上名校上名校，我个人觉得武大以上差不多就是毫无争议的名校了，毕竟我们都习惯以自己当标准_(:з」∠)_  上不了名校就要考虑两个点，一个地域影响力，一个行业影响力，看考生将来想在什么地方和什么行业发展了。比如说南京理工，在江苏的知名度很高，是江苏尖子生的常见保底学校，但是出了长三角，知名度就低了很多。行业影响力比如说北邮，在it领域如雷贯耳，立志搞it的话这是一个不错的起点。 
如何评价南京理工大学对发动机TiAl合金的重大突破？,我做工程的东西居多，按照项目性能要求，我能做出超过要求百分之三十的东西，但这是小实验，不是实际合同产品。 所以，我等着看他们产业化的结果。 如果十年内些东西能批产交付，我举双手叫好。如果这个东西只能停留在小实验范围内。他们写几篇论文发了，我就在学术层面拿来借鉴一下思路。 至于现在评价，好好吃瓜，看着，听着，少说话多做事。棒锤的水平都没有，不能总把评价挂在嘴边。没有组内关键成员级别的人所具有的信息，隔空放炮只会徒增烦恼。
2018计算机考研，武汉理工大学、暨南大学、南京理工、西南交大哪个性价比最高？真心求推荐？,对于不同的人来说，性价比是不一样的。根据你的基础水平，你当前的学校专业，你追求的目标，你希望未来发展的城市，这些。比如，对于你来说先赚5000是高性价比的决定，对于王健林来说先赚1个亿是高性价笔的决定。  所以，问自己几个问题：我现在是什么基础？我的学校专业如何？我想要考什么样子的学校？我希望在哪里发展？  最靠近你的综合答案的选择，就是对你来说，最高性价比的选择。
南京理工大学计算机专业到底怎么样？大一想转院值不值得转到计院去？,师傅领进门，修行在个人~
大一新生，高考高出本省一本78分 读的南京理工大学。 成绩不算好特别想出国，想见见世面，怎么可以出去？,GPA3.0是门槛，过了门槛看科研经历和托福雅思成绩。常春藤高校GPA3.5是门槛。 基本gpa能保持，然后刷高分的托福，接下来好好搞科研训练。
我报了南京理工大学 分析化学专业，但不知道有哪些教材书？,你最好去看下招生目录，都会有写的，814分析化学科目考研指定参考书目： （1）《分析化学》（第五版）  高等教育出版社  华东理工大学、四川大学； （2）《仪器分析》（第三版）  高等教育出版社  朱明华编。 不过研途宝上也能方便查到教材书，以及一些资料，和学校的参考书目是同步的，你都可以看的，希望能帮到你，祝考研顺利！
如何评价南京理工大学机械工程学院辅导员杜建彬？,终于看到有人回复了，吞学生奖学金，十一点多让女生去男生宿舍班部开会就是因为被调查了要准备材料去走个过场。大三开始换了他没有见过奖学金公示。关注度上去了再补充，现在白喷，希望学校能认真调查下这位辅导员
华南理工的机械制造专业和南京邮电大学的通信专业选哪个好？,当年南邮的高分考生都是清北落下来的，分数够华五的都一把 刷华南理工妥妥的  
南京理工大学和河海大学自主招生初试都过了，选哪个？,1.优先选择家里人有关系的专业。 2.优先选择自己有兴趣的专业。 再其次 那就是推荐理工大的机械专业。 第一，机械专业是理工大的王牌专业（虽然现在前景没那么好）。而河海优势在水文水利港航。 第二，直白说理工大的牌子比河海好听。 其他的都是次要的。 最后，如果题主来了理工大，想要转院，推荐计算机学院和电子工程与光电技术学院。这两个就业前景比较好。  至于有人说理工大，老师没有责任心，教学不过关，我不太会评价，不过影响不大，因为大部分科目都是靠自学，很多老师就是念ppt。 而助理辅导员制度只会给人添麻烦，确实是这样。理工大的学生助理制度也是一大奇观，要多恶心有多恶心，如果你来我们学校，体验一下军训就能管中窥豹了。学校方面也是官僚化严重，有问题都推脱于学生。 不过各大高校这方面都是坨狗屎，河海也不例外，只不过，理工大的这坨狗屎可能比其他臭了一点。  问题评论里有人说是那个答主在黑，别洗了，黑是抹黑，那个答主说个事实怎么就是黑了？ 学校喉舌，学贼而已。
如何评价南京理工大学计算机学院刘华军老师？,静坐常思己过 闲时勿论人非  
如何评价南京理工大学机械院学生会半夜去他人寝室掐学生脖子(疑似，该问题不负法律责任)？,1.机械院这片天啊，校长院长排第四，国家主席排第三，天王老子排第二，学生会主席排第一，至于全院的同学们，你们老几啊，不想死就别逼逼。 2.机械院学生会的这个会字，和天地会的会字是一个意思 3.不怕县官就怕现管，之所以匿名，就是怕某些大佬报复，毕竟机械院还没有空降沙书记和候局长 4.少拿机械院的荣誉说事，现在想起来了？做那缺德事的时候怎么没想起来。 5.机械学子确实是南理脊梁，但得了白血病，该换换骨髓了 6.我以我是机械学子为荣，以我们院有这么个学生会为耻 7.再回到荣誉上来，我倒是觉得我在维护机械院的骄傲，就像一个人有了伤口一样，一定要把伤口撕开，割掉烂肉，把伤口暴露在阳光下消毒，老是藏着掖着就会病入膏肓 8.我是怀着绝望的心情写下这条回答的，曾经有好几次这样的事，都被某些大佬以维护机械院名誉的理由压下去，当事人为了所谓的家丑不外扬选择息事宁人，然而接下来就是各种各样的小鞋和不公，但那时已经为时尚晚。 9.最后，荣誉属于机械院全体人员，应当由全体人员共同维护，你们这群肆意破坏机械院形象的家伙，我这么长时间遇到其他院的同学竟没有几人对机械院学生会给好评，好像所有人都在谩骂你们，你可知道别人骂的时候都是直接骂机械院的，我们这些机械学子出去都不好意思插嘴，你们这些机械院的蛀虫。                                             来自一位屁民的怒吼
南京理工大学可以怎么做 保证自己每年夏天不被淹？,向政法大学转型，制定百年党政干部计划，入住林业环保中央，划定林业红线，退建还湖。  不然干啥都没用。  自然要报复。
南京理工大学为什么年年被淹？,楼上总结的很好了，我再补充一句，不是南理工年年被淹，是南京年年被淹  http://  mp.weixin.qq.com/s?  __biz=MjM5ODkyNzc0MQ==&amp;mid=2650017979&amp;idx=7&amp;sn=dd616e0a17325c9b3af1dc93b4b0b8a1&amp;scene=2&amp;srcid=0705TjFXaF7B0d7WRbHMfTed&amp;from=timeline&amp;isappinstalled=0#wechat_redirect      
西南交通大学和南京理工大学哪个好？急？,听说南京理工大学有早操，西南交大没有。  下面是西南交大转专业要求。  http://  dean.swjtu.edu.cn/servl  et/NewsView?NewsID=C6CA23A4243928AB      
华中师范大学的图书情报和南京理工大学的图书情报相比哪个更好？,我也是 会计专业准备转图书情报
电力系统院校只有华北电力大学武汉大学东北电力大学、太原理工大学上海电力学院南京工程学院沈阳工程学院？,除去华北电力大学和武汉大学，以及电气四虎（清华、西交、浙大、华科）外，还有五所原电力部直属高校，它们分别是：三峡大学（原武汉水利电力大学宜昌校区），东北电力大学，上海电力学院，长沙理工大学和南京工程学院。以上院校都是和电力系统关系非常密切的。
南京大学的研究生和南京理工大学的研究生毕业出来有多大差距呢？,学士看学校，硕士看专业，博士看导师
南京理工大学17届新生应该是哪个宿舍？,南区和北区都有，这一届南区应该会有两三个宿舍楼给新生，北区有多少就不太清楚了
听说南京理工大学自考本科是统招、全日制，是真的吗？, 假的，自考就是自考，从来没有什么全日制不全日制的说法。真想读全日制重新去高考就好了，实际一点。 
南京理工大学的导弹火箭发射及理论技术的研究生（男）就业情况怎么样？,发射火箭和发射导弹的区别是，卫星是只上天，而导弹是上了天还得回来并且要找到回家的路！
选择西电还是北京科技大学(南京理工)？,看了你的叙述，讲真，你选西电吧。  城市只是一个情怀，西安不算差，教育医疗等一线配备该有的西安都有。目前我们这些出身普通的孩子，选择IT或金融是最简单能保证你未来有份富足生活的方式，而西电是一个很容易提供让你成为中产阶级的平台的地方。  而山东距离西安其实很近，每年西电招生人数除了陕西生源地外，第二大省份就是山东，山东人在西电是相当多的，我对山东潍坊菏泽日照滨州青岛德州都耳熟能祥了，因为这些地方同学太多。  我陕西人，当年在北科北邮西电间纠结好久，后来还是选择西电了。西电相比于你提到的北科南理，在通信电子计算机互联网行业绝对是呈压倒性优势的。这点毋庸置疑。  取消985换双一流后，对于西电这种984.5绝对是有推力上一个台阶的，并且未来报大学按专业分，对16级考生讲，绝对是最赚的一届。  来西电何乐而不为呢？  利益相关，那年成绩比北邮高了4分，西电高了12分。
南京理工大学艺术专业？,？？南理工艺术专业？？ 千万别来。 只推荐电光学院和计算机学院。 理工学校文科专业都是用来骗钱的。 比如财经类专业，人家招聘都去南财招人，南理工都没点。 你高考好人家那么多分有什么用？
南京理工大学生物工程专业怎么样?可以转专业么,前30%就可以转专业 不算学校很强的专业，但是新引进的老师水平都不错 这个专业就业的话，你可以参考一下这个行业目前在中国的前景。。
如何评价南京理工大学理学院书记陶维之？,理院颜值担当 
在南京理工大学泰州科技学院就读是什么体验？, 泰科院土木工程大四毕业党，知乎上瘾用户，知乎里之前还没有我们学校的体验，看看校友们都有怎样的体验，个人觉得傍晚的泰科最美了。   英国夏令时七点多，在宿舍准备写作业，国内已经深夜两点多了，点开到知乎，不禁想写一点东西，来到英国已经二十多天了，距离泰科院毕业也一个多月了。窗外又在下雨，哈哈，感觉自己跟妖风挺有缘的，想本科时大家经常一起讨论泰州的妖风，来爱丁堡读研后才见识到了什么叫妖风。哈哈，还是挺想泰科的，&gt;_&lt;哈哈，其实想念的是泰科的吃的  想念学校东门的炒饭，想念学校东门的黄焖鸡，晚上饿了就能去吃的饱饱。想念方便的外卖，虽然七号楼宿管阿姨有时不让送上楼 ，哈哈，还想念泰科食堂的便宜还能吃饱，尽管大家都在吐槽不太好吃，但能吃饱啊  这才叫良心价啊（哈哈，此处就不吐槽英国食堂的伙食了，八磅多一顿的饭难吃还吃严重吃不饱啊  (⊙o⊙)）。泰科管学习这块还是挺严的，其实感觉被老师管着还挺好的，在英国，没有老师管你，学习啥都靠自己自觉。学弟学妹们，泰科还是挺好的，好好度过大学四年吧。（好了，雨停了，就先写到这里吧，顺便放两张苏格兰雨前的天空和雨后的天空吧）^_^    
本人今年高考，332分江苏理科，现在考虑江苏理工学院和南京大学金陵学院的填报位置，求告知哪所学校更好？,我也在想这两个好巧！
南京理工大学安全工程怎么样?,就业形式很好，工作很好找。但是在此专业流传一个说法：安全工程都是从事不安全的工作。 据我所知南理工该专业的很多毕业生去了公安、消防的一些单位工作。
南京理工大学最近这是怎么了？,南京理工大学是年年报道积水，真是的
南京理工大学较为特色的专业及就业前景？,南理工本科僧路过。 最特色当然是兵器，毕竟当年也是哈军工六系。 网络盛传的上课玩AK，MP……任你随便拆装，大概也是仅此一家，别无分号了吧。
南京理工大学紫金学院是野鸡大学吗？,谢邀。我是南理工本部的，紫金院还没去过。  紫金院是南理工的独立学院。所谓“独立学院”，就是它实际上和南理工关系不大，是另外的社会力量举办的，给了南理一些钱，就冠了学校的名字。所以紫金院宣传的时候讲多少南理工的内容，都不代表它本身的水平。  那它是个什么水平？本三里算江苏省第三吧，南大有个，东南有个，然后就是南理工这个了。  我不知道题主的追求是啥样。如果题主就是为了上个本科，分数不能再高了，那就报这个，这是没有选择的选择。如果有更高的追求，或者更强的能力，就不要委身于此。  PS：题目里写“南京理工大学紫金学院”，补充描述就成了“南京大学紫金学院”，题主你确定是在选自己的大学？可长点心吧。
求介绍南京理工大学紫金学院？,复读
怎么看待南京理工大学给贫困学生偷偷充饭卡？,   当然支持，不多说，直接上图░▒▓█▇▅▂∩(ΦωΦ)∩▂▅▇█▓▒░
本科工程管理，想考管理科学与工程的研究生，在中国矿业大学和南京理工大学之间纠结？,我也是很！纠！结！
北京理工大学与南京理工大学比怎么样？,从全国大学排名上看北理工处于30名，而南理工处于49名，该排名是根据“科学研究 人才培养  综合声誉”三项得分而来，可以作为一个参考。 而众所周知北京比较好的大学比较多，而在江苏，南京理工大学拍在第四位，我作为南理工学生，客观地讲，学校的师资、环境等都很不错。所以说，如果选择学校，则主要要考虑的就是地域差别和以后就业所选择的地点。
南京航空航空航天大学与北京理工二选一，该选哪家呢？,谢邀，不知道是不是晚了，我就分几点给说一下吧。 首先，这个要看你分数了，是刚刚能过北理的线，还是也能多个七八分或者更多，这个真的挺重要的，以我为例吧，当初感觉能超北理的线七八分吧，后来确实超了八分，然后被第一志愿航空航天类录取了，现在想起来还是当初年少不懂事，不过选了其他的或许没这段经历了，我觉得挺好，额，扯远了，如果刚刚过线或者压线，那你就要做好被调剂的打算，虽然可以转专业，但是我觉得还是比较蛋疼的一件事，所以这个就看你能力了 其次，看你喜欢的城市了，毕竟要在那里呆四年或者更久，个人比较倾向于北京吧，虽然会有雾霾，但是北京的资源真的很丰富，南航我不清楚，我们的话做项目只要坚持下来都会给报销的，据我所知挺多学校做东西都是自己出钱，认识的某大神自己玩单片机，花了七八千了，也没项目，全部自费，而且北京会有各种展览这些，北京生活节奏也很快，如果想感受积极上进的生活的话，北京还是不错的。 最后的话，不得不说专业很重要，南航有一些专业确实挺强，我这一点一定承认，所以就看你的选择了。 祝你被理想大学录取(๑•́ ₃ •̀๑)
南京理工大学的建环专业怎么样？,别考南理工，我们老师说南理工建环相关的老师走的差不多了…
有没有南京理工大学电光学院的同学、对这个学院仰慕已久能否交流下？,？？？鄙人是电光大四 有什么能帮助到你
我想考研，请问苏州大学和南京理工大学哪个好，我是学工科的，想考精密仪器，谢谢啦！?,俨然南理工，一级学科博士点，又是机电的老牌专业
如何评价南京理工大学机械工程学院辅导员杨鑫？,傻逼一个
南京理工大学考研行政管理有条件限制吗。？,你说的条件限制是什么？貌似没听说什么条件。
如何看待南京理工大学有学生称吃名苑二楼的皮蛋中毒事件？,只能说7年前我在那边的瓦罐汤里吃到过烟头……那时候还没这平台呢……
如何在南京理工大学找到女朋友？, 如何在南京理工大学找到男朋友
南京理工大学教务处那么糟糕，为什么一直没有整改？,因为里面都是关系户喽，年轻老师啊学生啊这些关系户都看不上的，你能奈我何的那种。
如何看待郭敬明成为南京理工大学创业教育课十大大学生创业成功案例第一名？,我以为大学会起码有一些风骨。
18通信专业考研，求南京理工大学专业课复习资料～？,我有课本辅导书和真题 一年前买的 可是换学校了 你需要吗 
同为南大，南京大学和南洋理工大学哪一个更强？,直接回答问题，南洋理工大学远远好于南京大学。  题主会提出这个问题，也反映出很多人对南京大学的误解，为了让大家更好地了解南京大学的真实情况， 我下面转述一下北京大学知名校友   @剃头洗脚平天下   的观点，个人认为很有价值，应该能回答题主的疑问。   以下为引用的  @剃头洗脚平天下  在百度贴吧的原话。   南京大学啊  先说吹得最狠的理科：  北清复交浙科南，南大数学倒数第二； 生物倒数第二； 物理空有与北大科大并列的名号，却既无北大的全面又无科大国家实验室的高精尖，全是凝聚态水出来的垃圾论文； 化学观念陈旧仪器低劣，连量子力学和C语言都不必修，就业被北邮计算机完爆； 科研成果每况愈下，以prl为例，连中科大的40%的水平都不到，这两年还不如复旦，所谓学科评估高全靠老院士撑脸面。   再说说工科：  好不容易有几个支撑就业的工科建筑电子，录取分数尚不如同城的东大，遑论整体实力。   然后说说文科：  文科冷门遍地，尽是毕业只能进中学教书的垃圾出路，却得不到经管的支援——经管还不如两财一贸，泥菩萨过河自身难保，也就是个柜员的命。  到头来，全校的高收分还得靠华五倒数的计算机以及被N多经管强校吊打的金融学。   最后再说说校史：  南京大学明明是金陵大学的亲儿子，却非得强认中央大学为父，这一点让南京大学自己历史系的教授都感到很为难，当年校史认定时教授们想破脑袋才想出一个「双源论」，硬是接上了中央大学的历史。这种强认他人做爹的行为，也是让历史学界叹为观止 。   此外，南京大学还组织人员大肆篡改维基百科、百度百科，凡是出现国立中央大学的地方，必定在后面加上（今南京大学），连河海大学、南京师范大学、南京农业大学、南京林业大学、南京信息工程大学、南京工业大学、江苏大学、江南大学、西北工业大学、上海财经大学、华东政法大学、上海医科大学、电子科技大学、第四军医大学等等高校的校友资源也要侵占。  作为国立中央大学的嫡系，东南大学自始至终都被南京大学在各种传播媒介上（包括互联网）污蔑抵赖，社会声誉严重受损。东南大学作为嫡系都没跳出来干嘛，南京大学倒是篡夺的厉害。  而且，作为金陵大学的后代，南京大学居然在自己校门写上国立中央大学六个字，真是恬不知耻，篡夺东南大学的合法权益。更有恶劣行为如此，南京大学还将原本放在东南大学校园里面的「两江师范学堂」石碑，夜里偷偷搬到南京大学的鼓楼校区，这种行为更是表现了该校的低下素质。   另外补充下我找到的网络评价：   南京大学还敢说自己是一流名校，根本就是垃圾大学嘛     最后剃头在这里给个建议，麻烦南京大学吹自己之前，先别闹这种 时不时被开航济两财一贸超过、生源跌出前十 的笑话吧。  从这一番引用，我们可以看出南京大学其实有不少问题，也正是这些问题，使得南京大学不断退步。
如何看待南京理工大学机械学院公众号洗稿还不承认？,    怎么看待？作为一个被机械院开除的渣渣当然要趴在地上看待，仰望电光神一样的院系和南理工最顶尖的尖子生… 我也是才知道原来这个图是电光院原创的，所以电光院能用，机械院改一改拿来用就不行。不过我咋记得我好几年前就见过这个图了捏？ 不愧你是电，你是光，你是电光人 我想我的遗言就是：生而为人，没进电光院，我很抱歉 网络不好传了几次图失败了。总是还是这几张漫画，配的文字变成了俄文，我就是想提醒电光院的成功人士们，可恶的俄国人盗用了你们的创意，而且没经过你们同意给漫画配了俄文，简直和机械院一样可恶。 zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz 另外我就多说两句吧，学校遗留下来的一些传统比如两个学院之间互撕和学生一点关系都没有，是那些领导们有利益冲突，而不该让学生之间有相互埋怨的情绪。 最有意思的是总有一些人。失败到认为院系就代表自己。总是暗搓搓的想搞个新闻互相攻击一番，你这么闲，请问你家上海几套房？发了被引用一万次的顶会论文还是gpa8.0+被mit校长亲腚了呢？中国有句古话，什么都不说只想着提升自己 只想发财才是最好的。
如何评价南京理工大学电光学院副教授潘海朗？,好老师啊
南京理工大学金融专硕还是浙江工商大学金融专硕？,1.研究生的一大好处就是导师的人脉，所以你导师的人脉肯定大部分在浙江省内 2.作为一个浙江人表示没听说过前者（就读于所谓的985，所以不是闭塞，而是前者名气真的不大） 3.南京的211及以上你自己大概能数出来，而浙江只有一个浙大，其他几所省内综合影响实际上差别不大 4.你读的是专硕，偏向于工作，我就不分析学科实力啥的了，毕竟工作不看这些，上面三点已经够了 5.自己也要努力，不能忘本            6.犒劳一下自己一直看到了最后一点，点个赞加个关注呗～ 
在你印象中，南京理工大学是一所怎样的学校？培养出来的学生怎么样？, 我本科就读于南理工的妓院。  有诗云，商女不知亡国恨，隔江尤唱后庭花。后庭花唱的好，唱出了妓院一届又一届后庭花名妓。只惜，到了我们这里，便只空余了点名气。  理工大的妓院不比东大不比南航，妈咪眼界太低，只知道拉着我们接客赚钱。那时候我们刚刚出道，什么都不懂。我记得我第一次出台，接的是个丰姿绰约的大爷，大爷见我年轻貌美很是欢喜，随即问我：“可会J2EE？”我一听，心中一沉。似乎这个词，姐姐们那里曾经提起过，妈咪却未曾教授。 无奈便只好低头回答：“回大爷的话，只曾听说，不曾了解。”  大爷自然心中不悦：“那Android开发总晓得些吧？”我摇了摇头，那是技艺高强的姐妹们私下找师傅学习的本领，只得照实回答，“未曾了解...”  大爷微怒，“Java和C，总有一二擅长之处罢！”我心中暗喜，连忙答道：“这是我们出来做的一点看家本领，还是知道的。” 大爷见状，便令吓道：“你且用你擅长的，做个链表与我瞧瞧。”   我担惊受怕地码了Node类，又在其中做了init方法，大爷在一边瞧着，不时冷哼，我不了解其中缘由，心下七上八下。可尚未写完，大爷便发了话：“人人都说，南东航理，牛逼无比，我看这南理，不过空有名头罢了。”  大爷没有临幸我，说完这些话，便头也不回的走了。我心下想，这也难怪，都是我自己不争气，原本也该像那些红牌姐妹们一般，私下里多学几门手艺，只是当时年少，以为进了妓院，便一生无忧。谁知妈咪领进门，修行在个人，那时的自己，又怎能明白这个中道理？  后来的日子不过是凭借着些许巧艺，以色示人罢了。爷说多做一个时辰，我哪敢不从，只得一边担惊受怕的过活，一边听着姐妹们的念叨，有人传：从京城里回来的旧时姐妹，现下给BAT大爷包去做了小的，那风头，那珠翠满头的架势，还有那花轿。我心下怅惘，能被BAT包了去的，大都南大东大的主，也有咱妓院里拔尖的头牌，又哪儿轮上咱们，便也陪了一笑。  又道是，人家清闲，午时开工都不打紧，只要小曲唱的大爷笑了即可，哪像我们大爷笑了也不行，总得多服侍几个爷，个个爷都笑了才好。只是，这有的爷好笔墨，有的爷好京戏，你这日学了刺绣，明日又得学工笔，与爷说起来，却又样样皆不精。可不学亦不可，爷都是付了银子的，你不学谁学？  也罢，奴婢虽然呆萌，但道理还是晓得的：古人云，以色事他人，能得几时好？  然真说起来，我万不敢说妓院一个不字。 能怪谁呢，大家一伙都是跟着妈咪学，有的姐妹学出来了，我毕竟没有，若自己发奋着些，在二流城市图个好人家，还是可以的，说到底，还得怪自个儿。  人无千日好，花无百日红。青衿乘风去，唯有少年郎，蓦然回首，竟道是有几分惦念。  惦念少时凉风还没有吹起来的秋天，阳光是金粉金粉的亮色，内颜色擦过云层，打在三号路上一棵又一棵的法式梧桐上。你走在南理，听着周围的大爷婶婶顺溜的南京方言，他们没能把柔软的南京方言捏好，竟还没抵达你的耳朵便模模糊糊的散落在风中，听不真切了。  是飘去了看不到荷花的荷花塘了吗，  是飘去了琴声阵阵的艺文馆了吗，  你看不见三号路的来处，只知道，曾经通向新街口的五路车，内之后，便再也没有来过。  也罢，只愿后来的姐妹也能有个好出路，J2EE，Android，这些妈咪们也该提点着，谁都不容易。  照理这会南理的军训也该散了，也好，待到明年二月兰开，我也约几个姐妹再去看看。趁尚未色衰力驰，有歌道：   少时总春宵，念影魔魑魅，血魔魍魉，一梦无人唤醒，空了蓝条。  中年尽热血，总子时抢掠，午时杀烧，晨起惊觉警告，异常难调。  暮年且追忆也，花季汹涌，雨季波涛，只缺觅处，空余回忆凉薄。 
女生去南京理工大学学习军工类专业以后有哪些就业方向？,天，如果不是真的很有兴趣，并且认为自己一定能坚持下去的话，还是别来南理工。而且女生学军工真心累。就业的话，如果你指学机械的兵器的话 去的一般是科研单位。但是汽车工业就比较悬。
今年高考失误考上了南京理工大学，报的是电子信息类的这种我不感兴趣的专业，只想问问这所学校究竟如何？,名气在江浙还行，不过这几年越来越不行了。。 你说专业是“电子信息类”，那就猜测你在电光院吧。这个院号称南理工最好的院，电信专业也是电光院最好的专业。另外，我也是这个院毕业的，整体感觉还行吧。不过坦白地讲，电光院本科毕业出去做研发的不多，这方面工作比较看重项目经验，所以大多都是招研究生，这也是工科专业的一个局限性。当然你没打算从事研发工作的话，哪个专业都无所谓，主要还是看你课外经历了。 至于老师负不负责，这个不好说，毕竟大学老师不会像高中老师那样耳提面命。总之大学主要是看个人努力，你要是指望就学课上那点东西，没多大意义。 话说，我这回答会不会太晚了。。。
南京理工大学和西安电子科技大学哪所学校比较好？,南理工地理位置好，但是计算机不是王牌咯。  西电你懂的，计算机氛围好，但是地理位置不好。
普通二本理工科毕业工作两年，为了曾经的梦想希望跨专业报考南京大学历史系研究生，不知道从何开始？,劝题主与楼上慎行。 搞学术可不是你想的那么简单与快乐。曾经非历史本科抱着坚定的学术梦到香港求学的我，在梦想被打出原形后狼狈找工作的我，请各位在转历史学时一定要注意。 淘汰总是伴随着你，万一考不上博呢，还是得找工作。除非你家学源远流长满腹诗书，不然你跟历史学专业的学生相比还是有很大差距。南大历史系我曾经去交流过，想达到老师那样的水平，难！而且据我所知南大历史系很多老师都是出自书香世家从小饱读诗书的那种。 当然去做考古或者文物可能会好一点。
